frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
239,1,falling,32480.0,53.798,2,105,100.9,244.4,242.074,181.246,178.5,0.301,217.9,141.0,139.0,178.5,181.246,1.336,0.706,0.957,0,209.464,3.1737,1.6113,0.0,204.6,,,66.0,
256,2,falling,32688.0,53.965,2,106,106.0,141.0,232.962,187.435,5.3,0.381,218.0,116.0,251.0,5.3,187.435,1.243,0.767,0.955,0,208.962,3.1661,1.6074,5.6728,308.0,103.526,310242.34,66.0,4700.64
268,3,falling,32682.5,54.689,2,110,107.0,156.7,236.513,183.551,4.8,0.389,218.0,118.0,267.0,4.8,183.551,1.289,0.744,0.96,0,208.356,3.1569,1.6027,9.6771,292.3,15.732,47144.58,66.0,714.31
270,4,falling,34035.0,52.475,2,104,105.3,119.5,229.151,191.293,4.8,0.431,218.0,114.0,229.0,4.8,191.293,1.198,0.825,0.97,0,209.368,3.1722,1.6105,10.3445,329.5,37.239,111596.06,66.0,1690.85
278,1,spreading,,,,,,449,,,,,,,,,,,0.0,,93,,,0.7154,13.014,0,,,66.0,
279,2,spreading,,,,,,449,,,,,,,,,,,0.0,,137,,,1.0538,13.3477,0,,,66.0,
280,3,spreading,,,,,,449,,,,,,,,,,,0.0,,153,,,1.1769,13.6814,0,,,66.0,
281,4,spreading,,,,,,449,,,,,,,,,,,0.0,,196,,,1.5077,14.0151,0,,,66.0,
282,5,spreading,,,,,,449,,,,,,,,,,,0.0,,229,,,1.7615,14.3488,0,,,66.0,
283,6,spreading,,,,,,449,,,,,,,,,,,0.0,,251,,,1.9308,14.6825,0,,,66.0,
284,7,spreading,,,,,,449,,,,,,,,,,,0.0,,261,,,2.0077,15.0162,0,,,66.0,
285,8,spreading,,,,,,449,,,,,,,,,,,0.0,,270,,,2.0769,15.3499,0,,,66.0,
286,9,spreading,,,,,,449,,,,,,,,,,,0.0,,268,,,2.0615,15.6836,0,,,66.0,
287,10,spreading,,,,,,449,,,,,,,,,,,0.0,,258,,,1.9846,16.0173,0,,,66.0,
288,11,spreading,,,,,,449,,,,,,,,,,,0.0,,252,,,1.9385,16.351,0,,,66.0,
289,12,spreading,,,,,,449,,,,,,,,,,,0.0,,239,,,1.8385,16.6846,0,,,66.0,
290,13,spreading,,,,,,449,,,,,,,,,,,0.0,,225,,,1.7308,17.0183,0,,,66.0,
291,14,spreading,,,,,,449,,,,,,,,,,,0.0,,213,,,1.6385,17.352,0,,,66.0,
292,15,spreading,,,,,,449,,,,,,,,,,,0.0,,205,,,1.5769,17.6857,0,,,66.0,
293,16,spreading,,,,,,449,,,,,,,,,,,0.0,,191,,,1.4692,18.0194,0,,,66.0,
294,17,spreading,,,,,,449,,,,,,,,,,,0.0,,179,,,1.3769,18.3531,0,,,66.0,
295,18,spreading,,,,,,449,,,,,,,,,,,0.0,,172,,,1.3231,18.6868,0,,,66.0,
296,19,spreading,,,,,,449,,,,,,,,,,,0.0,,161,,,1.2385,19.0205,0,,,66.0,
297,20,spreading,,,,,,449,,,,,,,,,,,0.0,,153,,,1.1769,19.3542,0,,,66.0,
298,21,spreading,,,,,,449,,,,,,,,,,,0.0,,146,,,1.1231,19.6879,0,,,66.0,
299,22,spreading,,,,,,449,,,,,,,,,,,0.0,,141,,,1.0846,20.0216,0,,,66.0,
300,23,spreading,,,,,,449,,,,,,,,,,,0.0,,137,,,1.0538,20.3553,0,,,66.0,
301,24,spreading,,,,,,449,,,,,,,,,,,0.0,,133,,,1.0231,20.689,0,,,66.0,
302,25,spreading,,,,,,449,,,,,,,,,,,0.0,,128,,,0.9846,21.0227,0,,,66.0,
303,26,spreading,,,,,,449,,,,,,,,,,,0.0,,124,,,0.9538,21.3564,0,,,66.0,
304,27,spreading,,,,,,449,,,,,,,,,,,0.0,,117,,,0.9,21.69,0,,,66.0,
305,28,spreading,,,,,,449,,,,,,,,,,,0.0,,118,,,0.9077,22.0237,0,,,66.0,
306,29,spreading,,,,,,449,,,,,,,,,,,0.0,,118,,,0.9077,22.3574,0,,,66.0,
307,30,spreading,,,,,,449,,,,,,,,,,,0.0,,117,,,0.9,22.6911,0,,,66.0,
308,31,spreading,,,,,,449,,,,,,,,,,,0.0,,120,,,0.9231,23.0248,0,,,66.0,
309,32,spreading,,,,,,449,,,,,,,,,,,0.0,,119,,,0.9154,23.3585,0,,,66.0,
310,33,spreading,,,,,,449,,,,,,,,,,,0.0,,116,,,0.8923,23.6922,0,,,66.0,
311,34,spreading,,,,,,449,,,,,,,,,,,0.0,,115,,,0.8846,24.0259,0,,,66.0,
312,35,spreading,,,,,,449,,,,,,,,,,,0.0,,111,,,0.8538,24.3596,0,,,66.0,
313,36,spreading,,,,,,449,,,,,,,,,,,0.0,,109,,,0.8385,24.6933,0,,,66.0,
314,37,spreading,,,,,,449,,,,,,,,,,,0.0,,110,,,0.8462,25.027,0,,,66.0,
315,38,spreading,,,,,,449,,,,,,,,,,,0.0,,110,,,0.8462,25.3607,0,,,66.0,
316,39,spreading,,,,,,449,,,,,,,,,,,0.0,,112,,,0.8615,25.6944,0,,,66.0,
317,40,spreading,,,,,,449,,,,,,,,,,,0.0,,115,,,0.8846,26.0281,0,,,66.0,
318,41,spreading,,,,,,449,,,,,,,,,,,0.0,,116,,,0.8923,26.3617,0,,,66.0,
319,42,spreading,,,,,,449,,,,,,,,,,,0.0,,118,,,0.9077,26.6954,0,,,66.0,
320,43,spreading,,,,,,449,,,,,,,,,,,0.0,,123,,,0.9462,27.0291,0,,,66.0,
321,44,spreading,,,,,,449,,,,,,,,,,,0.0,,127,,,0.9769,27.3628,0,,,66.0,
322,45,spreading,,,,,,449,,,,,,,,,,,0.0,,127,,,0.9769,27.6965,0,,,66.0,
323,46,spreading,,,,,,449,,,,,,,,,,,0.0,,132,,,1.0154,28.0302,0,,,66.0,
324,47,spreading,,,,,,449,,,,,,,,,,,0.0,,136,,,1.0462,28.3639,0,,,66.0,
325,48,spreading,,,,,,449,,,,,,,,,,,0.0,,138,,,1.0615,28.6976,0,,,66.0,
326,49,spreading,,,,,,449,,,,,,,,,,,0.0,,143,,,1.1,29.0313,0,,,66.0,
327,50,spreading,,,,,,449,,,,,,,,,,,0.0,,146,,,1.1231,29.365,0,,,66.0,
328,51,spreading,,,,,,449,,,,,,,,,,,0.0,,149,,,1.1462,29.6987,0,,,66.0,
329,52,spreading,,,,,,449,,,,,,,,,,,0.0,,151,,,1.1615,30.0324,0,,,66.0,
330,53,spreading,,,,,,449,,,,,,,,,,,0.0,,152,,,1.1692,30.3661,0,,,66.0,
331,54,spreading,,,,,,449,,,,,,,,,,,0.0,,155,,,1.1923,30.6998,0,,,66.0,
332,55,spreading,,,,,,449,,,,,,,,,,,0.0,,159,,,1.2231,31.0334,0,,,66.0,
333,56,spreading,,,,,,449,,,,,,,,,,,0.0,,161,,,1.2385,31.3671,0,,,66.0,
334,57,spreading,,,,,,449,,,,,,,,,,,0.0,,163,,,1.2538,31.7008,0,,,66.0,
335,58,spreading,,,,,,449,,,,,,,,,,,0.0,,165,,,1.2692,32.0345,0,,,66.0,
336,59,spreading,,,,,,449,,,,,,,,,,,0.0,,165,,,1.2692,32.3682,0,,,66.0,
337,60,spreading,,,,,,449,,,,,,,,,,,0.0,,166,,,1.2769,32.7019,0,,,66.0,
338,61,spreading,,,,,,449,,,,,,,,,,,0.0,,166,,,1.2769,33.0356,0,,,66.0,
339,62,spreading,,,,,,449,,,,,,,,,,,0.0,,165,,,1.2692,33.3693,0,,,66.0,
340,1,rebounding,4291.5,40.48,3,95,46.0,20.1,82.982,82.745,74.6,0.816,84.0,88.0,20.0,74.6,82.745,1.003,0.794,0.988,0,82.863,1.2555,0.6374,0.3337,428.9,,,66.0,
