frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
52,falling,115.9,125.2,105.9,,hough,1.0,3.2077,1.7643,,0.0,,66.0,True
53,falling,121.8,252.0,104.4,,hough,1.0,3.1638,1.7401,5763.65,0.3337,126.937,66.0,False
54,falling,116.6,115.0,105.2,,hough,1.0,3.1885,1.7537,6225.04,0.6674,137.099,66.0,False
55,falling,113.3,258.3,105.5,,hough,1.0,3.1959,1.7578,6508.34,1.0011,143.338,66.0,False
56,falling,384.0,334.0,60.0,,template,0.4308,1.8182,1.0,12762.84,1.3348,281.085,66.0,False
57,falling,382.0,333.0,60.0,,template,0.4436,1.8182,1.0,101.53,1.6685,2.236,66.0,False
58,falling,125.4,134.0,104.0,,hough,1.0,3.1519,1.7336,14744.19,2.0022,324.722,66.0,False
59,falling,384.0,337.0,60.0,,template,0.4367,1.8182,1.0,14927.52,2.3359,328.76,66.0,False
60,falling,137.7,118.3,100.7,,hough,1.0,3.0517,1.6784,14955.83,2.6695,329.383,66.0,False
61,falling,384.0,336.0,60.0,,template,0.4408,1.8182,1.0,14925.72,3.0032,328.72,66.0,False
62,falling,131.3,138.3,102.3,,hough,1.0,3.1002,1.7051,14568.22,3.3369,320.847,66.0,False
63,falling,109.2,226.3,106.3,,hough,1.0,3.2221,1.7722,4119.77,3.6706,90.733,66.0,False
64,falling,29.4,191.1,102.4,,hough,1.0,3.104,1.7072,3960.21,4.0043,87.219,66.0,False
65,falling,111.1,210.0,106.4,,hough,1.0,3.2257,1.7742,3807.6,4.338,83.858,66.0,False
66,falling,382.0,330.0,60.0,,template,0.4414,1.8182,1.0,13453.14,4.6717,296.288,66.0,False
67,falling,115.4,190.1,104.9,,hough,1.0,3.1779,1.7478,13670.58,5.0054,301.077,66.0,False
68,falling,384.0,336.0,60.0,,template,0.4278,1.8182,1.0,13879.01,5.3391,305.668,66.0,False
69,falling,133.5,118.7,101.2,,hough,1.0,3.0656,1.6861,15057.23,5.6728,331.617,66.0,False
70,falling,382.0,334.0,60.0,,template,0.4182,1.8182,1.0,14929.13,6.0065,328.795,66.0,False
71,falling,385.0,333.0,60.0,,template,0.4106,1.8182,1.0,143.58,6.3402,3.162,66.0,False
72,falling,116.0,181.8,104.8,,hough,1.0,3.1768,1.7472,14011.31,6.6739,308.581,66.0,False
73,falling,109.8,129.4,106.6,,hough,1.0,3.2294,1.7762,2395.85,7.0076,52.766,66.0,False
74,falling,384.0,334.0,60.0,,template,0.4256,1.8182,1.0,15534.19,7.3412,342.121,66.0,False
75,falling,384.0,333.0,60.0,,template,0.4232,1.8182,1.0,45.41,7.6749,1.0,66.0,False
76,falling,384.0,333.0,60.0,,template,0.4355,1.8182,1.0,0.0,8.0086,0.0,66.0,False
77,falling,108.2,259.9,106.7,,hough,1.0,3.2319,1.7776,12955.25,8.3423,285.323,66.0,False
78,falling,125.8,163.1,103.8,,hough,1.0,3.1446,1.7295,4467.32,8.676,98.387,66.0,False
79,falling,107.1,248.0,107.1,,hough,1.0,3.2458,1.7852,3947.33,9.0097,86.935,66.0,False
80,falling,384.0,334.0,60.0,,template,0.4283,1.8182,1.0,13165.23,9.3434,289.948,66.0,False
81,falling,568.0,125.0,60.0,,template,0.581,1.8182,1.0,12643.39,9.6771,278.455,66.0,False
82,falling,567.0,137.0,60.0,,template,0.7347,1.8182,1.0,546.76,10.0108,12.042,66.0,False
83,falling,567.0,161.0,60.0,,template,0.7469,1.8182,1.0,1089.73,10.3445,24.0,66.0,False
84,falling,108.5,163.8,106.9,,hough,1.0,3.2383,1.7811,20818.83,10.6782,458.509,66.0,False
85,falling,117.2,179.4,105.5,,hough,1.0,3.1964,1.758,811.03,11.0119,17.862,66.0,False
86,falling,113.6,179.9,105.5,,hough,1.0,3.1984,1.7591,165.03,11.3456,3.635,66.0,False
87,falling,115.4,115.9,106.4,,hough,1.0,3.2256,1.7741,2907.1,11.6793,64.025,66.0,False
88,falling,109.5,157.9,106.4,,hough,1.0,3.2232,1.7727,1925.76,12.0129,42.412,66.0,False
89,falling,565.0,307.0,60.0,,template,0.7729,1.8182,1.0,21762.06,12.3466,479.282,66.0,False
90,falling,565.0,334.0,60.0,,template,0.7914,1.8182,1.0,1225.95,12.6803,27.0,66.0,False
91,falling,564.0,357.0,60.0,,template,0.7863,1.8182,1.0,1045.31,13.014,23.022,66.0,False
92,spreading,,,,90,contact_width,1.0,,0.75,,13.3477,,66.0,True
93,spreading,,,,111,contact_width,1.0,,0.925,,13.6814,,66.0,False
94,spreading,,,,133,contact_width,1.0,,1.1083,,14.0151,,66.0,False
95,spreading,,,,181,contact_width,1.0,,1.5083,,14.3488,,66.0,False
96,spreading,,,,210,contact_width,1.0,,1.75,,14.6825,,66.0,False
97,spreading,,,,225,contact_width,1.0,,1.875,,15.0162,,66.0,False
98,spreading,,,,231,contact_width,1.0,,1.925,,15.3499,,66.0,False
99,spreading,,,,232,contact_width,1.0,,1.9333,,15.6836,,66.0,False
100,spreading,,,,225,contact_width,1.0,,1.875,,16.0173,,66.0,False
101,spreading,,,,214,contact_width,1.0,,1.7833,,16.351,,66.0,False
102,spreading,,,,198,contact_width,1.0,,1.65,,16.6846,,66.0,False
103,spreading,,,,178,contact_width,1.0,,1.4833,,17.0183,,66.0,False
104,spreading,,,,155,contact_width,1.0,,1.2917,,17.352,,66.0,False
105,spreading,,,,146,contact_width,1.0,,1.2167,,17.6857,,66.0,False
106,spreading,,,,141,contact_width,1.0,,1.175,,18.0194,,66.0,False
107,spreading,,,,135,contact_width,1.0,,1.125,,18.3531,,66.0,False
108,spreading,,,,131,contact_width,1.0,,1.0917,,18.6868,,66.0,False
109,spreading,,,,125,contact_width,1.0,,1.0417,,19.0205,,66.0,False
110,spreading,,,,121,contact_width,1.0,,1.0083,,19.3542,,66.0,False
111,spreading,,,,114,contact_width,1.0,,0.95,,19.6879,,66.0,False
112,spreading,,,,107,contact_width,1.0,,0.8917,,20.0216,,66.0,False
113,spreading,,,,101,contact_width,1.0,,0.8417,,20.3553,,66.0,False
114,rebounding,377.0,335.0,60.0,,template,0.4907,1.8182,1.0,,20.689,,66.0,True
115,rebounding,92.0,12.6,70.0,,hough,1.0,2.1212,1.1667,19538.47,21.0227,430.31,66.0,False
116,rebounding,92.0,12.6,70.0,,last_known,0.3,2.1212,1.1667,0.0,21.3564,0.0,66.0,False
117,rebounding,377.0,328.0,60.0,,template,0.4722,1.8182,1.0,19301.48,21.69,425.091,66.0,False
118,rebounding,373.0,338.0,60.0,,template,0.479,1.8182,1.0,489.03,22.0237,10.77,66.0,False
119,rebounding,375.0,330.0,60.0,,template,0.4803,1.8182,1.0,374.42,22.3574,8.246,66.0,False
120,rebounding,375.0,327.0,60.0,,template,0.4781,1.8182,1.0,136.22,22.6911,3.0,66.0,False
121,rebounding,544.0,369.0,60.0,,template,0.5201,1.8182,1.0,7906.96,23.0248,174.141,66.0,False
122,rebounding,544.0,369.0,60.0,,template,0.6082,1.8182,1.0,0.0,23.3585,0.0,66.0,False
123,rebounding,543.0,367.0,60.0,,template,0.6613,1.8182,1.0,101.53,23.6922,2.236,66.0,False
124,rebounding,542.0,366.0,60.0,,template,0.6725,1.8182,1.0,64.21,24.0259,1.414,66.0,False
125,rebounding,541.0,365.0,60.0,,template,0.6705,1.8182,1.0,64.21,24.3596,1.414,66.0,False
126,rebounding,540.0,364.0,60.0,,template,0.665,1.8182,1.0,64.21,24.6933,1.414,66.0,False
127,rebounding,540.0,364.0,60.0,,template,0.6614,1.8182,1.0,0.0,25.027,0.0,66.0,False
128,rebounding,539.0,365.0,60.0,,template,0.6544,1.8182,1.0,64.21,25.3607,1.414,66.0,False
129,rebounding,540.0,364.0,60.0,,template,0.6738,1.8182,1.0,64.21,25.6944,1.414,66.0,False
130,rebounding,539.0,364.0,60.0,,template,0.7066,1.8182,1.0,45.41,26.0281,1.0,66.0,False
131,rebounding,539.0,363.0,60.0,,template,0.7302,1.8182,1.0,45.41,26.3617,1.0,66.0,False
