frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
238,falling,110.3,194.4,102.6,,hough,1.0,3.1103,1.7107,,0.0,,66.0,True,,,,
239,falling,382.0,335.0,60.0,,template,0.405,1.8182,1.0,13890.63,0.3337,305.924,66.0,False,,,,
240,falling,110.4,340.7,103.8,,hough,1.0,3.1459,1.7303,12334.86,0.6674,271.66,66.0,False,,,,
241,falling,386.0,330.0,60.0,,template,0.3864,1.8182,1.0,12523.2,1.0011,275.808,66.0,False,,,,
242,falling,102.7,303.3,104.4,,hough,1.0,3.1636,1.74,12920.4,1.3348,284.555,66.0,False,,,,
243,falling,110.1,346.0,104.3,,hough,1.0,3.1617,1.7389,1967.72,1.6685,43.336,66.0,False,,,,
244,falling,386.0,333.0,60.0,,template,0.405,1.8182,1.0,12541.29,2.0022,276.206,66.0,False,,,,
245,falling,386.0,333.0,60.0,,template,0.3986,1.8182,1.0,0.0,2.3359,0.0,66.0,False,,,,
246,falling,386.0,333.0,60.0,,template,0.3952,1.8182,1.0,0.0,2.6695,0.0,66.0,False,,,,
247,falling,108.8,130.1,104.4,,hough,1.0,3.1642,1.7403,15597.86,3.0032,343.523,66.0,False,,,,
248,falling,386.0,333.0,60.0,,template,0.4055,1.8182,1.0,15597.86,3.3369,343.523,66.0,False,,,,
249,falling,385.0,329.0,60.0,,template,0.3913,1.8182,1.0,187.21,3.6706,4.123,66.0,False,,,,
250,falling,386.0,327.0,60.0,,template,0.3887,1.8182,1.0,101.53,4.0043,2.236,66.0,False,,,,
251,falling,385.0,332.0,60.0,,template,0.4093,1.8182,1.0,231.52,4.338,5.099,66.0,False,,,,
252,falling,386.0,332.0,60.0,,template,0.4046,1.8182,1.0,45.41,4.6717,1.0,66.0,False,,,,
253,falling,104.3,290.4,103.8,,hough,1.0,3.1449,1.7297,12929.46,5.0054,284.755,66.0,False,,,,
254,falling,386.0,332.0,60.0,,template,0.4014,1.8182,1.0,12929.46,5.3391,284.755,66.0,False,,,,
255,falling,380.0,125.0,60.0,,template,0.4265,1.8182,1.0,9402.9,5.6728,207.087,66.0,False,,,,
256,falling,386.0,330.0,60.0,,template,0.3861,1.8182,1.0,9312.12,6.0065,205.088,66.0,False,,,,
257,falling,105.2,208.6,102.7,,hough,1.0,3.1123,1.7118,13890.43,6.3402,305.919,66.0,False,,,,
258,falling,382.0,331.0,60.0,,template,0.3908,1.8182,1.0,13742.21,6.6739,302.655,66.0,False,,,,
259,falling,500.0,125.0,60.0,,template,0.4516,1.8182,1.0,10779.4,7.0076,237.403,66.0,False,,,,
260,falling,499.0,125.0,60.0,,template,0.761,1.8182,1.0,45.41,7.3412,1.0,66.0,False,,,,
261,falling,499.0,149.0,60.0,,template,0.7563,1.8182,1.0,1089.73,7.6749,24.0,66.0,False,,,,
262,falling,498.0,173.0,60.0,,template,0.7456,1.8182,1.0,1090.68,8.0086,24.021,66.0,False,,,,
263,falling,498.0,197.0,60.0,,template,0.773,1.8182,1.0,1089.73,8.3423,24.0,66.0,False,,,,
264,falling,498.0,222.0,60.0,,template,0.7523,1.8182,1.0,1135.14,8.676,25.0,66.0,False,,,,
265,falling,498.0,246.0,60.0,,template,0.766,1.8182,1.0,1089.73,9.0097,24.0,66.0,False,,,,
266,falling,498.0,271.0,60.0,,template,0.7726,1.8182,1.0,1135.14,9.3434,25.0,66.0,False,,,,
267,falling,498.0,295.0,60.0,,template,0.7619,1.8182,1.0,1089.73,9.6771,24.0,66.0,False,,,,
268,spreading,,,,1278,contact_width,1.0,,10.65,,10.0108,,66.0,True,1137.0,,,
269,spreading,,,,1279,contact_width,1.0,,10.6583,,10.3445,,66.0,False,1137.5,,,
270,spreading,,,,1278,contact_width,1.0,,10.65,,10.6782,,66.0,False,1137.0,,,
271,spreading,,,,91,contact_width,1.0,,0.7583,,11.0119,,66.0,False,543.5,,,
272,spreading,,,,110,contact_width,1.0,,0.9167,,11.3456,,66.0,False,553.0,,,
273,spreading,,,,155,contact_width,1.0,,1.2917,,11.6793,,66.0,False,575.5,,,
274,spreading,,,,187,contact_width,1.0,,1.5583,,12.0129,,66.0,False,591.5,,,
275,spreading,,,,211,contact_width,1.0,,1.7583,,12.3466,,66.0,False,603.5,,,
276,spreading,,,,226,contact_width,1.0,,1.8833,,12.6803,,66.0,False,611.0,,,
277,spreading,,,,227,contact_width,1.0,,1.8917,,13.014,,66.0,False,611.5,,320.1091,
278,spreading,,,,225,contact_width,1.0,,1.875,,13.3477,,66.0,False,610.5,,,
279,spreading,,,,216,contact_width,1.0,,1.8,,13.6814,,66.0,False,606.0,,,
280,spreading,,,,201,contact_width,1.0,,1.675,,14.0151,,66.0,False,598.5,,,
281,spreading,,,,183,contact_width,1.0,,1.525,,14.3488,,66.0,False,589.5,,,
282,rebounding,386.0,318.0,60.0,,template,0.411,1.8182,1.0,,14.6825,,66.0,True,,258.0,,
283,rebounding,82.0,16.2,40.0,,hough,1.0,1.2121,0.6667,19450.29,15.0162,428.368,66.0,False,,-23.8,,
284,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,15.3499,0.0,66.0,False,,-23.8,,
285,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,15.6836,0.0,66.0,False,,-23.8,,
286,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,16.0173,0.0,66.0,False,,-23.8,,
287,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,16.351,0.0,66.0,False,,-23.8,,
288,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,16.6846,0.0,66.0,False,,-23.8,,
289,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,17.0183,0.0,66.0,False,,-23.8,,
290,rebounding,82.0,16.2,40.0,,last_known,0.3,1.2121,0.6667,0.0,17.352,0.0,66.0,False,,-23.8,,
291,rebounding,496.0,374.0,60.0,,template,0.4972,1.8182,1.0,24845.46,17.6857,547.19,66.0,False,,314.0,,
292,rebounding,497.0,370.0,60.0,,template,0.4723,1.8182,1.0,187.21,18.0194,4.123,66.0,False,,310.0,,
293,rebounding,496.0,367.0,60.0,,template,0.429,1.8182,1.0,143.58,18.3531,3.162,66.0,False,,307.0,,
294,rebounding,494.0,336.0,60.0,,template,0.4354,1.8182,1.0,1410.5,18.6868,31.064,66.0,False,,276.0,,
295,rebounding,494.0,339.0,60.0,,template,0.4594,1.8182,1.0,136.22,19.0205,3.0,66.0,False,,279.0,,
296,rebounding,495.0,326.0,60.0,,template,0.4783,1.8182,1.0,592.02,19.3542,13.038,66.0,False,,266.0,,
