frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
788,falling,133.7,210.0,108.3,,hough,1.0,3.2827,1.8055,,0.0,,66.0,True,,,,
789,falling,192.5,131.0,101.6,,hough,1.0,3.0777,1.6927,4471.57,0.3337,98.481,66.0,False,,,,
790,falling,51.1,170.5,97.0,,hough,1.0,2.9392,1.6166,6666.15,0.6674,146.814,66.0,False,,,,
791,falling,114.0,118.0,108.5,,hough,1.0,3.2865,1.8076,3720.11,1.0011,81.931,66.0,False,,,,
792,falling,1027.0,125.0,60.0,,template,0.3364,1.8182,1.0,41456.49,1.3348,913.027,66.0,False,,,,
793,falling,1027.0,125.0,60.0,,template,0.339,1.8182,1.0,0.0,1.6685,0.0,66.0,False,,,,
794,falling,116.0,294.0,108.5,,hough,1.0,3.2872,1.8079,42070.2,2.0022,926.543,66.0,False,,,,
795,falling,114.0,242.0,108.5,,hough,1.0,3.2866,1.8076,2362.83,2.3359,52.038,66.0,False,,,,
796,falling,187.2,185.2,99.0,,hough,1.0,2.999,1.6495,4206.94,2.6695,92.652,66.0,False,,,,
797,falling,209.9,160.6,86.2,,hough,1.0,2.6134,1.4374,1519.87,3.0032,33.473,66.0,False,,,,
798,falling,51.3,139.4,95.7,,hough,1.0,2.9001,1.5951,7265.37,3.3369,160.011,66.0,False,,,,
799,falling,46.9,130.7,83.1,,hough,1.0,2.5171,1.3844,442.68,3.6706,9.749,66.0,False,,,,
800,falling,51.4,145.9,95.5,,hough,1.0,2.8929,1.5911,719.77,4.0043,15.852,66.0,False,,,,
801,falling,118.0,200.0,108.4,,hough,1.0,3.2857,1.8072,3895.99,4.338,85.804,66.0,False,,,,
802,falling,50.9,241.3,82.0,,hough,1.0,2.4835,1.3659,3577.57,4.6717,78.791,66.0,False,,,,
803,falling,1027.0,125.0,60.0,,template,0.3587,1.8182,1.0,44633.84,5.0054,983.004,66.0,False,,,,
804,falling,1027.0,125.0,60.0,,template,0.3394,1.8182,1.0,0.0,5.3391,0.0,66.0,False,,,,
805,falling,114.0,210.0,108.5,,hough,1.0,3.2875,1.8081,41634.54,5.6728,916.948,66.0,False,,,,
806,falling,187.9,244.1,99.1,,hough,1.0,3.0025,1.6514,3695.47,6.0065,81.388,66.0,False,,,,
807,falling,112.0,166.0,108.5,,hough,1.0,3.2872,1.8079,4944.92,6.3402,108.906,66.0,False,,,,
808,falling,1027.0,125.0,60.0,,template,0.3319,1.8182,1.0,41587.77,6.6739,915.918,66.0,False,,,,
809,falling,1031.0,127.0,60.0,,template,0.3406,1.8182,1.0,203.06,7.0076,4.472,66.0,False,,,,
810,falling,184.6,247.4,99.6,,hough,1.0,3.019,1.6605,38818.14,7.3412,854.921,66.0,False,,,,
811,falling,40.9,278.8,83.0,,hough,1.0,2.5165,1.3841,6678.73,7.6749,147.091,66.0,False,,,,
812,falling,192.1,122.8,99.6,,hough,1.0,3.0169,1.6593,9864.34,8.0086,217.25,66.0,False,,,,
813,falling,28.6,320.5,92.2,,hough,1.0,2.793,1.5362,11648.76,8.3423,256.549,66.0,False,,,,
814,falling,1041.0,179.0,60.0,,template,0.396,1.8182,1.0,46415.4,8.676,1022.241,66.0,False,,,,
815,falling,195.7,119.7,101.7,,hough,1.0,3.0823,1.6953,38475.64,9.0097,847.377,66.0,False,,,,
816,falling,190.6,296.7,100.2,,hough,1.0,3.0356,1.6696,8040.12,9.3434,177.073,66.0,False,,,,
817,falling,835.0,132.0,60.0,,template,0.7782,1.8182,1.0,30199.9,9.6771,665.115,66.0,False,,,,
818,falling,183.3,132.7,104.5,,hough,1.0,3.1669,1.7418,29590.82,10.0108,651.7,66.0,False,,,,
819,falling,127.9,134.0,108.4,,hough,1.0,3.2858,1.8072,2516.16,10.3445,55.415,66.0,False,,,,
820,falling,118.0,198.0,108.5,,hough,1.0,3.2873,1.808,2940.52,10.6782,64.761,66.0,False,,,,
821,falling,16.4,336.1,108.2,,hough,1.0,3.2791,1.8035,7784.66,11.0119,171.447,66.0,False,,,,
822,falling,40.9,330.1,88.2,,hough,1.0,2.6731,1.4702,1145.31,11.3456,25.224,66.0,False,,,,
823,falling,190.6,316.1,101.5,,hough,1.0,3.0745,1.691,6826.87,11.6793,150.353,66.0,False,,,,
824,spreading,,,,1277,contact_width,1.0,,10.6417,,12.0129,,66.0,True,829.1,,,
825,spreading,,,,1276,contact_width,1.0,,10.6333,,12.3466,,66.0,False,828.6,,,
826,spreading,,,,66,contact_width,1.0,,0.55,,12.6803,,66.0,False,223.6,,,
827,spreading,,,,102,contact_width,1.0,,0.85,,13.014,,66.0,False,241.6,,,
828,spreading,,,,133,contact_width,1.0,,1.1083,,13.3477,,66.0,False,257.1,,,
829,spreading,,,,185,contact_width,1.0,,1.5417,,13.6814,,66.0,False,283.1,,,
830,spreading,,,,221,contact_width,1.0,,1.8417,,14.0151,,66.0,False,301.1,,,
831,spreading,,,,241,contact_width,1.0,,2.0083,,14.3488,,66.0,False,311.1,,,
832,spreading,,,,250,contact_width,1.0,,2.0833,,14.6825,,66.0,False,315.6,,,
833,spreading,,,,251,contact_width,1.0,,2.0917,,15.0162,,66.0,False,316.1,,289.9076,
834,spreading,,,,243,contact_width,1.0,,2.025,,15.3499,,66.0,False,312.1,,,
835,spreading,,,,232,contact_width,1.0,,1.9333,,15.6836,,66.0,False,306.6,,,
836,spreading,,,,219,contact_width,1.0,,1.825,,16.0173,,66.0,False,300.1,,,
837,spreading,,,,203,contact_width,1.0,,1.6917,,16.351,,66.0,False,292.1,,,
838,spreading,,,,185,contact_width,1.0,,1.5417,,16.6846,,66.0,False,283.1,,,
839,spreading,,,,171,contact_width,1.0,,1.425,,17.0183,,66.0,False,276.1,,,
840,spreading,,,,158,contact_width,1.0,,1.3167,,17.352,,66.0,False,269.6,,,
841,spreading,,,,150,contact_width,1.0,,1.25,,17.6857,,66.0,False,265.6,,,
842,spreading,,,,143,contact_width,1.0,,1.1917,,18.0194,,66.0,False,262.1,,,
843,spreading,,,,133,contact_width,1.0,,1.1083,,18.3531,,66.0,False,257.1,,,
844,spreading,,,,122,contact_width,1.0,,1.0167,,18.6868,,66.0,False,251.6,,,
845,spreading,,,,111,contact_width,1.0,,0.925,,19.0205,,66.0,False,246.1,,,
846,spreading,,,,97,contact_width,1.0,,0.8083,,19.3542,,66.0,False,239.1,,,
847,spreading,,,,85,contact_width,1.0,,0.7083,,19.6879,,66.0,False,233.1,,,
848,spreading,,,,85,contact_width,1.0,,0.7083,,20.0216,,66.0,False,233.1,,,
849,spreading,,,,81,contact_width,1.0,,0.675,,20.3553,,66.0,False,231.1,,,
850,spreading,,,,76,contact_width,1.0,,0.6333,,20.689,,66.0,False,228.6,,,
851,spreading,,,,66,contact_width,1.0,,0.55,,21.0227,,66.0,False,223.6,,,
852,spreading,,,,66,contact_width,1.0,,0.55,,21.3564,,66.0,False,223.6,,,
853,spreading,,,,72,contact_width,1.0,,0.6,,21.69,,66.0,False,226.6,,,
854,spreading,,,,77,contact_width,1.0,,0.6417,,22.0237,,66.0,False,229.1,,,
855,spreading,,,,79,contact_width,1.0,,0.6583,,22.3574,,66.0,False,230.1,,,
856,spreading,,,,73,contact_width,1.0,,0.6083,,22.6911,,66.0,False,227.1,,,
857,spreading,,,,66,contact_width,1.0,,0.55,,23.0248,,66.0,False,223.6,,,
858,spreading,,,,65,contact_width,1.0,,0.5417,,23.3585,,66.0,False,223.1,,,
859,spreading,,,,63,contact_width,1.0,,0.525,,23.6922,,66.0,False,222.1,,,
860,spreading,,,,59,contact_width,1.0,,0.4917,,24.0259,,66.0,False,220.1,,,
861,rebounding,823.0,322.0,60.0,,template,0.6531,1.8182,1.0,,24.3596,,66.0,True,,262.0,,
862,rebounding,98.0,6.7,80.0,,hough,1.0,2.4242,1.3333,35897.36,24.6933,790.594,66.0,False,,-73.3,,
863,rebounding,823.0,328.0,60.0,,template,0.69,1.8182,1.0,36006.88,25.027,793.006,66.0,False,,268.0,,
864,rebounding,822.0,333.0,60.0,,template,0.6831,1.8182,1.0,231.52,25.3607,5.099,66.0,False,,273.0,,
865,rebounding,821.0,336.0,60.0,,template,0.6824,1.8182,1.0,143.58,25.6944,3.162,66.0,False,,276.0,,
866,rebounding,821.0,337.0,60.0,,template,0.6995,1.8182,1.0,45.41,26.0281,1.0,66.0,False,,277.0,,
867,rebounding,821.0,339.0,60.0,,template,0.71,1.8182,1.0,90.81,26.3617,2.0,66.0,False,,279.0,,
868,rebounding,822.0,341.0,60.0,,template,0.7214,1.8182,1.0,101.53,26.6954,2.236,66.0,False,,281.0,,
869,rebounding,822.0,343.0,60.0,,template,0.728,1.8182,1.0,90.81,27.0291,2.0,66.0,False,,283.0,,
870,rebounding,821.0,345.0,60.0,,template,0.7404,1.8182,1.0,101.53,27.3628,2.236,66.0,False,,285.0,,
871,rebounding,821.0,343.0,60.0,,template,0.742,1.8182,1.0,90.81,27.6965,2.0,66.0,False,,283.0,,
872,rebounding,822.0,343.0,60.0,,template,0.7565,1.8182,1.0,45.41,28.0302,1.0,66.0,False,,283.0,,
