frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
558,falling,132.0,122.1,108.4,,hough,1.0,3.2838,1.6671,,0.0,,66.0,True
559,falling,126.0,148.0,108.5,,hough,1.0,3.2867,1.6687,1207.15,0.3337,26.586,66.0,False
560,falling,566.0,314.0,65.0,,template,0.3358,1.9697,1.0,21352.97,0.6674,470.272,66.0,False
561,falling,569.0,316.0,65.0,,template,0.3439,1.9697,1.0,163.71,1.0011,3.606,66.0,False
562,falling,183.6,278.2,98.7,,hough,1.0,2.9904,1.5182,17583.27,1.3348,387.249,66.0,False
563,falling,114.0,122.1,108.4,,hough,1.0,3.2857,1.6681,7760.41,1.6685,170.913,66.0,False
564,falling,61.0,293.3,96.5,,hough,1.0,2.923,1.484,8137.41,2.0022,179.216,66.0,False
565,falling,114.0,144.1,108.4,,hough,1.0,3.2858,1.6682,7189.24,2.3359,158.334,66.0,False
566,falling,569.0,316.0,65.0,,template,0.3501,1.9697,1.0,22084.78,2.6695,486.389,66.0,False
567,falling,47.8,125.1,85.4,,hough,1.0,2.5874,1.3136,25202.83,3.0032,555.061,66.0,False
568,falling,120.0,276.0,108.5,,hough,1.0,3.2873,1.6689,7595.58,3.3369,167.283,66.0,False
569,falling,110.1,214.0,108.4,,hough,1.0,3.286,1.6683,2850.81,3.6706,62.785,66.0,False
570,falling,124.0,178.1,108.4,,hough,1.0,3.2856,1.6681,1747.98,4.0043,38.497,66.0,False
571,falling,112.0,144.0,108.4,,hough,1.0,3.286,1.6683,1641.4,4.338,36.15,66.0,False
572,falling,172.3,247.0,102.2,,hough,1.0,3.0963,1.572,5419.28,4.6717,119.353,66.0,False
573,falling,59.5,139.2,92.5,,hough,1.0,2.8018,1.4224,7084.53,5.0054,156.028,66.0,False
574,falling,569.0,319.0,65.0,,template,0.3329,1.9697,1.0,24532.38,5.3391,540.295,66.0,False
