frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
90,falling,105.1,309.3,104.4,,hough,1.0,3.1629,1.6058,,0.0,,66.0,True
91,falling,384.0,334.0,65.0,,template,0.4145,1.9697,1.0,12713.17,0.3337,279.992,66.0,False
92,falling,385.0,330.0,65.0,,template,0.3882,1.9697,1.0,187.21,0.6674,4.123,66.0,False
93,falling,387.0,334.0,65.0,,template,0.4084,1.9697,1.0,203.06,1.0011,4.472,66.0,False
94,falling,387.0,334.0,65.0,,template,0.4073,1.9697,1.0,0.0,1.3348,0.0,66.0,False
95,falling,99.7,289.9,103.1,,hough,1.0,3.124,1.5861,13197.8,1.6685,290.665,66.0,False
96,falling,385.0,326.0,65.0,,template,0.4088,1.9697,1.0,13057.5,2.0022,287.575,66.0,False
97,falling,103.1,316.8,104.7,,hough,1.0,3.1723,1.6106,12806.64,2.3359,282.05,66.0,False
98,falling,389.0,324.0,65.0,,template,0.4194,1.9697,1.0,12985.56,2.6695,285.991,66.0,False
99,falling,383.0,329.0,65.0,,template,0.3963,1.9697,1.0,354.63,3.0032,7.81,66.0,False
100,falling,387.0,332.0,65.0,,template,0.3994,1.9697,1.0,227.03,3.3369,5.0,66.0,False
101,falling,383.0,328.0,65.0,,template,0.3765,1.9697,1.0,256.85,3.6706,5.657,66.0,False
102,falling,387.0,333.0,65.0,,template,0.4001,1.9697,1.0,290.74,4.0043,6.403,66.0,False
103,falling,387.0,327.0,65.0,,template,0.4011,1.9697,1.0,272.43,4.338,6.0,66.0,False
104,falling,383.0,327.0,65.0,,template,0.3925,1.9697,1.0,181.62,4.6717,4.0,66.0,False
105,falling,103.4,157.1,104.0,,hough,1.0,3.152,1.6002,14855.47,5.0054,327.173,66.0,False
106,falling,383.0,135.0,65.0,,template,0.3934,1.9697,1.0,12734.99,5.3391,280.472,66.0,False
107,falling,387.0,326.0,65.0,,template,0.3942,1.9697,1.0,8674.36,5.6728,191.042,66.0,False
108,falling,387.0,326.0,65.0,,template,0.3868,1.9697,1.0,0.0,6.0065,0.0,66.0,False
109,falling,110.0,139.2,104.6,,hough,1.0,3.1694,1.6091,15170.02,6.3402,334.101,66.0,False
110,falling,387.0,333.0,65.0,,template,0.4074,1.9697,1.0,15349.99,6.6739,338.064,66.0,False
111,falling,493.0,135.0,65.0,,template,0.4912,1.9697,1.0,10197.57,7.0076,224.589,66.0,False
112,falling,492.0,137.0,65.0,,template,0.7386,1.9697,1.0,101.53,7.3412,2.236,66.0,False
113,falling,492.0,160.0,65.0,,template,0.7423,1.9697,1.0,1044.33,7.6749,23.0,66.0,False
114,falling,492.0,184.0,65.0,,template,0.7328,1.9697,1.0,1089.73,8.0086,24.0,66.0,False
115,falling,104.4,145.3,105.4,,hough,1.0,3.1945,1.6218,17686.7,8.3423,389.527,66.0,False
116,falling,102.9,116.9,105.5,,hough,1.0,3.1974,1.6233,1291.32,8.676,28.44,66.0,False
117,falling,492.0,258.0,65.0,,template,0.7533,1.9697,1.0,18793.07,9.0097,413.894,66.0,False
118,falling,492.0,283.0,65.0,,template,0.7665,1.9697,1.0,1135.14,9.3434,25.0,66.0,False
119,falling,108.2,122.2,104.3,,hough,1.0,3.16,1.6043,18894.33,9.6771,416.124,66.0,False
120,falling,492.0,333.0,65.0,,template,0.7947,1.9697,1.0,19882.19,10.0108,437.88,66.0,False
121,falling,492.0,356.0,65.0,,template,0.7922,1.9697,1.0,1044.33,10.3445,23.0,66.0,False
122,spreading,,,,93,contact_width,1.0,,0.7154,,10.6782,,66.0,True
123,spreading,,,,113,contact_width,1.0,,0.8692,,11.0119,,66.0,False
124,spreading,,,,143,contact_width,1.0,,1.1,,11.3456,,66.0,False
125,spreading,,,,194,contact_width,1.0,,1.4923,,11.6793,,66.0,False
126,spreading,,,,224,contact_width,1.0,,1.7231,,12.0129,,66.0,False
127,spreading,,,,246,contact_width,1.0,,1.8923,,12.3466,,66.0,False
128,spreading,,,,262,contact_width,1.0,,2.0154,,12.6803,,66.0,False
129,spreading,,,,271,contact_width,1.0,,2.0846,,13.014,,66.0,False
130,spreading,,,,271,contact_width,1.0,,2.0846,,13.3477,,66.0,False
131,spreading,,,,268,contact_width,1.0,,2.0615,,13.6814,,66.0,False
132,spreading,,,,262,contact_width,1.0,,2.0154,,14.0151,,66.0,False
133,spreading,,,,252,contact_width,1.0,,1.9385,,14.3488,,66.0,False
