frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
463,falling,101.6,170.7,103.6,,hough,1.0,3.1385,1.7262,,0.0,,66.0,True,,,,
464,falling,386.0,341.0,60.0,,template,0.4005,1.8182,1.0,15051.48,0.3337,331.49,66.0,False,,,,
465,falling,386.0,333.0,60.0,,template,0.3983,1.8182,1.0,363.24,0.6674,8.0,66.0,False,,,,
466,falling,386.0,334.0,60.0,,template,0.3823,1.8182,1.0,45.41,1.0011,1.0,66.0,False,,,,
467,falling,386.0,333.0,60.0,,template,0.3788,1.8182,1.0,45.41,1.3348,1.0,66.0,False,,,,
468,falling,386.0,333.0,60.0,,template,0.3918,1.8182,1.0,0.0,1.6685,0.0,66.0,False,,,,
469,falling,382.0,337.0,60.0,,template,0.3843,1.8182,1.0,256.85,2.0022,5.657,66.0,False,,,,
470,falling,382.0,341.0,60.0,,template,0.3738,1.8182,1.0,181.62,2.3359,4.0,66.0,False,,,,
471,falling,382.0,338.0,60.0,,template,0.3886,1.8182,1.0,136.22,2.6695,3.0,66.0,False,,,,
472,falling,114.9,348.8,100.0,,hough,1.0,3.03,1.6665,12137.73,3.0032,267.318,66.0,False,,,,
473,falling,386.0,335.0,60.0,,template,0.3913,1.8182,1.0,12325.38,3.3369,271.451,66.0,False,,,,
474,falling,105.9,356.1,103.9,,hough,1.0,3.1478,1.7313,12754.13,3.6706,280.894,66.0,False,,,,
475,falling,385.0,332.0,60.0,,template,0.3764,1.8182,1.0,12719.85,4.0043,280.139,66.0,False,,,,
476,falling,386.0,340.0,60.0,,template,0.3545,1.8182,1.0,366.07,4.338,8.062,66.0,False,,,,
477,falling,386.0,333.0,60.0,,template,0.3681,1.8182,1.0,317.84,4.6717,7.0,66.0,False,,,,
478,falling,386.0,333.0,60.0,,template,0.3875,1.8182,1.0,0.0,5.0054,0.0,66.0,False,,,,
479,falling,380.0,339.0,60.0,,template,0.3759,1.8182,1.0,385.28,5.3391,8.485,66.0,False,,,,
480,falling,385.0,342.0,60.0,,template,0.3745,1.8182,1.0,264.76,5.6728,5.831,66.0,False,,,,
481,falling,386.0,334.0,60.0,,template,0.3746,1.8182,1.0,366.07,6.0065,8.062,66.0,False,,,,
482,falling,386.0,336.0,60.0,,template,0.3721,1.8182,1.0,90.81,6.3402,2.0,66.0,False,,,,
483,falling,386.0,337.0,60.0,,template,0.3663,1.8182,1.0,45.41,6.6739,1.0,66.0,False,,,,
484,falling,386.0,334.0,60.0,,template,0.4015,1.8182,1.0,136.22,7.0076,3.0,66.0,False,,,,
485,falling,386.0,335.0,60.0,,template,0.3816,1.8182,1.0,45.41,7.3412,1.0,66.0,False,,,,
486,falling,386.0,337.0,60.0,,template,0.3765,1.8182,1.0,90.81,7.6749,2.0,66.0,False,,,,
487,falling,377.0,128.0,60.0,,template,0.4524,1.8182,1.0,9498.56,8.0086,209.194,66.0,False,,,,
488,falling,380.0,136.0,60.0,,template,0.4607,1.8182,1.0,387.95,8.3423,8.544,66.0,False,,,,
489,falling,377.0,190.0,60.0,,template,0.407,1.8182,1.0,2455.68,8.676,54.083,66.0,False,,,,
490,falling,382.0,199.0,60.0,,template,0.4386,1.8182,1.0,467.48,9.0097,10.296,66.0,False,,,,
491,falling,107.5,186.7,102.8,,hough,1.0,3.1165,1.7141,12476.33,9.3434,274.775,66.0,False,,,,
492,falling,387.0,125.0,60.0,,template,0.5709,1.8182,1.0,12996.39,9.6771,286.229,66.0,False,,,,
493,falling,386.0,137.0,60.0,,template,0.7804,1.8182,1.0,546.76,10.0108,12.042,66.0,False,,,,
494,falling,385.0,164.0,60.0,,template,0.7826,1.8182,1.0,1226.79,10.3445,27.019,66.0,False,,,,
495,falling,384.0,192.0,60.0,,template,0.7892,1.8182,1.0,1272.17,10.6782,28.018,66.0,False,,,,
496,falling,383.0,220.0,60.0,,template,0.7929,1.8182,1.0,1272.17,11.0119,28.018,66.0,False,,,,
497,falling,382.0,247.0,60.0,,template,0.7886,1.8182,1.0,1226.79,11.3456,27.019,66.0,False,,,,
498,falling,380.0,276.0,60.0,,template,0.8,1.8182,1.0,1319.89,11.6793,29.069,66.0,False,,,,
499,spreading,,,,53,contact_width,1.0,,0.4417,,12.0129,,66.0,True,406.5,,,
500,spreading,,,,77,contact_width,1.0,,0.6417,,12.3466,,66.0,False,418.5,,,
501,spreading,,,,69,contact_width,1.0,,0.575,,12.6803,,66.0,False,414.5,,,
502,spreading,,,,235,contact_width,1.0,,1.9583,,13.014,,66.0,False,497.5,,,
503,spreading,,,,252,contact_width,1.0,,2.1,,13.3477,,66.0,False,506.0,,,
504,spreading,,,,279,contact_width,1.0,,2.325,,13.6814,,66.0,False,519.5,,,
505,spreading,,,,304,contact_width,1.0,,2.5333,,14.0151,,66.0,False,532.0,,,
506,spreading,,,,358,contact_width,1.0,,2.9833,,14.3488,,66.0,False,559.0,,,
507,spreading,,,,374,contact_width,1.0,,3.1167,,14.6825,,66.0,False,567.0,,,
508,spreading,,,,709,contact_width,1.0,,5.9083,,15.0162,,66.0,False,734.5,,,
509,spreading,,,,720,contact_width,1.0,,6.0,,15.3499,,66.0,False,740.0,,,
510,spreading,,,,738,contact_width,1.0,,6.15,,15.6836,,66.0,False,749.0,,,
511,spreading,,,,743,contact_width,1.0,,6.1917,,16.0173,,66.0,False,751.5,,,
512,spreading,,,,736,contact_width,1.0,,6.1333,,16.351,,66.0,False,748.0,,,
513,rebounding,386.0,320.0,60.0,,template,0.4398,1.8182,1.0,,16.6846,,66.0,True,,260.0,,
514,rebounding,106.0,7.8,38.0,,hough,1.0,1.1515,0.6333,19041.6,17.0183,419.367,66.0,False,,-30.2,,
515,rebounding,380.0,319.0,60.0,,template,0.4702,1.8182,1.0,18826.69,17.352,414.634,66.0,False,,259.0,,
516,rebounding,382.0,319.0,60.0,,template,0.4636,1.8182,1.0,90.81,17.6857,2.0,66.0,False,,259.0,,
