frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
659,falling,110.7,279.1,104.5,,hough,1.0,3.1674,1.6081,,0.0,,66.0,True,,,,
660,falling,108.2,334.4,106.9,,hough,1.0,3.2388,1.6443,2513.49,0.3337,55.356,66.0,False,,,,
661,falling,17.7,205.4,98.1,,hough,1.0,2.9723,1.509,7154.98,0.6674,157.579,66.0,False,,,,
662,falling,388.0,374.0,65.0,,template,0.4126,1.9697,1.0,18474.43,1.0011,406.876,66.0,False,,,,
663,falling,108.1,292.5,105.9,,hough,1.0,3.2086,1.629,13236.81,1.3348,291.524,66.0,False,,,,
664,falling,388.0,374.0,65.0,,template,0.4028,1.9697,1.0,13236.81,1.6685,291.524,66.0,False,,,,
665,falling,110.0,280.9,105.3,,hough,1.0,3.1898,1.6194,13311.78,2.0022,293.175,66.0,False,,,,
666,falling,122.1,119.3,104.2,,hough,1.0,3.1586,1.6036,7358.08,2.3359,162.052,66.0,False,,,,
667,falling,37.9,239.7,86.1,,hough,1.0,2.6105,1.3253,6671.03,2.6695,146.921,66.0,False,,,,
668,falling,116.4,121.5,105.5,,hough,1.0,3.1965,1.6228,6442.71,3.0032,141.893,66.0,False,,,,
669,falling,139.8,115.1,98.7,,hough,1.0,2.9915,1.5188,1101.51,3.3369,24.259,66.0,False,,,,
670,falling,112.0,116.4,105.8,,hough,1.0,3.2052,1.6273,1263.65,3.6706,27.83,66.0,False,,,,
671,falling,389.0,374.0,65.0,,template,0.4108,1.9697,1.0,17175.47,4.0043,378.268,66.0,False,,,,
672,falling,389.0,374.0,65.0,,template,0.4041,1.9697,1.0,0.0,4.338,0.0,66.0,False,,,,
673,falling,390.0,374.0,65.0,,template,0.4275,1.9697,1.0,45.41,4.6717,1.0,66.0,False,,,,
674,falling,392.0,374.0,65.0,,template,0.4333,1.9697,1.0,90.81,5.0054,2.0,66.0,False,,,,
675,falling,389.0,374.0,65.0,,template,0.4141,1.9697,1.0,136.22,5.3391,3.0,66.0,False,,,,
676,falling,389.0,374.0,65.0,,template,0.4159,1.9697,1.0,0.0,5.6728,0.0,66.0,False,,,,
677,falling,116.3,134.8,105.9,,hough,1.0,3.2083,1.6288,16470.51,6.0065,362.742,66.0,False,,,,
678,falling,114.1,224.2,104.6,,hough,1.0,3.1704,1.6096,4060.49,6.3402,89.427,66.0,False,,,,
679,falling,110.0,133.5,106.7,,hough,1.0,3.2344,1.6421,4122.49,6.6739,90.793,66.0,False,,,,
680,falling,1036.0,199.0,65.0,,template,0.4439,1.9697,1.0,42150.59,7.0076,928.314,66.0,False,,,,
681,falling,39.8,119.0,85.4,,hough,1.0,2.5864,1.3131,45378.63,7.3412,999.407,66.0,False,,,,
682,falling,1037.0,253.0,65.0,,template,0.4531,1.9697,1.0,45685.38,7.6749,1006.163,66.0,False,,,,
683,falling,1030.0,263.0,65.0,,template,0.4345,1.9697,1.0,554.25,8.0086,12.207,66.0,False,,,,
684,falling,1109.0,135.0,65.0,,template,0.5321,1.9697,1.0,6829.73,8.3423,150.416,66.0,False,,,,
685,falling,1109.0,158.0,65.0,,template,0.5393,1.9697,1.0,1044.33,8.676,23.0,66.0,False,,,,
686,falling,1109.0,136.0,65.0,,template,0.6016,1.9697,1.0,998.92,9.0097,22.0,66.0,False,,,,
687,falling,1109.0,161.0,65.0,,template,0.608,1.9697,1.0,1135.14,9.3434,25.0,66.0,False,,,,
688,falling,115.5,167.3,105.0,,hough,1.0,3.1827,1.6158,45111.32,9.6771,993.52,66.0,False,,,,
689,falling,111.0,326.3,106.2,,hough,1.0,3.2181,1.6338,7222.37,10.0108,159.064,66.0,False,,,,
690,falling,109.4,280.3,105.6,,hough,1.0,3.2004,1.6248,2089.92,10.3445,46.028,66.0,False,,,,
691,falling,1115.0,258.0,65.0,,template,0.6144,1.9697,1.0,45671.05,10.6782,1005.847,66.0,False,,,,
692,falling,1116.0,283.0,65.0,,template,0.6002,1.9697,1.0,1136.05,11.0119,25.02,66.0,False,,,,
693,falling,117.0,296.6,104.7,,hough,1.0,3.1725,1.6106,45364.35,11.3456,999.093,66.0,False,,,,
694,falling,1117.0,332.0,65.0,,template,0.5906,1.9697,1.0,45433.99,11.6793,1000.626,66.0,False,,,,
695,spreading,,,,121,contact_width,1.0,,0.9308,,12.0129,,66.0,True,1177.5,,,
696,spreading,,,,135,contact_width,1.0,,1.0385,,12.3466,,66.0,False,1184.5,,,
697,spreading,,,,148,contact_width,1.0,,1.1385,,12.6803,,66.0,False,1191.0,,,
698,spreading,,,,163,contact_width,1.0,,1.2538,,13.014,,66.0,False,1198.5,,,
699,spreading,,,,174,contact_width,1.0,,1.3385,,13.3477,,66.0,False,1204.0,,,
700,spreading,,,,187,contact_width,1.0,,1.4385,,13.6814,,66.0,False,1210.5,,,
701,spreading,,,,179,contact_width,1.0,,1.3769,,14.0151,,66.0,False,1206.5,,,
702,spreading,,,,174,contact_width,1.0,,1.3385,,14.3488,,66.0,False,1204.0,,,
703,spreading,,,,169,contact_width,1.0,,1.3,,14.6825,,66.0,False,1201.5,,,
704,spreading,,,,161,contact_width,1.0,,1.2385,,15.0162,,66.0,False,1197.5,,,
705,spreading,,,,153,contact_width,1.0,,1.1769,,15.3499,,66.0,False,1193.5,,,
706,spreading,,,,145,contact_width,1.0,,1.1154,,15.6836,,66.0,False,1189.5,,,
707,spreading,,,,139,contact_width,1.0,,1.0692,,16.0173,,66.0,False,1186.5,,,
708,spreading,,,,146,contact_width,1.0,,1.1231,,16.351,,66.0,False,1190.0,,,
709,spreading,,,,131,contact_width,1.0,,1.0077,,16.6846,,66.0,False,1182.5,,,
710,spreading,,,,134,contact_width,1.0,,1.0308,,17.0183,,66.0,False,1184.0,,,
711,spreading,,,,130,contact_width,1.0,,1.0,,17.352,,66.0,False,1182.0,,,
712,spreading,,,,120,contact_width,1.0,,0.9231,,17.6857,,66.0,False,1177.0,,,
713,spreading,,,,118,contact_width,1.0,,0.9077,,18.0194,,66.0,False,1176.0,,,
714,spreading,,,,124,contact_width,1.0,,0.9538,,18.3531,,66.0,False,1179.0,,,
715,spreading,,,,120,contact_width,1.0,,0.9231,,18.6868,,66.0,False,1177.0,,,
716,spreading,,,,119,contact_width,1.0,,0.9154,,19.0205,,66.0,False,1176.5,,,
717,spreading,,,,129,contact_width,1.0,,0.9923,,19.3542,,66.0,False,1181.5,,,
718,spreading,,,,131,contact_width,1.0,,1.0077,,19.6879,,66.0,False,1182.5,,,
719,spreading,,,,122,contact_width,1.0,,0.9385,,20.0216,,66.0,False,1178.0,,,
720,spreading,,,,130,contact_width,1.0,,1.0,,20.3553,,66.0,False,1182.0,,,
721,spreading,,,,124,contact_width,1.0,,0.9538,,20.689,,66.0,False,1179.0,,,
722,spreading,,,,126,contact_width,1.0,,0.9692,,21.0227,,66.0,False,1180.0,,,
723,spreading,,,,122,contact_width,1.0,,0.9385,,21.3564,,66.0,False,1178.0,,,
724,spreading,,,,127,contact_width,1.0,,0.9769,,21.69,,66.0,False,1180.5,,,
725,spreading,,,,128,contact_width,1.0,,0.9846,,22.0237,,66.0,False,1181.0,,,
726,spreading,,,,126,contact_width,1.0,,0.9692,,22.3574,,66.0,False,1180.0,,,
727,spreading,,,,126,contact_width,1.0,,0.9692,,22.6911,,66.0,False,1180.0,,,
728,spreading,,,,125,contact_width,1.0,,0.9615,,23.0248,,66.0,False,1179.5,,,
729,spreading,,,,127,contact_width,1.0,,0.9769,,23.3585,,66.0,False,1180.5,,,
730,spreading,,,,125,contact_width,1.0,,0.9615,,23.6922,,66.0,False,1179.5,,,
731,spreading,,,,126,contact_width,1.0,,0.9692,,24.0259,,66.0,False,1180.0,,,
732,spreading,,,,136,contact_width,1.0,,1.0462,,24.3596,,66.0,False,1185.0,,,
733,spreading,,,,127,contact_width,1.0,,0.9769,,24.6933,,66.0,False,1180.5,,,
734,spreading,,,,124,contact_width,1.0,,0.9538,,25.027,,66.0,False,1179.0,,,
735,spreading,,,,133,contact_width,1.0,,1.0231,,25.3607,,66.0,False,1183.5,,,
736,spreading,,,,432,contact_width,1.0,,3.3231,,25.6944,,66.0,False,1333.0,,,
737,spreading,,,,434,contact_width,1.0,,3.3385,,26.0281,,66.0,False,1334.0,,,
738,spreading,,,,442,contact_width,1.0,,3.4,,26.3617,,66.0,False,1338.0,,,
739,spreading,,,,432,contact_width,1.0,,3.3231,,26.6954,,66.0,False,1333.0,,,
740,spreading,,,,431,contact_width,1.0,,3.3154,,27.0291,,66.0,False,1332.5,,,
741,spreading,,,,436,contact_width,1.0,,3.3538,,27.3628,,66.0,False,1335.0,,,
742,spreading,,,,434,contact_width,1.0,,3.3385,,27.6965,,66.0,False,1334.0,,,
743,spreading,,,,142,contact_width,1.0,,1.0923,,28.0302,,66.0,False,1188.0,,,
744,spreading,,,,135,contact_width,1.0,,1.0385,,28.3639,,66.0,False,1184.5,,,
745,spreading,,,,138,contact_width,1.0,,1.0615,,28.6976,,66.0,False,1186.0,,,
746,spreading,,,,135,contact_width,1.0,,1.0385,,29.0313,,66.0,False,1184.5,,,
747,spreading,,,,132,contact_width,1.0,,1.0154,,29.365,,66.0,False,1183.0,,,
748,spreading,,,,135,contact_width,1.0,,1.0385,,29.6987,,66.0,False,1184.5,,,
749,spreading,,,,141,contact_width,1.0,,1.0846,,30.0324,,66.0,False,1187.5,,,
750,spreading,,,,141,contact_width,1.0,,1.0846,,30.3661,,66.0,False,1187.5,,,
751,spreading,,,,137,contact_width,1.0,,1.0538,,30.6998,,66.0,False,1185.5,,,
752,spreading,,,,131,contact_width,1.0,,1.0077,,31.0334,,66.0,False,1182.5,,,
753,spreading,,,,135,contact_width,1.0,,1.0385,,31.3671,,66.0,False,1184.5,,,
754,spreading,,,,140,contact_width,1.0,,1.0769,,31.7008,,66.0,False,1187.0,,,
755,spreading,,,,133,contact_width,1.0,,1.0231,,32.0345,,66.0,False,1183.5,,,
756,spreading,,,,142,contact_width,1.0,,1.0923,,32.3682,,66.0,False,1188.0,,,
757,spreading,,,,126,contact_width,1.0,,0.9692,,32.7019,,66.0,False,1180.0,,,
