frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
1126,falling,114.0,245.0,104.0,,hough,1.0,3.1517,1.7334,,0.0,,66.0,True
1127,falling,106.6,181.9,105.4,,hough,1.0,3.1928,1.7561,2884.73,0.3337,63.532,66.0,False
1128,falling,107.4,185.7,105.7,,hough,1.0,3.2028,1.7615,176.32,0.6674,3.883,66.0,False
1129,falling,387.0,371.0,60.0,,template,0.416,1.8182,1.0,15230.31,1.0011,335.428,66.0,False
1130,falling,388.0,371.0,60.0,,template,0.4109,1.8182,1.0,45.41,1.3348,1.0,66.0,False
1131,falling,106.5,260.3,105.3,,hough,1.0,3.1895,1.7542,13734.47,1.6685,302.484,66.0,False
1132,falling,387.0,372.0,60.0,,template,0.3935,1.8182,1.0,13708.95,2.0022,301.922,66.0,False
1133,falling,103.7,185.4,105.6,,hough,1.0,3.2004,1.7602,15403.02,2.3359,339.232,66.0,False
1134,falling,387.0,371.0,60.0,,template,0.404,1.8182,1.0,15378.09,2.6695,338.683,66.0,False
1135,falling,110.7,146.0,105.4,,hough,1.0,3.194,1.7567,16179.08,3.0032,356.324,66.0,False
1136,falling,110.8,270.7,104.9,,hough,1.0,3.1779,1.7478,5662.07,3.3369,124.7,66.0,False
1137,falling,110.4,339.0,106.0,,hough,1.0,3.211,1.7661,3101.25,3.6706,68.301,66.0,False
1138,falling,107.7,174.4,104.8,,hough,1.0,3.1761,1.7469,7474.76,4.0043,164.622,66.0,False
1139,falling,387.0,373.0,60.0,,template,0.3954,1.8182,1.0,15560.96,4.338,342.71,66.0,False
1140,falling,387.0,372.0,60.0,,template,0.4022,1.8182,1.0,45.41,4.6717,1.0,66.0,False
1141,falling,386.0,372.0,60.0,,template,0.4133,1.8182,1.0,45.41,5.0054,1.0,66.0,False
1142,falling,386.0,372.0,60.0,,template,0.4162,1.8182,1.0,0.0,5.3391,0.0,66.0,False
1143,falling,390.0,371.0,60.0,,template,0.416,1.8182,1.0,187.21,5.6728,4.123,66.0,False
1144,falling,105.3,192.0,105.6,,hough,1.0,3.2012,1.7607,15269.71,6.0065,336.296,66.0,False
1145,falling,387.0,371.0,60.0,,template,0.3884,1.8182,1.0,15154.57,6.3402,333.76,66.0,False
1146,falling,114.6,336.8,106.1,,hough,1.0,3.2154,1.7685,12465.57,6.6739,274.539,66.0,False
1147,falling,105.0,264.4,106.1,,hough,1.0,3.2163,1.769,3316.14,7.0076,73.034,66.0,False
1148,falling,116.9,193.0,103.8,,hough,1.0,3.144,1.7292,3286.68,7.3412,72.385,66.0,False
