frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
1671,falling,120.2,117.3,104.5,,hough,1.0,3.1669,1.7418,,0.0,,66.0,True
1672,falling,386.0,347.0,60.0,,template,0.3777,1.8182,1.0,15950.97,0.3337,351.3,66.0,False
1673,falling,384.0,346.0,60.0,,template,0.3755,1.8182,1.0,101.53,0.6674,2.236,66.0,False
1674,falling,110.7,119.3,106.0,,hough,1.0,3.2135,1.7674,16122.86,1.0011,355.086,66.0,False
1675,falling,384.0,334.0,60.0,,template,0.3745,1.8182,1.0,15780.57,1.3348,347.547,66.0,False
1676,falling,386.0,336.0,60.0,,template,0.3629,1.8182,1.0,128.43,1.6685,2.828,66.0,False
1677,falling,392.0,343.0,60.0,,template,0.3818,1.8182,1.0,418.62,2.0022,9.22,66.0,False
1678,falling,110.2,169.3,105.3,,hough,1.0,3.1897,1.7543,15030.74,2.3359,331.033,66.0,False
1679,falling,384.0,340.0,60.0,,template,0.3746,1.8182,1.0,14650.24,2.6695,322.653,66.0,False
1680,falling,386.0,343.0,60.0,,template,0.3866,1.8182,1.0,163.71,3.0032,3.606,66.0,False
1681,falling,105.3,222.3,105.6,,hough,1.0,3.1992,1.7596,13873.68,3.3369,305.55,66.0,False
1682,falling,386.0,339.0,60.0,,template,0.3785,1.8182,1.0,13802.94,3.6706,303.992,66.0,False
1683,falling,386.0,342.0,60.0,,template,0.3784,1.8182,1.0,136.22,4.0043,3.0,66.0,False
1684,falling,109.4,173.8,104.7,,hough,1.0,3.1741,1.7458,14698.98,4.338,323.726,66.0,False
1685,falling,385.0,342.0,60.0,,template,0.359,1.8182,1.0,14660.2,4.6717,322.872,66.0,False
1686,falling,387.0,338.0,60.0,,template,0.3728,1.8182,1.0,203.06,5.0054,4.472,66.0,False
1687,falling,386.0,336.0,60.0,,template,0.3679,1.8182,1.0,101.53,5.3391,2.236,66.0,False
1688,falling,385.0,343.0,60.0,,template,0.3737,1.8182,1.0,321.07,5.6728,7.071,66.0,False
1689,falling,384.0,346.0,60.0,,template,0.3626,1.8182,1.0,143.58,6.0065,3.162,66.0,False
1690,falling,385.0,343.0,60.0,,template,0.3692,1.8182,1.0,143.58,6.3402,3.162,66.0,False
