frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
378,falling,111.1,314.5,105.4,,hough,1.0,3.1946,1.757,,0.0,,66.0,True,,,,
379,falling,385.0,379.0,60.0,,template,0.4137,1.8182,1.0,12776.76,0.3337,281.392,66.0,False,,,,
380,falling,383.0,379.0,60.0,,template,0.4261,1.8182,1.0,90.81,0.6674,2.0,66.0,False,,,,
381,falling,116.1,268.6,104.2,,hough,1.0,3.1567,1.7362,13114.56,1.0011,288.832,66.0,False,,,,
382,falling,385.0,379.0,60.0,,template,0.4303,1.8182,1.0,13198.53,1.3348,290.681,66.0,False,,,,
383,falling,386.0,378.0,60.0,,template,0.4174,1.8182,1.0,64.21,1.6685,1.414,66.0,False,,,,
384,falling,386.0,379.0,60.0,,template,0.4166,1.8182,1.0,45.41,2.0022,1.0,66.0,False,,,,
385,falling,385.0,379.0,60.0,,template,0.4172,1.8182,1.0,45.41,2.3359,1.0,66.0,False,,,,
386,falling,107.2,174.3,105.4,,hough,1.0,3.1928,1.7561,15668.2,2.6695,345.072,66.0,False,,,,
387,falling,385.0,379.0,60.0,,template,0.4416,1.8182,1.0,15668.2,3.0032,345.072,66.0,False,,,,
388,falling,110.3,213.9,105.1,,hough,1.0,3.1861,1.7524,14552.33,3.3369,320.497,66.0,False,,,,
389,falling,385.0,379.0,60.0,,template,0.4068,1.8182,1.0,14552.33,3.6706,320.497,66.0,False,,,,
390,falling,384.0,379.0,60.0,,template,0.4189,1.8182,1.0,45.41,4.0043,1.0,66.0,False,,,,
391,falling,385.0,379.0,60.0,,template,0.4172,1.8182,1.0,45.41,4.338,1.0,66.0,False,,,,
392,falling,385.0,379.0,60.0,,template,0.4039,1.8182,1.0,0.0,4.6717,0.0,66.0,False,,,,
393,falling,385.0,379.0,60.0,,template,0.4172,1.8182,1.0,0.0,5.0054,0.0,66.0,False,,,,
394,falling,386.0,379.0,60.0,,template,0.4276,1.8182,1.0,45.41,5.3391,1.0,66.0,False,,,,
395,falling,104.7,333.9,106.9,,hough,1.0,3.2392,1.7816,12935.7,5.6728,284.892,66.0,False,,,,
396,falling,383.0,379.0,60.0,,template,0.4285,1.8182,1.0,12801.22,6.0065,281.931,66.0,False,,,,
397,falling,112.7,328.4,105.3,,hough,1.0,3.192,1.7556,12486.32,6.3402,274.995,66.0,False,,,,
398,falling,128.0,320.4,101.6,,hough,1.0,3.0779,1.6929,783.94,6.6739,17.265,66.0,False,,,,
399,falling,386.0,379.0,60.0,,template,0.4361,1.8182,1.0,12013.01,7.0076,264.571,66.0,False,,,,
400,falling,111.0,270.1,104.7,,hough,1.0,3.1717,1.7445,13429.93,7.3412,295.777,66.0,False,,,,
401,falling,384.0,379.0,60.0,,template,0.4243,1.8182,1.0,13345.54,7.6749,293.919,66.0,False,,,,
402,falling,1041.0,127.0,60.0,,template,0.4178,1.8182,1.0,31950.57,8.0086,703.671,66.0,False,,,,
403,falling,1041.0,136.0,60.0,,template,0.4348,1.8182,1.0,408.65,8.3423,9.0,66.0,False,,,,
