frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
287,falling,143.4,297.2,99.6,,hough,1.0,3.0174,1.6596,,0.0,,66.0,True
288,falling,139.5,261.7,100.4,,hough,1.0,3.0424,1.6733,1621.59,0.3337,35.714,66.0,False
289,falling,145.0,153.7,99.0,,hough,1.0,2.9995,1.6497,4910.15,0.6674,108.14,66.0,False
290,falling,149.7,158.5,98.1,,hough,1.0,2.973,1.6351,305.03,1.0011,6.718,66.0,False
291,falling,146.8,249.1,99.0,,hough,1.0,3.0001,1.6501,4115.85,1.3348,90.646,66.0,False
292,falling,143.6,285.0,99.9,,hough,1.0,3.0258,1.6642,1636.52,1.6685,36.042,66.0,False
293,falling,146.4,160.5,99.4,,hough,1.0,3.012,1.6566,5654.42,2.0022,124.531,66.0,False
294,falling,143.3,145.2,101.1,,hough,1.0,3.0624,1.6843,708.82,2.3359,15.611,66.0,False
295,falling,136.3,232.1,102.0,,hough,1.0,3.0915,1.7003,3958.52,2.6695,87.181,66.0,False
296,falling,18.2,135.9,108.3,,hough,1.0,3.2828,1.8056,6916.27,3.0032,152.322,66.0,False
297,falling,153.9,152.5,94.8,,hough,1.0,2.8714,1.5793,6207.46,3.3369,136.712,66.0,False
298,falling,137.3,179.2,101.2,,hough,1.0,3.0668,1.6867,1427.53,3.6706,31.44,66.0,False
299,falling,156.8,120.2,97.2,,hough,1.0,2.9455,1.62,2821.45,4.0043,62.139,66.0,False
300,falling,154.6,182.0,95.3,,hough,1.0,2.8879,1.5883,2807.84,4.338,61.839,66.0,False
301,falling,137.8,208.4,102.4,,hough,1.0,3.102,1.7061,1420.84,4.6717,31.292,66.0,False
302,falling,151.6,153.4,95.6,,hough,1.0,2.8956,1.5926,2574.72,5.0054,56.705,66.0,False
303,falling,153.1,284.6,94.8,,hough,1.0,2.8742,1.5808,5957.6,5.3391,131.209,66.0,False
304,falling,143.8,280.3,98.9,,hough,1.0,2.9956,1.6476,465.22,5.6728,10.246,66.0,False
305,falling,161.8,187.6,89.4,,hough,1.0,2.7088,1.4899,4287.71,6.0065,94.431,66.0,False
306,falling,382.0,332.0,60.0,,template,0.4133,1.8182,1.0,11956.36,6.3402,263.324,66.0,False
307,falling,136.4,185.8,102.3,,hough,1.0,3.1004,1.7052,12977.87,6.6739,285.821,66.0,False
308,falling,140.9,167.1,100.8,,hough,1.0,3.0546,1.68,873.32,7.0076,19.234,66.0,False
309,falling,382.0,326.0,60.0,,template,0.4033,1.8182,1.0,13111.0,7.3412,288.753,66.0,False
310,falling,20.2,330.0,108.4,,hough,1.0,3.2854,1.807,16428.73,7.6749,361.822,66.0,False
311,falling,16.5,120.0,108.2,,hough,1.0,3.2781,1.8029,9536.65,8.0086,210.033,66.0,False
312,falling,382.0,327.0,60.0,,template,0.3962,1.8182,1.0,19072.45,8.3423,420.047,66.0,False
313,falling,147.5,338.6,100.6,,hough,1.0,3.0493,1.6771,10660.62,8.676,234.787,66.0,False
314,falling,784.0,125.0,60.0,,template,0.7727,1.8182,1.0,30484.59,9.0097,671.385,66.0,False
315,falling,784.0,144.0,60.0,,template,0.7723,1.8182,1.0,862.71,9.3434,19.0,66.0,False
316,falling,151.1,178.9,96.3,,hough,1.0,2.9192,1.6056,28780.83,9.6771,633.862,66.0,False
317,falling,26.5,186.1,108.2,,hough,1.0,3.2779,1.8029,5666.97,10.0108,124.808,66.0,False
318,falling,151.3,265.2,99.1,,hough,1.0,3.0023,1.6513,6708.95,10.3445,147.756,66.0,False
319,falling,135.0,197.3,103.2,,hough,1.0,3.1272,1.72,3170.63,10.6782,69.829,66.0,False
320,falling,148.7,336.8,100.4,,hough,1.0,3.0427,1.6735,6364.55,11.0119,140.171,66.0,False
