frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
804,falling,43.0,248.7,92.7,,hough,1.0,2.8092,1.545,,0.0,,66.0,True
805,falling,158.1,210.9,91.8,,hough,1.0,2.7814,1.5298,5500.79,0.3337,121.148,66.0,False
806,falling,158.1,270.9,93.1,,hough,1.0,2.8211,1.5516,2724.33,0.6674,60.0,66.0,False
807,falling,382.0,372.0,60.0,,template,0.357,1.8182,1.0,11154.66,1.0011,245.667,66.0,False
808,falling,136.4,255.6,102.2,,hough,1.0,3.0966,1.7031,12340.65,1.3348,271.787,66.0,False
809,falling,162.2,120.7,93.3,,hough,1.0,2.8287,1.5558,6236.23,1.6685,137.345,66.0,False
810,falling,150.5,257.5,97.0,,hough,1.0,2.938,1.6159,6234.16,2.0022,137.299,66.0,False
811,falling,142.2,166.5,100.6,,hough,1.0,3.0487,1.6768,4149.06,2.3359,91.378,66.0,False
812,falling,383.0,372.0,60.0,,template,0.357,1.8182,1.0,14373.92,2.6695,316.567,66.0,False
813,falling,135.7,219.9,102.7,,hough,1.0,3.1135,1.7124,13182.61,3.0032,290.33,66.0,False
814,falling,147.3,242.4,97.3,,hough,1.0,2.948,1.6214,1149.41,3.3369,25.314,66.0,False
815,falling,163.7,346.7,94.9,,hough,1.0,2.8761,1.5819,4793.99,3.6706,105.581,66.0,False
816,falling,382.0,371.0,60.0,,template,0.3811,1.8182,1.0,9973.25,4.0043,219.648,66.0,False
817,falling,138.0,147.4,102.7,,hough,1.0,3.1127,1.712,15027.31,4.338,330.958,66.0,False
818,falling,382.0,373.0,60.0,,template,0.3375,1.8182,1.0,15088.82,4.6717,332.312,66.0,False
819,falling,155.4,141.0,97.7,,hough,1.0,2.9602,1.6281,14725.1,5.0054,324.302,66.0,False
820,falling,150.3,197.0,97.7,,hough,1.0,2.9616,1.6289,2553.23,5.3391,56.232,66.0,False
821,falling,382.0,371.0,60.0,,template,0.3702,1.8182,1.0,13156.72,5.6728,289.76,66.0,False
822,falling,150.4,199.2,96.2,,hough,1.0,2.9163,1.604,13093.33,6.0065,288.364,66.0,False
823,falling,379.0,371.0,60.0,,template,0.3607,1.8182,1.0,12984.18,6.3402,285.96,66.0,False
824,falling,156.6,337.3,96.7,,hough,1.0,2.9288,1.6109,10213.47,6.6739,224.939,66.0,False
825,falling,44.7,128.2,83.2,,hough,1.0,2.5218,1.387,10768.34,7.0076,237.159,66.0,False
826,falling,382.0,371.0,60.0,,template,0.3703,1.8182,1.0,18870.54,7.3412,415.6,66.0,False
827,falling,145.0,268.8,99.5,,hough,1.0,3.0159,1.6588,11719.02,7.6749,258.097,66.0,False
828,falling,135.2,183.9,102.2,,hough,1.0,3.0962,1.7029,3880.53,8.0086,85.464,66.0,False
829,falling,136.5,236.1,103.1,,hough,1.0,3.1243,1.7184,2370.9,8.3423,52.216,66.0,False
830,falling,152.9,258.0,95.6,,hough,1.0,2.8968,1.5933,1242.3,8.676,27.36,66.0,False
831,falling,44.0,308.7,99.8,,hough,1.0,3.0243,1.6634,5454.28,9.0097,120.124,66.0,False
832,falling,754.0,125.0,60.0,,template,0.5662,1.8182,1.0,33299.51,9.3434,733.38,66.0,False
833,falling,146.2,193.4,99.0,,hough,1.0,2.9996,1.6498,27771.7,9.6771,611.637,66.0,False
834,falling,159.8,129.1,93.6,,hough,1.0,2.835,1.5593,2984.17,10.0108,65.723,66.0,False
835,falling,148.4,315.9,101.2,,hough,1.0,3.0675,1.6871,8497.54,10.3445,187.148,66.0,False
836,falling,153.1,191.1,94.7,,hough,1.0,2.8708,1.5789,5670.63,10.6782,124.888,66.0,False
837,falling,154.8,151.3,98.3,,hough,1.0,2.9787,1.6383,1808.79,11.0119,39.836,66.0,False
838,falling,138.5,214.2,102.1,,hough,1.0,3.0942,1.7018,2950.35,11.3456,64.978,66.0,False
839,falling,54.4,145.7,94.9,,hough,1.0,2.8743,1.5809,4925.0,11.6793,108.467,66.0,False
840,falling,751.0,312.0,60.0,,template,0.8249,1.8182,1.0,32518.34,12.0129,716.175,66.0,False
841,falling,751.0,340.0,60.0,,template,0.8306,1.8182,1.0,1271.36,12.3466,28.0,66.0,False
842,falling,750.0,364.0,60.0,,template,0.8211,1.8182,1.0,1090.68,12.6803,24.021,66.0,False
843,spreading,,,,92,contact_width,1.0,,0.7667,,13.014,,66.0,True
844,spreading,,,,111,contact_width,1.0,,0.925,,13.3477,,66.0,False
845,spreading,,,,165,contact_width,1.0,,1.375,,13.6814,,66.0,False
846,spreading,,,,197,contact_width,1.0,,1.6417,,14.0151,,66.0,False
847,spreading,,,,214,contact_width,1.0,,1.7833,,14.3488,,66.0,False
848,spreading,,,,222,contact_width,1.0,,1.85,,14.6825,,66.0,False
849,spreading,,,,224,contact_width,1.0,,1.8667,,15.0162,,66.0,False
850,spreading,,,,216,contact_width,1.0,,1.8,,15.3499,,66.0,False
851,spreading,,,,206,contact_width,1.0,,1.7167,,15.6836,,66.0,False
852,spreading,,,,187,contact_width,1.0,,1.5583,,16.0173,,66.0,False
853,spreading,,,,166,contact_width,1.0,,1.3833,,16.351,,66.0,False
854,spreading,,,,146,contact_width,1.0,,1.2167,,16.6846,,66.0,False
855,spreading,,,,131,contact_width,1.0,,1.0917,,17.0183,,66.0,False
856,spreading,,,,120,contact_width,1.0,,1.0,,17.352,,66.0,False
857,spreading,,,,109,contact_width,1.0,,0.9083,,17.6857,,66.0,False
858,spreading,,,,99,contact_width,1.0,,0.825,,18.0194,,66.0,False
859,spreading,,,,94,contact_width,1.0,,0.7833,,18.3531,,66.0,False
860,spreading,,,,91,contact_width,1.0,,0.7583,,18.6868,,66.0,False
861,spreading,,,,88,contact_width,1.0,,0.7333,,19.0205,,66.0,False
862,spreading,,,,85,contact_width,1.0,,0.7083,,19.3542,,66.0,False
863,spreading,,,,82,contact_width,1.0,,0.6833,,19.6879,,66.0,False
864,spreading,,,,80,contact_width,1.0,,0.6667,,20.0216,,66.0,False
865,spreading,,,,77,contact_width,1.0,,0.6417,,20.3553,,66.0,False
866,spreading,,,,72,contact_width,1.0,,0.6,,20.689,,66.0,False
867,spreading,,,,61,contact_width,1.0,,0.5083,,21.0227,,66.0,False
868,spreading,,,,47,contact_width,1.0,,0.3917,,21.3564,,66.0,False
869,rebounding,751.0,371.0,60.0,,template,0.5287,1.8182,1.0,,21.69,,66.0,True
870,rebounding,200.0,11.3,41.0,,hough,1.0,1.2424,0.6833,29877.58,22.0237,658.016,66.0,False
871,rebounding,753.0,356.0,60.0,,template,0.5787,1.8182,1.0,29587.81,22.3574,651.634,66.0,False
872,rebounding,754.0,345.0,60.0,,template,0.6009,1.8182,1.0,501.52,22.6911,11.045,66.0,False
873,rebounding,753.0,345.0,60.0,,template,0.6103,1.8182,1.0,45.41,23.0248,1.0,66.0,False
874,rebounding,753.0,326.0,60.0,,template,0.6113,1.8182,1.0,862.71,23.3585,19.0,66.0,False
875,rebounding,751.0,312.0,60.0,,template,0.624,1.8182,1.0,642.13,23.6922,14.142,66.0,False
876,rebounding,748.0,295.0,60.0,,template,0.6607,1.8182,1.0,783.82,24.0259,17.263,66.0,False
877,rebounding,744.0,279.0,60.0,,template,0.7786,1.8182,1.0,748.85,24.3596,16.492,66.0,False
878,rebounding,744.0,274.0,60.0,,template,0.8259,1.8182,1.0,227.03,24.6933,5.0,66.0,False
879,rebounding,744.0,269.0,60.0,,template,0.785,1.8182,1.0,227.03,25.027,5.0,66.0,False
880,rebounding,742.0,264.0,60.0,,template,0.6929,1.8182,1.0,244.52,25.3607,5.385,66.0,False
881,rebounding,740.0,254.0,60.0,,template,0.6326,1.8182,1.0,463.05,25.6944,10.198,66.0,False
882,rebounding,741.0,248.0,60.0,,template,0.6346,1.8182,1.0,276.19,26.0281,6.083,66.0,False
883,rebounding,742.0,244.0,60.0,,template,0.6575,1.8182,1.0,187.21,26.3617,4.123,66.0,False
884,rebounding,742.0,239.0,60.0,,template,0.6516,1.8182,1.0,227.03,26.6954,5.0,66.0,False
885,rebounding,743.0,233.0,60.0,,template,0.7003,1.8182,1.0,276.19,27.0291,6.083,66.0,False
886,rebounding,742.0,227.0,60.0,,template,0.7863,1.8182,1.0,276.19,27.3628,6.083,66.0,False
887,rebounding,742.0,224.0,60.0,,template,0.7973,1.8182,1.0,136.22,27.6965,3.0,66.0,False
888,rebounding,741.0,216.0,60.0,,template,0.728,1.8182,1.0,366.07,28.0302,8.062,66.0,False
889,rebounding,739.0,204.0,60.0,,template,0.6787,1.8182,1.0,552.38,28.3639,12.166,66.0,False
890,rebounding,739.0,196.0,60.0,,template,0.6489,1.8182,1.0,363.24,28.6976,8.0,66.0,False
891,rebounding,738.0,185.0,60.0,,template,0.6277,1.8182,1.0,501.52,29.0313,11.045,66.0,False
892,rebounding,736.0,178.0,60.0,,template,0.5967,1.8182,1.0,330.56,29.365,7.28,66.0,False
893,rebounding,733.0,168.0,60.0,,template,0.5712,1.8182,1.0,474.05,29.6987,10.44,66.0,False
894,rebounding,732.0,159.0,60.0,,template,0.5436,1.8182,1.0,411.16,30.0324,9.055,66.0,False
895,rebounding,747.0,202.0,60.0,,template,0.5401,1.8182,1.0,2067.82,30.3661,45.541,66.0,False
896,rebounding,746.0,195.0,60.0,,template,0.5358,1.8182,1.0,321.07,30.6998,7.071,66.0,False
897,rebounding,744.0,184.0,60.0,,template,0.532,1.8182,1.0,507.65,31.0334,11.18,66.0,False
898,rebounding,742.0,167.0,60.0,,template,0.585,1.8182,1.0,777.22,31.3671,17.117,66.0,False
899,rebounding,738.0,158.0,60.0,,template,0.6869,1.8182,1.0,447.19,31.7008,9.849,66.0,False
900,rebounding,737.0,156.0,60.0,,template,0.7577,1.8182,1.0,101.53,32.0345,2.236,66.0,False
901,rebounding,736.0,158.0,60.0,,template,0.7942,1.8182,1.0,101.53,32.3682,2.236,66.0,False
902,rebounding,737.0,159.0,60.0,,template,0.7613,1.8182,1.0,64.21,32.7019,1.414,66.0,False
903,rebounding,737.0,156.0,60.0,,template,0.6877,1.8182,1.0,136.22,33.0356,3.0,66.0,False
904,rebounding,739.0,151.0,60.0,,template,0.6383,1.8182,1.0,244.52,33.3693,5.385,66.0,False
905,rebounding,739.0,144.0,60.0,,template,0.6329,1.8182,1.0,317.84,33.703,7.0,66.0,False
906,rebounding,739.0,138.0,60.0,,template,0.6607,1.8182,1.0,272.43,34.0367,6.0,66.0,False
907,rebounding,737.0,132.0,60.0,,template,0.6831,1.8182,1.0,287.17,34.3704,6.325,66.0,False
908,rebounding,735.0,127.0,60.0,,template,0.758,1.8182,1.0,244.52,34.7041,5.385,66.0,False
909,rebounding,733.0,125.0,60.0,,template,0.8348,1.8182,1.0,128.43,35.0378,2.828,66.0,False
910,rebounding,734.0,125.0,60.0,,template,0.7696,1.8182,1.0,45.41,35.3715,1.0,66.0,False
911,rebounding,735.0,125.0,60.0,,template,0.668,1.8182,1.0,45.41,35.7052,1.0,66.0,False
912,rebounding,737.0,125.0,60.0,,template,0.593,1.8182,1.0,90.81,36.0388,2.0,66.0,False
913,rebounding,739.0,125.0,60.0,,template,0.5446,1.8182,1.0,90.81,36.3725,2.0,66.0,False
914,rebounding,744.0,125.0,60.0,,template,0.5004,1.8182,1.0,227.03,36.7062,5.0,66.0,False
915,rebounding,746.0,125.0,60.0,,template,0.4699,1.8182,1.0,90.81,37.0399,2.0,66.0,False
916,rebounding,745.0,125.0,60.0,,template,0.433,1.8182,1.0,45.41,37.3736,1.0,66.0,False
917,rebounding,743.0,125.0,60.0,,template,0.4141,1.8182,1.0,90.81,37.7073,2.0,66.0,False
918,rebounding,741.0,125.0,60.0,,template,0.4043,1.8182,1.0,90.81,38.041,2.0,66.0,False
919,rebounding,382.0,371.0,60.0,,template,0.3815,1.8182,1.0,19760.39,38.3747,435.198,66.0,False
920,rebounding,379.0,372.0,60.0,,template,0.3789,1.8182,1.0,143.58,38.7084,3.162,66.0,False
921,rebounding,377.0,371.0,60.0,,template,0.3831,1.8182,1.0,101.53,39.0421,2.236,66.0,False
922,rebounding,380.0,372.0,60.0,,template,0.3942,1.8182,1.0,143.58,39.3758,3.162,66.0,False
923,rebounding,383.0,372.0,60.0,,template,0.376,1.8182,1.0,136.22,39.7095,3.0,66.0,False
924,rebounding,385.0,372.0,60.0,,template,0.3779,1.8182,1.0,90.81,40.0432,2.0,66.0,False
925,rebounding,382.0,371.0,60.0,,template,0.3826,1.8182,1.0,143.58,40.3769,3.162,66.0,False
926,rebounding,383.0,370.0,60.0,,template,0.3749,1.8182,1.0,64.21,40.7105,1.414,66.0,False
927,rebounding,384.0,371.0,60.0,,template,0.3703,1.8182,1.0,64.21,41.0442,1.414,66.0,False
928,rebounding,382.0,372.0,60.0,,template,0.3758,1.8182,1.0,101.53,41.3779,2.236,66.0,False
929,rebounding,382.0,371.0,60.0,,template,0.3763,1.8182,1.0,45.41,41.7116,1.0,66.0,False
930,rebounding,382.0,372.0,60.0,,template,0.3611,1.8182,1.0,45.41,42.0453,1.0,66.0,False
931,rebounding,382.0,370.0,60.0,,template,0.4,1.8182,1.0,90.81,42.379,2.0,66.0,False
932,rebounding,384.0,370.0,60.0,,template,0.3911,1.8182,1.0,90.81,42.7127,2.0,66.0,False
933,rebounding,379.0,372.0,60.0,,template,0.3688,1.8182,1.0,244.52,43.0464,5.385,66.0,False
934,rebounding,382.0,371.0,60.0,,template,0.3847,1.8182,1.0,143.58,43.3801,3.162,66.0,False
935,rebounding,382.0,371.0,60.0,,template,0.3908,1.8182,1.0,0.0,43.7138,0.0,66.0,False
936,rebounding,382.0,371.0,60.0,,template,0.3586,1.8182,1.0,0.0,44.0475,0.0,66.0,False
937,rebounding,382.0,371.0,60.0,,template,0.3726,1.8182,1.0,0.0,44.3812,0.0,66.0,False
938,rebounding,384.0,372.0,60.0,,template,0.371,1.8182,1.0,101.53,44.7149,2.236,66.0,False
939,rebounding,382.0,371.0,60.0,,template,0.375,1.8182,1.0,101.53,45.0486,2.236,66.0,False
940,rebounding,382.0,370.0,60.0,,template,0.3682,1.8182,1.0,45.41,45.3822,1.0,66.0,False
941,rebounding,382.0,371.0,60.0,,template,0.3732,1.8182,1.0,45.41,45.7159,1.0,66.0,False
942,rebounding,382.0,370.0,60.0,,template,0.3674,1.8182,1.0,45.41,46.0496,1.0,66.0,False
943,rebounding,379.0,372.0,60.0,,template,0.3715,1.8182,1.0,163.71,46.3833,3.606,66.0,False
944,rebounding,383.0,372.0,60.0,,template,0.3709,1.8182,1.0,181.62,46.717,4.0,66.0,False
945,rebounding,383.0,372.0,60.0,,template,0.3582,1.8182,1.0,0.0,47.0507,0.0,66.0,False
946,rebounding,384.0,371.0,60.0,,template,0.3673,1.8182,1.0,64.21,47.3844,1.414,66.0,False
947,rebounding,379.0,370.0,60.0,,template,0.3608,1.8182,1.0,231.52,47.7181,5.099,66.0,False
948,rebounding,382.0,371.0,60.0,,template,0.37,1.8182,1.0,143.58,48.0518,3.162,66.0,False
949,rebounding,379.0,373.0,60.0,,template,0.3657,1.8182,1.0,163.71,48.3855,3.606,66.0,False
950,rebounding,382.0,370.0,60.0,,template,0.3808,1.8182,1.0,192.64,48.7192,4.243,66.0,False
951,rebounding,382.0,372.0,60.0,,template,0.3871,1.8182,1.0,90.81,49.0529,2.0,66.0,False
952,rebounding,382.0,371.0,60.0,,template,0.3827,1.8182,1.0,45.41,49.3866,1.0,66.0,False
953,rebounding,382.0,371.0,60.0,,template,0.3628,1.8182,1.0,0.0,49.7203,0.0,66.0,False
954,rebounding,382.0,371.0,60.0,,template,0.401,1.8182,1.0,0.0,50.0539,0.0,66.0,False
955,rebounding,382.0,373.0,60.0,,template,0.369,1.8182,1.0,90.81,50.3876,2.0,66.0,False
956,rebounding,382.0,373.0,60.0,,template,0.3649,1.8182,1.0,0.0,50.7213,0.0,66.0,False
957,rebounding,384.0,371.0,60.0,,template,0.3595,1.8182,1.0,128.43,51.055,2.828,66.0,False
