frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
239,falling,100.9,244.4,104.7,,hough,1.0,3.1737,1.6113,,0.0,,66.0,True
240,falling,387.0,324.0,65.0,,template,0.3651,1.9697,1.0,13483.95,0.3337,296.967,66.0,False
241,falling,383.0,327.0,65.0,,template,0.3592,1.9697,1.0,227.03,0.6674,5.0,66.0,False
242,falling,385.0,323.0,65.0,,template,0.3603,1.9697,1.0,203.06,1.0011,4.472,66.0,False
243,falling,387.0,324.0,65.0,,template,0.3735,1.9697,1.0,101.53,1.3348,2.236,66.0,False
244,falling,387.0,324.0,65.0,,template,0.3696,1.9697,1.0,0.0,1.6685,0.0,66.0,False
245,falling,385.0,328.0,65.0,,template,0.3768,1.9697,1.0,203.06,2.0022,4.472,66.0,False
246,falling,385.0,327.0,65.0,,template,0.3811,1.9697,1.0,45.41,2.3359,1.0,66.0,False
247,falling,387.0,324.0,65.0,,template,0.3692,1.9697,1.0,163.71,2.6695,3.606,66.0,False
248,falling,387.0,323.0,65.0,,template,0.3693,1.9697,1.0,45.41,3.0032,1.0,66.0,False
249,falling,387.0,328.0,65.0,,template,0.3687,1.9697,1.0,227.03,3.3369,5.0,66.0,False
250,falling,385.0,326.0,65.0,,template,0.3861,1.9697,1.0,128.43,3.6706,2.828,66.0,False
251,falling,385.0,323.0,65.0,,template,0.3803,1.9697,1.0,136.22,4.0043,3.0,66.0,False
252,falling,387.0,322.0,65.0,,template,0.3748,1.9697,1.0,101.53,4.338,2.236,66.0,False
253,falling,387.0,324.0,65.0,,template,0.3729,1.9697,1.0,90.81,4.6717,2.0,66.0,False
254,falling,383.0,327.0,65.0,,template,0.3847,1.9697,1.0,227.03,5.0054,5.0,66.0,False
255,falling,387.0,325.0,65.0,,template,0.3837,1.9697,1.0,203.06,5.3391,4.472,66.0,False
256,falling,106.0,141.0,104.5,,hough,1.0,3.1661,1.6074,15250.93,5.6728,335.882,66.0,False
257,falling,387.0,328.0,65.0,,template,0.3857,1.9697,1.0,15325.97,6.0065,337.535,66.0,False
258,falling,383.0,326.0,65.0,,template,0.3981,1.9697,1.0,203.06,6.3402,4.472,66.0,False
259,falling,387.0,322.0,65.0,,template,0.3655,1.9697,1.0,256.85,6.6739,5.657,66.0,False
260,falling,387.0,320.0,65.0,,template,0.3713,1.9697,1.0,90.81,7.0076,2.0,66.0,False
261,falling,385.0,324.0,65.0,,template,0.3604,1.9697,1.0,203.06,7.3412,4.472,66.0,False
262,falling,385.0,324.0,65.0,,template,0.3701,1.9697,1.0,0.0,7.6749,0.0,66.0,False
263,falling,385.0,321.0,65.0,,template,0.3682,1.9697,1.0,136.22,8.0086,3.0,66.0,False
264,falling,387.0,318.0,65.0,,template,0.3813,1.9697,1.0,163.71,8.3423,3.606,66.0,False
265,falling,385.0,326.0,65.0,,template,0.3894,1.9697,1.0,374.42,8.676,8.246,66.0,False
266,falling,387.0,328.0,65.0,,template,0.3664,1.9697,1.0,128.43,9.0097,2.828,66.0,False
267,falling,548.0,263.0,65.0,,template,0.3756,1.9697,1.0,7883.59,9.3434,173.626,66.0,False
268,falling,107.0,156.7,104.2,,hough,1.0,3.1569,1.6027,20597.35,9.6771,453.631,66.0,False
269,falling,600.0,135.0,65.0,,template,0.6539,1.9697,1.0,22406.61,10.0108,493.477,66.0,False
270,falling,105.3,119.5,104.7,,hough,1.0,3.1722,1.6105,22473.15,10.3445,494.943,66.0,False
271,falling,601.0,171.0,65.0,,template,0.7372,1.9697,1.0,22628.68,10.6782,498.368,66.0,False
272,falling,601.0,197.0,65.0,,template,0.751,1.9697,1.0,1180.54,11.0119,26.0,66.0,False
273,falling,603.0,222.0,65.0,,template,0.7384,1.9697,1.0,1138.77,11.3456,25.08,66.0,False
274,falling,603.0,247.0,65.0,,template,0.7572,1.9697,1.0,1135.14,11.6793,25.0,66.0,False
275,falling,603.0,273.0,65.0,,template,0.7492,1.9697,1.0,1180.54,12.0129,26.0,66.0,False
276,falling,604.0,297.0,65.0,,template,0.7396,1.9697,1.0,1090.68,12.3466,24.021,66.0,False
277,falling,604.0,323.0,65.0,,template,0.749,1.9697,1.0,1180.54,12.6803,26.0,66.0,False
278,spreading,,,,93,contact_width,1.0,,0.7154,,13.014,,66.0,True
279,spreading,,,,137,contact_width,1.0,,1.0538,,13.3477,,66.0,False
280,spreading,,,,153,contact_width,1.0,,1.1769,,13.6814,,66.0,False
281,spreading,,,,196,contact_width,1.0,,1.5077,,14.0151,,66.0,False
282,spreading,,,,229,contact_width,1.0,,1.7615,,14.3488,,66.0,False
283,spreading,,,,251,contact_width,1.0,,1.9308,,14.6825,,66.0,False
284,spreading,,,,261,contact_width,1.0,,2.0077,,15.0162,,66.0,False
285,spreading,,,,270,contact_width,1.0,,2.0769,,15.3499,,66.0,False
286,spreading,,,,268,contact_width,1.0,,2.0615,,15.6836,,66.0,False
287,spreading,,,,258,contact_width,1.0,,1.9846,,16.0173,,66.0,False
288,spreading,,,,252,contact_width,1.0,,1.9385,,16.351,,66.0,False
289,spreading,,,,239,contact_width,1.0,,1.8385,,16.6846,,66.0,False
290,spreading,,,,225,contact_width,1.0,,1.7308,,17.0183,,66.0,False
291,spreading,,,,213,contact_width,1.0,,1.6385,,17.352,,66.0,False
292,spreading,,,,205,contact_width,1.0,,1.5769,,17.6857,,66.0,False
293,spreading,,,,191,contact_width,1.0,,1.4692,,18.0194,,66.0,False
294,spreading,,,,179,contact_width,1.0,,1.3769,,18.3531,,66.0,False
295,spreading,,,,172,contact_width,1.0,,1.3231,,18.6868,,66.0,False
296,spreading,,,,161,contact_width,1.0,,1.2385,,19.0205,,66.0,False
297,spreading,,,,153,contact_width,1.0,,1.1769,,19.3542,,66.0,False
298,spreading,,,,146,contact_width,1.0,,1.1231,,19.6879,,66.0,False
299,spreading,,,,141,contact_width,1.0,,1.0846,,20.0216,,66.0,False
300,spreading,,,,137,contact_width,1.0,,1.0538,,20.3553,,66.0,False
301,spreading,,,,133,contact_width,1.0,,1.0231,,20.689,,66.0,False
302,spreading,,,,128,contact_width,1.0,,0.9846,,21.0227,,66.0,False
303,spreading,,,,124,contact_width,1.0,,0.9538,,21.3564,,66.0,False
304,spreading,,,,117,contact_width,1.0,,0.9,,21.69,,66.0,False
305,spreading,,,,118,contact_width,1.0,,0.9077,,22.0237,,66.0,False
306,spreading,,,,118,contact_width,1.0,,0.9077,,22.3574,,66.0,False
307,spreading,,,,117,contact_width,1.0,,0.9,,22.6911,,66.0,False
308,spreading,,,,120,contact_width,1.0,,0.9231,,23.0248,,66.0,False
309,spreading,,,,119,contact_width,1.0,,0.9154,,23.3585,,66.0,False
310,spreading,,,,116,contact_width,1.0,,0.8923,,23.6922,,66.0,False
311,spreading,,,,115,contact_width,1.0,,0.8846,,24.0259,,66.0,False
312,spreading,,,,111,contact_width,1.0,,0.8538,,24.3596,,66.0,False
313,spreading,,,,109,contact_width,1.0,,0.8385,,24.6933,,66.0,False
314,spreading,,,,110,contact_width,1.0,,0.8462,,25.027,,66.0,False
315,spreading,,,,110,contact_width,1.0,,0.8462,,25.3607,,66.0,False
316,spreading,,,,112,contact_width,1.0,,0.8615,,25.6944,,66.0,False
317,spreading,,,,115,contact_width,1.0,,0.8846,,26.0281,,66.0,False
318,spreading,,,,116,contact_width,1.0,,0.8923,,26.3617,,66.0,False
319,spreading,,,,118,contact_width,1.0,,0.9077,,26.6954,,66.0,False
320,spreading,,,,123,contact_width,1.0,,0.9462,,27.0291,,66.0,False
321,spreading,,,,127,contact_width,1.0,,0.9769,,27.3628,,66.0,False
322,spreading,,,,127,contact_width,1.0,,0.9769,,27.6965,,66.0,False
323,spreading,,,,132,contact_width,1.0,,1.0154,,28.0302,,66.0,False
324,spreading,,,,136,contact_width,1.0,,1.0462,,28.3639,,66.0,False
325,spreading,,,,138,contact_width,1.0,,1.0615,,28.6976,,66.0,False
326,spreading,,,,143,contact_width,1.0,,1.1,,29.0313,,66.0,False
327,spreading,,,,146,contact_width,1.0,,1.1231,,29.365,,66.0,False
328,spreading,,,,149,contact_width,1.0,,1.1462,,29.6987,,66.0,False
329,spreading,,,,151,contact_width,1.0,,1.1615,,30.0324,,66.0,False
330,spreading,,,,152,contact_width,1.0,,1.1692,,30.3661,,66.0,False
331,spreading,,,,155,contact_width,1.0,,1.1923,,30.6998,,66.0,False
332,spreading,,,,159,contact_width,1.0,,1.2231,,31.0334,,66.0,False
333,spreading,,,,161,contact_width,1.0,,1.2385,,31.3671,,66.0,False
334,spreading,,,,163,contact_width,1.0,,1.2538,,31.7008,,66.0,False
335,spreading,,,,165,contact_width,1.0,,1.2692,,32.0345,,66.0,False
336,spreading,,,,165,contact_width,1.0,,1.2692,,32.3682,,66.0,False
337,spreading,,,,166,contact_width,1.0,,1.2769,,32.7019,,66.0,False
338,spreading,,,,166,contact_width,1.0,,1.2769,,33.0356,,66.0,False
339,rebounding,,,,,null,0.0,,,,33.3693,,66.0,True
340,rebounding,46.0,20.1,42.0,,hough,1.0,1.2727,0.6462,,33.703,,66.0,False
341,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,34.0367,0.0,66.0,False
342,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,34.3704,0.0,66.0,False
343,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,34.7041,0.0,66.0,False
344,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,35.0378,0.0,66.0,False
345,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,35.3715,0.0,66.0,False
346,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,35.7052,0.0,66.0,False
347,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,36.0388,0.0,66.0,False
348,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,36.3725,0.0,66.0,False
349,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,36.7062,0.0,66.0,False
350,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,37.0399,0.0,66.0,False
351,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,37.3736,0.0,66.0,False
352,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,37.7073,0.0,66.0,False
353,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,38.041,0.0,66.0,False
354,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,38.3747,0.0,66.0,False
355,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,38.7084,0.0,66.0,False
356,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,39.0421,0.0,66.0,False
357,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,39.3758,0.0,66.0,False
358,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,39.7095,0.0,66.0,False
359,rebounding,46.0,20.1,42.0,,last_known,0.3,1.2727,0.6462,0.0,40.0432,0.0,66.0,False
