frame,drop_id,cx,cy,area_px,percentage
1688,1,510,90,35583,100.0
1692,1,510,203,34890,98.05
1696,1,510,289,40301,113.26
1700,1,502,300,39221,110.22
1704,1,503,299,48520,136.36
1708,1,502,296,54546,153.29
1712,1,499,292,56814,159.67
1716,1,481,288,55166,155.03
1720,1,504,283,49322,138.61
1720,2,192,274,383,1.08
1720,3,230,267,145,0.41
1724,1,504,265,48838,137.25
1728,1,512,220,51600,145.01
1732,1,524,200,47472,133.41
1736,1,514,168,41376,116.28
1740,1,518,165,45958,129.16
1744,1,524,160,48723,136.93
1748,1,539,155,50875,142.98
1752,1,543,142,43596,122.52
1756,1,542,132,37423,105.17
1760,1,549,121,34701,97.52
1764,1,559,93,29786,83.71
1768,1,565,79,27100,76.16
1772,1,561,64,20406,57.35
1776,1,555,59,16778,47.15
1780,1,551,48,16010,44.99
1784,1,555,34,12720,35.75
1788,1,558,24,8820,24.79
1792,1,560,15,4561,12.82
1796,1,566,8,2036,5.72
1800,1,547,2,435,1.22
1892,1,610,2,666,1.87
1896,1,597,13,3960,11.13
1900,1,595,20,6853,19.26
1904,1,594,28,9870,27.74
1908,1,589,38,13036,36.64
1912,1,582,48,16239,45.64
1916,1,580,57,19509,54.83
1920,1,585,65,22953,64.51
1924,1,589,76,26012,73.1
1928,1,591,90,28710,80.68
1932,1,592,113,29717,83.51
1936,1,594,141,30008,84.33
1940,1,596,169,30582,85.95
1944,1,596,197,30852,86.7
1948,1,597,215,27468,77.19
1952,1,598,232,24449,68.71
1956,1,603,246,22613,63.55
1960,1,607,255,20725,58.24
1964,1,609,255,20431,57.42
1968,1,609,252,21401,60.14
1972,1,610,243,23275,65.41
1976,1,608,225,26773,75.24
1980,1,606,211,29525,82.98
1984,1,605,201,29895,84.01
1988,1,607,191,29641,83.3
1992,1,608,183,29649,83.32
1996,1,612,176,30745,86.4
2000,1,613,169,31983,89.88
2004,1,614,156,31182,87.63
2008,1,617,142,29575,83.12
2012,1,617,131,29110,81.81
2016,1,620,128,29811,83.78
2020,1,623,127,29458,82.79
2024,1,626,126,29138,81.89
2028,1,627,123,29886,83.99
2032,1,629,118,30735,86.38
2036,1,630,117,29984,84.26
2040,1,632,119,29840,83.86
2044,1,634,125,30771,86.48
2048,1,635,132,31706,89.1
2052,1,637,136,31470,88.44
2056,1,639,139,30540,85.83
2060,1,641,143,29909,84.05
2064,1,643,150,29823,83.81
2068,1,645,162,29336,82.44
2072,1,646,176,29010,81.53
2076,1,649,189,29496,82.89
2080,1,651,198,29949,84.17
2084,1,653,206,29047,81.63
2088,1,655,216,27821,78.19
2092,1,657,225,26364,74.09
2096,1,659,233,24992,70.24
2100,1,660,241,23001,64.64
2104,1,661,242,23004,64.65
2108,1,662,241,23931,67.25
2112,1,665,236,25782,72.46
2116,1,667,230,27259,76.61
2120,1,668,222,28476,80.03
2124,1,669,214,28850,81.08
2128,1,670,205,29233,82.15
2132,1,671,198,30773,86.48
2136,1,670,196,31442,88.36
2140,1,669,196,30783,86.51
2144,1,667,198,30692,86.25
2148,1,665,201,30290,85.12
2152,1,662,206,28846,81.07
2156,1,659,215,27613,77.6
2160,1,655,224,26726,75.11
2164,1,650,231,25829,72.59
2168,1,645,235,24881,69.92
2172,1,642,239,23781,66.83
2176,1,639,241,22905,64.37
2180,1,638,238,23401,65.76
2184,1,636,232,24386,68.53
2188,1,634,226,26716,75.08
2192,1,631,219,28099,78.97
2196,1,628,214,28987,81.46
2200,1,628,212,29496,82.89
2204,1,628,209,29071,81.7
2208,1,629,208,28818,80.99
2212,1,630,210,28612,80.41
2216,1,630,215,28172,79.17
2220,1,632,220,27019,75.93
2224,1,635,227,25824,72.57
2228,1,638,233,24238,68.12
2232,1,642,238,23616,66.37
2236,1,644,239,23989,67.42
2240,1,646,237,24719,69.47
2244,1,648,234,25532,71.75
2248,1,650,229,26204,73.64
2252,1,653,224,26902,75.6
2256,1,656,219,27910,78.44
2260,1,659,214,29130,81.86
2264,1,661,211,29258,82.22
2268,1,661,212,29067,81.69
2272,1,662,214,28536,80.2
2276,1,662,218,27419,77.06
2280,1,662,223,26914,75.64
2284,1,662,228,26325,73.98
2288,1,661,233,25558,71.83
2292,1,659,237,24976,70.19
2296,1,656,239,24270,68.21
2300,1,653,239,24186,67.97
2304,1,651,234,25005,70.27
2308,1,650,228,26031,73.16
2312,1,648,223,27018,75.93
2316,1,646,218,27409,77.03
2320,1,644,215,27735,77.94
2324,1,642,213,28221,79.31
2328,1,641,213,28474,80.02
2332,1,640,214,28610,80.4
2336,1,640,218,28027,78.77
2340,1,639,223,27192,76.42
2344,1,639,229,25873,72.71
2348,1,639,234,24722,69.48
2352,1,640,237,24112,67.76
2356,1,640,238,23886,67.13
2360,1,641,237,24418,68.62
2364,1,642,234,24967,70.17
2368,1,643,229,25849,72.64
2372,1,644,223,26852,75.46
2376,1,645,218,27788,78.09
2380,1,647,215,28618,80.43
2384,1,648,214,28865,81.12
2388,1,650,215,28262,79.43
2392,1,651,217,27738,77.95
2396,1,652,221,26937,75.7
2400,1,653,226,26276,73.84
2404,1,654,231,25369,71.3
2408,1,654,235,24809,69.72
2412,1,655,238,24145,67.86
2416,1,655,238,24189,67.98
2420,1,655,236,24914,70.02
2424,1,654,232,25948,72.92
2428,1,654,227,26999,75.88
2432,1,654,222,27562,77.46
2436,1,653,218,27882,78.36
2440,1,652,216,28032,78.78
2444,1,650,215,27970,78.6
2448,1,649,216,27854,78.28
2452,1,648,219,27610,77.59
2456,1,647,223,26938,75.7
2460,1,645,228,26266,73.82
2464,1,644,233,25390,71.35
2468,1,643,236,24954,70.13
2472,1,642,237,24749,69.55
2476,1,641,237,24803,69.7
2480,1,641,234,25054,70.41
2484,1,639,230,25630,72.03
2488,1,639,225,26312,73.95
2492,1,639,221,27170,76.36
2496,1,639,217,27591,77.54
2500,1,640,216,28036,78.79
2504,1,641,216,28247,79.38
2508,1,642,217,27843,78.25
2512,1,644,221,27321,76.78
2516,1,646,225,26696,75.02
2520,1,647,230,26005,73.08
2524,1,648,234,25253,70.97
2528,1,650,236,24440,68.68
2532,1,651,237,24219,68.06
2536,1,653,235,24544,68.98
2540,1,654,232,25367,71.29
2544,1,655,228,26214,73.67
2548,1,656,223,27009,75.9
2552,1,656,220,27826,78.2
2556,1,656,218,28508,80.12
2560,1,656,216,28822,81.0
2564,1,655,217,28713,80.69
2568,1,654,220,27985,78.65
2572,1,653,223,27119,76.21
2576,1,652,228,26165,73.53
2580,1,650,232,25064,70.44
2584,1,649,235,24499,68.85
2588,1,647,236,24427,68.65
2592,1,645,235,24470,68.77
2596,1,644,233,25030,70.34
2600,1,642,230,25862,72.68
2604,1,641,226,26812,75.35
2608,1,640,221,27364,76.9
2612,1,639,218,27927,78.48
2616,1,639,216,28139,79.08
2620,1,638,217,28003,78.7
2624,1,639,218,27392,76.98
2628,1,640,221,26725,75.11
2632,1,640,226,26331,74.0
2636,1,642,230,25808,72.53
2640,1,643,233,25079,70.48
2644,1,645,235,24555,69.01
2648,1,646,236,24690,69.39
2652,1,647,235,25122,70.6
2656,1,649,231,25662,72.12
2660,1,651,227,26508,74.5
2664,1,652,224,27149,76.3
2668,1,653,220,27278,76.66
2672,1,654,218,27563,77.46
2676,1,655,217,27579,77.51
2680,1,655,218,27628,77.64
2684,1,656,220,27461,77.17
2688,1,655,224,26999,75.88
2692,1,655,228,26343,74.03
2696,1,654,232,25642,72.06
2700,1,653,234,25132,70.63
2704,1,651,236,24841,69.81
2708,1,650,235,24773,69.62
2712,1,649,233,25262,70.99
2716,1,648,230,25813,72.54
2720,1,646,226,26301,73.91
2724,1,645,222,26856,75.47
2728,1,644,219,27284,76.68
2732,1,643,217,27758,78.01
2736,1,642,217,27666,77.75
2740,1,641,219,27697,77.84
2744,1,641,222,27273,76.65
2748,1,641,226,26742,75.15
2752,1,641,230,26046,73.2
2756,1,641,233,25159,70.71
2760,1,642,235,24590,69.11
2764,1,642,235,24354,68.44
2768,1,643,234,24698,69.41
2772,1,644,231,25309,71.13
2776,1,645,227,26082,73.3
2780,1,646,223,26869,75.51
2784,1,647,221,27435,77.1
2788,1,648,218,28009,78.71
2792,1,649,218,28250,79.39
2796,1,650,218,27979,78.63
2800,1,651,221,27403,77.01
2804,1,652,224,26619,74.81
2808,1,652,228,25925,72.86
2812,1,653,232,25257,70.98
2816,1,653,234,24779,69.64
2820,1,653,235,24350,68.43
2824,1,653,234,24586,69.09
2828,1,653,233,25328,71.18
2832,1,652,229,25938,72.89
2836,1,652,225,26654,74.91
2840,1,651,222,27445,77.13
2844,1,650,220,27832,78.22
2848,1,649,218,27843,78.25
2852,1,648,218,27512,77.32
2856,1,647,220,27131,76.25
2860,1,646,223,26729,75.12
2864,1,645,226,26221,73.69
2868,1,644,230,25638,72.05
2872,1,643,233,25206,70.84
2876,1,643,235,24950,70.12
2880,1,643,235,25012,70.29
2884,1,642,233,25252,70.97
2888,1,642,231,25744,72.35
