frame,drop_id,cx,cy,area_px,percentage
58,1,551,166,3825,100.0
59,1,551,164,4387,114.69
60,1,551,164,4467,116.78
61,1,551,163,4479,117.1
62,1,551,162,4523,118.25
63,1,552,162,4536,118.59
64,1,552,164,4455,116.47
65,1,552,165,4421,115.58
66,1,552,163,4440,116.08
67,1,552,164,4441,116.1
68,1,552,165,4435,115.95
69,1,552,165,4453,116.42
70,1,553,165,4427,115.74
71,1,553,165,4417,115.48
72,1,553,165,4447,116.26
73,1,553,164,4435,115.95
74,1,553,165,4430,115.82
75,1,553,167,4327,113.12
76,1,553,166,4340,113.46
77,1,553,167,4376,114.41
78,1,554,167,4324,113.05
79,1,554,166,4399,115.01
80,1,554,168,4377,114.43
81,1,554,167,4417,115.48
82,1,554,167,4397,114.95
83,1,554,167,4393,114.85
84,1,554,167,4458,116.55
85,1,555,166,4446,116.24
86,1,555,165,4497,117.57
87,1,555,166,4412,115.35
88,1,555,168,4343,113.54
89,1,555,167,4384,114.61
90,1,555,169,4323,113.02
91,1,556,169,4413,115.37
92,1,556,168,4344,113.57
93,1,556,167,4463,116.68
94,1,556,168,4458,116.55
95,1,556,167,4502,117.7
96,1,556,168,4498,117.59
97,1,556,168,4487,117.31
98,1,556,167,4487,117.31
99,1,557,167,4493,117.46
100,1,557,166,4524,118.27
101,1,557,167,4495,117.52
102,1,557,166,4474,116.97
103,1,557,166,4544,118.8
104,1,557,166,4515,118.04
105,1,557,166,4537,118.61
106,1,557,167,4528,118.38
107,1,557,166,4569,119.45
108,1,557,166,4594,120.1
109,1,558,167,4518,118.12
110,1,558,167,4565,119.35
111,1,558,166,4557,119.14
112,1,558,168,4601,120.29
113,1,558,167,4594,120.1
114,1,558,165,4616,120.68
115,1,558,167,4556,119.11
116,1,558,167,4555,119.08
117,1,559,166,4589,119.97
118,1,559,168,4566,119.37
119,1,559,167,4596,120.16
120,1,559,166,4623,120.86
121,1,559,166,4665,121.96
122,1,559,165,4668,122.04
123,1,559,166,4627,120.97
124,1,559,166,4680,122.35
125,1,559,166,4623,120.86
126,1,559,167,4637,121.23
127,1,559,168,4567,119.4
128,1,559,166,4659,121.8
129,1,559,166,4661,121.86
130,1,560,165,4707,123.06
131,1,560,166,4688,122.56
132,1,560,165,4750,124.18
133,1,560,165,4749,124.16
134,1,560,166,4765,124.58
135,1,560,166,4786,125.12
136,1,560,167,4709,123.11
137,1,560,167,4646,121.46
138,1,560,167,4671,122.12
139,1,560,167,4691,122.64
140,1,560,167,4761,124.47
141,1,560,167,4704,122.98
142,1,560,167,4717,123.32
143,1,560,166,4741,123.95
144,1,561,166,4716,123.29
145,1,560,166,4708,123.08
146,1,561,167,4700,122.88
147,1,561,166,4724,123.5
148,1,561,165,4725,123.53
149,1,561,167,4667,122.01
150,1,561,166,4708,123.08
151,1,561,164,4748,124.13
152,1,561,165,4782,125.02
153,1,561,166,4703,122.95
154,1,561,167,4688,122.56
155,1,561,166,4680,122.35
156,1,561,167,4648,121.52
157,1,561,167,4706,123.03
158,1,562,167,4687,122.54
159,1,561,167,4624,120.89
160,1,562,168,4654,121.67
161,1,561,166,4712,123.19
162,1,562,166,4749,124.16
163,1,562,166,4647,121.49
164,1,562,169,4701,122.9
165,1,562,168,4777,124.89
166,1,562,168,4664,121.93
167,1,562,166,4732,123.71
168,1,562,167,4761,124.47
169,1,562,167,4772,124.76
170,1,562,167,4750,124.18
171,1,562,167,4735,123.79
172,1,562,167,4742,123.97
173,1,562,167,4718,123.35
174,1,562,169,4620,120.78
175,1,562,169,4649,121.54
176,1,562,168,4695,122.75
177,1,563,169,4714,123.24
178,1,563,169,4701,122.9
179,1,563,169,4742,123.97
180,1,563,168,4713,123.22
181,1,563,169,4707,123.06
182,1,563,168,4597,120.18
183,1,563,166,4737,123.84
184,1,563,168,4738,123.87
185,1,563,168,4632,121.1
186,1,563,169,4748,124.13
187,1,563,167,4732,123.71
188,1,563,169,4713,123.22
189,1,563,169,4711,123.16
190,1,563,169,4654,121.67
191,1,563,169,4629,121.02
192,1,563,170,4612,120.58
193,1,563,168,4685,122.48
194,1,563,169,4706,123.03
195,1,564,168,4747,124.1
196,1,563,168,4715,123.27
197,1,563,169,4683,122.43
198,1,564,170,4620,120.78
199,1,564,170,4703,122.95
200,1,564,170,4691,122.64
201,1,564,169,4654,121.67
202,1,564,168,4714,123.24
203,1,564,171,4569,119.45
204,1,564,171,4677,122.27
205,1,564,170,4692,122.67
206,1,564,171,4683,122.43
207,1,564,170,4686,122.51
208,1,564,169,4699,122.85
209,1,564,169,4707,123.06
210,1,564,169,4711,123.16
211,1,564,169,4756,124.34
212,1,564,169,4757,124.37
213,1,564,170,4711,123.16
214,1,564,171,4709,123.11
215,1,564,170,4712,123.19
216,1,564,171,4616,120.68
217,1,564,170,4715,123.27
