frame,drop_id,cx,cy,area_px,percentage
388,1,354,73,25937,100.0
392,1,354,177,35451,136.68
396,1,364,285,44405,171.2
400,1,435,304,36748,141.68
404,1,452,303,40796,157.29
404,2,785,288,300,1.16
408,1,457,301,43430,167.44
412,1,449,300,47098,181.59
416,1,412,300,50588,195.04
416,2,704,258,2636,10.16
420,1,397,284,51732,199.45
424,1,351,278,39645,152.85
424,2,689,257,2527,9.74
428,1,351,254,43669,168.37
428,2,699,247,446,1.72
428,3,673,242,201,0.77
428,4,702,271,51,0.2
432,1,348,228,54929,211.78
432,2,682,249,924,3.56
436,1,355,207,55379,213.51
436,2,683,247,298,1.15
436,3,673,279,145,0.56
436,4,652,246,97,0.37
436,5,263,327,80,0.31
436,6,692,276,74,0.29
436,7,653,269,57,0.22
440,1,376,209,45638,175.96
440,2,250,285,4756,18.34
440,3,675,282,90,0.35
440,4,376,142,87,0.34
444,1,369,201,45869,176.85
444,2,653,269,1877,7.24
448,1,377,184,45044,173.67
448,2,645,276,2818,10.86
452,1,387,175,44414,171.24
452,2,638,280,1965,7.58
456,1,389,169,44083,169.96
456,2,631,280,2896,11.17
460,1,392,166,36079,139.1
460,2,625,277,3012,11.61
464,1,387,118,22870,88.18
468,1,385,93,23606,91.01
468,2,414,91,57,0.22
472,1,393,77,23097,89.05
476,1,395,55,18118,69.85
480,1,386,35,13887,53.54
484,1,377,28,9895,38.15
488,1,361,22,6602,25.45
492,1,359,22,6237,24.05
496,1,355,24,5971,23.02
500,1,362,26,6595,25.43
504,1,380,29,6225,24.0
508,1,398,33,6739,25.98
512,1,407,31,6107,23.55
516,1,417,21,4887,18.84
520,1,416,12,2535,9.77
524,1,423,2,417,1.61
540,1,344,7,1050,4.05
544,1,350,10,1809,6.97
548,1,343,14,3193,12.31
552,1,346,23,4867,18.76
556,1,354,24,5454,21.03
560,1,369,23,5659,21.82
564,1,389,17,4105,15.83
568,1,415,15,3107,11.98
572,1,413,17,3387,13.06
576,1,381,18,5507,21.23
580,1,357,34,9931,38.29
584,1,356,47,14451,55.72
588,1,351,61,18244,70.34
592,1,351,76,20264,78.13
596,1,354,89,20371,78.54
600,1,362,101,20877,80.49
604,1,366,105,22447,86.54
608,1,361,107,21152,81.55
612,1,362,126,24039,92.68
616,1,361,149,22387,86.31
620,1,358,179,22024,84.91
624,1,352,208,25911,99.9
628,1,333,208,15836,61.06
628,2,344,224,582,2.24
632,1,318,224,13524,52.14
636,1,307,255,11394,43.93
640,1,317,245,12787,49.3
644,1,327,237,12522,48.28
648,1,377,248,18069,69.66
652,1,351,236,15731,60.65
656,1,371,228,20636,79.56
660,1,374,217,23738,91.52
664,1,373,200,21192,81.71
668,1,373,205,27376,105.55
672,1,374,209,29681,114.43
676,1,372,208,35002,134.95
680,1,376,199,41031,158.19
684,1,378,189,38906,150.0
688,1,376,186,35212,135.76
692,1,381,193,31659,122.06
696,1,375,200,32030,123.49
700,1,370,207,28519,109.95
704,1,371,213,25938,100.0
708,1,374,214,24164,93.16
712,1,378,212,22897,88.28
716,1,380,214,23108,89.09
720,1,377,223,26237,101.16
724,1,375,232,25148,96.96
728,1,374,240,23193,89.42
732,1,375,240,26755,103.15
736,1,379,237,30862,118.99
740,1,380,237,32474,125.2
744,1,381,235,27532,106.15
748,1,381,235,26166,100.88
752,1,380,229,28545,110.06
756,1,377,225,29032,111.93
760,1,378,220,27722,106.88
764,1,382,215,26604,102.57
768,1,385,213,26859,103.55
772,1,386,212,27412,105.69
776,1,385,212,29031,111.93
780,1,384,215,30510,117.63
784,1,384,213,29552,113.94
788,1,386,211,32132,123.88
792,1,388,213,33474,129.06
796,1,391,218,32329,124.64
800,1,391,224,27393,105.61
804,1,391,228,26405,101.8
808,1,389,231,25154,96.98
812,1,391,231,24576,94.75
816,1,394,230,24361,93.92
820,1,396,228,24444,94.24
824,1,399,229,24977,96.3
828,1,400,230,25512,98.36
832,1,398,229,27611,106.45
836,1,397,225,29583,114.06
840,1,399,219,29897,115.27
844,1,400,218,31039,119.67
848,1,403,219,31709,122.25
852,1,404,220,30169,116.32
856,1,403,220,27670,106.68
860,1,402,220,27184,104.81
864,1,402,220,27359,105.48
868,1,403,221,26813,103.38
872,1,406,222,26695,102.92
876,1,408,224,26909,103.75
880,1,407,227,27658,106.64
884,1,406,228,29179,112.5
888,1,405,228,29444,113.52
892,1,405,227,29461,113.59
896,1,406,225,28916,111.49
900,1,407,227,29565,113.99
904,1,409,228,29175,112.48
908,1,408,226,27348,105.44
912,1,407,224,26117,100.69
916,1,405,222,26553,102.37
920,1,405,221,27506,106.05
924,1,405,220,27829,107.29
928,1,407,220,28015,108.01
932,1,407,222,29261,112.82
936,1,406,222,30684,118.3
940,1,404,221,30429,117.32
944,1,402,220,30324,116.91
948,1,401,223,29660,114.35
952,1,402,227,28604,110.28
956,1,403,229,27903,107.58
960,1,403,230,26697,102.93
964,1,403,229,25357,97.76
968,1,400,227,25231,97.28
972,1,398,227,26397,101.77
976,1,398,226,26758,103.17
980,1,399,225,26686,102.89
984,1,400,224,27514,106.08
988,1,400,223,29803,114.91
992,1,398,221,31006,119.54
996,1,396,220,29768,114.77
1000,1,395,221,28770,110.92
1004,1,395,222,28903,111.44
1008,1,397,224,28059,108.18
1012,1,398,224,26859,103.55
1016,1,399,225,26208,101.04
1020,1,398,225,25961,100.09
1024,1,396,226,26362,101.64
1028,1,396,227,27093,104.46
1032,1,396,227,27588,106.37
1036,1,398,227,28027,108.06
1040,1,400,226,29004,111.82
1044,1,400,225,30378,117.12
1048,1,399,223,29982,115.6
1052,1,398,222,28617,110.33
1056,1,398,222,27930,107.68
1060,1,400,223,28160,108.57
1064,1,402,222,27342,105.42
1068,1,403,222,26802,103.34
1072,1,403,222,26881,103.64
1076,1,402,222,27400,105.64
1080,1,401,223,28086,108.29
1084,1,402,224,28633,110.39
1088,1,403,225,28621,110.35
1092,1,405,225,28946,111.6
1096,1,406,225,29461,113.59
1100,1,405,226,29277,112.88
1104,1,404,226,28175,108.63
1108,1,403,227,27271,105.14
1112,1,403,226,26914,103.77
1116,1,405,226,26870,103.6
1120,1,406,224,26794,103.3
1124,1,406,223,27039,104.25
1128,1,405,222,27617,106.48
1132,1,403,222,28623,110.36
1136,1,402,222,29377,113.26
1140,1,402,221,29279,112.89
1144,1,403,222,29364,113.21
1148,1,404,223,29695,114.49
1152,1,403,224,29257,112.8
1156,1,401,225,27767,107.06
1160,1,399,226,26562,102.41
1164,1,399,227,26280,101.32
1168,1,399,227,26127,100.73
1172,1,400,227,26213,101.06
1176,1,401,227,26287,101.35
1180,1,400,226,26956,103.93
1184,1,398,225,27909,107.6
1188,1,396,224,28724,110.75
1192,1,395,222,29059,112.04
1196,1,396,221,29148,112.38
