frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
58,falling,1,551,166,3825,100.0,sam2,,,
59,falling,1,551,164,4387,114.69,sam2,2.0,5993.533,90.128
60,falling,1,551,164,4467,116.78,sam2,0.0,0.0,0.0
61,falling,1,551,163,4479,117.1,sam2,1.0,2996.766,45.064
62,falling,1,551,162,4523,118.25,sam2,1.0,2996.766,45.064
63,falling,1,552,162,4536,118.59,sam2,1.0,2996.766,45.064
64,falling,1,552,164,4455,116.47,sam2,2.0,5993.533,90.128
65,falling,1,552,165,4421,115.58,sam2,1.0,2996.766,45.064
66,falling,1,552,163,4440,116.08,sam2,2.0,5993.533,90.128
67,falling,1,552,164,4441,116.1,sam2,1.0,2996.766,45.064
68,falling,1,552,165,4435,115.95,sam2,1.0,2996.766,45.064
69,falling,1,552,165,4453,116.42,sam2,0.0,0.0,0.0
70,falling,1,553,165,4427,115.74,sam2,1.0,2996.766,45.064
71,falling,1,553,165,4417,115.48,sam2,0.0,0.0,0.0
72,falling,1,553,165,4447,116.26,sam2,0.0,0.0,0.0
73,falling,1,553,164,4435,115.95,sam2,1.0,2996.766,45.064
74,falling,1,553,165,4430,115.82,sam2,1.0,2996.766,45.064
75,falling,1,553,167,4327,113.12,sam2,2.0,5993.533,90.128
76,falling,1,553,166,4340,113.46,sam2,1.0,2996.766,45.064
77,falling,1,553,167,4376,114.41,sam2,1.0,2996.766,45.064
78,falling,1,554,167,4324,113.05,sam2,1.0,2996.766,45.064
79,falling,1,554,166,4399,115.01,sam2,1.0,2996.766,45.064
80,falling,1,554,168,4377,114.43,sam2,2.0,5993.533,90.128
81,falling,1,554,167,4417,115.48,sam2,1.0,2996.766,45.064
82,falling,1,554,167,4397,114.95,sam2,0.0,0.0,0.0
83,falling,1,554,167,4393,114.85,sam2,0.0,0.0,0.0
84,falling,1,554,167,4458,116.55,sam2,0.0,0.0,0.0
85,falling,1,555,166,4446,116.24,sam2,1.414,4238.068,63.73
86,falling,1,555,165,4497,117.57,sam2,1.0,2996.766,45.064
87,falling,1,555,166,4412,115.35,sam2,1.0,2996.766,45.064
88,falling,1,555,168,4343,113.54,sam2,2.0,5993.533,90.128
89,falling,1,555,167,4384,114.61,sam2,1.0,2996.766,45.064
90,falling,1,555,169,4323,113.02,sam2,2.0,5993.533,90.128
91,falling,1,556,169,4413,115.37,sam2,1.0,2996.766,45.064
92,falling,1,556,168,4344,113.57,sam2,1.0,2996.766,45.064
93,falling,1,556,167,4463,116.68,sam2,1.0,2996.766,45.064
94,falling,1,556,168,4458,116.55,sam2,1.0,2996.766,45.064
95,falling,1,556,167,4502,117.7,sam2,1.0,2996.766,45.064
96,falling,1,556,168,4498,117.59,sam2,1.0,2996.766,45.064
97,falling,1,556,168,4487,117.31,sam2,0.0,0.0,0.0
98,falling,1,556,167,4487,117.31,sam2,1.0,2996.766,45.064
99,falling,1,557,167,4493,117.46,sam2,1.0,2996.766,45.064
100,falling,1,557,166,4524,118.27,sam2,1.0,2996.766,45.064
101,falling,1,557,167,4495,117.52,sam2,1.0,2996.766,45.064
102,falling,1,557,166,4474,116.97,sam2,1.0,2996.766,45.064
103,falling,1,557,166,4544,118.8,sam2,0.0,0.0,0.0
104,falling,1,557,166,4515,118.04,sam2,0.0,0.0,0.0
105,falling,1,557,166,4537,118.61,sam2,0.0,0.0,0.0
106,falling,1,557,167,4528,118.38,sam2,1.0,2996.766,45.064
107,falling,1,557,166,4569,119.45,sam2,1.0,2996.766,45.064
108,falling,1,557,166,4594,120.1,sam2,0.0,0.0,0.0
109,falling,1,558,167,4518,118.12,sam2,1.414,4238.068,63.73
110,falling,1,558,167,4565,119.35,sam2,0.0,0.0,0.0
111,falling,1,558,166,4557,119.14,sam2,1.0,2996.766,45.064
112,falling,1,558,168,4601,120.29,sam2,2.0,5993.533,90.128
113,falling,1,558,167,4594,120.1,sam2,1.0,2996.766,45.064
114,falling,1,558,165,4616,120.68,sam2,2.0,5993.533,90.128
