frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
6153,1,falling,26105.5,65.401,3,136,90.9,175.6,268.904,147.957,11.9,0.217,218.0,114.0,293.0,11.9,147.957,1.817,0.46,0.864,0,199.465,2.9995,1.0,0.0,128.4,,,66.5,
6188,1,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,11.6793,0,,,66.5,
6189,2,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,12.0129,0,,,66.5,
6190,3,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,12.3466,0,,,66.5,
6191,4,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,12.6803,0,,,66.5,
6192,5,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,13.014,0,,,66.5,
6193,6,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,13.3477,0,,,66.5,
6194,7,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,13.6814,0,,,66.5,
6195,8,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,14.0151,0,,,66.5,
6196,9,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,14.3488,0,,,66.5,
6197,10,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,14.6825,0,,,66.5,
6198,11,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,15.0162,0,,,66.5,
6199,12,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,15.3499,0,,,66.5,
6200,13,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,15.6836,0,,,66.5,
6201,14,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,16.0173,0,,,66.5,
6202,15,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,16.351,0,,,66.5,
6203,16,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,16.6846,0,,,66.5,
6204,17,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,17.0183,0,,,66.5,
6205,18,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,17.352,0,,,66.5,
6206,19,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,17.6857,0,,,66.5,
6207,20,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,18.0194,0,,,66.5,
6208,21,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,18.3531,0,,,66.5,
6209,22,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,18.6868,0,,,66.5,
6210,23,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,19.0205,0,,,66.5,
6211,24,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,19.3542,0,,,66.5,
6212,25,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,66.5,
6213,26,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,66.5,
6214,27,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,66.5,
6215,28,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,20.689,0,,,66.5,
6216,29,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,66.5,
6217,30,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,66.5,
6218,31,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,21.69,0,,,66.5,
