frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
784,1,falling,26261.0,48.345,3,202,459.2,244.4,200.121,190.121,137.9,0.365,212.8,538.0,316.0,137.9,190.121,1.053,0.835,0.834,0,195.057,2.9332,1.0,0.0,111.6,,,66.5,
816,1,spreading,,,,,,356,,,,,,,,,,,0.0,,282,,,1.4457,10.6782,0,,,66.5,
817,2,spreading,,,,,,356,,,,,,,,,,,0.0,,281,,,1.4406,11.0119,0,,,66.5,
818,3,spreading,,,,,,356,,,,,,,,,,,0.0,,292,,,1.497,11.3456,0,,,66.5,
819,4,spreading,,,,,,356,,,,,,,,,,,0.0,,300,,,1.538,11.6793,0,,,66.5,
820,5,spreading,,,,,,356,,,,,,,,,,,0.0,,306,,,1.5688,12.0129,0,,,66.5,
821,6,spreading,,,,,,356,,,,,,,,,,,0.0,,311,,,1.5944,12.3466,0,,,66.5,
822,7,spreading,,,,,,356,,,,,,,,,,,0.0,,314,,,1.6098,12.6803,0,,,66.5,
823,8,spreading,,,,,,356,,,,,,,,,,,0.0,,314,,,1.6098,13.014,0,,,66.5,
824,9,spreading,,,,,,356,,,,,,,,,,,0.0,,312,,,1.5995,13.3477,0,,,66.5,
825,10,spreading,,,,,,356,,,,,,,,,,,0.0,,306,,,1.5688,13.6814,0,,,66.5,
826,11,spreading,,,,,,356,,,,,,,,,,,0.0,,295,,,1.5124,14.0151,0,,,66.5,
827,12,spreading,,,,,,356,,,,,,,,,,,0.0,,184,,,0.9433,14.3488,0,,,66.5,
828,13,spreading,,,,,,356,,,,,,,,,,,0.0,,184,,,0.9433,14.6825,0,,,66.5,
829,14,spreading,,,,,,356,,,,,,,,,,,0.0,,184,,,0.9433,15.0162,0,,,66.5,
830,15,spreading,,,,,,356,,,,,,,,,,,0.0,,184,,,0.9433,15.3499,0,,,66.5,
831,1,rebounding,12036.5,42.275,2,187,392.2,216.9,138.292,135.003,23.1,0.297,142.0,465.0,218.0,23.1,135.003,1.024,0.801,0.77,0,136.637,2.0547,0.7005,0.3337,139.1,,,66.5,
