frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1149,1,falling,28443.0,87.598,1,235,604.5,194.7,235.788,163.069,120.9,0.674,217.8,707.0,236.0,120.9,163.069,1.446,0.651,0.971,0,196.086,2.9487,1.6341,0.0,161.3,,,66.5,
1151,2,falling,14733.5,111.105,1,241,614.6,192.1,222.25,124.89,116.3,0.219,218.0,721.0,232.0,116.3,124.89,1.78,0.38,0.64,0,166.604,2.5053,1.3884,0.6674,163.9,10.429,31254.13,66.5,469.99
1152,3,falling,12539.0,117.6,1,234,616.7,190.2,233.624,102.374,115.7,0.214,218.0,729.0,228.0,115.7,102.374,2.282,0.293,0.661,0,154.651,2.3256,1.2888,1.0011,165.8,2.832,8486.72,66.5,127.62
1153,4,falling,11103.0,122.552,1,236,597.9,195.4,210.909,118.913,112.0,0.172,218.0,713.0,234.0,112.0,118.913,1.774,0.318,0.568,0,158.366,2.3814,1.3197,1.3348,160.6,19.506,58454.62,66.5,879.02
1154,5,falling,13294.5,119.525,0,245,609.5,239.0,215.712,149.563,116.4,0.115,217.8,709.0,276.0,116.4,149.563,1.442,0.364,0.473,0,179.618,2.701,1.4968,1.6685,117.0,45.117,135204.33,66.5,2033.15
1155,6,falling,11274.0,127.202,1,244,605.1,236.3,220.59,139.866,119.5,0.112,215.9,713.0,251.0,119.5,139.866,1.577,0.295,0.454,0,175.651,2.6414,1.4638,2.0022,119.7,5.162,15470.4,66.5,232.64
1156,7,falling,13295.5,116.426,0,243,581.6,231.1,220.268,135.798,116.4,0.146,215.9,696.0,233.0,116.4,135.798,1.622,0.349,0.547,0,172.951,2.6008,1.4413,2.3359,124.9,24.068,72127.51,66.5,1084.62
1163,8,falling,7849.5,118.405,0,191,568.7,253.6,185.719,68.724,90.7,0.174,190.3,665.0,242.0,90.7,68.724,2.702,0.29,0.768,0,112.975,1.6989,0.9415,4.6717,102.4,25.936,77723.21,66.5,1168.77
1179,1,spreading,,,,,,356,,,,,,,,,,,0.0,,355,,,2.9583,10.0108,0,,,66.5,
1180,2,spreading,,,,,,356,,,,,,,,,,,0.0,,367,,,3.0583,10.3445,0,,,66.5,
1181,3,spreading,,,,,,356,,,,,,,,,,,0.0,,373,,,3.1083,10.6782,0,,,66.5,
1182,4,spreading,,,,,,356,,,,,,,,,,,0.0,,379,,,3.1583,11.0119,0,,,66.5,
1183,5,spreading,,,,,,356,,,,,,,,,,,0.0,,382,,,3.1833,11.3456,0,,,66.5,
