frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
4433,1,falling,24217.5,70.388,2,156,101.7,150.9,252.723,145.214,11.7,0.271,218.0,188.0,71.0,11.7,145.214,1.74,0.483,0.828,0,191.57,2.8808,1.9157,0.0,154.1,,,66.5,
4459,1,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,8.676,0,,,66.5,
4460,2,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,9.0097,0,,,66.5,
4461,3,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,9.3434,0,,,66.5,
4462,4,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,9.6771,0,,,66.5,
4463,5,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,10.0108,0,,,66.5,
4464,6,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,10.3445,0,,,66.5,
4465,7,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,10.6782,0,,,66.5,
4466,8,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,11.0119,0,,,66.5,
4467,9,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,11.3456,0,,,66.5,
4468,10,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,11.6793,0,,,66.5,
4469,11,spreading,,,,,,305,,,,,,,,,,,0.0,,0,,,,12.0129,0,,,66.5,
4470,12,spreading,,,,,,305,,,,,,,,,,,0.0,,1,,,0.01,12.3466,0,,,66.5,
4471,13,spreading,,,,,,305,,,,,,,,,,,0.0,,6,,,0.06,12.6803,0,,,66.5,
4472,1,rebounding,3801.0,25.291,3,74,76.0,19.9,77.365,77.197,0.0,0.829,78.0,112.0,5.0,0.0,77.197,1.002,0.809,0.987,0,77.281,1.1621,0.7728,0.3337,285.1,,,66.5,
