frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
142,falling,1139.7,144.6,106.8,,hough,1.0,3.2115,1.0,,0.0,,66.5,True,,,,
143,falling,1125.7,153.2,107.0,,hough,1.0,3.2193,1.0024,740.42,0.3337,16.43,66.5,False,,,,
144,falling,1130.4,119.4,106.3,,hough,1.0,3.1981,0.9958,1537.82,0.6674,34.125,66.5,False,,,,
145,falling,1130.9,152.4,105.0,,hough,1.0,3.1586,0.9835,1487.29,1.0011,33.004,66.5,False,,,,
146,falling,1132.5,180.4,106.2,,hough,1.0,3.1944,0.9946,1263.85,1.3348,28.046,66.5,False,,,,
147,falling,1125.0,138.1,106.2,,hough,1.0,3.1942,0.9946,1935.94,1.6685,42.96,66.5,False,,,,
148,falling,1127.3,171.9,106.4,,hough,1.0,3.2012,0.9968,1526.69,2.0022,33.878,66.5,False,,,,
149,falling,1129.6,140.2,105.9,,hough,1.0,3.184,0.9914,1432.29,2.3359,31.783,66.5,False,,,,
150,falling,1124.0,157.0,107.0,,hough,1.0,3.2184,1.0021,798.03,2.6695,17.709,66.5,False,,,,
151,falling,1123.3,145.6,107.3,,hough,1.0,3.2266,1.0047,514.7,3.0032,11.421,66.5,False,,,,
152,falling,1144.1,160.6,106.5,,hough,1.0,3.2025,0.9971,1155.65,3.3369,25.644,66.5,False,,,,
153,falling,1122.4,156.2,106.6,,hough,1.0,3.206,0.9982,997.79,3.6706,22.142,66.5,False,,,,
154,falling,1125.8,153.6,107.2,,hough,1.0,3.2246,1.004,192.88,4.0043,4.28,66.5,False,,,,
155,falling,1124.2,158.5,106.8,,hough,1.0,3.2108,0.9998,232.29,4.338,5.155,66.5,False,,,,
156,falling,1121.1,142.0,107.5,,hough,1.0,3.2325,1.0065,756.57,4.6717,16.789,66.5,False,,,,
157,falling,1067.7,171.0,103.0,,hough,1.0,3.0973,0.9644,2738.39,5.0054,60.766,66.5,False,,,,
158,falling,1147.1,132.1,106.9,,hough,1.0,3.2156,1.0012,3984.44,5.3391,88.417,66.5,False,,,,
159,falling,1119.9,121.7,106.6,,hough,1.0,3.2055,0.9981,1312.29,5.6728,29.12,66.5,False,,,,
