frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
51,falling,1070.0,191.0,50.0,,template,0.4283,1.5038,1.0,,0.0,,66.5,True,,,,
52,falling,1070.0,192.0,50.0,,template,0.4411,1.5038,1.0,45.06,0.3337,1.0,66.5,False,,,,
53,falling,1070.0,192.0,50.0,,template,0.4362,1.5038,1.0,0.0,0.6674,0.0,66.5,False,,,,
54,falling,1070.0,191.0,50.0,,template,0.4377,1.5038,1.0,45.06,1.0011,1.0,66.5,False,,,,
55,falling,1069.0,193.0,50.0,,template,0.4249,1.5038,1.0,100.77,1.3348,2.236,66.5,False,,,,
56,falling,1069.0,189.0,50.0,,template,0.4345,1.5038,1.0,180.26,1.6685,4.0,66.5,False,,,,
57,falling,1072.0,193.0,50.0,,template,0.4347,1.5038,1.0,225.32,2.0022,5.0,66.5,False,,,,
58,falling,1073.0,191.0,50.0,,template,0.4292,1.5038,1.0,100.77,2.3359,2.236,66.5,False,,,,
59,falling,1073.0,191.0,50.0,,template,0.434,1.5038,1.0,0.0,2.6695,0.0,66.5,False,,,,
60,falling,1073.0,192.0,50.0,,template,0.4376,1.5038,1.0,45.06,3.0032,1.0,66.5,False,,,,
61,falling,1072.0,192.0,50.0,,template,0.4356,1.5038,1.0,45.06,3.3369,1.0,66.5,False,,,,
62,falling,1073.0,191.0,50.0,,template,0.4427,1.5038,1.0,63.73,3.6706,1.414,66.5,False,,,,
63,falling,1073.0,191.0,50.0,,template,0.4178,1.5038,1.0,0.0,4.0043,0.0,66.5,False,,,,
64,falling,1073.0,193.0,50.0,,template,0.4365,1.5038,1.0,90.13,4.338,2.0,66.5,False,,,,
65,falling,1073.0,189.0,50.0,,template,0.4325,1.5038,1.0,180.26,4.6717,4.0,66.5,False,,,,
66,falling,1073.0,192.0,50.0,,template,0.4438,1.5038,1.0,135.19,5.0054,3.0,66.5,False,,,,
67,falling,1073.0,189.0,50.0,,template,0.4349,1.5038,1.0,135.19,5.3391,3.0,66.5,False,,,,
68,falling,1073.0,192.0,50.0,,template,0.4304,1.5038,1.0,135.19,5.6728,3.0,66.5,False,,,,
69,falling,1073.0,192.0,50.0,,template,0.4388,1.5038,1.0,0.0,6.0065,0.0,66.5,False,,,,
70,falling,1072.0,188.0,50.0,,template,0.4233,1.5038,1.0,185.8,6.3402,4.123,66.5,False,,,,
71,falling,1070.0,189.0,50.0,,template,0.4328,1.5038,1.0,100.77,6.6739,2.236,66.5,False,,,,
72,falling,1073.0,192.0,50.0,,template,0.4404,1.5038,1.0,191.19,7.0076,4.243,66.5,False,,,,
73,falling,1072.0,191.0,50.0,,template,0.4363,1.5038,1.0,63.73,7.3412,1.414,66.5,False,,,,
74,falling,1070.0,189.0,50.0,,template,0.4286,1.5038,1.0,127.46,7.6749,2.828,66.5,False,,,,
75,falling,1073.0,194.0,50.0,,template,0.4264,1.5038,1.0,262.77,8.0086,5.831,66.5,False,,,,
76,falling,1070.0,189.0,50.0,,template,0.4407,1.5038,1.0,262.77,8.3423,5.831,66.5,False,,,,
77,falling,1070.0,189.0,50.0,,template,0.4254,1.5038,1.0,0.0,8.676,0.0,66.5,False,,,,
78,falling,1070.0,193.0,50.0,,template,0.4254,1.5038,1.0,180.26,9.0097,4.0,66.5,False,,,,
79,falling,1072.0,191.0,50.0,,template,0.4263,1.5038,1.0,127.46,9.3434,2.828,66.5,False,,,,
80,falling,1074.0,191.0,50.0,,template,0.4384,1.5038,1.0,90.13,9.6771,2.0,66.5,False,,,,
81,falling,1074.0,191.0,50.0,,template,0.43,1.5038,1.0,0.0,10.0108,0.0,66.5,False,,,,
82,falling,1070.0,189.0,50.0,,template,0.4292,1.5038,1.0,201.53,10.3445,4.472,66.5,False,,,,
83,falling,1073.0,192.0,50.0,,template,0.435,1.5038,1.0,191.19,10.6782,4.243,66.5,False,,,,
84,falling,1073.0,191.0,50.0,,template,0.4443,1.5038,1.0,45.06,11.0119,1.0,66.5,False,,,,
85,falling,1073.0,191.0,50.0,,template,0.4353,1.5038,1.0,0.0,11.3456,0.0,66.5,False,,,,
86,falling,1073.0,192.0,50.0,,template,0.4307,1.5038,1.0,45.06,11.6793,1.0,66.5,False,,,,
87,spreading,,,,1276,contact_width,1.0,,12.76,,12.0129,,66.5,True,1711.0,,,
88,spreading,,,,1279,contact_width,1.0,,12.79,,12.3466,,66.5,False,1712.5,,,
89,spreading,,,,1279,contact_width,1.0,,12.79,,12.6803,,66.5,False,1712.5,,,
90,spreading,,,,1279,contact_width,1.0,,12.79,,13.014,,66.5,False,1712.5,,,
91,spreading,,,,1279,contact_width,1.0,,12.79,,13.3477,,66.5,False,1712.5,,,
