frame,drop_id,cx,cy,area_px,percentage
2872,1,769,83,28798,99.74
2872,2,765,73,72,0.25
2876,1,770,219,27582,95.53
2880,1,762,297,36209,125.41
2884,1,754,303,38140,132.1
2888,1,751,303,48784,168.96
2892,1,762,301,54799,189.79
2896,1,758,299,53838,186.46
2900,1,748,292,50146,173.68
2904,1,760,285,45742,158.42
2908,1,777,274,45839,158.76
2912,1,785,254,47758,165.41
2916,1,781,227,49867,172.71
2920,1,777,214,48151,166.77
2924,1,771,207,47571,164.76
2928,1,775,204,45829,158.73
2932,1,777,187,46155,159.86
2936,1,782,188,35236,122.04
2940,1,777,204,35168,121.8
2944,1,777,197,34913,120.92
2948,1,782,186,38042,131.76
2952,1,782,184,38409,133.03
2956,1,784,192,30361,105.15
2960,1,779,187,37786,130.87
2964,1,777,189,35274,122.17
2968,1,775,194,37772,130.82
2972,1,774,198,27049,93.68
2976,1,770,212,34392,119.11
2980,1,769,234,35099,121.56
2984,1,767,244,32940,114.09
2988,1,768,251,27983,96.92
2992,1,767,263,26818,92.88
2996,1,768,271,26591,92.1
3000,1,765,276,24165,83.69
3004,1,769,277,20704,71.71
3008,1,764,273,25077,86.85
3012,1,761,269,26591,92.1
3016,1,758,253,24833,86.01
3020,1,759,245,28168,97.56
3024,1,760,240,29860,103.42
3028,1,761,239,31185,108.01
3032,1,761,240,31739,109.93
3036,1,760,241,29241,101.27
3040,1,755,245,25789,89.32
3044,1,753,246,24917,86.3
3048,1,748,218,38593,133.66
3052,1,749,226,37496,129.87
3056,1,753,246,39154,135.61
3060,1,752,258,36699,127.1
3064,1,750,262,31671,109.69
3068,1,759,259,26035,90.17
3072,1,768,259,26616,92.18
3076,1,752,272,28765,99.63
3080,1,751,276,25941,89.85
3084,1,752,258,27284,94.5
3088,1,752,250,30271,104.84
3092,1,757,242,32984,114.24
3096,1,756,247,38919,134.79
3100,1,756,244,39385,136.41
3104,1,755,238,39164,135.64
3108,1,751,239,40886,141.61
3112,1,749,240,40164,139.11
3116,1,748,239,37347,129.35
3120,1,749,245,37509,129.91
3124,1,748,257,39029,135.17
3128,1,748,258,29395,101.81
3132,1,745,266,25701,89.01
3136,1,745,278,25946,89.86
3140,1,749,279,25444,88.12
3144,1,770,263,20913,72.43
3148,1,756,263,26453,91.62
3152,1,753,257,29963,103.78
3156,1,749,262,37834,131.04
3160,1,752,258,38860,134.59
3164,1,754,253,38505,133.36
3168,1,753,243,37788,130.88
3172,1,751,241,39088,135.38
3176,1,751,240,37660,130.43
3180,1,753,247,37102,128.5
3184,1,753,256,35293,122.24
3188,1,754,258,29923,103.64
3192,1,758,262,26730,92.58
3196,1,764,270,27038,93.64
3200,1,760,271,28154,97.51
3204,1,760,267,28828,99.84
3208,1,757,258,27219,94.27
3212,1,759,257,29421,101.9
3216,1,757,255,29945,103.71
3220,1,754,255,29155,100.98
3224,1,752,250,28733,99.52
3228,1,753,246,31581,109.38
3232,1,754,245,33421,115.75
3236,1,752,249,34432,119.25
3240,1,750,251,32966,114.18
3244,1,749,253,31379,108.68
3248,1,747,257,28447,98.52
3252,1,745,268,30725,106.41
3256,1,750,265,26055,90.24
3260,1,753,264,27922,96.71
3264,1,754,260,28907,100.12
3268,1,754,264,32983,114.23
3272,1,755,257,29140,100.92
3276,1,755,260,28993,100.42
3280,1,752,259,27968,96.87
3284,1,745,255,28009,97.01
3288,1,743,251,29283,101.42
3292,1,746,248,30605,106.0
3296,1,748,249,30960,107.23
3300,1,750,248,30717,106.39
3304,1,751,249,31283,108.35
3308,1,752,253,29972,103.81
3312,1,754,256,28550,98.88
3316,1,755,259,28504,98.72
3320,1,755,259,29574,102.43
3324,1,754,260,30671,106.23
3328,1,755,260,30254,104.78
3332,1,757,263,29333,101.59
3336,1,759,264,27203,94.22
3340,1,759,263,27057,93.71
3344,1,757,259,27456,95.09
3348,1,755,255,29100,100.79
3352,1,754,252,31220,108.13
3356,1,753,248,31785,110.09
3360,1,752,259,38696,134.02
3364,1,752,261,38502,133.35
3368,1,752,250,30289,104.9
3372,1,754,253,28951,100.27
3376,1,757,257,28914,100.14
3380,1,757,259,28437,98.49
3384,1,756,262,27715,95.99
3388,1,754,265,26878,93.09
3392,1,752,267,25337,87.75
3396,1,748,266,24395,84.49
3400,1,745,266,26748,92.64
3404,1,744,259,27185,94.15
3408,1,744,254,29333,101.59
3412,1,744,249,31492,109.07
3416,1,745,246,32309,111.9
3420,1,745,257,38908,134.76
3424,1,746,256,37291,129.16
3428,1,748,248,30868,106.91
3432,1,749,251,29789,103.17
3436,1,751,255,29244,101.28
3440,1,754,260,28319,98.08
3444,1,755,266,27998,96.97
3448,1,755,268,26248,90.91
3452,1,754,267,25455,88.16
3456,1,753,264,25587,88.62
3460,1,754,260,26733,92.59
3464,1,756,255,28408,98.39
3468,1,756,251,31140,107.85
3472,1,757,262,39222,135.84
3476,1,757,247,34069,118.0
3480,1,756,250,35431,122.71
3484,1,756,252,35008,121.25
3488,1,755,260,36858,127.66
3492,1,756,253,28940,100.23
3496,1,755,259,28157,97.52
3500,1,753,266,28040,97.11
3504,1,752,270,26639,92.26
3508,1,750,272,26570,92.02
3512,1,748,270,26400,91.43
3516,1,746,266,27478,95.17
3520,1,744,260,28073,97.23
3524,1,743,253,28702,99.41
3528,1,744,248,30329,105.04
3532,1,745,256,37433,129.65
3536,1,746,257,38408,133.02
3540,1,746,258,38524,133.43
3544,1,746,258,37210,128.87
3548,1,746,251,29977,103.82
3552,1,746,255,28426,98.45
3556,1,747,261,27606,95.61
3560,1,749,265,26510,91.82
3564,1,751,267,25637,88.79
3568,1,753,267,25813,89.4
3572,1,755,265,26182,90.68
3576,1,756,260,27244,94.36
3580,1,756,255,28382,98.3
3584,1,756,251,29618,102.58
3588,1,757,248,31394,108.73
3592,1,756,258,37894,131.24
3596,1,757,259,38768,134.27
3596,2,808,353,93,0.32
3600,1,758,251,33938,117.54
3604,1,757,250,30949,107.19
3608,1,756,253,28927,100.19
3612,1,754,258,27240,94.34
3616,1,752,264,26441,91.58
3620,1,750,267,25956,89.9
3624,1,749,267,26520,91.85
3628,1,750,271,29880,103.49
3632,1,750,267,30731,106.44
3636,1,750,259,28169,97.56
3640,1,749,253,28596,99.04
3644,1,747,250,29620,102.59
3648,1,746,258,36815,127.51
3652,1,745,259,37968,131.5
3656,1,744,260,37952,131.44
3660,1,744,249,30411,105.33
3664,1,745,253,28971,100.34
3668,1,745,258,27841,96.43
3672,1,747,263,27301,94.56
3676,1,750,267,27409,94.93
3680,1,750,267,26986,93.46
3684,1,751,266,27354,94.74
3688,1,753,264,28123,97.4
3692,1,754,260,28221,97.74
3696,1,755,256,28586,99.01
3700,1,756,252,29051,100.62
3704,1,756,250,29851,103.39
3708,1,756,249,31076,107.63
3712,1,757,249,31633,109.56
3716,1,756,250,31177,107.98
3720,1,755,253,30142,104.4
3724,1,754,255,28130,97.43
3728,1,754,259,27051,93.69
3732,1,754,261,26510,91.82
3736,1,755,264,27158,94.06
3740,1,756,263,27070,93.76
3744,1,755,262,27622,95.67
3748,1,754,260,27663,95.81
3752,1,752,257,27994,96.96
3756,1,750,254,28164,97.54
3760,1,748,253,29099,100.78
3764,1,746,251,29758,103.07
3768,1,745,251,30078,104.17
3772,1,745,257,33650,116.54
3776,1,745,261,35093,121.54
3780,1,744,255,28318,98.08
3784,1,745,257,27657,95.79
3788,1,746,261,27638,95.72
3792,1,748,262,27709,95.97
3796,1,750,264,28307,98.04
3800,1,751,263,28494,98.69
3804,1,752,261,28256,97.86
3808,1,753,260,28021,97.05
3812,1,753,257,27930,96.73
3816,1,753,255,28223,97.75
3820,1,753,253,28978,100.36
3824,1,753,253,29966,103.79
3828,1,754,252,30247,104.76
3832,1,755,253,30068,104.14
3836,1,755,253,29000,100.44
3840,1,756,254,28058,97.18
3844,1,756,256,27550,95.42
3848,1,757,258,27442,95.04
3852,1,757,259,27354,94.74
3856,1,757,259,27383,94.84
3860,1,756,260,27476,95.16
3864,1,754,260,27545,95.4
3868,1,752,258,27514,95.29
3872,1,750,257,27837,96.41
3876,1,748,255,28560,98.92
3880,1,747,254,29149,100.96
3884,1,746,252,29504,102.19
3888,1,745,252,29433,101.94
3892,1,745,252,29073,100.69
3896,1,745,254,28576,98.97
3900,1,746,255,28105,97.34
3904,1,747,257,27923,96.71
3908,1,748,259,27858,96.48
3912,1,749,260,27677,95.86
3916,1,750,262,27597,95.58
3920,1,750,266,30397,105.28
3924,1,751,265,29893,103.53
3928,1,751,263,29573,102.42
3932,1,751,257,27833,96.4
3936,1,752,255,28439,98.5
3940,1,753,253,29228,101.23
3944,1,754,252,29368,101.71
3948,1,754,252,29190,101.1
3952,1,755,252,28795,99.73
3956,1,756,253,28088,97.28
3960,1,757,255,28018,97.04
3964,1,757,257,27777,96.2
3968,1,757,259,27643,95.74
3972,1,756,260,27325,94.64
3976,1,754,260,26841,92.96
3980,1,753,260,26991,93.48
3984,1,751,259,27238,94.34
3988,1,750,257,27748,96.1
3992,1,749,255,28404,98.38
3996,1,749,254,29122,100.86
4000,1,748,252,29326,101.57
4004,1,747,251,29255,101.32
4008,1,747,251,29212,101.17
4012,1,747,252,28774,99.66
4016,1,747,254,28374,98.27
4020,1,747,256,27861,96.49
4024,1,748,262,30109,104.28
4028,1,749,261,27425,94.98
4032,1,749,262,26965,93.39
4036,1,750,262,26859,93.02
4040,1,751,265,29430,101.93
4044,1,750,263,29542,102.32
4048,1,751,257,27810,96.32
4052,1,752,254,28054,97.16
4056,1,753,252,28314,98.06
4060,1,754,251,28478,98.63
4064,1,755,251,28570,98.95
4068,1,755,252,28373,98.27
4072,1,755,253,28044,97.13
4076,1,755,255,27643,95.74
4080,1,754,257,27370,94.79
