frame,drop_id,cx,cy,area_px,percentage
3188,1,631,98,19070,99.84
3192,1,632,224,14528,76.06
3196,1,628,297,23207,121.5
3200,1,629,300,26667,139.62
3204,1,615,300,35185,184.21
3208,1,626,299,37547,196.58
3212,1,622,299,36840,192.88
3216,1,624,299,34483,180.54
3220,1,622,299,30986,162.23
3224,1,623,299,30895,161.75
3228,1,627,298,31482,164.83
3232,1,624,298,31130,162.98
3236,1,623,297,30693,160.7
3236,2,268,321,91,0.48
3240,1,631,295,30420,159.27
3240,2,257,304,156,0.82
3244,1,627,295,31117,162.92
3248,1,628,297,32110,168.12
3252,1,634,298,31195,163.32
3252,2,257,306,195,1.02
3256,1,623,298,30841,161.47
3260,1,630,298,29787,155.95
3260,2,259,311,377,1.97
3264,1,621,299,29398,153.92
3268,1,617,299,28131,147.28
3272,1,615,299,27760,145.34
3276,1,612,299,27476,143.85
3280,1,616,298,28017,146.69
3284,1,614,299,28498,149.2
3288,1,615,299,28635,149.92
3292,1,617,299,28519,149.31
3296,1,619,299,28298,148.16
3300,1,616,298,28342,148.39
3304,1,618,298,27785,145.47
3304,2,259,312,315,1.65
3308,1,614,298,28106,147.15
3312,1,619,298,28276,148.04
3316,1,622,298,28161,147.44
3320,1,620,298,27896,146.05
3324,1,618,298,28070,146.96
3328,1,620,298,28086,147.05
3332,1,623,298,27936,146.26
3332,2,260,310,324,1.7
3336,1,616,298,28261,147.96
3340,1,618,298,28448,148.94
3344,1,618,298,28512,149.28
3348,1,617,298,28465,149.03
3352,1,615,298,28134,147.3
3356,1,613,298,28115,147.2
3360,1,620,298,27519,144.08
3360,2,258,305,130,0.68
3364,1,615,298,27896,146.05
3368,1,615,298,27814,145.62
3372,1,618,298,27759,145.34
3376,1,622,298,27354,143.21
3376,2,258,307,188,0.98
3380,1,618,298,27558,144.28
3384,1,617,298,27431,143.62
3388,1,616,298,27329,143.08
3392,1,616,298,27322,143.05
3396,1,617,299,27448,143.71
3400,1,618,299,27506,144.01
3404,1,620,298,27132,142.05
3408,1,618,298,27376,143.33
3412,1,623,298,27087,141.82
3412,2,259,309,262,1.37
3416,1,623,298,27068,141.72
3416,2,258,303,87,0.46
3420,1,617,298,27418,143.55
3424,1,619,298,27420,143.56
3428,1,621,298,27470,143.82
3432,1,621,298,27505,144.01
3436,1,620,298,27487,143.91
3440,1,620,298,27455,143.74
3444,1,619,298,27445,143.69
3448,1,621,298,27411,143.51
3452,1,620,298,27410,143.51
3456,1,620,298,27413,143.52
3460,1,621,298,27489,143.92
3464,1,620,298,27290,142.88
3464,2,261,322,53,0.28
3468,1,622,298,27342,143.15
3472,1,621,298,27383,143.37
3476,1,621,298,27294,142.9
3480,1,621,298,27402,143.47
3484,1,622,298,27177,142.29
3488,1,623,298,27239,142.61
3492,1,622,298,27281,142.83
3496,1,622,298,27405,143.48
3500,1,620,298,27226,142.54
3504,1,618,298,27449,143.71
3508,1,620,299,27419,143.55
3512,1,622,298,27267,142.76
3516,1,621,299,27553,144.26
3520,1,621,298,27423,143.58
3524,1,620,298,27494,143.95
3524,2,261,322,62,0.32
3528,1,619,298,27655,144.79
3532,1,621,298,27384,143.37
3536,1,622,298,27354,143.21
3540,1,624,298,27300,142.93
3544,1,623,298,27338,143.13
3548,1,622,298,27411,143.51
3552,1,618,298,27675,144.9
3556,1,619,298,27638,144.7
3560,1,620,298,27648,144.75
3564,1,620,298,27589,144.45
3568,1,623,298,27388,143.39
3572,1,619,298,27697,145.01
3576,1,620,298,27699,145.02
3580,1,621,298,27658,144.81
3584,1,620,298,27646,144.74
3588,1,621,298,27593,144.47
3592,1,620,298,27568,144.34
3596,1,618,298,27664,144.84
3600,1,619,298,27586,144.43
3604,1,620,298,27588,144.44
3608,1,620,298,27663,144.83
3612,1,619,298,27529,144.13
3616,1,621,298,27444,143.69
3620,1,619,298,27558,144.28
3624,1,621,299,27409,143.5
3628,1,620,299,27654,144.79
3632,1,620,299,27574,144.37
3636,1,620,299,27634,144.68
3640,1,620,298,27384,143.37
3644,1,620,298,27477,143.86
3648,1,619,299,27541,144.19
3652,1,620,298,27465,143.8
3656,1,620,299,27587,144.43
3660,1,619,298,27712,145.09
3664,1,618,299,27637,144.7
3668,1,618,298,27489,143.92
3672,1,620,299,27534,144.16
3676,1,617,298,27714,145.1
3680,1,619,299,27691,144.98
3684,1,618,298,27605,144.53
3688,1,618,298,27501,143.98
3692,1,618,299,27713,145.09
3696,1,618,298,27673,144.88
3700,1,619,298,27409,143.5
3704,1,619,299,27695,145.0
3708,1,619,299,27775,145.42
3712,1,619,298,27584,144.42
3716,1,619,299,27742,145.25
3720,1,618,299,27838,145.75
3724,1,620,298,27349,143.19
3728,1,620,298,27499,143.97
3732,1,620,298,27419,143.55
3736,1,619,299,27503,143.99
3740,1,619,299,27559,144.29
3744,1,619,299,27611,144.56
3748,1,620,299,27445,143.69
3752,1,619,299,27538,144.18
3756,1,619,299,27593,144.47
3760,1,619,299,27537,144.17
3764,1,620,299,27577,144.38
3768,1,619,299,27577,144.38
3772,1,620,299,27549,144.24
3776,1,619,299,27585,144.42
