frame,drop_id,cx,cy,area_px,percentage
2440,1,629,122,31808,100.0
2444,1,629,237,24616,77.39
2448,1,632,305,37514,117.94
2452,1,645,310,44241,139.09
2456,1,641,307,56054,176.23
2460,1,506,304,35107,110.37
2464,1,841,305,21003,66.03
2468,1,630,299,54118,170.14
2472,1,645,296,52643,165.5
2476,1,664,290,51984,163.43
2480,1,654,266,51766,162.75
2484,1,650,240,51982,163.42
2488,1,651,222,53572,168.42
2492,1,656,209,55719,175.17
2496,1,663,206,54462,171.22
2500,1,665,201,53591,168.48
2504,1,663,195,51367,161.49
2504,2,791,304,54,0.17
2508,1,669,191,47402,149.03
2508,2,792,305,61,0.19
2508,3,771,304,57,0.18
2512,1,677,187,43335,136.24
2516,1,683,187,42035,132.15
2520,1,685,194,44115,138.69
2524,1,688,195,43887,137.97
2528,1,699,135,28280,88.91
2528,2,668,265,72,0.23
2532,1,702,147,30436,95.69
2536,1,705,144,29982,94.26
2540,1,687,277,27948,87.86
2540,2,719,53,15702,49.36
2544,1,680,286,25287,79.5
2544,2,725,50,16088,50.58
2548,1,730,51,16735,52.61
2548,2,674,259,13118,41.24
2552,1,671,289,23885,75.09
2552,2,736,56,17900,56.28
2556,1,666,288,24699,77.65
2556,2,741,63,19381,60.93
2560,1,661,286,26137,82.17
2560,2,747,72,20462,64.33
2564,1,753,81,21626,67.99
2568,1,759,92,22358,70.29
2572,1,763,108,22225,69.87
2576,1,768,127,21823,68.61
2580,1,774,146,22342,70.24
2584,1,780,164,22464,70.62
2588,1,787,180,20800,65.39
2592,1,794,197,18395,57.83
2596,1,800,220,18256,57.39
2600,1,824,217,8323,26.17
2604,1,843,230,5210,16.38
2608,1,746,252,25635,80.59
2612,1,764,244,20373,64.05
2616,1,765,249,23191,72.91
2620,1,761,253,28574,89.83
2624,1,758,276,44126,138.73
2628,1,753,274,44127,138.73
2632,1,744,272,43788,137.66
2636,1,743,273,46060,144.81
2640,1,740,275,47611,149.68
2644,1,740,277,47182,148.33
2648,1,742,277,46633,146.61
2652,1,743,278,45482,142.99
2656,1,743,280,43531,136.86
2660,1,742,283,43061,135.38
2664,1,738,285,44065,138.53
2668,1,733,286,44604,140.23
2672,1,727,282,45752,143.84
2676,1,724,279,45749,143.83
2680,1,722,277,46087,144.89
2684,1,723,274,45737,143.79
2688,1,724,273,45454,142.9
2692,1,724,275,44537,140.02
2696,1,724,279,44990,141.44
2700,1,726,281,45236,142.22
2704,1,725,281,43824,137.78
2708,1,721,283,42959,135.06
2712,1,719,282,42552,133.78
2716,1,722,283,44187,138.92
2720,1,725,281,45644,143.5
2724,1,727,279,47164,148.28
2728,1,729,279,47546,149.48
2732,1,733,278,45221,142.17
2736,1,737,279,43886,137.97
2740,1,737,280,43713,137.43
2744,1,738,282,44497,139.89
2748,1,740,282,43013,135.23
2752,1,741,283,41629,130.88
2756,1,741,284,41730,131.19
2760,1,742,283,43759,137.57
2764,1,744,281,44936,141.27
2768,1,746,280,46399,145.87
2772,1,747,279,46900,147.45
2776,1,747,279,46624,146.58
2780,1,747,278,44937,141.28
2784,1,745,281,45859,144.17
2788,1,743,283,45062,141.67
2792,1,741,285,44184,138.91
2796,1,740,286,42946,135.02
2800,1,738,286,42612,133.97
2804,1,736,284,42744,134.38
2808,1,736,282,44067,138.54
2812,1,734,281,45531,143.14
2816,1,733,280,46442,146.01
2820,1,730,278,46902,147.45
2824,1,729,277,46555,146.36
2828,1,728,278,46064,144.82
2832,1,726,280,45020,141.54
2836,1,724,283,44292,139.25
2840,1,723,284,43648,137.22
2844,1,723,284,43176,135.74
2848,1,724,284,43332,136.23
2852,1,726,283,43895,138.0
2856,1,727,282,44785,140.8
2860,1,728,280,45492,143.02
2864,1,729,279,46210,145.28
2868,1,730,278,46377,145.8
2872,1,731,280,46033,144.72
2876,1,732,281,44897,141.15
2880,1,734,282,44233,139.06
2884,1,736,284,43962,138.21
2888,1,738,284,43724,137.46
2892,1,740,284,43660,137.26
2896,1,741,284,43959,138.2
2900,1,742,283,44560,140.09
2904,1,743,281,44987,141.43
2908,1,743,280,45593,143.34
2912,1,743,280,45648,143.51
2916,1,743,281,45494,143.03
2920,1,742,282,44947,141.31
2924,1,742,284,44727,140.62
2928,1,742,285,44610,140.25
2932,1,742,285,44480,139.84
2936,1,742,284,44497,139.89
2940,1,741,283,44368,139.49
2944,1,739,282,44629,140.31
2948,1,737,281,45047,141.62
2952,1,734,280,45477,142.97
2956,1,732,279,45383,142.68
2960,1,731,280,45002,141.48
2964,1,730,281,44373,139.5
2968,1,729,282,43984,138.28
2972,1,728,283,44044,138.47
2976,1,727,284,44253,139.13
2980,1,726,284,44638,140.34
2984,1,726,283,44822,140.91
2988,1,725,282,44933,141.26
2992,1,725,281,45439,142.85
2996,1,725,280,45840,144.11
3000,1,726,280,45915,144.35
3004,1,728,280,45354,142.59
3008,1,730,281,44713,140.57
3012,1,732,283,44091,138.62
3016,1,733,283,43591,137.04
3020,1,734,284,43511,136.79
3024,1,735,283,43608,137.1
3028,1,736,283,44057,138.51
3032,1,738,283,44678,140.46
3036,1,739,282,45500,143.05
3040,1,741,281,45910,144.33
3044,1,742,281,45983,144.56
3048,1,743,282,46008,144.64
3052,1,744,283,45678,143.61
3056,1,744,283,44567,140.11
3060,1,743,284,44013,138.37
3064,1,742,284,43552,136.92
3068,1,741,284,43532,136.86
3072,1,740,283,43848,137.85
3076,1,739,282,44239,139.08
3080,1,739,282,45098,141.78
3084,1,737,281,45731,143.77
3088,1,736,280,45776,143.91
3092,1,735,281,45761,143.87
3096,1,733,281,45150,141.95
3100,1,731,282,44761,140.72
3104,1,730,283,44486,139.86
3108,1,729,284,43884,137.97
3112,1,728,284,43963,138.21
3116,1,727,283,43998,138.32
3120,1,727,282,44558,140.08
3124,1,727,281,44920,141.22
3128,1,728,280,45159,141.97
3132,1,728,280,45608,143.39
3136,1,728,280,45447,142.88
3140,1,729,280,45058,141.66
3144,1,729,281,44647,140.36
3148,1,730,282,44278,139.2
3152,1,731,283,43805,137.72
3156,1,733,283,43795,137.69
3160,1,734,283,43995,138.31
3164,1,736,283,44383,139.53
3168,1,737,282,44739,140.65
3172,1,738,282,45280,142.35
3176,1,739,281,45346,142.56
3180,1,739,281,45394,142.71
3184,1,740,282,45141,141.92
3188,1,741,283,45014,141.52
3192,1,741,283,44384,139.54
3196,1,741,284,44159,138.83
3200,1,741,284,44116,138.69
3204,1,741,283,44096,138.63
3208,1,741,283,44612,140.25
3212,1,740,282,44861,141.04
3216,1,739,281,45282,142.36
3220,1,738,281,45123,141.86
3224,1,737,281,45223,142.17
3228,1,736,282,44921,141.23
3232,1,735,282,44744,140.67
3236,1,733,283,44514,139.95
3240,1,732,283,44059,138.52
3244,1,732,283,44168,138.86
3248,1,731,283,44408,139.61
3252,1,730,282,44638,140.34
3256,1,729,281,44977,141.4
3260,1,728,281,45297,142.41
3264,1,728,280,45153,141.95
3268,1,728,280,45044,141.61
3272,1,728,281,44810,140.88
3276,1,728,281,44372,139.5
3280,1,729,282,44158,138.83
3284,1,730,283,43909,138.04
3288,1,731,283,43997,138.32
3292,1,732,283,44286,139.23
3296,1,733,282,44568,140.12
3300,1,734,282,44742,140.66
3304,1,735,281,45226,142.18
3308,1,736,281,45315,142.46
3312,1,738,281,45373,142.65
3316,1,739,282,45036,141.59
3320,1,740,283,44741,140.66
3324,1,740,283,44455,139.76
3328,1,741,283,44021,138.4
3332,1,741,283,44064,138.53
3336,1,741,283,44181,138.9
3340,1,741,283,44463,139.79
3344,1,740,282,44808,140.87
3348,1,740,282,45224,142.18
3352,1,739,281,45364,142.62
3356,1,738,281,45360,142.61
3360,1,737,282,45107,141.81
3364,1,736,283,45035,141.58
3368,1,735,283,44457,139.77
3372,1,734,283,44189,138.92
3376,1,733,283,44195,138.94
3380,1,732,283,44058,138.51
3384,1,731,282,44534,140.01
3388,1,730,281,44539,140.02
3392,1,730,281,44928,141.25
3396,1,730,280,45110,141.82
3400,1,729,280,45087,141.75
3404,1,729,281,45102,141.79
3408,1,729,281,44874,141.08
3412,1,729,282,44427,139.67
3416,1,730,282,44318,139.33
3420,1,730,283,44139,138.77
3424,1,731,282,44123,138.72
3428,1,732,282,44236,139.07
3432,1,733,282,44439,139.71
3436,1,734,281,44901,141.16
3440,1,735,281,45148,141.94
3444,1,735,281,45161,141.98
3448,1,736,282,45008,141.5
3452,1,737,282,44586,140.17
3456,1,738,282,44517,139.96
3460,1,738,283,44393,139.57
3464,1,739,283,44090,138.61
3468,1,739,283,44378,139.52
3472,1,740,283,44516,139.95
3476,1,740,282,44584,140.17
3480,1,740,282,44671,140.44
3484,1,739,282,45097,141.78
3488,1,739,282,45041,141.6
3492,1,738,282,44975,141.4
3496,1,738,282,44682,140.47
3500,1,737,283,44671,140.44
3504,1,736,283,44423,139.66
3508,1,735,283,44403,139.6
3512,1,735,283,44476,139.83
3516,1,734,282,44669,140.43
3520,1,733,282,44762,140.73
3524,1,732,282,45017,141.53
3528,1,731,281,44921,141.23
3532,1,730,281,44887,141.12
3536,1,730,281,44767,140.74
3540,1,730,282,44600,140.22
3544,1,730,282,44413,139.63
3548,1,730,282,44264,139.16
3552,1,730,283,44469,139.8
3556,1,730,282,44259,139.14
3560,1,731,282,44443,139.72
3564,1,731,281,44588,140.18
3568,1,732,281,44845,140.99
3572,1,733,281,44776,140.77
3576,1,734,281,44995,141.46
3580,1,735,281,44556,140.08
3584,1,735,282,44595,140.2
3588,1,736,282,44450,139.74
3592,1,737,283,44265,139.16
3596,1,738,283,44317,139.33
3600,1,738,282,44173,138.87
3604,1,739,283,44543,140.04
3608,1,739,282,44724,140.61
3612,1,739,282,44997,141.46
3616,1,739,282,44974,141.39
3620,1,739,282,45055,141.65
3624,1,739,282,45089,141.75
3628,1,738,282,44906,141.18
3632,1,738,283,44612,140.25
3636,1,737,283,44453,139.75
3640,1,736,283,44366,139.48
3644,1,735,283,44355,139.45
3648,1,735,283,44606,140.24
3652,1,734,282,44506,139.92
3656,1,733,281,44566,140.11
3660,1,732,281,44826,140.93
3664,1,732,281,45029,141.57
3668,1,731,281,44820,140.91
3672,1,731,282,44733,140.63
3676,1,731,282,44464,139.79
3680,1,730,282,44363,139.47
3684,1,730,282,44492,139.88
3688,1,731,282,44356,139.45
3692,1,731,282,44361,139.46
3696,1,731,282,44470,139.81
3700,1,732,281,44527,139.99
3704,1,732,281,44637,140.33
3708,1,733,281,44703,140.54
3712,1,733,281,44720,140.59
3716,1,734,281,44388,139.55
3720,1,735,282,44513,139.94
3724,1,735,283,44675,140.45
3728,1,736,283,44511,139.94
3732,1,737,283,44590,140.18
3736,1,737,283,44803,140.85
3740,1,737,283,44782,140.79
3744,1,738,282,44846,140.99
3748,1,738,282,44811,140.88
3752,1,738,282,44977,141.4
3756,1,738,282,44761,140.72
3760,1,738,282,44718,140.59
3764,1,738,283,44656,140.39
3768,1,738,283,44546,140.05
3772,1,737,283,44532,140.0
3776,1,737,283,44560,140.09
3780,1,736,282,44611,140.25
3784,1,736,282,44751,140.69
3788,1,735,282,44890,141.13
3792,1,734,282,44872,141.07
3796,1,734,281,44675,140.45
3800,1,733,282,44682,140.47
3804,1,732,282,44394,139.57
3808,1,732,282,44398,139.58
3812,1,731,282,44366,139.48
3816,1,731,283,44581,140.16
3820,1,731,282,44497,139.89
3824,1,731,282,44520,139.96
3828,1,731,282,44690,140.5
3832,1,731,282,44869,141.06
3836,1,731,281,44835,140.96
3840,1,732,282,44924,141.23
3844,1,732,282,44714,140.57
3848,1,733,281,44349,139.43
3852,1,733,282,44555,140.07
3856,1,734,283,44493,139.88
3860,1,735,282,44269,139.18
3864,1,736,283,44515,139.95
3868,1,736,282,44409,139.62
3872,1,737,282,44752,140.69
3876,1,737,282,44892,141.13
3880,1,737,282,44836,140.96
3884,1,738,282,44836,140.96
3888,1,738,282,44955,141.33
3892,1,738,282,44774,140.76
3896,1,738,282,44642,140.35
3900,1,738,283,44703,140.54
3904,1,737,283,44446,139.73
3908,1,737,283,44404,139.6
3912,1,737,283,44491,139.87
