frame,drop_id,cx,cy,area_px,percentage
1184,1,614,67,22539,100.0
1188,1,615,197,26331,116.82
1192,1,616,302,31854,141.33
1196,1,617,309,33672,149.39
1200,1,619,309,41707,185.04
1204,1,630,308,45108,200.13
1208,1,770,326,10917,48.44
1208,2,757,259,210,0.93
1208,3,800,258,71,0.32
1212,1,715,305,20699,91.84
1216,1,626,285,40692,180.54
1220,1,620,252,44963,199.49
1224,1,613,233,46446,206.07
1228,1,606,223,48207,213.88
1232,1,600,219,47195,209.39
1236,1,596,214,45783,203.13
1240,1,593,209,43541,193.18
1244,1,595,191,39247,174.13
1248,1,595,179,35267,156.47
1252,1,593,172,33770,149.83
1256,1,591,175,36470,161.81
1260,1,591,172,39056,173.28
1264,1,592,164,40144,178.11
1268,1,591,155,37022,164.26
1272,1,593,153,33702,149.53
1276,1,598,151,32188,142.81
1280,1,601,149,32242,143.05
1284,1,601,139,32385,143.68
1288,1,600,137,33201,147.3
1292,1,601,143,31398,139.31
1296,1,604,148,31120,138.07
1300,1,607,151,30653,136.0
1304,1,606,138,26499,117.57
1308,1,604,154,26729,118.59
1308,2,604,306,3422,15.18
1312,1,603,171,28525,126.56
1316,1,601,188,30238,134.16
1320,1,601,205,31201,138.43
1324,1,602,213,29151,129.34
1328,1,605,221,26848,119.12
1332,1,608,232,24690,109.54
1336,1,607,243,21940,97.34
1340,1,606,254,19294,85.6
1344,1,603,259,18402,81.65
1348,1,601,260,18990,84.25
1352,1,602,260,18690,82.92
1356,1,601,256,19049,84.52
1360,1,600,247,21003,93.19
1364,1,604,239,22983,101.97
1368,1,606,233,25195,111.78
1372,1,606,229,26909,119.39
1376,1,604,227,27390,121.52
1380,1,602,227,27374,121.45
1384,1,603,226,26657,118.27
1388,1,605,231,25581,113.5
1392,1,606,237,22910,101.65
1396,1,606,247,20654,91.64
1400,1,604,258,18701,82.97
1404,1,603,261,18528,82.2
1408,1,601,264,17992,79.83
1412,1,600,264,18237,80.91
1416,1,600,257,19383,86.0
1420,1,602,251,21044,93.37
1424,1,603,244,22587,100.21
1428,1,604,238,24284,107.74
1432,1,605,233,25794,114.44
1436,1,604,229,26914,119.41
1440,1,603,229,26526,117.69
1444,1,603,233,25363,112.53
1448,1,604,238,23174,102.82
1452,1,605,245,20737,92.0
1456,1,605,254,19693,87.37
1460,1,605,260,18921,83.95
1464,1,604,264,18333,81.34
1468,1,602,264,18668,82.83
1472,1,602,261,19351,85.86
1476,1,602,255,20313,90.12
1480,1,602,249,21749,96.49
1484,1,603,242,23522,104.36
1488,1,603,236,24763,109.87
1492,1,604,232,25448,112.91
1496,1,603,231,24954,110.71
1500,1,602,234,23904,106.06
1504,1,602,239,22846,101.36
1508,1,603,245,21971,97.48
1512,1,604,252,20911,92.78
1516,1,604,257,19780,87.76
1520,1,604,262,19098,84.73
1524,1,604,263,18764,83.25
1528,1,603,261,19212,85.24
1532,1,602,257,19827,87.97
1536,1,602,250,21372,94.82
1540,1,603,243,22583,100.2
1544,1,604,237,23403,103.83
1548,1,604,235,24117,107.0
1552,1,604,234,24263,107.65
1556,1,603,235,24084,106.85
1560,1,603,238,23632,104.85
1564,1,602,244,23149,102.71
1568,1,603,250,21757,96.53
1572,1,603,256,20196,89.6
1576,1,603,261,19226,85.3
1580,1,604,263,18654,82.76
1584,1,604,261,18671,82.84
1588,1,603,257,19485,86.45
1592,1,603,252,20550,91.18
1596,1,604,246,21522,95.49
1600,1,604,242,22540,100.0
1604,1,604,238,23813,105.65
1608,1,604,236,24584,109.07
1612,1,604,236,25032,111.06
1616,1,604,239,24392,108.22
1620,1,603,245,23313,103.43
1624,1,603,250,21816,96.79
1628,1,602,256,20271,89.94
1632,1,602,260,19088,84.69
1636,1,602,262,18673,82.85
1640,1,602,261,18423,81.74
1644,1,602,258,18878,83.76
1648,1,603,254,19886,88.23
1652,1,603,249,21136,93.78
1656,1,603,243,22367,99.24
1660,1,603,239,23862,105.87
1664,1,603,237,24788,109.98
1668,1,603,238,24919,110.56
1672,1,603,241,24551,108.93
1676,1,603,245,23178,102.84
1680,1,604,250,21881,97.08
1684,1,604,255,20476,90.85
1688,1,603,259,19376,85.97
1692,1,603,261,18312,81.25
1696,1,603,261,18298,81.18
1700,1,603,259,18645,82.72
1704,1,603,255,19734,87.55
1708,1,603,250,21078,93.52
1712,1,603,245,22494,99.8
1716,1,603,241,23922,106.14
1720,1,604,240,24792,110.0
1724,1,603,240,24969,110.78
1728,1,603,242,24477,108.6
1732,1,603,245,23466,104.11
1736,1,602,249,21976,97.5
1740,1,602,254,20538,91.12
1744,1,603,258,19249,85.4
1748,1,603,261,18419,81.72
1752,1,603,261,18335,81.35
1756,1,603,258,18659,82.79
1760,1,603,255,19793,87.82
1764,1,603,250,20961,93.0
1768,1,603,247,22374,99.27
1772,1,603,243,23523,104.37
1776,1,603,242,24749,109.81
1780,1,603,241,25025,111.03
1784,1,603,242,24546,108.9
1788,1,603,245,23237,103.1
1792,1,603,249,21854,96.96
1796,1,603,253,20330,90.2
1800,1,602,257,19294,85.6
1804,1,602,259,18660,82.79
1808,1,602,260,18446,81.84
1812,1,603,258,18920,83.94
1816,1,603,255,19817,87.92
1820,1,604,252,21015,93.24
1824,1,604,248,22440,99.56
1828,1,603,244,23651,104.93
1832,1,603,242,24458,108.51
1836,1,603,242,24675,109.48
1840,1,603,243,24118,107.01
1844,1,603,246,23025,102.16
1848,1,604,249,21665,96.12
1852,1,603,253,20621,91.49
1856,1,603,256,19676,87.3
1860,1,602,258,18942,84.04
1864,1,602,260,18886,83.79
1868,1,602,259,19283,85.55
1872,1,602,256,20051,88.96
1876,1,603,252,21242,94.25
1880,1,603,248,22464,99.67
1884,1,603,245,23490,104.22
1888,1,603,243,24095,106.9
1892,1,603,243,24200,107.37
1896,1,603,243,23614,104.77
1900,1,603,246,22890,101.56
1904,1,603,249,21766,96.57
1908,1,603,253,20933,92.87
1912,1,603,256,19915,88.36
1916,1,603,258,19389,86.02
1920,1,603,259,19218,85.27
1924,1,603,258,19533,86.66
1928,1,603,255,20231,89.76
1932,1,603,252,21246,94.26
1936,1,603,249,22268,98.8
1940,1,603,246,23231,103.07
1944,1,604,244,23725,105.26
1948,1,604,243,23965,106.33
1952,1,604,244,23584,104.64
1956,1,603,245,22698,100.71
1960,1,603,248,21806,96.75
1964,1,603,252,20882,92.65
1968,1,603,255,20126,89.29
1972,1,603,257,19699,87.4
1976,1,603,258,19461,86.34
1980,1,603,258,19844,88.04
1984,1,603,255,20395,90.49
1988,1,603,253,21191,94.02
1992,1,603,250,22185,98.43
1996,1,603,247,22859,101.42
2000,1,603,244,23350,103.6
2004,1,603,243,23368,103.68
2008,1,603,244,23238,103.1
2012,1,603,246,22633,100.42
2016,1,603,249,21902,97.17
2020,1,603,252,21140,93.79
2024,1,602,254,20427,90.63
2028,1,603,257,19984,88.66
2032,1,603,258,19841,88.03
2036,1,603,257,19958,88.55
2040,1,603,256,20483,90.88
2044,1,603,253,21160,93.88
2048,1,603,250,21844,96.92
2052,1,603,247,22554,100.07
2056,1,604,245,22885,101.54
2060,1,604,244,23110,102.53
2064,1,604,245,23004,102.06
2068,1,604,246,22765,101.0
2072,1,603,249,22105,98.07
2076,1,603,251,21332,94.64
2080,1,603,254,20693,91.81
2084,1,603,256,20285,90.0
2088,1,603,257,19828,87.97
2092,1,603,257,20083,89.1
2096,1,603,255,20411,90.56
2100,1,603,253,20992,93.14
2104,1,603,250,21634,95.98
2108,1,603,248,22295,98.92
2112,1,603,246,22736,100.87
2116,1,603,245,23012,102.1
2120,1,603,245,23059,102.31
2124,1,603,246,22669,100.58
2128,1,603,248,22070,97.92
2132,1,603,252,21688,96.22
2136,1,603,254,20954,92.97
2140,1,603,256,20406,90.54
2144,1,603,257,20150,89.4
2148,1,603,257,20188,89.57
2152,1,603,255,20242,89.81
