frame,drop_id,cx,cy,area_px,percentage
1760,1,783,88,26772,100.0
1764,1,784,225,24909,93.04
1768,1,785,300,32612,121.81
1772,1,787,305,34372,128.39
1776,1,778,304,44272,165.37
1780,1,791,304,48690,181.87
1780,2,399,293,413,1.54
1780,3,398,316,233,0.87
1784,1,769,304,52632,196.59
1788,1,795,304,43721,163.31
1788,2,413,307,2573,9.61
1792,1,756,304,33632,125.62
1792,2,408,301,1940,7.25
1792,3,1078,291,447,1.67
1792,4,476,331,167,0.62
1792,5,474,267,73,0.27
1792,6,1109,298,71,0.27
1792,7,1068,331,71,0.27
1796,1,810,304,36946,138.0
1796,2,410,305,2293,8.56
1800,1,736,304,31728,118.51
1800,2,1089,302,4962,18.53
1804,1,746,303,32130,120.01
1804,2,1093,302,5140,19.2
1808,1,802,301,40059,149.63
1812,1,830,299,38195,142.67
1812,2,410,305,2300,8.59
1816,1,816,298,39671,148.18
1816,2,414,305,2288,8.55
1820,1,821,299,38061,142.17
1820,2,414,305,2324,8.68
1820,3,471,328,170,0.63
1820,4,466,273,59,0.22
1824,1,820,301,37228,139.06
1824,2,409,305,2299,8.59
1824,3,471,329,101,0.38
1824,4,466,273,51,0.19
1824,5,486,276,50,0.19
1828,1,823,302,35588,132.93
1828,2,410,305,2316,8.65
1828,3,466,331,62,0.23
1832,1,798,303,37740,140.97
1832,2,465,269,64,0.24
1836,1,796,303,36546,136.51
1840,1,814,303,34077,127.29
1840,2,409,305,2422,9.05
1844,1,811,303,33645,125.67
1844,2,411,305,2369,8.85
1848,1,817,304,31296,116.9
1848,2,415,305,2381,8.89
1852,1,804,304,31230,116.65
1852,2,412,305,2361,8.82
1856,1,815,304,31311,116.95
1856,2,409,305,2346,8.76
1860,1,796,304,34904,130.38
1860,2,466,269,72,0.27
1860,3,447,278,65,0.24
1864,1,786,303,36573,136.61
1868,1,811,303,33944,126.79
1868,2,411,305,2402,8.97
1872,1,804,303,33355,124.59
1872,2,410,305,2399,8.96
1876,1,804,303,32688,122.1
1876,2,413,305,2407,8.99
1880,1,777,303,35996,134.45
1884,1,781,303,35873,133.99
1888,1,787,303,36427,136.06
1892,1,786,303,37052,138.4
1896,1,780,303,36758,137.3
1900,1,805,303,33488,125.09
1900,2,411,305,2361,8.82
1904,1,864,303,27617,103.16
1904,2,523,304,454,1.7
1908,1,783,303,36865,137.7
1912,1,791,303,37787,141.14
1916,1,788,303,37992,141.91
1920,1,784,303,37555,140.28
1924,1,783,303,36671,136.98
1928,1,867,303,28004,104.6
1928,2,524,304,95,0.35
1928,3,506,300,53,0.2
1932,1,782,303,37137,138.72
1936,1,787,303,37198,138.94
1940,1,790,303,37152,138.77
1944,1,785,303,37559,140.29
1948,1,783,303,36473,136.24
1952,1,869,304,27478,102.64
1952,2,518,304,402,1.5
1956,1,778,303,36839,137.6
1960,1,786,303,36739,137.23
1964,1,858,303,29638,110.71
1968,1,787,303,36732,137.2
1972,1,785,303,36207,135.24
1976,1,788,304,35236,131.62
1980,1,869,304,27675,103.37
1980,2,526,305,797,2.98
1984,1,783,303,36646,136.88
1988,1,856,303,29114,108.75
1992,1,795,304,35890,134.06
1996,1,800,304,34821,130.06
1996,2,467,269,51,0.19
2000,1,787,303,35813,133.77
2004,1,868,304,27698,103.46
2004,2,521,304,538,2.01
2008,1,784,303,36526,136.43
2012,1,866,303,27594,103.07
2012,2,520,304,546,2.04
2016,1,785,303,37013,138.25
2020,1,789,303,36132,134.96
2024,1,798,304,34981,130.66
2024,2,467,269,54,0.2
2028,1,792,304,35362,132.09
2028,2,465,269,155,0.58
2032,1,782,303,36961,138.06
2036,1,784,303,36722,137.17
2040,1,813,303,34078,127.29
2040,2,412,305,2402,8.97
2044,1,784,303,36775,137.36
2048,1,784,303,36649,136.89
2052,1,783,303,36657,136.92
2056,1,782,303,36897,137.82
2060,1,783,303,36859,137.68
2064,1,780,303,37324,139.41
2068,1,780,303,37295,139.31
2072,1,782,303,37022,138.29
2076,1,782,303,37140,138.73
2080,1,782,303,37107,138.6
2084,1,781,303,37160,138.8
2088,1,780,303,37192,138.92
2092,1,779,303,37268,139.21
2096,1,781,303,37196,138.94
2100,1,782,303,37280,139.25
2104,1,784,303,36919,137.9
2108,1,782,303,37096,138.56
2112,1,780,303,37143,138.74
2116,1,779,303,37270,139.21
2120,1,780,303,37323,139.41
2124,1,781,303,37616,140.51
2128,1,782,303,37535,140.2
2132,1,781,303,37391,139.66
2136,1,779,303,37321,139.4
2140,1,778,303,37366,139.57
2144,1,779,303,37495,140.05
2148,1,781,303,37633,140.57
2152,1,780,303,37796,141.18
2156,1,781,303,37627,140.55
2160,1,781,303,37080,138.5
2164,1,779,303,37100,138.58
2168,1,778,303,37513,140.12
2172,1,781,303,37467,139.95
2176,1,781,303,37681,140.75
2180,1,782,303,37426,139.8
2184,1,781,303,37039,138.35
2188,1,780,303,36952,138.02
2192,1,780,303,37167,138.83
2196,1,781,303,37263,139.19
2200,1,783,303,37293,139.3
2204,1,781,303,37454,139.9
2208,1,780,303,37399,139.69
2212,1,780,303,37140,138.73
2216,1,780,303,37210,138.99
