frame,drop_id,cx,cy,area_px,percentage
335,1,754,108,25407,100.0
336,1,755,144,24813,97.66
337,1,755,179,25355,99.8
338,1,755,214,24759,97.45
339,1,755,240,22855,89.96
340,1,755,258,19333,76.09
341,1,755,261,11904,46.85
342,1,755,299,30119,118.55
343,1,755,301,29207,114.96
344,1,758,302,28370,111.66
345,1,759,303,28768,113.23
346,1,759,304,30251,119.07
347,1,760,304,32427,127.63
348,1,759,304,34716,136.64
349,1,761,304,37424,147.3
350,1,762,304,39539,155.62
351,1,764,304,41403,162.96
352,1,765,304,42918,168.92
353,1,765,304,44564,175.4
354,1,761,304,45989,181.01
355,1,760,304,46916,184.66
356,1,761,304,47908,188.56
357,1,762,303,48535,191.03
358,1,764,303,48868,192.34
359,1,765,303,47996,188.91
360,1,744,303,45058,177.34
360,2,1107,301,2775,10.92
361,1,768,303,47558,187.18
362,1,769,303,46689,183.76
363,1,771,303,46229,181.95
364,1,774,303,46184,181.78
365,1,774,303,45642,179.64
366,1,772,303,45669,179.75
367,1,771,303,45708,179.9
368,1,767,303,46446,182.81
369,1,763,303,46424,182.72
370,1,763,303,46261,182.08
371,1,761,303,45639,179.63
372,1,763,303,44465,175.01
373,1,765,303,44224,174.06
374,1,768,303,43878,172.7
375,1,769,303,43662,171.85
376,1,771,303,43685,171.94
377,1,771,303,43516,171.28
378,1,769,302,43473,171.11
379,1,768,302,43382,170.75
380,1,767,302,43484,171.15
381,1,766,301,43624,171.7
382,1,764,301,44098,173.57
383,1,764,301,44621,175.62
384,1,763,301,44762,176.18
385,1,763,301,44944,176.9
386,1,762,301,44866,176.59
387,1,760,301,45204,177.92
388,1,758,301,45524,179.18
389,1,757,301,45068,177.38
390,1,756,301,44828,176.44
391,1,755,301,44765,176.19
392,1,755,301,44259,174.2
393,1,755,301,44125,173.67
394,1,755,302,43955,173.0
395,1,756,302,43779,172.31
396,1,758,302,43330,170.54
397,1,759,302,42854,168.67
398,1,759,302,42503,167.29
399,1,758,302,42231,166.22
400,1,757,302,41789,164.48
401,1,756,303,41514,163.4
402,1,757,303,41282,162.48
403,1,757,303,41145,161.94
404,1,759,303,41229,162.27
405,1,761,303,41303,162.57
406,1,762,303,41398,162.94
407,1,764,303,41541,163.5
408,1,764,303,41449,163.14
409,1,764,303,41396,162.93
410,1,763,303,41262,162.4
411,1,761,303,41118,161.84
412,1,761,303,40876,160.88
413,1,760,303,40684,160.13
414,1,760,303,40522,159.49
415,1,760,303,40437,159.16
416,1,760,303,40219,158.3
417,1,761,303,40178,158.14
418,1,762,303,40017,157.5
419,1,764,303,39805,156.67
420,1,765,303,39492,155.44
421,1,765,303,39308,154.71
422,1,765,303,39240,154.45
423,1,763,303,39328,154.79
424,1,761,303,39469,155.35
425,1,759,303,39908,157.07
426,1,759,303,40270,158.5
427,1,758,303,40409,159.05
428,1,758,303,40390,158.97
429,1,759,304,40236,158.37
430,1,760,304,40060,157.67
431,1,761,304,39847,156.83
432,1,762,304,39711,156.3
433,1,763,304,39629,155.98
434,1,763,304,39590,155.82
435,1,764,304,39565,155.72
436,1,765,304,39646,156.04
437,1,765,304,39841,156.81
438,1,765,304,40081,157.76
439,1,765,304,40091,157.8
440,1,765,304,40032,157.56
441,1,765,304,39773,156.54
442,1,764,304,39524,155.56
443,1,764,304,39316,154.74
444,1,763,304,39143,154.06
445,1,763,303,39041,153.66
446,1,763,303,39249,154.48
447,1,763,303,39444,155.25
448,1,764,303,39771,156.54
449,1,766,303,40065,157.69
450,1,766,303,40348,158.81
451,1,766,303,40588,159.75
452,1,767,303,40725,160.29
453,1,767,304,40536,159.55
454,1,767,303,40190,158.18
455,1,767,304,40009,157.47
456,1,765,304,39832,156.78
457,1,765,304,39752,156.46
458,1,764,304,39758,156.48
459,1,765,303,39896,157.03
460,1,765,303,40056,157.66
461,1,765,303,40239,158.38
462,1,764,303,40331,158.74
463,1,763,303,40241,158.39
464,1,762,303,40158,158.06
465,1,763,303,39923,157.13
466,1,762,303,39738,156.41
467,1,763,303,39346,154.86
468,1,763,303,39175,154.19
469,1,764,303,38914,153.16
470,1,765,303,38886,153.05
471,1,766,303,38917,153.17
472,1,766,303,39157,154.12
473,1,765,303,39501,155.47
474,1,765,303,39910,157.08
475,1,765,303,40141,157.99
476,1,765,303,40443,159.18
477,1,764,303,40673,160.09
478,1,765,303,40637,159.94
479,1,765,303,40643,159.97
480,1,765,303,40559,159.64
481,1,765,303,40478,159.32
482,1,765,303,40407,159.04
483,1,765,303,40508,159.44
484,1,765,303,40510,159.44
485,1,765,303,40466,159.27
486,1,765,303,40581,159.72
487,1,765,303,40567,159.67
488,1,765,303,40622,159.89
489,1,764,303,40485,159.35
490,1,764,303,40478,159.32
491,1,764,303,40307,158.65
492,1,765,303,40121,157.91
493,1,765,303,40015,157.5
494,1,765,303,39974,157.33
495,1,766,303,39969,157.31
496,1,766,303,39939,157.2
497,1,766,303,39942,157.21
498,1,766,303,40083,157.76
499,1,767,303,40183,158.16
500,1,767,303,40280,158.54
501,1,767,303,40335,158.76
502,1,767,303,40379,158.93
503,1,767,303,40382,158.94
504,1,767,303,40356,158.84
505,1,767,303,40264,158.48
506,1,767,303,40418,159.08
507,1,766,303,40656,160.02
508,1,765,303,40680,160.11
509,1,764,303,40720,160.27
510,1,764,303,40690,160.15
511,1,763,303,40643,159.97
512,1,763,303,40497,159.39
513,1,763,303,40304,158.63
514,1,764,303,39982,157.37
515,1,764,303,39898,157.04
516,1,765,303,39815,156.71
517,1,766,303,39768,156.52
518,1,767,303,39871,156.93
519,1,767,303,39860,156.89
520,1,767,303,39886,156.99
521,1,767,304,39895,157.02
522,1,767,304,39840,156.81
523,1,767,304,39819,156.72
524,1,767,304,39764,156.51
