frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
734,falling,1,12,70,12468,59.76,hough,,,
735,falling,1,,,,,null,,,
736,falling,1,770,194,23209,111.24,sam2,,,
737,falling,1,,,,,null,,,
738,falling,1,,,,,null,,,
739,falling,1,,,,,null,,,
740,falling,1,772,297,29105,139.5,sam2,103.019,77181.283,1378.237
741,falling,1,,,,,null,,,
742,falling,1,,,,,null,,,
743,falling,1,,,,,null,,,
744,falling,1,778,306,35246,168.93,sam2,10.817,8103.746,144.71
745,falling,1,,,,,null,,,
746,falling,1,,,,,null,,,
747,falling,1,,,,,null,,,
748,falling,1,776,307,46466,222.71,sam2,2.236,1675.243,29.915
749,falling,1,,,,,null,,,
750,falling,1,,,,,null,,,
751,falling,1,,,,,null,,,
752,falling,1,775,306,54710,262.22,sam2,1.414,1059.517,18.92
753,falling,1,,,,,null,,,
754,falling,1,,,,,null,,,
755,falling,1,,,,,null,,,
756,falling,1,774,299,52726,252.71,sam2,7.071,5297.585,94.6
757,falling,1,,,,,null,,,
758,falling,1,,,,,null,,,
759,falling,1,,,,,null,,,
760,falling,1,786,294,50029,239.79,sam2,13.0,9739.491,173.919
761,falling,1,,,,,null,,,
762,falling,1,,,,,null,,,
763,falling,1,,,,,null,,,
764,falling,1,791,295,45218,216.73,sam2,5.099,3820.143,68.217
765,falling,1,,,,,null,,,
766,falling,1,,,,,null,,,
767,falling,1,,,,,null,,,
768,falling,1,784,230,28925,138.64,sam2,65.376,48979.029,874.626
768,falling,2,711,292,245,1.17,sam2,,,
768,falling,3,684,294,114,0.55,sam2,,,
769,falling,1,,,,,null,,,
770,falling,1,,,,,null,,,
771,falling,1,,,,,null,,,
772,falling,1,772,231,44555,213.55,sam2,12.042,9021.462,161.098
773,falling,1,,,,,null,,,
774,falling,1,,,,,null,,,
775,falling,1,,,,,null,,,
776,falling,1,773,137,24448,117.18,sam2,94.005,70427.997,1257.643
777,falling,1,,,,,null,,,
778,falling,1,,,,,null,,,
779,falling,1,,,,,null,,,
780,falling,1,760,200,48875,234.26,sam2,64.327,48193.465,860.598
781,falling,1,,,,,null,,,
782,falling,1,,,,,null,,,
783,falling,1,,,,,null,,,
784,falling,1,757,170,35382,169.58,sam2,30.15,22587.848,403.354
785,falling,1,,,,,null,,,
786,falling,1,,,,,null,,,
787,falling,1,,,,,null,,,
788,falling,1,751,203,47473,227.54,sam2,33.541,25128.651,448.726
789,falling,1,,,,,null,,,
790,falling,1,,,,,null,,,
791,falling,1,,,,,null,,,
792,falling,1,743,176,34188,163.86,sam2,28.16,21097.428,376.74
793,falling,1,,,,,null,,,
794,falling,1,,,,,null,,,
795,falling,1,,,,,null,,,
796,falling,1,751,167,27173,130.24,sam2,12.042,9021.462,161.098
797,falling,1,,,,,null,,,
798,falling,1,,,,,null,,,
799,falling,1,,,,,null,,,
800,falling,1,746,165,26215,125.65,sam2,5.385,4034.52,72.045
801,falling,1,,,,,null,,,
802,falling,1,,,,,null,,,
803,falling,1,,,,,null,,,
804,falling,1,743,154,26618,127.58,sam2,11.402,8542.099,152.537
805,falling,1,,,,,null,,,
806,falling,1,,,,,null,,,
807,falling,1,,,,,null,,,
808,falling,1,735,147,23588,113.06,sam2,10.63,7964.016,142.215
809,falling,1,,,,,null,,,
810,falling,1,,,,,null,,,
811,falling,1,,,,,null,,,
812,falling,1,730,142,22541,108.04,sam2,7.071,5297.585,94.6
813,falling,1,,,,,null,,,
814,falling,1,,,,,null,,,
815,falling,1,,,,,null,,,
816,falling,1,727,133,25260,121.07,sam2,9.487,7107.456,126.919
817,falling,1,,,,,null,,,
818,falling,1,,,,,null,,,
819,falling,1,,,,,null,,,
820,falling,1,729,121,26872,128.8,sam2,12.166,9114.309,162.756
821,falling,1,,,,,null,,,
822,falling,1,,,,,null,,,
823,falling,1,,,,,null,,,
824,falling,1,727,118,23047,110.46,sam2,3.606,2701.249,48.237
825,falling,1,,,,,null,,,
826,falling,1,,,,,null,,,
827,falling,1,,,,,null,,,
