frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
627,falling,1,648,115,22051,100.0,sam2,,,
628,falling,1,648,151,22938,104.02,sam2,36.0,107883.594,1926.493
629,falling,1,648,187,23065,104.6,sam2,36.0,107883.594,1926.493
630,falling,1,648,222,22227,100.8,sam2,35.0,104886.827,1872.979
631,falling,1,649,241,17733,80.42,sam2,19.026,57017.371,1018.167
632,falling,1,649,257,14465,65.6,sam2,16.0,47948.264,856.219
633,falling,1,650,271,13701,62.13,sam2,14.036,42061.622,751.1
634,falling,1,655,293,23826,108.05,sam2,22.561,67610.134,1207.324
635,falling,1,656,296,23636,107.19,sam2,3.162,9476.608,169.225
636,falling,1,656,297,23251,105.44,sam2,1.0,2996.766,53.514
637,falling,1,659,298,24307,110.23,sam2,3.162,9476.608,169.225
638,falling,1,659,298,26321,119.36,sam2,0.0,0.0,0.0
639,falling,1,657,298,28678,130.05,sam2,2.0,5993.533,107.027
640,falling,1,661,298,31552,143.09,sam2,4.0,11987.066,214.055
641,falling,1,666,298,33582,152.29,sam2,5.0,14983.832,267.568
642,falling,1,670,298,35995,163.24,sam2,4.0,11987.066,214.055
643,falling,1,658,298,36076,163.6,sam2,12.0,35961.198,642.164
643,falling,2,1072,286,179,0.81,sam2,,,
644,falling,1,662,297,37387,169.55,sam2,4.123,12355.985,220.643
645,falling,1,662,298,38516,174.67,sam2,1.0,2996.766,53.514
646,falling,1,645,298,37065,168.09,sam2,17.0,50945.03,909.733
646,falling,2,1030,291,1157,5.25,sam2,42.297,42250.983,754.482
647,falling,1,642,298,36975,167.68,sam2,3.0,8990.299,160.541
647,falling,2,1033,291,936,4.24,sam2,3.0,8990.299,160.541
648,falling,1,641,298,37139,168.42,sam2,1.0,2996.766,53.514
648,falling,2,1034,291,956,4.34,sam2,1.0,2996.766,53.514
649,falling,1,641,298,37223,168.8,sam2,0.0,0.0,0.0
649,falling,2,1031,291,1085,4.92,sam2,3.0,8990.299,160.541
650,falling,1,639,298,36883,167.26,sam2,2.0,5993.533,107.027
650,falling,2,1034,290,726,3.29,sam2,3.162,9476.608,169.225
651,falling,1,638,297,36030,163.39,sam2,1.414,4238.068,75.68
651,falling,2,1031,290,860,3.9,sam2,3.0,8990.299,160.541
652,falling,1,650,297,37266,169.0,sam2,12.0,35961.198,642.164
653,falling,1,652,297,36892,167.3,sam2,2.0,5993.533,107.027
654,falling,1,656,297,36497,165.51,sam2,4.0,11987.066,214.055
655,falling,1,657,296,35774,162.23,sam2,1.414,4238.068,75.68
656,falling,1,658,296,35026,158.84,sam2,1.0,2996.766,53.514
657,falling,1,659,296,33757,153.09,sam2,1.0,2996.766,53.514
658,falling,1,659,296,33661,152.65,sam2,0.0,0.0,0.0
659,falling,1,657,296,33422,151.57,sam2,2.0,5993.533,107.027
660,falling,1,656,296,33339,151.19,sam2,1.0,2996.766,53.514
661,falling,1,658,296,32886,149.14,sam2,2.0,5993.533,107.027
662,falling,1,658,296,32530,147.52,sam2,0.0,0.0,0.0
663,falling,1,657,297,32576,147.73,sam2,1.414,4238.068,75.68
664,falling,1,656,297,32541,147.57,sam2,1.0,2996.766,53.514
665,falling,1,655,297,32790,148.7,sam2,1.0,2996.766,53.514
666,falling,1,654,296,32973,149.53,sam2,1.414,4238.068,75.68
667,falling,1,653,296,33065,149.95,sam2,1.0,2996.766,53.514
668,falling,1,654,296,33228,150.69,sam2,1.0,2996.766,53.514
669,falling,1,653,296,33491,151.88,sam2,1.0,2996.766,53.514
670,falling,1,652,296,33834,153.44,sam2,1.0,2996.766,53.514
