frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
2440,falling,1,629,122,31808,100.0,sam2,,,
2441,falling,1,,,,,null,,,
2442,falling,1,,,,,null,,,
2443,falling,1,,,,,null,,,
2444,falling,1,629,237,24616,77.39,sam2,115.0,86157.037,1538.519
2445,falling,1,,,,,null,,,
2446,falling,1,,,,,null,,,
2447,falling,1,,,,,null,,,
2448,falling,1,632,305,37514,117.94,sam2,68.066,50994.585,910.618
2449,falling,1,,,,,null,,,
2450,falling,1,,,,,null,,,
2451,falling,1,,,,,null,,,
2452,falling,1,645,310,44241,139.09,sam2,13.928,10435.032,186.34
2453,falling,1,,,,,null,,,
2454,falling,1,,,,,null,,,
2455,falling,1,,,,,null,,,
2456,falling,1,641,307,56054,176.23,sam2,5.0,3745.958,66.892
2457,falling,1,,,,,null,,,
2458,falling,1,,,,,null,,,
2459,falling,1,,,,,null,,,
2460,falling,1,506,304,35107,110.37,sam2,135.033,101165.839,1806.533
2461,falling,1,,,,,null,,,
2462,falling,1,,,,,null,,,
2463,falling,1,,,,,null,,,
2464,falling,1,841,305,21003,66.03,sam2,335.001,250980.312,4481.791
2465,falling,1,,,,,null,,,
2466,falling,1,,,,,null,,,
2467,falling,1,,,,,null,,,
2468,falling,1,630,299,54118,170.14,sam2,211.085,158143.331,2823.988
2469,falling,1,,,,,null,,,
2470,falling,1,,,,,null,,,
2471,falling,1,,,,,null,,,
2472,falling,1,645,296,52643,165.5,sam2,15.297,11460.428,204.651
2473,falling,1,,,,,null,,,
2474,falling,1,,,,,null,,,
2475,falling,1,,,,,null,,,
2476,falling,1,664,290,51984,163.43,sam2,19.925,14927.537,266.563
2477,falling,1,,,,,null,,,
2478,falling,1,,,,,null,,,
2479,falling,1,,,,,null,,,
2480,falling,1,654,266,51766,162.75,sam2,26.0,19478.982,347.839
2481,falling,1,,,,,null,,,
2482,falling,1,,,,,null,,,
2483,falling,1,,,,,null,,,
2484,falling,1,650,240,51982,163.42,sam2,26.306,19708.155,351.931
2485,falling,1,,,,,null,,,
2486,falling,1,,,,,null,,,
2487,falling,1,,,,,null,,,
2488,falling,1,651,222,53572,168.42,sam2,18.028,13506.244,241.183
2489,falling,1,,,,,null,,,
2490,falling,1,,,,,null,,,
2491,falling,1,,,,,null,,,
2492,falling,1,656,209,55719,175.17,sam2,13.928,10435.032,186.34
2493,falling,1,,,,,null,,,
2494,falling,1,,,,,null,,,
2495,falling,1,,,,,null,,,
2496,falling,1,663,206,54462,171.22,sam2,7.616,5705.673,101.887
2497,falling,1,,,,,null,,,
2498,falling,1,,,,,null,,,
2499,falling,1,,,,,null,,,
2500,falling,1,665,201,53591,168.48,sam2,5.385,4034.52,72.045
2501,falling,1,,,,,null,,,
2502,falling,1,,,,,null,,,
2503,falling,1,,,,,null,,,
2504,falling,1,663,195,51367,161.49,sam2,6.325,4738.304,84.613
2504,falling,2,791,304,54,0.17,sam2,,,
2505,falling,1,,,,,null,,,
2506,falling,1,,,,,null,,,
2507,falling,1,,,,,null,,,
2508,falling,1,669,191,47402,149.03,sam2,7.211,5402.498,96.473
2508,falling,2,792,305,61,0.19,sam2,1.414,1059.517,18.92
2508,falling,3,771,304,57,0.18,sam2,,,
2509,falling,1,,,,,null,,,
2510,falling,1,,,,,null,,,
2511,falling,1,,,,,null,,,
2512,falling,1,677,187,43335,136.24,sam2,8.944,6700.974,119.66
2513,falling,1,,,,,null,,,
2514,falling,1,,,,,null,,,
2515,falling,1,,,,,null,,,
2516,falling,1,683,187,42035,132.15,sam2,6.0,4495.15,80.271
2517,falling,1,,,,,null,,,
2518,falling,1,,,,,null,,,
2519,falling,1,,,,,null,,,
2520,falling,1,685,194,44115,138.69,sam2,7.28,5454.197,97.396
2521,falling,1,,,,,null,,,
2522,falling,1,,,,,null,,,
2523,falling,1,,,,,null,,,
2524,falling,1,688,195,43887,137.97,sam2,3.162,2369.152,42.306
2525,falling,1,,,,,null,,,
2526,falling,1,,,,,null,,,
2527,falling,1,,,,,null,,,
2528,falling,1,699,135,28280,88.91,sam2,61.0,45700.689,816.084
