frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
1353,falling,1,584,94,14957,59.28,hough,,,
1354,falling,1,,,,,null,,,
1355,falling,1,,,,,null,,,
1356,falling,1,611,221,25204,99.9,sam2,,,
1357,falling,1,,,,,null,,,
1358,falling,1,,,,,null,,,
1359,falling,1,,,,,null,,,
1360,falling,1,628,282,13445,53.29,sam2,63.325,47442.23,847.183
1361,falling,1,,,,,null,,,
1362,falling,1,,,,,null,,,
1363,falling,1,,,,,null,,,
1364,falling,1,614,308,34769,137.81,sam2,29.53,22123.363,395.06
1365,falling,1,,,,,null,,,
1366,falling,1,,,,,null,,,
1367,falling,1,,,,,null,,,
1368,falling,1,622,307,42569,168.73,sam2,8.062,6040.176,107.86
1369,falling,1,,,,,null,,,
1370,falling,1,,,,,null,,,
1371,falling,1,,,,,null,,,
1372,falling,1,617,305,43264,171.49,sam2,5.385,4034.52,72.045
1373,falling,1,,,,,null,,,
1374,falling,1,,,,,null,,,
1375,falling,1,,,,,null,,,
1376,falling,1,725,277,12059,47.8,sam2,111.571,83587.763,1492.639
1377,falling,1,,,,,null,,,
1378,falling,1,,,,,null,,,
1379,falling,1,,,,,null,,,
1380,falling,1,614,300,38971,154.47,sam2,113.358,84926.744,1516.549
1381,falling,1,,,,,null,,,
1382,falling,1,,,,,null,,,
1383,falling,1,,,,,null,,,
1384,falling,1,603,277,43149,171.03,sam2,25.495,19100.714,341.084
1385,falling,1,,,,,null,,,
1386,falling,1,,,,,null,,,
1387,falling,1,,,,,null,,,
1388,falling,1,613,167,19425,76.99,sam2,110.454,82750.919,1477.695
1389,falling,1,,,,,null,,,
1390,falling,1,,,,,null,,,
1391,falling,1,,,,,null,,,
1392,falling,1,608,163,23086,91.51,sam2,6.403,4797.167,85.664
1393,falling,1,,,,,null,,,
1394,falling,1,,,,,null,,,
1395,falling,1,,,,,null,,,
1396,falling,1,604,153,23254,92.17,sam2,10.77,8069.041,144.09
1397,falling,1,,,,,null,,,
1398,falling,1,,,,,null,,,
1399,falling,1,,,,,null,,,
1400,falling,1,601,151,24554,97.32,sam2,3.606,2701.249,48.237
1401,falling,1,,,,,null,,,
1402,falling,1,,,,,null,,,
1403,falling,1,,,,,null,,,
1404,falling,1,601,149,27119,107.49,sam2,2.0,1498.383,26.757
1404,falling,2,548,264,110,0.44,sam2,,,
1405,falling,1,,,,,null,,,
1406,falling,1,,,,,null,,,
1407,falling,1,,,,,null,,,
1408,falling,1,599,151,28254,111.99,sam2,2.828,2119.034,37.84
1409,falling,1,,,,,null,,,
1410,falling,1,,,,,null,,,
1411,falling,1,,,,,null,,,
1412,falling,1,598,159,29614,117.38,sam2,8.062,6040.176,107.86
1413,falling,1,,,,,null,,,
1414,falling,1,,,,,null,,,
1415,falling,1,,,,,null,,,
1416,falling,1,597,149,28822,114.24,sam2,10.05,7529.283,134.451
1416,falling,2,643,281,60,0.24,sam2,96.509,24101.261,430.38
1417,falling,1,,,,,null,,,
1418,falling,1,,,,,null,,,
1419,falling,1,,,,,null,,,
1420,falling,1,596,140,28104,111.4,sam2,9.055,6784.219,121.147
1421,falling,1,,,,,null,,,
1422,falling,1,,,,,null,,,
1423,falling,1,,,,,null,,,
1424,falling,1,595,134,27562,109.25,sam2,6.083,4557.155,81.378
1425,falling,1,,,,,null,,,
1426,falling,1,,,,,null,,,
1427,falling,1,,,,,null,,,
1428,falling,1,596,134,27100,107.42,sam2,1.0,749.192,13.378
1428,falling,2,587,281,68,0.27,sam2,56.0,13984.91,249.731
1429,falling,1,,,,,null,,,
1430,falling,1,,,,,null,,,
1431,falling,1,,,,,null,,,
1432,falling,1,595,144,30197,119.69,sam2,10.05,7529.283,134.451
1433,falling,1,,,,,null,,,
1434,falling,1,,,,,null,,,
1435,falling,1,,,,,null,,,
1436,falling,1,595,128,27666,109.66,sam2,16.0,11987.066,214.055
1436,falling,2,591,265,71,0.28,sam2,16.492,6177.992,110.321
1437,falling,1,,,,,null,,,
1438,falling,1,,,,,null,,,
1439,falling,1,,,,,null,,,
1440,falling,1,595,165,35911,142.34,sam2,37.0,27720.09,495.002
1441,falling,1,,,,,null,,,
1442,falling,1,,,,,null,,,
1443,falling,1,,,,,null,,,
1444,falling,1,594,142,31285,124.0,sam2,23.022,17247.686,307.994
1445,falling,1,,,,,null,,,
1446,falling,1,,,,,null,,,
1447,falling,1,,,,,null,,,
1448,falling,1,594,137,31259,123.9,sam2,5.0,3745.958,66.892
1449,falling,1,,,,,null,,,
1450,falling,1,,,,,null,,,
1451,falling,1,,,,,null,,,
1452,falling,1,594,135,32507,128.85,sam2,2.0,1498.383,26.757
1453,falling,1,,,,,null,,,
1454,falling,1,,,,,null,,,
1455,falling,1,,,,,null,,,
1456,falling,1,594,141,32053,127.05,sam2,6.0,4495.15,80.271
1457,falling,1,,,,,null,,,
1458,falling,1,,,,,null,,,
1459,falling,1,,,,,null,,,
1460,falling,1,594,142,28396,112.55,sam2,1.0,749.192,13.378
1461,falling,1,,,,,null,,,
1462,falling,1,,,,,null,,,
1463,falling,1,,,,,null,,,
1464,falling,1,594,159,27779,110.11,sam2,17.0,12736.258,227.433
1465,falling,1,,,,,null,,,
1466,falling,1,,,,,null,,,
1467,falling,1,,,,,null,,,
1468,falling,1,593,178,28389,112.53,sam2,19.026,14254.343,254.542
1469,falling,1,,,,,null,,,
1470,falling,1,,,,,null,,,
1471,falling,1,,,,,null,,,
1472,falling,1,591,175,23237,92.1,sam2,3.606,2701.249,48.237
1473,falling,1,,,,,null,,,
1474,falling,1,,,,,null,,,
1475,falling,1,,,,,null,,,
1476,falling,1,591,193,23499,93.14,sam2,18.0,13485.449,240.812
1477,falling,1,,,,,null,,,
1478,falling,1,590,186,33979,134.68,hough,,,
1479,falling,1,,,,,null,,,
1480,falling,1,592,218,25858,102.49,sam2,,,
1481,falling,1,,,,,null,,,
1482,falling,1,,,,,null,,,
1483,falling,1,,,,,null,,,
1484,falling,1,592,231,23455,92.97,sam2,13.0,9739.491,173.919
1485,falling,1,,,,,null,,,
1486,falling,1,,,,,null,,,
1487,falling,1,,,,,null,,,
1488,falling,1,593,245,22544,89.36,sam2,14.036,10515.406,187.775
1489,falling,1,,,,,null,,,
1490,falling,1,,,,,null,,,
1491,falling,1,,,,,null,,,
1492,falling,1,593,253,21259,84.26,sam2,8.0,5993.533,107.027
1493,falling,1,,,,,null,,,
1494,falling,1,,,,,null,,,
1495,falling,1,,,,,null,,,
1496,falling,1,593,256,20700,82.05,sam2,3.0,2247.575,40.135
1497,falling,1,,,,,null,,,
1498,falling,1,,,,,null,,,
1499,falling,1,,,,,null,,,
1500,falling,1,593,260,19956,79.1,sam2,4.0,2996.766,53.514
1501,falling,1,,,,,null,,,
1502,falling,1,,,,,null,,,
1503,falling,1,,,,,null,,,
1504,falling,1,591,260,19589,77.64,sam2,2.0,1498.383,26.757
1505,falling,1,,,,,null,,,
1506,falling,1,,,,,null,,,
1507,falling,1,,,,,null,,,
1508,falling,1,590,256,19836,78.62,sam2,4.123,3088.996,55.161
1509,falling,1,,,,,null,,,
1510,falling,1,,,,,null,,,
1511,falling,1,,,,,null,,,
1512,falling,1,590,249,21736,86.15,sam2,7.0,5244.341,93.649
1513,falling,1,,,,,null,,,
1514,falling,1,,,,,null,,,
1515,falling,1,,,,,null,,,
1516,falling,1,590,241,23505,93.17,sam2,8.0,5993.533,107.027
1517,falling,1,,,,,null,,,
1518,falling,1,,,,,null,,,
1519,falling,1,,,,,null,,,
1520,falling,1,589,233,24653,97.72,sam2,8.062,6040.176,107.86
1521,falling,1,,,,,null,,,
1522,falling,1,,,,,null,,,
1523,falling,1,,,,,null,,,
1524,falling,1,588,229,25667,101.74,sam2,4.123,3088.996,55.161
1525,falling,1,,,,,null,,,
1526,falling,1,,,,,null,,,
1527,falling,1,,,,,null,,,
1528,falling,1,589,224,25129,99.6,sam2,5.099,3820.143,68.217
1529,falling,1,,,,,null,,,
1530,falling,1,,,,,null,,,
1531,falling,1,,,,,null,,,
1532,falling,1,588,228,25518,101.15,sam2,4.123,3088.996,55.161
1533,falling,1,,,,,null,,,
1534,falling,1,,,,,null,,,
1535,falling,1,,,,,null,,,
1536,falling,1,589,229,24719,97.98,sam2,1.414,1059.517,18.92
1537,falling,1,,,,,null,,,
1538,falling,1,,,,,null,,,
1539,falling,1,,,,,null,,,
1540,falling,1,588,229,23408,92.78,sam2,1.0,749.192,13.378
1541,falling,1,,,,,null,,,
1542,falling,1,,,,,null,,,
1543,falling,1,,,,,null,,,
1544,falling,1,587,235,22871,90.65,sam2,6.083,4557.155,81.378
1545,falling,1,,,,,null,,,
1546,falling,1,,,,,null,,,
1547,falling,1,,,,,null,,,
1548,falling,1,586,245,22521,89.27,sam2,10.05,7529.283,134.451
1549,falling,1,,,,,null,,,
1550,falling,1,,,,,null,,,
1551,falling,1,,,,,null,,,
1552,falling,1,586,253,21324,84.52,sam2,8.0,5993.533,107.027
1553,falling,1,590,244,9852,39.05,hough,,,
1554,falling,1,,,,,null,,,
1555,falling,1,,,,,null,,,
1556,falling,1,586,259,20050,79.47,sam2,,,
1557,falling,1,,,,,null,,,
1558,falling,1,,,,,null,,,
1559,falling,1,,,,,null,,,
1560,falling,1,584,261,19643,77.86,sam2,2.828,2119.034,37.84
1561,falling,1,,,,,null,,,
1562,falling,1,,,,,null,,,
1563,falling,1,,,,,null,,,
1564,falling,1,585,262,19402,76.9,sam2,1.414,1059.517,18.92
1565,falling,1,,,,,null,,,
1566,falling,1,,,,,null,,,
1567,falling,1,,,,,null,,,
1568,falling,1,585,257,20928,82.95,sam2,5.0,3745.958,66.892
1569,falling,1,,,,,null,,,
1570,falling,1,,,,,null,,,
1571,falling,1,,,,,null,,,
1572,falling,1,584,251,21917,86.87,sam2,6.083,4557.155,81.378
1573,falling,1,,,,,null,,,
1574,falling,1,,,,,null,,,
1575,falling,1,,,,,null,,,
1576,falling,1,583,244,22469,89.06,sam2,7.071,5297.585,94.6
1577,falling,1,,,,,null,,,
1578,falling,1,,,,,null,,,
1579,falling,1,,,,,null,,,
1580,falling,1,583,236,22409,88.82,sam2,8.0,5993.533,107.027
1581,falling,1,,,,,null,,,
1582,falling,1,,,,,null,,,
1583,falling,1,,,,,null,,,
1584,falling,1,584,233,23704,93.96,sam2,3.162,2369.152,42.306
1585,falling,1,,,,,null,,,
1586,falling,1,,,,,null,,,
1587,falling,1,,,,,null,,,
1588,falling,1,584,230,24307,96.35,sam2,3.0,2247.575,40.135
1589,falling,1,,,,,null,,,
1590,falling,1,,,,,null,,,
1591,falling,1,,,,,null,,,
1592,falling,1,585,226,23569,93.42,sam2,4.123,3088.996,55.161
1593,falling,1,,,,,null,,,
1594,falling,1,,,,,null,,,
1595,falling,1,,,,,null,,,
1596,falling,1,584,229,23620,93.62,sam2,3.162,2369.152,42.306
1597,falling,1,,,,,null,,,
1598,falling,1,,,,,null,,,
1599,falling,1,,,,,null,,,
1600,falling,1,584,235,23268,92.23,sam2,6.0,4495.15,80.271
1601,falling,1,,,,,null,,,
1602,falling,1,,,,,null,,,
1603,falling,1,,,,,null,,,
1604,falling,1,584,243,22411,88.83,sam2,8.0,5993.533,107.027
1605,falling,1,,,,,null,,,
1606,falling,1,,,,,null,,,
1607,falling,1,,,,,null,,,
1608,falling,1,584,251,21603,85.63,sam2,8.0,5993.533,107.027
1609,falling,1,,,,,null,,,
1610,falling,1,,,,,null,,,
1611,falling,1,,,,,null,,,
