frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
1761,falling,1,774,94,23235,86.79,hough,,,
1762,falling,1,,,,,null,,,
1763,falling,1,,,,,null,,,
1764,falling,1,784,225,24909,93.04,sam2,,,
1765,falling,1,,,,,null,,,
1766,falling,1,,,,,null,,,
1767,falling,1,,,,,null,,,
1768,falling,1,785,300,32612,121.81,sam2,75.007,56194.366,1003.471
1769,falling,1,,,,,null,,,
1770,falling,1,,,,,null,,,
1771,falling,1,,,,,null,,,
1772,falling,1,787,305,34372,128.39,sam2,5.385,4034.52,72.045
1773,falling,1,,,,,null,,,
1774,falling,1,,,,,null,,,
1775,falling,1,,,,,null,,,
1776,falling,1,778,304,44272,165.37,sam2,9.055,6784.219,121.147
1777,falling,1,,,,,null,,,
1778,falling,1,,,,,null,,,
1779,falling,1,,,,,null,,,
1780,falling,1,791,304,48690,181.87,sam2,13.0,9739.491,173.919
1780,falling,2,399,293,413,1.54,sam2,,,
1780,falling,3,398,316,233,0.87,sam2,,,
1781,falling,1,,,,,null,,,
1782,falling,1,,,,,null,,,
1783,falling,1,,,,,null,,,
1784,falling,1,769,304,52632,196.59,sam2,22.0,16482.216,294.325
1785,falling,1,,,,,null,,,
1786,falling,1,,,,,null,,,
1787,falling,1,,,,,null,,,
1788,falling,1,795,304,43721,163.31,sam2,26.0,19478.982,347.839
1788,falling,2,413,307,2573,9.61,sam2,19.799,7416.619,132.44
1789,falling,1,,,,,null,,,
1790,falling,1,,,,,null,,,
1791,falling,1,,,,,null,,,
1792,falling,1,756,304,33632,125.62,sam2,39.0,29218.473,521.758
1792,falling,2,408,301,1940,7.25,sam2,7.81,5851.374,104.489
1792,falling,3,1078,291,447,1.67,sam2,680.459,169931.495,3034.491
1792,falling,4,476,331,167,0.62,sam2,,,
1792,falling,5,474,267,73,0.27,sam2,,,
1792,falling,6,1109,298,71,0.27,sam2,,,
1792,falling,7,1068,331,71,0.27,sam2,,,
1793,falling,1,,,,,null,,,
1794,falling,1,,,,,null,,,
1795,falling,1,,,,,null,,,
1796,falling,1,810,304,36946,138.0,sam2,54.0,40456.348,722.435
1796,falling,2,410,305,2293,8.56,sam2,4.472,3350.487,59.83
1797,falling,1,,,,,null,,,
1798,falling,1,,,,,null,,,
1799,falling,1,,,,,null,,,
1800,falling,1,736,304,31728,118.51,sam2,74.0,55440.18,990.003
1800,falling,2,1089,302,4962,18.53,sam2,679.007,508706.077,9084.037
1801,falling,1,,,,,null,,,
1802,falling,1,,,,,null,,,
1803,falling,1,,,,,null,,,
1804,falling,1,746,303,32130,120.01,sam2,10.05,7529.283,134.451
1804,falling,2,1093,302,5140,19.2,sam2,4.0,2996.766,53.514
1805,falling,1,,,,,null,,,
1806,falling,1,,,,,null,,,
1807,falling,1,,,,,null,,,
1808,falling,1,802,301,40059,149.63,sam2,56.036,41981.479,749.669
1809,falling,1,,,,,null,,,
1810,falling,1,,,,,null,,,
1811,falling,1,,,,,null,,,
1812,falling,1,830,299,38195,142.67,sam2,28.071,21030.811,375.55
1812,falling,2,410,305,2300,8.59,sam2,683.007,255851.407,4568.775
1813,falling,1,,,,,null,,,
1814,falling,1,,,,,null,,,
1815,falling,1,,,,,null,,,
1816,falling,1,816,298,39671,148.18,sam2,14.036,10515.406,187.775
1816,falling,2,414,305,2288,8.55,sam2,4.0,2996.766,53.514
1817,falling,1,,,,,null,,,
1818,falling,1,,,,,null,,,
1819,falling,1,,,,,null,,,
1820,falling,1,821,299,38061,142.17,sam2,5.099,3820.143,68.217
1820,falling,2,414,305,2324,8.68,sam2,0.0,0.0,0.0
1820,falling,3,471,328,170,0.63,sam2,608.127,65086.197,1162.254
1820,falling,4,466,273,59,0.22,sam2,58.856,6299.177,112.485
1821,falling,1,,,,,null,,,
1822,falling,1,,,,,null,,,
1823,falling,1,,,,,null,,,
1824,falling,1,820,301,37228,139.06,sam2,2.236,1675.243,29.915
1824,falling,2,409,305,2299,8.59,sam2,5.0,3745.958,66.892
1824,falling,3,471,329,101,0.38,sam2,1.0,749.192,13.378
1824,falling,4,466,273,51,0.19,sam2,0.0,0.0,0.0
1824,falling,5,486,276,50,0.19,sam2,15.0,1404.734,25.085
1825,falling,1,,,,,null,,,
1826,falling,1,,,,,null,,,
1827,falling,1,,,,,null,,,
1828,falling,1,823,302,35588,132.93,sam2,3.162,2369.152,42.306
1828,falling,2,410,305,2316,8.65,sam2,1.0,749.192,13.378
1828,falling,3,466,331,62,0.23,sam2,5.385,4034.52,72.045
1829,falling,1,,,,,null,,,
1830,falling,1,,,,,null,,,
1831,falling,1,,,,,null,,,
1832,falling,1,798,303,37740,140.97,sam2,25.02,18744.768,334.728
1832,falling,2,465,269,64,0.24,sam2,65.734,49247.597,879.421
1833,falling,1,,,,,null,,,
1834,falling,1,,,,,null,,,
1835,falling,1,,,,,null,,,
1836,falling,1,796,303,36546,136.51,sam2,2.0,1498.383,26.757
1837,falling,1,,,,,null,,,
1838,falling,1,,,,,null,,,
1839,falling,1,,,,,null,,,
1840,falling,1,814,303,34077,127.29,sam2,18.0,13485.449,240.812
1840,falling,2,409,305,2422,9.05,sam2,66.573,24938.067,445.323
1841,falling,1,,,,,null,,,
1842,falling,1,,,,,null,,,
1843,falling,1,,,,,null,,,
1844,falling,1,811,303,33645,125.67,sam2,3.0,2247.575,40.135
1844,falling,2,411,305,2369,8.85,sam2,2.0,1498.383,26.757
1845,falling,1,,,,,null,,,
1846,falling,1,,,,,null,,,
1847,falling,1,,,,,null,,,
1848,falling,1,817,304,31296,116.9,sam2,6.083,4557.155,81.378
1848,falling,2,415,305,2381,8.89,sam2,4.0,2996.766,53.514
1849,falling,1,,,,,null,,,
1850,falling,1,,,,,null,,,
1851,falling,1,,,,,null,,,
1852,falling,1,804,304,31230,116.65,sam2,13.0,9739.491,173.919
1852,falling,2,412,305,2361,8.82,sam2,3.0,2247.575,40.135
1853,falling,1,,,,,null,,,
1854,falling,1,,,,,null,,,
1855,falling,1,,,,,null,,,
1856,falling,1,815,304,31311,116.95,sam2,11.0,8241.108,147.163
1856,falling,2,409,305,2346,8.76,sam2,3.0,2247.575,40.135
1857,falling,1,,,,,null,,,
1858,falling,1,,,,,null,,,
1859,falling,1,,,,,null,,,
1860,falling,1,796,304,34904,130.38,sam2,19.0,14234.641,254.19
1860,falling,2,466,269,72,0.27,sam2,67.417,50507.963,901.928
1860,falling,3,447,278,65,0.24,sam2,56.303,5272.694,94.155
1861,falling,1,,,,,null,,,
1862,falling,1,,,,,null,,,
1863,falling,1,,,,,null,,,
1864,falling,1,786,303,36573,136.61,sam2,10.05,7529.283,134.451
1865,falling,1,,,,,null,,,
1866,falling,1,,,,,null,,,
1867,falling,1,,,,,null,,,
1868,falling,1,811,303,33944,126.79,sam2,25.0,18729.791,334.461
1868,falling,2,411,305,2402,8.97,sam2,65.734,24623.799,439.711
1869,falling,1,,,,,null,,,
1870,falling,1,,,,,null,,,
1871,falling,1,,,,,null,,,
1872,falling,1,804,303,33355,124.59,sam2,7.0,5244.341,93.649
1872,falling,2,410,305,2399,8.96,sam2,1.0,749.192,13.378
1873,falling,1,,,,,null,,,
1874,falling,1,,,,,null,,,
1875,falling,1,,,,,null,,,
1876,falling,1,804,303,32688,122.1,sam2,0.0,0.0,0.0
1876,falling,2,413,305,2407,8.99,sam2,3.0,2247.575,40.135
1877,falling,1,,,,,null,,,
1878,falling,1,,,,,null,,,
1879,falling,1,,,,,null,,,
1880,falling,1,777,303,35996,134.45,sam2,27.0,20228.174,361.217
1881,falling,1,,,,,null,,,
1882,falling,1,,,,,null,,,
1883,falling,1,,,,,null,,,
1884,falling,1,781,303,35873,133.99,sam2,4.0,2996.766,53.514
1885,falling,1,,,,,null,,,
1886,falling,1,,,,,null,,,
1887,falling,1,,,,,null,,,
1888,falling,1,787,303,36427,136.06,sam2,6.0,4495.15,80.271
1889,falling,1,,,,,null,,,
1890,falling,1,,,,,null,,,
1891,falling,1,,,,,null,,,
1892,falling,1,786,303,37052,138.4,sam2,1.0,749.192,13.378
1893,falling,1,,,,,null,,,
1894,falling,1,,,,,null,,,
1895,falling,1,,,,,null,,,
1896,falling,1,780,303,36758,137.3,sam2,6.0,4495.15,80.271
1897,falling,1,,,,,null,,,
1898,falling,1,,,,,null,,,
1899,falling,1,,,,,null,,,
1900,falling,1,805,303,33488,125.09,sam2,25.0,18729.791,334.461
1900,falling,2,411,305,2361,8.82,sam2,2.0,249.731,4.459
1901,falling,1,,,,,null,,,
1902,falling,1,,,,,null,,,
1903,falling,1,,,,,null,,,
1904,falling,1,864,303,27617,103.16,sam2,59.0,44202.306,789.327
1904,falling,2,523,304,454,1.7,sam2,112.004,83912.806,1498.443
1905,falling,1,,,,,null,,,
1906,falling,1,,,,,null,,,
1907,falling,1,,,,,null,,,
1908,falling,1,783,303,36865,137.7,sam2,81.0,60684.521,1083.652
1909,falling,1,,,,,null,,,
1910,falling,1,,,,,null,,,
1911,falling,1,,,,,null,,,
1912,falling,1,791,303,37787,141.14,sam2,8.0,5993.533,107.027
1913,falling,1,,,,,null,,,
1914,falling,1,,,,,null,,,
1915,falling,1,,,,,null,,,
1916,falling,1,788,303,37992,141.91,sam2,3.0,2247.575,40.135
1917,falling,1,,,,,null,,,
1918,falling,1,,,,,null,,,
1919,falling,1,,,,,null,,,
1920,falling,1,784,303,37555,140.28,sam2,4.0,2996.766,53.514
1921,falling,1,,,,,null,,,
1922,falling,1,,,,,null,,,
1923,falling,1,,,,,null,,,
1924,falling,1,783,303,36671,136.98,sam2,1.0,749.192,13.378
1925,falling,1,,,,,null,,,
1926,falling,1,,,,,null,,,
1927,falling,1,,,,,null,,,
1928,falling,1,867,303,28004,104.6,sam2,84.0,62932.096,1123.787
1928,falling,2,524,304,95,0.35,sam2,1.0,124.865,2.23
1928,falling,3,506,300,53,0.2,sam2,62.968,2775.017,49.554
1929,falling,1,,,,,null,,,
1930,falling,1,,,,,null,,,
1931,falling,1,,,,,null,,,
1932,falling,1,782,303,37137,138.72,sam2,85.0,63681.288,1137.166
1933,falling,1,,,,,null,,,
1934,falling,1,,,,,null,,,
1935,falling,1,,,,,null,,,
1936,falling,1,787,303,37198,138.94,sam2,5.0,3745.958,66.892
1937,falling,1,,,,,null,,,
1938,falling,1,,,,,null,,,
1939,falling,1,,,,,null,,,
1940,falling,1,790,303,37152,138.77,sam2,3.0,2247.575,40.135
1941,falling,1,,,,,null,,,
