frame,phase,drop_id,cx,cy,area_px,percentage,detection_method,distance_px,velocity_px_per_s,velocity_mm_s
335,falling,1,754,108,25407,100.0,sam2,,,
336,falling,1,755,144,24813,97.66,sam2,36.014,107925.207,1927.236
337,falling,1,755,179,25355,99.8,sam2,35.0,104886.827,1872.979
338,falling,1,755,214,24759,97.45,sam2,35.0,104886.827,1872.979
339,falling,1,755,240,22855,89.96,sam2,26.0,77915.929,1391.356
340,falling,1,755,258,19333,76.09,sam2,18.0,53941.797,963.246
341,falling,1,755,261,11904,46.85,sam2,3.0,8990.299,160.541
342,falling,1,755,299,30119,118.55,sam2,38.0,113877.127,2033.52
343,falling,1,755,301,29207,114.96,sam2,2.0,5993.533,107.027
344,falling,1,758,302,28370,111.66,sam2,3.162,9476.608,169.225
345,falling,1,759,303,28768,113.23,sam2,1.414,4238.068,75.68
346,falling,1,759,304,30251,119.07,sam2,1.0,2996.766,53.514
347,falling,1,760,304,32427,127.63,sam2,1.0,2996.766,53.514
348,falling,1,759,304,34716,136.64,sam2,1.0,2996.766,53.514
349,falling,1,761,304,37424,147.3,sam2,2.0,5993.533,107.027
350,falling,1,762,304,39539,155.62,sam2,1.0,2996.766,53.514
351,falling,1,764,304,41403,162.96,sam2,2.0,5993.533,107.027
352,falling,1,765,304,42918,168.92,sam2,1.0,2996.766,53.514
353,falling,1,765,304,44564,175.4,sam2,0.0,0.0,0.0
354,falling,1,761,304,45989,181.01,sam2,4.0,11987.066,214.055
355,falling,1,760,304,46916,184.66,sam2,1.0,2996.766,53.514
356,falling,1,761,304,47908,188.56,sam2,1.0,2996.766,53.514
357,falling,1,762,303,48535,191.03,sam2,1.414,4238.068,75.68
358,falling,1,764,303,48868,192.34,sam2,2.0,5993.533,107.027
359,falling,1,765,303,47996,188.91,sam2,1.0,2996.766,53.514
360,falling,1,744,303,45058,177.34,sam2,21.0,62932.096,1123.787
360,falling,2,1107,301,2775,10.92,sam2,,,
361,falling,1,768,303,47558,187.18,sam2,24.0,71922.396,1284.328
362,falling,1,769,303,46689,183.76,sam2,1.0,2996.766,53.514
363,falling,1,771,303,46229,181.95,sam2,2.0,5993.533,107.027
364,falling,1,774,303,46184,181.78,sam2,3.0,8990.299,160.541
365,falling,1,774,303,45642,179.64,sam2,0.0,0.0,0.0
366,falling,1,772,303,45669,179.75,sam2,2.0,5993.533,107.027
367,falling,1,771,303,45708,179.9,sam2,1.0,2996.766,53.514
368,falling,1,767,303,46446,182.81,sam2,4.0,11987.066,214.055
369,falling,1,763,303,46424,182.72,sam2,4.0,11987.066,214.055
370,falling,1,763,303,46261,182.08,sam2,0.0,0.0,0.0
371,falling,1,761,303,45639,179.63,sam2,2.0,5993.533,107.027
372,falling,1,763,303,44465,175.01,sam2,2.0,5993.533,107.027
373,falling,1,765,303,44224,174.06,sam2,2.0,5993.533,107.027
374,falling,1,768,303,43878,172.7,sam2,3.0,8990.299,160.541
375,falling,1,769,303,43662,171.85,sam2,1.0,2996.766,53.514
376,falling,1,771,303,43685,171.94,sam2,2.0,5993.533,107.027
377,falling,1,771,303,43516,171.28,sam2,0.0,0.0,0.0
378,falling,1,769,302,43473,171.11,sam2,2.236,6700.974,119.66
379,falling,1,768,302,43382,170.75,sam2,1.0,2996.766,53.514
380,falling,1,767,302,43484,171.15,sam2,1.0,2996.766,53.514
381,falling,1,766,301,43624,171.7,sam2,1.414,4238.068,75.68
382,falling,1,764,301,44098,173.57,sam2,2.0,5993.533,107.027
383,falling,1,764,301,44621,175.62,sam2,0.0,0.0,0.0
384,falling,1,763,301,44762,176.18,sam2,1.0,2996.766,53.514
385,falling,1,763,301,44944,176.9,sam2,0.0,0.0,0.0
386,falling,1,762,301,44866,176.59,sam2,1.0,2996.766,53.514
387,falling,1,760,301,45204,177.92,sam2,2.0,5993.533,107.027
388,falling,1,758,301,45524,179.18,sam2,2.0,5993.533,107.027
389,falling,1,757,301,45068,177.38,sam2,1.0,2996.766,53.514
390,falling,1,756,301,44828,176.44,sam2,1.0,2996.766,53.514
391,falling,1,755,301,44765,176.19,sam2,1.0,2996.766,53.514
392,falling,1,755,301,44259,174.2,sam2,0.0,0.0,0.0
393,falling,1,755,301,44125,173.67,sam2,0.0,0.0,0.0
394,falling,1,755,302,43955,173.0,sam2,1.0,2996.766,53.514
395,falling,1,756,302,43779,172.31,sam2,1.0,2996.766,53.514
396,falling,1,758,302,43330,170.54,sam2,2.0,5993.533,107.027
397,falling,1,759,302,42854,168.67,sam2,1.0,2996.766,53.514
398,falling,1,759,302,42503,167.29,sam2,0.0,0.0,0.0
399,falling,1,758,302,42231,166.22,sam2,1.0,2996.766,53.514
400,falling,1,757,302,41789,164.48,sam2,1.0,2996.766,53.514
401,falling,1,756,303,41514,163.4,sam2,1.414,4238.068,75.68
402,falling,1,757,303,41282,162.48,sam2,1.0,2996.766,53.514
403,falling,1,757,303,41145,161.94,sam2,0.0,0.0,0.0
404,falling,1,759,303,41229,162.27,sam2,2.0,5993.533,107.027
405,falling,1,761,303,41303,162.57,sam2,2.0,5993.533,107.027
406,falling,1,762,303,41398,162.94,sam2,1.0,2996.766,53.514
407,falling,1,764,303,41541,163.5,sam2,2.0,5993.533,107.027
408,falling,1,764,303,41449,163.14,sam2,0.0,0.0,0.0
409,falling,1,764,303,41396,162.93,sam2,0.0,0.0,0.0
410,falling,1,763,303,41262,162.4,sam2,1.0,2996.766,53.514
411,falling,1,761,303,41118,161.84,sam2,2.0,5993.533,107.027
412,falling,1,761,303,40876,160.88,sam2,0.0,0.0,0.0
413,falling,1,760,303,40684,160.13,sam2,1.0,2996.766,53.514
414,falling,1,760,303,40522,159.49,sam2,0.0,0.0,0.0
415,falling,1,760,303,40437,159.16,sam2,0.0,0.0,0.0
416,falling,1,760,303,40219,158.3,sam2,0.0,0.0,0.0
417,falling,1,761,303,40178,158.14,sam2,1.0,2996.766,53.514
418,falling,1,762,303,40017,157.5,sam2,1.0,2996.766,53.514
419,falling,1,764,303,39805,156.67,sam2,2.0,5993.533,107.027
420,falling,1,765,303,39492,155.44,sam2,1.0,2996.766,53.514
421,falling,1,765,303,39308,154.71,sam2,0.0,0.0,0.0
422,falling,1,765,303,39240,154.45,sam2,0.0,0.0,0.0
423,falling,1,763,303,39328,154.79,sam2,2.0,5993.533,107.027
424,falling,1,761,303,39469,155.35,sam2,2.0,5993.533,107.027
425,falling,1,759,303,39908,157.07,sam2,2.0,5993.533,107.027
426,falling,1,759,303,40270,158.5,sam2,0.0,0.0,0.0
427,falling,1,758,303,40409,159.05,sam2,1.0,2996.766,53.514
428,falling,1,758,303,40390,158.97,sam2,0.0,0.0,0.0
429,falling,1,759,304,40236,158.37,sam2,1.414,4238.068,75.68
430,falling,1,760,304,40060,157.67,sam2,1.0,2996.766,53.514
431,falling,1,761,304,39847,156.83,sam2,1.0,2996.766,53.514
432,falling,1,762,304,39711,156.3,sam2,1.0,2996.766,53.514
433,falling,1,763,304,39629,155.98,sam2,1.0,2996.766,53.514
434,falling,1,763,304,39590,155.82,sam2,0.0,0.0,0.0
435,falling,1,764,304,39565,155.72,sam2,1.0,2996.766,53.514
436,falling,1,765,304,39646,156.04,sam2,1.0,2996.766,53.514
437,falling,1,765,304,39841,156.81,sam2,0.0,0.0,0.0
438,falling,1,765,304,40081,157.76,sam2,0.0,0.0,0.0
439,falling,1,765,304,40091,157.8,sam2,0.0,0.0,0.0
440,falling,1,765,304,40032,157.56,sam2,0.0,0.0,0.0
441,falling,1,765,304,39773,156.54,sam2,0.0,0.0,0.0
442,falling,1,764,304,39524,155.56,sam2,1.0,2996.766,53.514
443,falling,1,764,304,39316,154.74,sam2,0.0,0.0,0.0
444,falling,1,763,304,39143,154.06,sam2,1.0,2996.766,53.514
445,falling,1,763,303,39041,153.66,sam2,1.0,2996.766,53.514
446,falling,1,763,303,39249,154.48,sam2,0.0,0.0,0.0
447,falling,1,763,303,39444,155.25,sam2,0.0,0.0,0.0
448,falling,1,764,303,39771,156.54,sam2,1.0,2996.766,53.514
449,falling,1,766,303,40065,157.69,sam2,2.0,5993.533,107.027
450,falling,1,766,303,40348,158.81,sam2,0.0,0.0,0.0
451,falling,1,766,303,40588,159.75,sam2,0.0,0.0,0.0
452,falling,1,767,303,40725,160.29,sam2,1.0,2996.766,53.514
453,falling,1,767,304,40536,159.55,sam2,1.0,2996.766,53.514
454,falling,1,767,303,40190,158.18,sam2,1.0,2996.766,53.514
455,falling,1,767,304,40009,157.47,sam2,1.0,2996.766,53.514
456,falling,1,765,304,39832,156.78,sam2,2.0,5993.533,107.027
457,falling,1,765,304,39752,156.46,sam2,0.0,0.0,0.0
458,falling,1,764,304,39758,156.48,sam2,1.0,2996.766,53.514
459,falling,1,765,303,39896,157.03,sam2,1.414,4238.068,75.68
460,falling,1,765,303,40056,157.66,sam2,0.0,0.0,0.0
461,falling,1,765,303,40239,158.38,sam2,0.0,0.0,0.0
462,falling,1,764,303,40331,158.74,sam2,1.0,2996.766,53.514
463,falling,1,763,303,40241,158.39,sam2,1.0,2996.766,53.514
464,falling,1,762,303,40158,158.06,sam2,1.0,2996.766,53.514
465,falling,1,763,303,39923,157.13,sam2,1.0,2996.766,53.514
466,falling,1,762,303,39738,156.41,sam2,1.0,2996.766,53.514
467,falling,1,763,303,39346,154.86,sam2,1.0,2996.766,53.514
468,falling,1,763,303,39175,154.19,sam2,0.0,0.0,0.0
469,falling,1,764,303,38914,153.16,sam2,1.0,2996.766,53.514
470,falling,1,765,303,38886,153.05,sam2,1.0,2996.766,53.514
471,falling,1,766,303,38917,153.17,sam2,1.0,2996.766,53.514
472,falling,1,766,303,39157,154.12,sam2,0.0,0.0,0.0
473,falling,1,765,303,39501,155.47,sam2,1.0,2996.766,53.514
474,falling,1,765,303,39910,157.08,sam2,0.0,0.0,0.0
475,falling,1,765,303,40141,157.99,sam2,0.0,0.0,0.0
476,falling,1,765,303,40443,159.18,sam2,0.0,0.0,0.0
477,falling,1,764,303,40673,160.09,sam2,1.0,2996.766,53.514
478,falling,1,765,303,40637,159.94,sam2,1.0,2996.766,53.514
479,falling,1,765,303,40643,159.97,sam2,0.0,0.0,0.0
480,falling,1,765,303,40559,159.64,sam2,0.0,0.0,0.0
481,falling,1,765,303,40478,159.32,sam2,0.0,0.0,0.0
482,falling,1,765,303,40407,159.04,sam2,0.0,0.0,0.0
483,falling,1,765,303,40508,159.44,sam2,0.0,0.0,0.0
484,falling,1,765,303,40510,159.44,sam2,0.0,0.0,0.0
485,falling,1,765,303,40466,159.27,sam2,0.0,0.0,0.0
486,falling,1,765,303,40581,159.72,sam2,0.0,0.0,0.0
487,falling,1,765,303,40567,159.67,sam2,0.0,0.0,0.0
488,falling,1,765,303,40622,159.89,sam2,0.0,0.0,0.0
489,falling,1,764,303,40485,159.35,sam2,1.0,2996.766,53.514
490,falling,1,764,303,40478,159.32,sam2,0.0,0.0,0.0
491,falling,1,764,303,40307,158.65,sam2,0.0,0.0,0.0
492,falling,1,765,303,40121,157.91,sam2,1.0,2996.766,53.514
493,falling,1,765,303,40015,157.5,sam2,0.0,0.0,0.0
494,falling,1,765,303,39974,157.33,sam2,0.0,0.0,0.0
495,falling,1,766,303,39969,157.31,sam2,1.0,2996.766,53.514
