frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
5460,1,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,6.6739,0,,,56.0,
5461,2,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,7.0076,0,,,56.0,
5462,3,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,7.3412,0,,,56.0,
5463,4,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,7.6749,0,,,56.0,
5464,5,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,8.0086,0,,,56.0,
5465,6,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,8.3423,0,,,56.0,
5466,7,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,8.676,0,,,56.0,
5467,8,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,9.0097,0,,,56.0,
5468,9,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,9.3434,0,,,56.0,
5469,10,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,9.6771,0,,,56.0,
5470,11,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,10.0108,0,,,56.0,
5471,12,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,10.3445,0,,,56.0,
5472,13,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,10.6782,0,,,56.0,
5473,14,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,11.0119,0,,,56.0,
5474,15,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,11.3456,0,,,56.0,
5475,16,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,11.6793,0,,,56.0,
5476,1,rebounding,2814.0,33.216,3,77,56.0,14.1,69.185,68.983,90.0,0.803,70.0,91.0,14.0,90.0,68.983,1.003,0.749,0.986,0,69.084,1.2336,0.628,0.3337,288.9,,,56.0,
