frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
7098,1,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,6.6739,0,,,56.0,
7099,2,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,7.0076,0,,,56.0,
7100,3,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,7.3412,0,,,56.0,
7101,4,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,7.6749,0,,,56.0,
7102,5,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,8.0086,0,,,56.0,
7103,6,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,8.3423,0,,,56.0,
7104,7,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,8.676,0,,,56.0,
7105,8,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,9.0097,0,,,56.0,
7106,9,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,9.3434,0,,,56.0,
7107,10,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,9.6771,0,,,56.0,
7108,11,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,10.0108,0,,,56.0,
7109,12,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,10.3445,0,,,56.0,
7110,13,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,10.6782,0,,,56.0,
7111,14,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,11.0119,0,,,56.0,
7112,15,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,11.3456,0,,,56.0,
7113,16,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,11.6793,0,,,56.0,
7114,17,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,12.0129,0,,,56.0,
7115,18,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,12.3466,0,,,56.0,
7116,19,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,12.6803,0,,,56.0,
7117,20,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,13.014,0,,,56.0,
7118,21,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,13.3477,0,,,56.0,
7119,22,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,13.6814,0,,,56.0,
7120,23,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,14.0151,0,,,56.0,
7121,24,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,14.3488,0,,,56.0,
7122,25,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,14.6825,0,,,56.0,
7123,26,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,15.0162,0,,,56.0,
7124,27,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,15.3499,0,,,56.0,
7125,28,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,15.6836,0,,,56.0,
7126,29,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,16.0173,0,,,56.0,
7127,30,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,16.351,0,,,56.0,
7128,31,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,16.6846,0,,,56.0,
7129,32,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,17.0183,0,,,56.0,
7130,33,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,17.352,0,,,56.0,
7131,34,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,17.6857,0,,,56.0,
7132,35,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,18.0194,0,,,56.0,
7133,36,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,18.3531,0,,,56.0,
7134,37,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,18.6868,0,,,56.0,
7135,38,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,19.0205,0,,,56.0,
7136,39,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,19.3542,0,,,56.0,
7137,40,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,56.0,
7138,41,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,56.0,
7139,42,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,56.0,
7140,43,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,20.689,0,,,56.0,
7141,44,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,56.0,
7142,45,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,56.0,
7143,46,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,21.69,0,,,56.0,
7144,47,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,56.0,
7145,48,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,56.0,
7146,49,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,56.0,
7147,50,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,56.0,
7148,51,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,56.0,
7149,52,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,56.0,
7150,53,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,56.0,
7151,54,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,56.0,
7152,55,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,56.0,
7153,56,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,25.027,0,,,56.0,
7154,57,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,56.0,
7155,58,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,56.0,
7156,59,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,56.0,
7157,60,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,56.0,
7158,61,spreading,,,,,,302,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,56.0,
7159,1,rebounding,4135.0,29.143,3,74,19.4,34.9,91.29,78.685,34.0,0.797,91.8,50.0,0.0,34.0,78.685,1.16,0.632,0.991,0,84.754,1.5135,0.652,0.3337,267.1,,,56.0,
