frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
8789,1,falling,36988.0,82.368,0,141,114.0,150.0,217.058,217.058,0.0,0.892,217.8,205.0,90.0,0.0,217.058,1.0,1.0,0.994,0,217.058,3.876,1.8088,0.0,159.0,,,56.0,
8801,2,falling,36988.0,83.412,0,144,114.0,154.0,217.058,217.058,0.0,0.892,217.8,205.0,94.0,0.0,217.058,1.0,1.0,0.994,0,217.058,3.876,1.8088,4.0043,155.0,4.0,11987.07,56.0,214.05
8827,1,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,12.6803,0,,,56.0,
8828,2,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,13.014,0,,,56.0,
8829,3,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,13.3477,0,,,56.0,
8830,4,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,13.6814,0,,,56.0,
8831,5,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,14.0151,0,,,56.0,
8832,6,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,14.3488,0,,,56.0,
8833,7,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,14.6825,0,,,56.0,
8834,8,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,15.0162,0,,,56.0,
8835,9,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,15.3499,0,,,56.0,
8836,10,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,15.6836,0,,,56.0,
8837,11,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,16.0173,0,,,56.0,
8838,12,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,16.351,0,,,56.0,
8839,13,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,16.6846,0,,,56.0,
8840,14,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,17.0183,0,,,56.0,
8841,15,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,17.352,0,,,56.0,
8842,16,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,17.6857,0,,,56.0,
8843,17,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,18.0194,0,,,56.0,
8844,18,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,18.3531,0,,,56.0,
8845,19,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,18.6868,0,,,56.0,
8846,20,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,19.0205,0,,,56.0,
8847,21,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,19.3542,0,,,56.0,
8848,22,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,56.0,
8849,23,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,56.0,
8850,24,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,56.0,
8851,25,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,20.689,0,,,56.0,
8852,26,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,56.0,
8853,27,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,56.0,
8854,28,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,21.69,0,,,56.0,
8855,29,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,56.0,
8856,30,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,56.0,
8857,31,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,56.0,
8858,32,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,56.0,
8859,33,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,56.0,
8860,34,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,56.0,
8861,35,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,56.0,
8862,36,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,56.0,
8863,37,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,56.0,
8864,38,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,25.027,0,,,56.0,
8865,39,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,56.0,
8866,40,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,56.0,
8867,41,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,56.0,
8868,42,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,56.0,
8869,43,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,56.0,
8870,44,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,56.0,
8871,45,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,56.0,
8872,46,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,56.0,
8873,47,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,28.0302,0,,,56.0,
8874,48,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,28.3639,0,,,56.0,
8875,49,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,28.6976,0,,,56.0,
8876,50,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,29.0313,0,,,56.0,
8877,51,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,29.365,0,,,56.0,
8878,52,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,56.0,
8879,53,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,56.0,
8880,54,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,30.3661,0,,,56.0,
8881,55,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,30.6998,0,,,56.0,
8882,56,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,31.0334,0,,,56.0,
8883,57,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,31.3671,0,,,56.0,
8884,58,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,31.7008,0,,,56.0,
8885,59,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,32.0345,0,,,56.0,
8886,60,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,32.3682,0,,,56.0,
8887,61,spreading,,,,,,309,,,,,,,,,,,0.0,,0,,,,32.7019,0,,,56.0,
