frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
5242,1,falling,36920.0,89.759,1,154,125.9,128.0,217.225,216.603,0.7,0.869,218.0,217.0,68.0,0.7,216.603,1.003,0.996,0.993,0,216.914,3.8735,0.9997,0.0,175.0,,,56.0,
5266,2,falling,36988.0,83.789,1,141,116.0,118.0,217.058,217.058,0.0,0.892,217.8,207.0,58.0,0.0,217.058,1.0,1.0,0.994,0,217.058,3.876,1.0003,8.0086,185.0,14.072,42169.31,56.0,753.02
5278,1,spreading,,,,,,303,,,,,,,,,,,0.0,,1279,,,5.8944,12.0129,0,,,56.0,
5279,2,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,12.3466,0,,,56.0,
5280,3,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,12.6803,0,,,56.0,
5281,4,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,13.014,0,,,56.0,
5282,5,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,13.3477,0,,,56.0,
5283,6,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,13.6814,0,,,56.0,
5284,7,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,14.0151,0,,,56.0,
5285,8,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,14.3488,0,,,56.0,
5286,9,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,14.6825,0,,,56.0,
5287,10,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,15.0162,0,,,56.0,
5288,11,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,15.3499,0,,,56.0,
5289,12,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,15.6836,0,,,56.0,
5290,13,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,16.0173,0,,,56.0,
5291,14,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,16.351,0,,,56.0,
5292,15,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,16.6846,0,,,56.0,
5293,16,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,17.0183,0,,,56.0,
5294,17,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,17.352,0,,,56.0,
5295,18,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,17.6857,0,,,56.0,
5296,19,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,18.0194,0,,,56.0,
5297,20,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,18.3531,0,,,56.0,
5298,21,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,18.6868,0,,,56.0,
5299,22,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,19.0205,0,,,56.0,
5300,23,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,19.3542,0,,,56.0,
5301,24,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,56.0,
5302,25,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,56.0,
5303,26,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,56.0,
5304,27,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,20.689,0,,,56.0,
5305,28,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,56.0,
5306,29,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,56.0,
5307,30,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,21.69,0,,,56.0,
5308,31,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,56.0,
5309,32,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,56.0,
5310,33,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,56.0,
5311,34,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,56.0,
5312,35,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,56.0,
5313,36,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,56.0,
5314,37,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,56.0,
5315,38,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,56.0,
5316,39,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,56.0,
5317,40,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,25.027,0,,,56.0,
5318,41,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,56.0,
5319,42,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,56.0,
5320,43,spreading,,,,,,303,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,56.0,
