frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
992,1,falling,36988.0,83.112,0,145,118.0,124.0,217.058,217.058,0.0,0.892,217.8,209.0,64.0,0.0,217.058,1.0,1.0,0.994,0,217.058,3.876,1.0,0.0,180.0,,,56.0,
1001,1,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,3.0032,0,,,56.0,
1002,2,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,3.3369,0,,,56.0,
1003,3,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,3.6706,0,,,56.0,
1004,4,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,4.0043,0,,,56.0,
1005,5,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,4.338,0,,,56.0,
1006,6,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,4.6717,0,,,56.0,
1007,7,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,5.0054,0,,,56.0,
1008,8,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,5.3391,0,,,56.0,
1009,9,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,5.6728,0,,,56.0,
1010,10,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,6.0065,0,,,56.0,
1011,11,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,6.3402,0,,,56.0,
1012,12,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,6.6739,0,,,56.0,
1013,13,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,7.0076,0,,,56.0,
1014,14,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,7.3412,0,,,56.0,
1015,15,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,7.6749,0,,,56.0,
1016,16,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,8.0086,0,,,56.0,
1017,17,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,8.3423,0,,,56.0,
1018,18,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,8.676,0,,,56.0,
1019,19,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,9.0097,0,,,56.0,
1020,20,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,9.3434,0,,,56.0,
1021,21,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,9.6771,0,,,56.0,
1022,22,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,10.0108,0,,,56.0,
1023,23,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,10.3445,0,,,56.0,
1024,24,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,10.6782,0,,,56.0,
1025,25,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,11.0119,0,,,56.0,
1026,26,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,11.3456,0,,,56.0,
1027,27,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,11.6793,0,,,56.0,
1028,28,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,12.0129,0,,,56.0,
1029,29,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,12.3466,0,,,56.0,
1030,30,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,12.6803,0,,,56.0,
1031,31,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,13.014,0,,,56.0,
1032,32,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,13.3477,0,,,56.0,
1033,33,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,13.6814,0,,,56.0,
1034,34,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,14.0151,0,,,56.0,
1035,35,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,14.3488,0,,,56.0,
1036,36,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,14.6825,0,,,56.0,
1037,37,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,15.0162,0,,,56.0,
1038,38,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,15.3499,0,,,56.0,
1039,39,spreading,,,,,,304,,,,,,,,,,,0.0,,0,,,,15.6836,0,,,56.0,
