frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
2601,falling,114.0,150.0,108.5,,hough,1.0,3.876,1.0,,0.0,,56.0,True,,,,
2602,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,0.3337,0.0,56.0,False,,,,
2603,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,0.6674,0.0,56.0,False,,,,
2604,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,1.0011,0.0,56.0,False,,,,
2605,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,1.3348,0.0,56.0,False,,,,
2606,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,1.6685,0.0,56.0,False,,,,
2607,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,2.0022,0.0,56.0,False,,,,
2608,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,2.3359,0.0,56.0,False,,,,
2609,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,2.6695,0.0,56.0,False,,,,
2610,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,3.0032,0.0,56.0,False,,,,
2611,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,3.3369,0.0,56.0,False,,,,
2612,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,3.6706,0.0,56.0,False,,,,
2613,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,4.0043,0.0,56.0,False,,,,
2614,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,4.338,0.0,56.0,False,,,,
2615,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,4.6717,0.0,56.0,False,,,,
2616,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,5.0054,0.0,56.0,False,,,,
2617,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,5.3391,0.0,56.0,False,,,,
2618,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,5.6728,0.0,56.0,False,,,,
2619,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,6.0065,0.0,56.0,False,,,,
2620,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,6.3402,0.0,56.0,False,,,,
2621,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,6.6739,0.0,56.0,False,,,,
2622,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,7.0076,0.0,56.0,False,,,,
2623,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,7.3412,0.0,56.0,False,,,,
2624,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,7.6749,0.0,56.0,False,,,,
2625,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,8.0086,0.0,56.0,False,,,,
2626,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,8.3423,0.0,56.0,False,,,,
2627,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,8.676,0.0,56.0,False,,,,
2628,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,9.0097,0.0,56.0,False,,,,
2629,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,9.3434,0.0,56.0,False,,,,
2630,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,9.6771,0.0,56.0,False,,,,
2631,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,10.0108,0.0,56.0,False,,,,
2632,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,10.3445,0.0,56.0,False,,,,
2633,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,10.6782,0.0,56.0,False,,,,
2634,falling,114.0,150.0,108.5,,last_known,0.3,3.876,1.0,0.0,11.0119,0.0,56.0,False,,,,
2635,spreading,,,,1279,contact_width,1.0,,5.8924,,11.3456,,56.0,True,753.5,,,
2636,spreading,,,,1279,contact_width,1.0,,5.8924,,11.6793,,56.0,False,753.5,,,
2637,spreading,,,,1279,contact_width,1.0,,5.8924,,12.0129,,56.0,False,753.5,,,
2638,spreading,,,,1279,contact_width,1.0,,5.8924,,12.3466,,56.0,False,753.5,,,
2639,spreading,,,,1279,contact_width,1.0,,5.8924,,12.6803,,56.0,False,753.5,,,
2640,spreading,,,,1279,contact_width,1.0,,5.8924,,13.014,,56.0,False,753.5,,,
2641,spreading,,,,1279,contact_width,1.0,,5.8924,,13.3477,,56.0,False,753.5,,,
2642,spreading,,,,1279,contact_width,1.0,,5.8924,,13.6814,,56.0,False,753.5,,,
2643,spreading,,,,1279,contact_width,1.0,,5.8924,,14.0151,,56.0,False,753.5,,,
2644,spreading,,,,1279,contact_width,1.0,,5.8924,,14.3488,,56.0,False,753.5,,,
2645,spreading,,,,1278,contact_width,1.0,,5.8878,,14.6825,,56.0,False,753.0,,,
2646,spreading,,,,1279,contact_width,1.0,,5.8924,,15.0162,,56.0,False,753.5,,,
2647,spreading,,,,1279,contact_width,1.0,,5.8924,,15.3499,,56.0,False,753.5,,,
2648,spreading,,,,1279,contact_width,1.0,,5.8924,,15.6836,,56.0,False,753.5,,,
2649,spreading,,,,1278,contact_width,1.0,,5.8878,,16.0173,,56.0,False,753.0,,,
2650,spreading,,,,1278,contact_width,1.0,,5.8878,,16.351,,56.0,False,753.0,,,
2651,spreading,,,,1279,contact_width,1.0,,5.8924,,16.6846,,56.0,False,753.5,,,
2652,spreading,,,,1279,contact_width,1.0,,5.8924,,17.0183,,56.0,False,753.5,,,
2653,spreading,,,,1278,contact_width,1.0,,5.8878,,17.352,,56.0,False,753.0,,,
2654,spreading,,,,1277,contact_width,1.0,,5.8832,,17.6857,,56.0,False,752.5,,,
2655,spreading,,,,1279,contact_width,1.0,,5.8924,,18.0194,,56.0,False,753.5,,,
2656,spreading,,,,1279,contact_width,1.0,,5.8924,,18.3531,,56.0,False,753.5,,,
2657,spreading,,,,1279,contact_width,1.0,,5.8924,,18.6868,,56.0,False,753.5,,,
2658,spreading,,,,1279,contact_width,1.0,,5.8924,,19.0205,,56.0,False,753.5,,,
2659,spreading,,,,1279,contact_width,1.0,,5.8924,,19.3542,,56.0,False,753.5,,,
2660,spreading,,,,1279,contact_width,1.0,,5.8924,,19.6879,,56.0,False,753.5,,,
2661,spreading,,,,1278,contact_width,1.0,,5.8878,,20.0216,,56.0,False,753.0,,,
2662,spreading,,,,1277,contact_width,1.0,,5.8832,,20.3553,,56.0,False,752.5,,,
2663,spreading,,,,1279,contact_width,1.0,,5.8924,,20.689,,56.0,False,753.5,,,
2664,spreading,,,,1276,contact_width,1.0,,5.8786,,21.0227,,56.0,False,752.0,,,
2665,spreading,,,,1279,contact_width,1.0,,5.8924,,21.3564,,56.0,False,753.5,,,
2666,spreading,,,,1279,contact_width,1.0,,5.8924,,21.69,,56.0,False,753.5,,,
2667,spreading,,,,1279,contact_width,1.0,,5.8924,,22.0237,,56.0,False,753.5,,,
2668,spreading,,,,1279,contact_width,1.0,,5.8924,,22.3574,,56.0,False,753.5,,,
2669,spreading,,,,1279,contact_width,1.0,,5.8924,,22.6911,,56.0,False,753.5,,,
2670,spreading,,,,1279,contact_width,1.0,,5.8924,,23.0248,,56.0,False,753.5,,,
2671,spreading,,,,1279,contact_width,1.0,,5.8924,,23.3585,,56.0,False,753.5,,,
2672,spreading,,,,1278,contact_width,1.0,,5.8878,,23.6922,,56.0,False,753.0,,,
2673,spreading,,,,1279,contact_width,1.0,,5.8924,,24.0259,,56.0,False,753.5,,,
2674,spreading,,,,1279,contact_width,1.0,,5.8924,,24.3596,,56.0,False,753.5,,,
2675,spreading,,,,1279,contact_width,1.0,,5.8924,,24.6933,,56.0,False,753.5,,,
2676,spreading,,,,1277,contact_width,1.0,,5.8832,,25.027,,56.0,False,752.5,,,
2677,spreading,,,,1279,contact_width,1.0,,5.8924,,25.3607,,56.0,False,753.5,,,
