frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
7058,falling,670.0,229.0,65.0,,template,0.5116,2.3214,1.0,,0.0,,56.0,True,,,,
7059,falling,669.0,229.0,65.0,,template,0.5122,2.3214,1.0,53.51,0.3337,1.0,56.0,False,,,,
7060,falling,670.0,229.0,65.0,,template,0.5131,2.3214,1.0,53.51,0.6674,1.0,56.0,False,,,,
7061,falling,667.0,230.0,65.0,,template,0.512,2.3214,1.0,169.23,1.0011,3.162,56.0,False,,,,
7062,falling,670.0,229.0,65.0,,template,0.5117,2.3214,1.0,169.23,1.3348,3.162,56.0,False,,,,
7063,falling,670.0,229.0,65.0,,template,0.5119,2.3214,1.0,0.0,1.6685,0.0,56.0,False,,,,
7064,falling,670.0,229.0,65.0,,template,0.5111,2.3214,1.0,0.0,2.0022,0.0,56.0,False,,,,
7065,falling,670.0,229.0,65.0,,template,0.5123,2.3214,1.0,0.0,2.3359,0.0,56.0,False,,,,
7066,falling,670.0,229.0,65.0,,template,0.5115,2.3214,1.0,0.0,2.6695,0.0,56.0,False,,,,
7067,falling,670.0,229.0,65.0,,template,0.5114,2.3214,1.0,0.0,3.0032,0.0,56.0,False,,,,
7068,falling,670.0,229.0,65.0,,template,0.5123,2.3214,1.0,0.0,3.3369,0.0,56.0,False,,,,
7069,falling,670.0,229.0,65.0,,template,0.512,2.3214,1.0,0.0,3.6706,0.0,56.0,False,,,,
7070,falling,667.0,230.0,65.0,,template,0.5114,2.3214,1.0,169.23,4.0043,3.162,56.0,False,,,,
7071,falling,670.0,229.0,65.0,,template,0.5122,2.3214,1.0,169.23,4.338,3.162,56.0,False,,,,
7072,falling,670.0,229.0,65.0,,template,0.5112,2.3214,1.0,0.0,4.6717,0.0,56.0,False,,,,
7073,falling,669.0,229.0,65.0,,template,0.5102,2.3214,1.0,53.51,5.0054,1.0,56.0,False,,,,
7074,falling,670.0,229.0,65.0,,template,0.5111,2.3214,1.0,53.51,5.3391,1.0,56.0,False,,,,
7075,falling,667.0,230.0,65.0,,template,0.5107,2.3214,1.0,169.23,5.6728,3.162,56.0,False,,,,
7076,falling,669.0,229.0,65.0,,template,0.5105,2.3214,1.0,119.66,6.0065,2.236,56.0,False,,,,
7077,falling,667.0,230.0,65.0,,template,0.5112,2.3214,1.0,119.66,6.3402,2.236,56.0,False,,,,
7078,falling,670.0,229.0,65.0,,template,0.512,2.3214,1.0,169.23,6.6739,3.162,56.0,False,,,,
7079,falling,669.0,229.0,65.0,,template,0.5136,2.3214,1.0,53.51,7.0076,1.0,56.0,False,,,,
7080,falling,669.0,229.0,65.0,,template,0.5117,2.3214,1.0,0.0,7.3412,0.0,56.0,False,,,,
