frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
8789,falling,114.0,150.0,108.5,,hough,1.0,3.876,1.8088,,0.0,,56.0,True,,,,
8790,falling,603.0,237.0,60.0,,template,0.5127,2.1429,1.0,26579.12,0.3337,496.679,56.0,False,,,,
8791,falling,601.0,236.0,60.0,,template,0.5125,2.1429,1.0,119.66,0.6674,2.236,56.0,False,,,,
8792,falling,603.0,237.0,60.0,,template,0.5129,2.1429,1.0,119.66,1.0011,2.236,56.0,False,,,,
8793,falling,601.0,236.0,60.0,,template,0.5123,2.1429,1.0,119.66,1.3348,2.236,56.0,False,,,,
8794,falling,601.0,236.0,60.0,,template,0.5118,2.1429,1.0,0.0,1.6685,0.0,56.0,False,,,,
8795,falling,601.0,236.0,60.0,,template,0.5135,2.1429,1.0,0.0,2.0022,0.0,56.0,False,,,,
8796,falling,603.0,237.0,60.0,,template,0.5131,2.1429,1.0,119.66,2.3359,2.236,56.0,False,,,,
8797,falling,603.0,237.0,60.0,,template,0.5124,2.1429,1.0,0.0,2.6695,0.0,56.0,False,,,,
8798,falling,603.0,237.0,60.0,,template,0.5135,2.1429,1.0,0.0,3.0032,0.0,56.0,False,,,,
8799,falling,603.0,237.0,60.0,,template,0.514,2.1429,1.0,0.0,3.3369,0.0,56.0,False,,,,
8800,falling,601.0,236.0,60.0,,template,0.5145,2.1429,1.0,119.66,3.6706,2.236,56.0,False,,,,
8801,falling,114.0,154.0,108.5,,hough,1.0,3.876,1.8088,26428.01,4.0043,493.855,56.0,False,,,,
8802,falling,603.0,237.0,60.0,,template,0.5138,2.1429,1.0,26542.47,4.338,495.994,56.0,False,,,,
8803,falling,601.0,236.0,60.0,,template,0.5134,2.1429,1.0,119.66,4.6717,2.236,56.0,False,,,,
8804,falling,601.0,236.0,60.0,,template,0.5144,2.1429,1.0,0.0,5.0054,0.0,56.0,False,,,,
8805,falling,601.0,236.0,60.0,,template,0.5133,2.1429,1.0,0.0,5.3391,0.0,56.0,False,,,,
8806,falling,601.0,236.0,60.0,,template,0.5133,2.1429,1.0,0.0,5.6728,0.0,56.0,False,,,,
8807,falling,603.0,237.0,60.0,,template,0.5136,2.1429,1.0,119.66,6.0065,2.236,56.0,False,,,,
8808,falling,603.0,237.0,60.0,,template,0.513,2.1429,1.0,0.0,6.3402,0.0,56.0,False,,,,
8809,falling,601.0,236.0,60.0,,template,0.5133,2.1429,1.0,119.66,6.6739,2.236,56.0,False,,,,
8810,falling,603.0,237.0,60.0,,template,0.5131,2.1429,1.0,119.66,7.0076,2.236,56.0,False,,,,
8811,falling,601.0,236.0,60.0,,template,0.513,2.1429,1.0,119.66,7.3412,2.236,56.0,False,,,,
8812,falling,601.0,236.0,60.0,,template,0.5133,2.1429,1.0,0.0,7.6749,0.0,56.0,False,,,,
8813,falling,601.0,236.0,60.0,,template,0.5135,2.1429,1.0,0.0,8.0086,0.0,56.0,False,,,,
