frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
5242,falling,125.9,128.0,108.5,,hough,1.0,3.8735,0.9997,,0.0,,56.0,True,,,,
5243,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,0.3337,0.0,56.0,False,,,,
5244,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,0.6674,0.0,56.0,False,,,,
5245,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,1.0011,0.0,56.0,False,,,,
5246,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,1.3348,0.0,56.0,False,,,,
5247,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,1.6685,0.0,56.0,False,,,,
5248,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,2.0022,0.0,56.0,False,,,,
5249,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,2.3359,0.0,56.0,False,,,,
5250,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,2.6695,0.0,56.0,False,,,,
5251,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,3.0032,0.0,56.0,False,,,,
5252,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,3.3369,0.0,56.0,False,,,,
5253,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,3.6706,0.0,56.0,False,,,,
5254,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,4.0043,0.0,56.0,False,,,,
5255,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,4.338,0.0,56.0,False,,,,
5256,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,4.6717,0.0,56.0,False,,,,
5257,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,5.0054,0.0,56.0,False,,,,
5258,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,5.3391,0.0,56.0,False,,,,
5259,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,5.6728,0.0,56.0,False,,,,
5260,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,6.0065,0.0,56.0,False,,,,
5261,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,6.3402,0.0,56.0,False,,,,
5262,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,6.6739,0.0,56.0,False,,,,
5263,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,7.0076,0.0,56.0,False,,,,
5264,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,7.3412,0.0,56.0,False,,,,
5265,falling,125.9,128.0,108.5,,last_known,0.3,3.8735,0.9997,0.0,7.6749,0.0,56.0,False,,,,
5266,falling,116.0,118.0,108.5,,hough,1.0,3.876,1.0003,753.02,8.0086,14.072,56.0,False,,,,
5267,falling,116.0,118.0,108.5,,last_known,0.3,3.876,1.0003,0.0,8.3423,0.0,56.0,False,,,,
