frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change,right_edge_px,top_edge_px,retraction_velocity_mm_s,rebound_velocity_mm_s
992,falling,118.0,124.0,108.5,,hough,1.0,3.876,1.0,,0.0,,56.0,True,,,,
993,falling,118.0,124.0,108.5,,last_known,0.3,3.876,1.0,0.0,0.3337,0.0,56.0,False,,,,
994,falling,118.0,124.0,108.5,,last_known,0.3,3.876,1.0,0.0,0.6674,0.0,56.0,False,,,,
995,falling,118.0,124.0,108.5,,last_known,0.3,3.876,1.0,0.0,1.0011,0.0,56.0,False,,,,
996,falling,118.0,124.0,108.5,,last_known,0.3,3.876,1.0,0.0,1.3348,0.0,56.0,False,,,,
997,spreading,,,,1279,contact_width,1.0,,5.8924,,1.6685,,56.0,True,757.5,,,
998,spreading,,,,1279,contact_width,1.0,,5.8924,,2.0022,,56.0,False,757.5,,,
999,spreading,,,,1278,contact_width,1.0,,5.8878,,2.3359,,56.0,False,757.0,,,
1000,spreading,,,,1279,contact_width,1.0,,5.8924,,2.6695,,56.0,False,757.5,,,
1001,spreading,,,,1279,contact_width,1.0,,5.8924,,3.0032,,56.0,False,757.5,,,
1002,spreading,,,,1279,contact_width,1.0,,5.8924,,3.3369,,56.0,False,757.5,,,
1003,spreading,,,,1279,contact_width,1.0,,5.8924,,3.6706,,56.0,False,757.5,,,
1004,spreading,,,,1279,contact_width,1.0,,5.8924,,4.0043,,56.0,False,757.5,,,
1005,spreading,,,,1279,contact_width,1.0,,5.8924,,4.338,,56.0,False,757.5,,,
1006,spreading,,,,1279,contact_width,1.0,,5.8924,,4.6717,,56.0,False,757.5,,,
1007,spreading,,,,1278,contact_width,1.0,,5.8878,,5.0054,,56.0,False,757.0,,,
1008,spreading,,,,1276,contact_width,1.0,,5.8786,,5.3391,,56.0,False,756.0,,,
1009,spreading,,,,1266,contact_width,1.0,,5.8325,,5.6728,,56.0,False,751.0,,,
1010,spreading,,,,1277,contact_width,1.0,,5.8832,,6.0065,,56.0,False,756.5,,,
1011,spreading,,,,1279,contact_width,1.0,,5.8924,,6.3402,,56.0,False,757.5,,,
1012,spreading,,,,1276,contact_width,1.0,,5.8786,,6.6739,,56.0,False,756.0,,,
1013,spreading,,,,1279,contact_width,1.0,,5.8924,,7.0076,,56.0,False,757.5,,,
1014,spreading,,,,1278,contact_width,1.0,,5.8878,,7.3412,,56.0,False,757.0,,,
1015,spreading,,,,1270,contact_width,1.0,,5.851,,7.6749,,56.0,False,753.0,,,
1016,spreading,,,,1277,contact_width,1.0,,5.8832,,8.0086,,56.0,False,756.5,,,
1017,spreading,,,,1274,contact_width,1.0,,5.8694,,8.3423,,56.0,False,755.0,,,
1018,spreading,,,,1270,contact_width,1.0,,5.851,,8.676,,56.0,False,753.0,,,
1019,spreading,,,,1271,contact_width,1.0,,5.8556,,9.0097,,56.0,False,753.5,,,
1020,spreading,,,,1270,contact_width,1.0,,5.851,,9.3434,,56.0,False,753.0,,,
1021,spreading,,,,1271,contact_width,1.0,,5.8556,,9.6771,,56.0,False,753.5,,,
