frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
227,1,falling,3003.5,84.368,3,114,1188.6,341.7,133.865,42.833,15.4,0.051,154.5,1156.0,413.0,15.4,42.833,3.125,0.213,0.675,0,75.722,1.1539,0.9484,0.0,125.3,,,65.625,
229,2,falling,863.5,92.554,3,116,1200.7,226.6,91.123,25.191,2.0,0.068,106.1,1194.0,281.0,2.0,25.191,3.617,0.132,0.505,0,47.911,0.7301,0.6,0.6674,240.4,115.734,346828.57,65.625,5285.01
230,3,falling,2069.0,83.371,3,115,1177.8,384.3,123.622,30.477,18.5,0.048,130.0,1151.0,436.0,18.5,30.477,4.056,0.172,0.625,0,61.381,0.9353,0.7687,1.0011,82.7,159.354,477546.75,65.625,7276.9
231,4,falling,2772.0,83.893,3,115,1189.4,346.0,129.574,42.731,18.9,0.075,146.6,1158.0,413.0,18.9,42.731,3.032,0.21,0.661,0,74.41,1.1339,0.9319,1.3348,121.0,40.018,119924.96,65.625,1827.43
232,5,falling,2457.0,80.681,4,115,1178.5,385.1,139.224,33.723,18.4,0.087,132.9,1147.0,436.0,18.4,33.723,4.128,0.161,0.67,0,68.521,1.0441,0.8582,1.6685,81.9,40.591,121641.41,65.625,1853.58
235,6,falling,12607.0,19.545,3,97,1256.0,237.6,181.037,122.815,2.1,0.438,180.0,1272.0,328.0,2.1,122.815,1.474,0.49,0.959,0,149.111,2.2722,1.8675,2.6695,229.4,166.621,499323.71,65.625,7608.74
236,7,falling,2068.0,89.988,3,117,1204.4,232.8,122.592,33.553,2.1,0.083,142.1,1191.0,302.0,2.1,33.553,3.654,0.175,0.682,0,64.135,0.9773,0.8032,3.0032,234.2,51.823,155300.76,65.625,2366.49
237,8,falling,2236.0,88.663,3,115,1204.3,139.0,138.965,26.699,174.1,0.123,131.6,1201.0,209.0,174.1,26.699,5.205,0.147,0.79,0,60.911,0.9282,0.7629,3.3369,328.0,93.8,281096.86,65.625,4283.38
238,9,falling,4088.5,83.946,3,115,1200.3,105.1,156.447,48.227,169.2,0.11,164.6,1202.0,189.0,169.2,48.227,3.244,0.213,0.683,0,86.862,1.3236,1.0879,3.6706,361.9,34.135,102295.14,65.625,1558.78
239,10,falling,1350.0,90.183,3,119,1201.0,133.8,118.776,21.361,174.6,0.085,112.4,1197.0,193.0,174.6,21.361,5.56,0.122,0.681,0,50.37,0.7675,0.6308,4.0043,333.2,28.709,86032.78,65.625,1310.98
240,11,falling,12518.5,15.613,3,95,1258.0,111.1,169.215,136.754,170.5,0.467,168.0,1266.0,194.0,170.5,136.754,1.237,0.557,0.974,0,152.121,2.318,1.9052,4.338,355.9,61.354,183863.04,65.625,2801.72
241,12,falling,2337.0,87.762,3,117,1201.3,299.2,136.707,27.658,7.9,0.135,132.7,1183.0,361.0,7.9,27.658,4.943,0.159,0.749,0,61.49,0.937,0.7701,4.6717,167.8,196.46,588744.5,65.625,8971.34
242,13,falling,13334.0,20.115,3,102,1256.7,180.4,193.355,123.821,178.0,0.291,192.0,1276.0,276.0,178.0,123.821,1.562,0.454,0.943,0,154.73,2.3578,1.9379,5.0054,286.6,131.082,392823.39,65.625,5985.88
243,14,falling,1833.0,89.453,3,117,1205.4,190.6,119.631,27.95,176.9,0.08,128.2,1199.0,257.0,176.9,27.95,4.28,0.163,0.655,0,57.825,0.8811,0.7242,5.3391,276.4,52.304,156743.49,65.625,2388.47
244,15,falling,3122.0,87.668,3,116,1207.8,225.1,159.071,35.988,0.9,0.076,157.0,1192.0,304.0,0.9,35.988,4.42,0.157,0.694,0,75.662,1.1529,0.9476,5.6728,241.9,34.583,103638.31,65.625,1579.25
245,16,falling,3551.0,83.335,3,114,1200.9,307.9,149.719,45.993,12.3,0.081,160.4,1201.0,226.0,12.3,45.993,3.255,0.202,0.646,0,82.982,1.2645,1.0393,6.0065,159.1,83.087,248992.35,65.625,3794.17
246,17,falling,1768.0,88.381,3,119,1201.0,299.5,122.791,24.071,7.9,0.074,126.3,1183.0,361.0,7.9,24.071,5.101,0.149,0.697,0,54.367,0.8284,0.6809,6.3402,167.5,8.401,25174.62,65.625,383.61
247,18,falling,10957.0,13.72,3,95,1269.2,307.8,158.555,150.659,6.1,0.562,160.0,1272.0,388.0,6.1,150.659,1.052,0.555,0.987,0,154.557,2.3552,1.9357,6.6739,159.2,68.703,205887.45,65.625,3137.33
249,19,falling,2605.0,83.512,3,115,1196.5,90.3,130.167,35.726,164.0,0.11,131.2,1201.0,155.0,164.0,35.726,3.643,0.196,0.709,0,68.194,1.0391,0.8541,7.3412,376.7,229.328,687243.83,65.625,10472.29
250,20,falling,13313.5,20.646,3,101,1255.9,264.6,189.187,126.571,6.6,0.309,186.0,1272.0,359.0,6.6,126.571,1.495,0.474,0.947,0,154.744,2.358,1.938,7.6749,202.4,184.144,551835.24,65.625,8408.92
251,21,falling,1813.0,86.662,3,115,1200.5,126.6,112.702,28.798,175.7,0.084,116.1,1200.0,187.0,175.7,28.798,3.914,0.182,0.652,0,56.97,0.8681,0.7135,8.0086,340.4,148.705,445633.99,65.625,6790.61
252,22,falling,3632.5,84.276,3,117,1206.2,281.9,177.771,36.699,5.0,0.11,146.1,1185.0,350.0,5.0,36.699,4.844,0.146,0.761,0,80.772,1.2308,1.0116,8.3423,185.1,155.405,465711.2,65.625,7096.55
253,23,falling,3883.0,82.434,3,117,1201.8,312.1,161.778,42.446,7.6,0.079,156.0,1175.0,382.0,7.6,42.446,3.811,0.189,0.707,0,82.866,1.2627,1.0378,8.676,154.9,30.519,91457.86,65.625,1393.64
254,24,falling,1998.0,88.027,3,117,1202.9,142.9,128.7,28.259,172.9,0.098,122.5,1202.0,208.0,172.9,28.259,4.554,0.154,0.703,0,60.307,0.919,0.7553,9.0097,324.1,169.204,507063.61,65.625,7726.68
255,25,falling,2603.0,89.294,3,119,1200.3,115.7,152.781,29.225,171.7,0.115,142.9,1201.0,189.0,171.7,29.225,5.228,0.142,0.771,0,66.821,1.0182,0.8369,9.3434,351.3,27.324,81883.59,65.625,1247.75
256,26,falling,1338.0,85.47,4,113,1175.4,374.5,104.734,25.016,19.9,0.077,112.0,1149.0,419.0,19.9,25.016,4.187,0.155,0.639,0,51.187,0.78,0.6411,9.6771,92.5,259.995,779144.59,65.625,11872.68
257,27,falling,2328.5,89.37,3,121,1198.4,112.9,147.995,27.206,174.6,0.091,137.4,1194.0,189.0,174.6,27.206,5.44,0.135,0.723,0,63.453,0.9669,0.7947,10.0108,354.1,262.609,786978.27,65.625,11992.05
258,28,falling,13660.0,17.436,3,95,1260.5,117.4,184.149,145.054,171.5,0.289,184.0,1272.0,208.0,171.5,145.054,1.27,0.513,0.959,0,163.437,2.4905,2.0469,10.3445,349.6,62.263,186587.16,65.625,2843.23
