frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
110,1,falling,2175.5,95.174,3,125,1210.6,139.6,116.203,36.882,170.1,0.082,132.2,1212.0,203.0,170.1,36.882,3.151,0.205,0.629,0,65.466,0.9976,0.7058,0.0,341.4,,,65.625,
111,2,falling,1284.5,96.339,3,125,1211.9,210.6,89.802,36.898,173.5,0.062,108.5,1214.0,265.0,173.5,36.898,2.434,0.203,0.554,0,57.563,0.8772,0.6206,0.3337,270.4,71.012,212806.08,65.625,3242.76
112,3,falling,1878.5,96.124,3,123,1214.1,172.2,118.381,29.41,178.1,0.053,129.3,1210.0,238.0,178.1,29.41,4.025,0.171,0.612,0,59.005,0.8991,0.6362,0.6674,308.8,38.463,115264.54,65.625,1756.41
115,4,falling,1630.5,89.418,3,121,1201.3,75.5,118.209,26.087,168.7,0.095,106.7,1205.0,137.0,168.7,26.087,4.531,0.149,0.709,0,55.532,0.8462,0.5987,1.6685,405.5,97.543,292315.02,65.625,4454.32
119,5,falling,1351.0,96.192,3,125,1216.7,174.8,98.053,24.289,177.1,0.071,106.2,1212.0,229.0,177.1,24.289,4.037,0.179,0.623,0,48.802,0.7436,0.5262,3.0032,306.2,100.487,301136.27,65.625,4588.74
120,6,falling,636.0,97.165,3,125,1208.9,291.0,75.848,16.174,9.9,0.045,83.6,1200.0,331.0,9.9,16.174,4.689,0.141,0.544,0,35.025,0.5337,0.3776,3.3369,190.0,116.461,349007.91,65.625,5318.22
121,7,falling,2475.0,94.872,3,130,1211.0,300.7,140.941,33.807,8.9,0.07,150.8,1185.0,371.0,8.9,33.807,4.169,0.159,0.646,0,69.028,1.0519,0.7443,3.6706,180.3,9.925,29742.06,65.625,453.21
123,8,falling,8872.5,13.29,3,83,1269.8,319.2,144.184,133.022,17.5,0.481,144.0,1272.0,392.0,17.5,133.022,1.084,0.543,0.977,0,138.491,2.1103,1.4932,4.338,161.8,61.642,184725.56,65.625,2814.87
125,9,falling,875.0,94.99,3,122,1201.3,94.8,80.996,19.536,168.0,0.097,88.8,1205.0,138.0,168.0,19.536,4.146,0.17,0.645,0,39.779,0.6062,0.4289,5.0054,386.2,234.622,703108.16,65.625,10714.03
126,10,falling,1724.5,92.352,3,124,1203.6,85.3,121.832,25.73,167.2,0.122,115.7,1207.0,149.0,167.2,25.73,4.735,0.148,0.715,0,55.989,0.8532,0.6037,5.3391,395.7,9.774,29291.76,65.625,446.35
127,11,falling,1794.0,94.81,3,124,1202.4,84.8,126.176,24.601,167.1,0.086,117.7,1208.0,146.0,167.1,24.601,5.129,0.143,0.708,0,55.715,0.849,0.6007,5.6728,396.2,1.3,3895.8,65.625,59.36
129,12,falling,9268.5,14.717,3,91,1271.0,311.4,149.465,138.178,12.6,0.398,150.0,1274.0,387.0,12.6,138.178,1.082,0.528,0.974,0,143.71,2.1899,1.5495,6.3402,169.6,236.756,709503.18,65.625,10811.48
131,13,falling,2579.0,83.31,3,117,1180.6,405.4,127.125,38.074,19.0,0.085,130.0,1147.0,458.0,19.0,38.074,3.339,0.203,0.679,0,69.571,1.0601,0.7501,7.0076,75.6,130.415,390824.31,65.625,5955.42
132,14,falling,1336.0,91.861,3,122,1210.2,303.1,93.649,22.748,2.8,0.093,95.5,1200.0,351.0,2.8,22.748,4.117,0.194,0.707,0,46.155,0.7033,0.4976,7.3412,177.9,106.496,319144.38,65.625,4863.15
133,15,falling,4554.0,86.605,3,130,1171.5,399.3,148.409,80.433,33.6,0.078,182.5,1116.0,475.0,33.6,80.433,1.845,0.263,0.612,0,109.256,1.6649,1.178,7.6749,81.7,103.692,310742.14,65.625,4735.12
135,16,falling,8160.5,79.781,8,148,746.7,90.2,107.645,97.24,169.2,0.418,110.1,767.0,141.0,169.2,97.24,1.107,0.897,0.95,0,102.31,1.559,1.1031,8.3423,390.8,525.355,1574366.18,65.625,23990.34
136,17,falling,7992.0,84.352,7,145,746.3,111.8,105.231,97.633,156.9,0.383,110.1,776.0,159.0,156.9,97.633,1.078,0.919,0.942,0,101.361,1.5445,1.0929,8.676,369.2,21.604,64741.25,65.625,986.53
137,18,falling,8160.5,10.122,3,89,1277.5,346.0,142.724,141.795,4.9,0.696,144.0,1278.0,418.0,4.9,141.795,1.007,0.51,0.992,0,142.259,2.1678,1.5338,9.0097,135.0,580.537,1739733.5,65.625,26510.22
138,19,falling,2506.5,92.844,3,123,1210.6,312.9,140.372,29.371,10.6,0.101,128.9,1215.0,246.0,10.6,29.371,4.779,0.162,0.769,0,64.21,0.9784,0.6923,9.3434,168.1,74.641,223680.47,65.625,3408.46
139,20,falling,7729.5,80.214,5,146,748.0,182.8,104.169,95.617,127.7,0.45,107.4,796.0,204.0,127.7,95.617,1.089,0.907,0.956,0,99.802,1.5208,1.0761,9.6771,298.2,480.546,1440085.12,65.625,21944.15
140,21,falling,6486.5,40.858,7,77,748.0,208.0,91.054,90.877,126.8,0.858,92.0,794.0,208.0,126.8,90.877,1.002,0.996,0.985,0,90.965,1.3861,0.9808,10.0108,273.0,25.2,75518.52,65.625,1150.76
141,22,falling,10957.0,14.682,3,91,1260.2,353.2,151.514,138.101,17.3,0.418,150.0,1262.0,429.0,17.3,138.101,1.097,0.608,0.97,0,144.652,2.2042,1.5596,10.3445,127.8,532.383,1595428.16,65.625,24311.29
142,23,falling,1979.5,96.769,3,126,1215.0,166.1,114.671,31.62,177.2,0.079,131.0,1207.0,236.0,177.2,31.62,3.627,0.192,0.653,0,60.216,0.9176,0.6492,10.6782,314.9,192.482,576824.62,65.625,8789.71
143,24,falling,6760.0,42.926,6,83,746.1,278.2,93.168,92.33,82.2,0.804,94.0,793.0,278.0,82.2,92.33,1.009,0.992,0.984,0,92.748,1.4133,1.0,11.0119,202.8,482.114,1444782.18,65.625,22015.73
144,25,falling,1862.5,96.118,3,124,1214.0,255.0,121.47,27.017,2.9,0.059,125.2,1201.0,316.0,2.9,27.017,4.496,0.161,0.65,0,57.286,0.8729,0.6177,11.3456,226.0,468.475,1403909.62,65.625,21392.91
145,26,falling,6934.0,42.831,7,81,748.2,329.7,97.902,91.051,95.6,0.502,98.0,797.0,332.0,95.6,91.051,1.075,0.921,0.96,0,94.414,1.4387,1.018,11.6793,151.3,471.752,1413729.89,65.625,21542.55
146,27,falling,1789.0,94.286,3,125,1214.9,274.7,119.978,25.551,4.7,0.09,113.5,1200.0,329.0,4.7,25.551,4.696,0.158,0.723,0,55.367,0.8437,0.597,12.0129,206.3,469.93,1408269.47,65.625,21459.34
147,28,falling,7455.5,59.165,7,129,748.4,375.7,102.149,94.518,61.2,0.387,104.4,773.0,329.0,61.2,94.518,1.081,0.91,0.943,0,98.259,1.4973,1.0594,12.3466,105.3,477.308,1430381.63,65.625,21796.29
149,1,spreading,,,,,,481,,,,,,,,,,,0.0,,113,,,1.2184,13.014,0,,,65.625,
150,2,spreading,,,,,,481,,,,,,,,,,,0.0,,153,,,1.6496,13.3477,0,,,65.625,
151,3,spreading,,,,,,481,,,,,,,,,,,0.0,,187,,,2.0162,13.6814,0,,,65.625,
152,4,spreading,,,,,,481,,,,,,,,,,,0.0,,211,,,2.275,14.0151,0,,,65.625,
153,5,spreading,,,,,,481,,,,,,,,,,,0.0,,222,,,2.3936,14.3488,0,,,65.625,
154,6,spreading,,,,,,481,,,,,,,,,,,0.0,,227,,,2.4475,14.6825,0,,,65.625,
155,7,spreading,,,,,,481,,,,,,,,,,,0.0,,226,,,2.4367,15.0162,0,,,65.625,
156,8,spreading,,,,,,481,,,,,,,,,,,0.0,,220,,,2.372,15.3499,0,,,65.625,
157,9,spreading,,,,,,481,,,,,,,,,,,0.0,,210,,,2.2642,15.6836,0,,,65.625,
158,10,spreading,,,,,,481,,,,,,,,,,,0.0,,197,,,2.124,16.0173,0,,,65.625,
159,11,spreading,,,,,,481,,,,,,,,,,,0.0,,183,,,1.9731,16.351,0,,,65.625,
160,12,spreading,,,,,,481,,,,,,,,,,,0.0,,171,,,1.8437,16.6846,0,,,65.625,
161,13,spreading,,,,,,481,,,,,,,,,,,0.0,,159,,,1.7143,17.0183,0,,,65.625,
162,14,spreading,,,,,,481,,,,,,,,,,,0.0,,148,,,1.5957,17.352,0,,,65.625,
163,15,spreading,,,,,,481,,,,,,,,,,,0.0,,133,,,1.434,17.6857,0,,,65.625,
164,16,spreading,,,,,,481,,,,,,,,,,,0.0,,119,,,1.283,18.0194,0,,,65.625,
165,17,spreading,,,,,,481,,,,,,,,,,,0.0,,113,,,1.2184,18.3531,0,,,65.625,
166,18,spreading,,,,,,481,,,,,,,,,,,0.0,,104,,,1.1213,18.6868,0,,,65.625,
167,19,spreading,,,,,,481,,,,,,,,,,,0.0,,103,,,1.1105,19.0205,0,,,65.625,
168,20,spreading,,,,,,481,,,,,,,,,,,0.0,,99,,,1.0674,19.3542,0,,,65.625,
169,21,spreading,,,,,,481,,,,,,,,,,,0.0,,93,,,1.0027,19.6879,0,,,65.625,
170,22,spreading,,,,,,481,,,,,,,,,,,0.0,,84,,,0.9057,20.0216,0,,,65.625,
171,23,spreading,,,,,,481,,,,,,,,,,,0.0,,77,,,0.8302,20.3553,0,,,65.625,
172,24,spreading,,,,,,481,,,,,,,,,,,0.0,,75,,,0.8086,20.689,0,,,65.625,
173,25,spreading,,,,,,481,,,,,,,,,,,0.0,,74,,,0.7979,21.0227,0,,,65.625,
174,26,spreading,,,,,,481,,,,,,,,,,,0.0,,63,,,0.6793,21.3564,0,,,65.625,
175,27,spreading,,,,,,481,,,,,,,,,,,0.0,,50,,,0.5391,21.69,0,,,65.625,
176,28,spreading,,,,,,481,,,,,,,,,,,0.0,,47,,,0.5067,22.0237,0,,,65.625,
177,29,spreading,,,,,,481,,,,,,,,,,,0.0,,43,,,0.4636,22.3574,0,,,65.625,
178,30,spreading,,,,,,481,,,,,,,,,,,0.0,,17,,,0.1833,22.6911,0,,,65.625,
179,31,spreading,,,,,,481,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,65.625,
180,32,spreading,,,,,,481,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,65.625,
181,33,spreading,,,,,,481,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,65.625,
182,34,spreading,,,,,,481,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,65.625,
183,35,spreading,,,,,,481,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,65.625,
184,36,spreading,,,,,,481,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,65.625,
