frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
413,1,falling,18888.0,101.957,7,126,1140.0,240.0,155.148,155.148,0.0,0.891,156.0,1170.0,168.0,0.0,155.148,1.0,0.999,0.992,0,155.148,2.3642,2.0782,0.0,233.0,,,65.625,
414,2,falling,884.0,97.728,3,125,1209.4,296.5,88.452,20.475,7.2,0.038,105.1,1212.0,244.0,7.2,20.475,4.32,0.144,0.499,0,42.557,0.6485,0.57,0.3337,176.5,89.491,268183.14,65.625,4086.6
419,3,falling,2274.0,92.586,3,123,1215.3,299.9,138.124,27.938,7.0,0.134,120.2,1197.0,354.0,7.0,27.938,4.944,0.152,0.807,0,62.12,0.9466,0.8321,2.0022,173.1,6.81,20406.64,65.625,310.96
420,4,falling,936.0,95.999,3,125,1197.5,327.6,87.136,30.893,12.3,0.053,106.3,1182.0,381.0,12.3,30.893,2.821,0.157,0.485,0,51.883,0.7906,0.695,2.3359,145.4,32.926,98671.92,65.625,1503.57
423,5,falling,2504.5,95.901,3,124,1208.1,106.6,145.681,31.696,168.3,0.079,146.1,1212.0,183.0,168.3,31.696,4.596,0.15,0.7,0,67.952,1.0355,0.9102,3.3369,366.4,221.254,663046.76,65.625,10103.57
425,6,falling,3050.0,86.455,3,122,1205.7,352.2,141.298,35.715,13.6,0.121,132.9,1211.0,282.0,13.6,35.715,3.956,0.195,0.767,0,71.039,1.0825,0.9516,4.0043,120.8,245.612,736040.99,65.625,11215.86
426,7,falling,2885.5,93.985,3,125,1219.2,175.8,157.408,33.698,176.5,0.083,142.5,1212.0,250.0,176.5,33.698,4.671,0.148,0.695,0,72.831,1.1098,0.9756,4.338,297.2,176.916,530175.42,65.625,8078.86
427,8,falling,9435.5,11.249,3,90,1272.7,353.7,149.069,144.804,15.2,0.653,150.0,1274.0,429.0,15.2,144.804,1.029,0.541,0.989,0,146.922,2.2388,1.968,4.6717,119.3,185.77,556710.66,65.625,8483.21
429,9,falling,1645.0,97.074,3,125,1214.5,165.2,103.469,29.166,174.0,0.072,118.8,1211.0,226.0,174.0,29.166,3.548,0.196,0.679,0,54.935,0.8371,0.7359,5.3391,307.8,197.28,591202.79,65.625,9008.8
430,10,falling,1402.5,94.54,3,125,1213.0,297.0,102.216,23.309,7.9,0.103,106.1,1197.0,349.0,7.9,23.309,4.385,0.171,0.704,0,48.812,0.7438,0.6538,5.6728,176.0,131.809,394999.4,65.625,6019.04
434,11,falling,2584.0,92.511,3,125,1208.2,96.8,132.184,33.571,167.2,0.107,135.3,1212.0,164.0,167.2,33.571,3.937,0.188,0.737,0,66.614,1.0151,0.8923,7.0076,376.2,200.258,600125.07,65.625,9144.76
435,12,falling,1220.5,99.411,3,127,1215.5,185.4,93.1,23.637,176.3,0.068,101.1,1215.0,237.0,176.3,23.637,3.939,0.179,0.639,0,46.911,0.7148,0.6284,7.3412,287.6,88.9,266413.22,65.625,4059.63
436,13,falling,11234.5,11.399,3,90,1257.5,394.0,145.144,143.248,9.6,0.719,146.0,1258.0,467.0,9.6,143.248,1.013,0.679,0.99,0,144.193,2.1972,1.9315,7.6749,79.0,212.786,637670.5,65.625,9716.88
437,14,falling,1744.5,92.595,3,127,1213.4,278.1,110.58,27.773,6.9,0.07,110.8,1197.0,330.0,6.9,27.773,3.982,0.182,0.653,0,55.418,0.8445,0.7423,8.0086,194.9,124.007,371618.62,65.625,5662.76
440,15,falling,1728.5,97.089,3,125,1214.2,264.9,114.944,24.852,5.0,0.108,119.4,1200.0,322.0,5.0,24.852,4.625,0.167,0.73,0,53.447,0.8144,0.7159,9.0097,208.1,13.224,39629.9,65.625,603.88
442,16,falling,1430.5,98.638,3,125,1213.7,177.3,98.605,27.118,176.1,0.081,109.9,1215.0,233.0,176.1,27.118,3.636,0.187,0.649,0,51.711,0.788,0.6927,9.6771,295.7,87.601,262521.02,65.625,4000.32
444,17,falling,3636.5,91.808,3,125,1221.5,190.8,172.099,37.888,177.3,0.123,149.2,1210.0,268.0,177.3,37.888,4.542,0.156,0.775,0,80.75,1.2305,1.0816,10.3445,282.2,15.591,46723.62,65.625,711.98
445,18,falling,3467.0,92.174,3,125,1220.8,260.5,178.853,34.321,3.6,0.089,149.3,1211.0,181.0,3.6,34.321,5.211,0.138,0.76,0,78.348,1.1939,1.0495,10.6782,212.5,69.704,208885.16,65.625,3183.01
446,19,falling,1998.0,93.325,3,125,1200.5,342.3,122.404,30.9,14.9,0.074,130.7,1175.0,401.0,14.9,30.9,3.961,0.17,0.663,0,61.5,0.9371,0.8238,11.0119,130.7,84.281,252571.24,65.625,3848.7
447,20,falling,1471.0,94.327,3,126,1216.8,246.0,90.35,28.635,6.7,0.196,96.6,1203.0,292.0,6.7,28.635,3.155,0.229,0.7,0,50.864,0.7751,0.6813,11.3456,227.0,97.67,292693.43,65.625,4460.09
