frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
78,1,falling,961.0,93.988,3,121,1213.9,161.1,83.398,28.829,171.9,0.061,100.7,1216.0,212.0,171.9,28.829,2.893,0.176,0.541,0,49.034,0.7472,0.6778,0.0,303.9,,,65.625,
79,2,falling,2671.5,86.337,3,121,1227.1,221.7,153.835,32.219,179.1,0.161,125.0,1214.0,286.0,179.1,32.219,4.775,0.144,0.768,0,70.401,1.0728,0.9731,0.3337,243.3,62.021,185862.35,65.625,2832.19
80,3,falling,881.5,95.854,3,123,1219.0,234.5,86.168,19.585,2.5,0.075,96.2,1210.0,281.0,2.5,19.585,4.4,0.151,0.628,0,41.08,0.626,0.5678,0.6674,230.5,15.148,45393.84,65.625,691.72
81,4,falling,2633.0,90.126,3,123,1224.6,190.9,141.883,32.651,176.3,0.148,136.2,1215.0,262.0,176.3,32.651,4.345,0.167,0.712,0,68.063,1.0372,0.9408,1.0011,274.1,43.958,131732.35,65.625,2007.35
82,5,falling,1125.0,93.431,3,121,1213.6,296.4,93.317,26.169,7.8,0.057,107.8,1202.0,349.0,7.8,26.169,3.566,0.164,0.585,0,49.416,0.753,0.683,1.3348,168.6,106.072,317872.74,65.625,4843.78
84,6,falling,1328.5,93.64,3,126,1217.6,264.2,98.517,27.548,8.2,0.081,116.8,1202.0,321.0,8.2,27.548,3.576,0.174,0.628,0,52.096,0.7938,0.7201,2.0022,200.8,32.447,97237.57,65.625,1481.72
85,7,falling,11273.5,19.249,3,91,1260.2,107.8,180.563,116.39,171.1,0.258,176.0,1276.0,194.0,171.1,116.39,1.551,0.44,0.948,0,144.968,2.209,2.0038,2.3359,357.2,162.098,485769.47,65.625,7402.2
86,8,falling,2381.5,86.588,3,120,1209.3,343.8,122.05,36.963,11.4,0.07,136.1,1184.0,406.0,11.4,36.963,3.302,0.204,0.666,0,67.166,1.0235,0.9284,2.6695,121.2,241.427,723499.19,65.625,11024.75
87,9,falling,1889.0,89.192,3,122,1210.8,340.4,129.35,26.802,14.8,0.072,128.1,1183.0,401.0,14.8,26.802,4.826,0.144,0.672,0,58.88,0.8972,0.8139,3.0032,124.6,3.716,11136.53,65.625,169.7
89,10,falling,1434.5,90.971,3,126,1211.8,325.5,117.876,22.707,11.4,0.089,117.1,1193.0,378.0,11.4,22.707,5.191,0.131,0.658,0,51.736,0.7884,0.7151,3.6706,139.5,14.934,44752.27,65.625,681.94
90,11,falling,1118.5,95.476,3,128,1220.0,186.7,102.627,20.71,173.4,0.07,104.9,1218.0,240.0,173.4,20.71,4.955,0.135,0.604,0,46.102,0.7025,0.6372,4.0043,278.3,139.042,416676.43,65.625,6349.36
91,12,falling,1362.0,93.165,3,122,1216.0,286.7,95.191,27.378,5.7,0.047,111.3,1215.0,226.0,5.7,27.378,3.477,0.191,0.605,0,51.05,0.7779,0.7056,4.338,178.3,100.08,299916.29,65.625,4570.15
92,13,falling,3249.5,88.068,3,125,1221.5,275.8,137.533,42.185,7.9,0.081,148.0,1219.0,201.0,7.9,42.185,3.26,0.219,0.678,0,76.17,1.1607,1.0528,4.6717,189.2,12.209,36587.56,65.625,557.52
93,14,falling,2323.5,90.988,3,123,1221.0,262.9,125.279,35.422,4.6,0.102,135.6,1203.0,332.0,4.6,35.422,3.537,0.188,0.678,0,66.616,1.0151,0.9208,5.0054,202.1,12.91,38687.32,65.625,589.52
96,15,falling,2552.0,83.719,3,120,1197.0,387.8,129.532,37.006,19.7,0.104,133.5,1205.0,320.0,19.7,37.006,3.5,0.194,0.691,0,69.235,1.055,0.957,6.0065,77.2,127.185,381143.58,65.625,5807.9
99,16,falling,2208.5,77.937,3,115,1190.2,399.8,106.039,39.001,24.2,0.125,112.8,1156.0,448.0,24.2,39.001,2.719,0.25,0.69,0,64.309,0.9799,0.8889,7.0076,65.2,13.793,41333.66,65.625,629.85
100,17,falling,1611.5,90.799,3,122,1214.3,318.8,114.583,23.321,10.4,0.098,116.7,1217.0,259.0,10.4,23.321,4.913,0.156,0.722,0,51.694,0.7877,0.7145,7.3412,146.2,84.509,253254.43,65.625,3859.12
101,18,falling,2534.5,91.904,3,125,1222.2,187.3,137.649,31.39,174.6,0.114,132.2,1214.0,254.0,174.6,31.39,4.385,0.17,0.723,0,65.732,1.0016,0.9086,7.6749,277.7,131.737,394785.29,65.625,6015.78
102,19,falling,1367.0,94.364,3,124,1221.2,195.1,109.166,21.292,177.7,0.093,111.1,1216.0,252.0,177.7,21.292,5.127,0.146,0.721,0,48.212,0.7347,0.6664,8.0086,269.9,7.864,23566.1,65.625,359.1
107,20,falling,2558.5,91.199,3,123,1220.7,269.2,131.38,33.609,6.2,0.104,135.8,1202.0,332.0,6.2,33.609,3.909,0.189,0.725,0,66.45,1.0126,0.9185,9.6771,195.8,74.102,222065.45,65.625,3383.85
109,21,falling,1838.0,91.97,3,123,1210.6,117.2,126.789,25.87,166.9,0.08,120.3,1216.0,179.0,166.9,25.87,4.901,0.146,0.698,0,57.272,0.8727,0.7916,10.3445,347.8,152.335,456512.99,65.625,6956.39
110,22,falling,3194.0,90.461,3,123,1225.3,199.3,156.988,33.341,178.0,0.122,146.1,1216.0,273.0,178.0,33.341,4.709,0.165,0.775,0,72.347,1.1024,1.0,10.6782,265.7,83.406,249947.21,65.625,3808.72
112,23,falling,2393.5,92.677,3,122,1223.4,226.2,145.534,29.067,1.8,0.129,137.2,1215.0,159.0,1.8,29.067,5.007,0.144,0.734,0,65.04,0.9911,0.899,11.3456,238.8,26.967,80813.85,65.625,1231.45
113,24,falling,1787.5,89.439,3,119,1209.5,333.8,111.892,28.046,12.4,0.067,116.4,1216.0,273.0,12.4,28.046,3.99,0.182,0.644,0,56.019,0.8536,0.7743,11.6793,131.2,108.494,325131.49,65.625,4954.38
114,25,falling,3651.0,86.019,3,121,1201.5,369.3,161.963,43.075,20.3,0.06,170.1,1156.0,446.0,20.3,43.075,3.76,0.177,0.67,0,83.526,1.2728,1.1545,12.0129,95.7,36.39,109053.07,65.625,1661.76
115,26,falling,3397.5,87.811,3,123,1222.5,281.6,149.206,37.098,6.7,0.076,147.4,1198.0,352.0,6.7,37.098,4.022,0.194,0.74,0,74.399,1.1337,1.0284,12.3466,183.4,90.179,270246.04,65.625,4118.03
117,1,spreading,,,,,,465,,,,,,,,,,,0.0,,106,,,1.4652,13.014,0,,,65.625,
118,2,spreading,,,,,,465,,,,,,,,,,,0.0,,113,,,1.5619,13.3477,0,,,65.625,
119,3,spreading,,,,,,465,,,,,,,,,,,0.0,,138,,,1.9075,13.6814,0,,,65.625,
120,4,spreading,,,,,,465,,,,,,,,,,,0.0,,157,,,2.1701,14.0151,0,,,65.625,
121,5,spreading,,,,,,465,,,,,,,,,,,0.0,,179,,,2.4742,14.3488,0,,,65.625,
122,6,spreading,,,,,,465,,,,,,,,,,,0.0,,194,,,2.6815,14.6825,0,,,65.625,
123,7,spreading,,,,,,465,,,,,,,,,,,0.0,,204,,,2.8197,15.0162,0,,,65.625,
124,8,spreading,,,,,,465,,,,,,,,,,,0.0,,203,,,2.8059,15.3499,0,,,65.625,
125,9,spreading,,,,,,465,,,,,,,,,,,0.0,,195,,,2.6953,15.6836,0,,,65.625,
126,10,spreading,,,,,,465,,,,,,,,,,,0.0,,182,,,2.5157,16.0173,0,,,65.625,
127,11,spreading,,,,,,465,,,,,,,,,,,0.0,,169,,,2.336,16.351,0,,,65.625,
128,12,spreading,,,,,,465,,,,,,,,,,,0.0,,153,,,2.1148,16.6846,0,,,65.625,
129,13,spreading,,,,,,465,,,,,,,,,,,0.0,,147,,,2.0319,17.0183,0,,,65.625,
130,14,spreading,,,,,,465,,,,,,,,,,,0.0,,142,,,1.9628,17.352,0,,,65.625,
131,15,spreading,,,,,,465,,,,,,,,,,,0.0,,138,,,1.9075,17.6857,0,,,65.625,
132,16,spreading,,,,,,465,,,,,,,,,,,0.0,,130,,,1.7969,18.0194,0,,,65.625,
133,17,spreading,,,,,,465,,,,,,,,,,,0.0,,117,,,1.6172,18.3531,0,,,65.625,
134,18,spreading,,,,,,465,,,,,,,,,,,0.0,,106,,,1.4652,18.6868,0,,,65.625,
135,19,spreading,,,,,,465,,,,,,,,,,,0.0,,88,,,1.2164,19.0205,0,,,65.625,
136,20,spreading,,,,,,465,,,,,,,,,,,0.0,,80,,,1.1058,19.3542,0,,,65.625,
137,21,spreading,,,,,,465,,,,,,,,,,,0.0,,72,,,0.9952,19.6879,0,,,65.625,
138,22,spreading,,,,,,465,,,,,,,,,,,0.0,,65,,,0.8984,20.0216,0,,,65.625,
139,23,spreading,,,,,,465,,,,,,,,,,,0.0,,57,,,0.7879,20.3553,0,,,65.625,
140,24,spreading,,,,,,465,,,,,,,,,,,0.0,,58,,,0.8017,20.689,0,,,65.625,
141,25,spreading,,,,,,465,,,,,,,,,,,0.0,,49,,,0.6773,21.0227,0,,,65.625,
142,26,spreading,,,,,,465,,,,,,,,,,,0.0,,28,,,0.387,21.3564,0,,,65.625,
143,27,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,21.69,0,,,65.625,
144,28,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,65.625,
145,29,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,65.625,
146,30,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,65.625,
147,31,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,65.625,
148,32,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,65.625,
149,33,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,65.625,
150,34,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,65.625,
151,35,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,65.625,
152,36,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,65.625,
153,37,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,25.027,0,,,65.625,
154,38,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,65.625,
155,39,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,65.625,
156,40,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,65.625,
157,41,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,65.625,
158,42,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,65.625,
159,43,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,65.625,
160,44,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,65.625,
161,45,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,65.625,
162,46,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,28.0302,0,,,65.625,
163,47,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,28.3639,0,,,65.625,
164,48,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,28.6976,0,,,65.625,
165,49,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,29.0313,0,,,65.625,
166,50,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,29.365,0,,,65.625,
167,51,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,65.625,
168,52,spreading,,,,,,465,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,65.625,
