frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
454,1,falling,2260.5,95.375,3,125,1217.8,155.9,140.729,29.078,171.8,0.06,140.0,1217.0,225.0,171.8,29.078,4.84,0.145,0.663,0,63.97,0.9748,0.8655,0.0,314.1,,,65.625,
456,2,falling,2881.0,87.289,3,124,1201.8,378.7,140.15,38.65,17.6,0.07,151.2,1167.0,446.0,17.6,38.65,3.626,0.187,0.652,0,73.599,1.1215,0.9958,0.6674,91.3,223.374,669399.02,65.625,10200.37
457,3,falling,1703.5,92.175,3,125,1217.1,305.3,112.915,25.358,8.4,0.083,113.4,1218.0,248.0,8.4,25.358,4.453,0.17,0.694,0,53.51,0.8154,0.724,1.0011,164.7,74.978,224690.55,65.625,3423.86
458,4,falling,3229.5,91.862,3,125,1223.0,257.2,134.797,43.73,4.1,0.103,146.6,1217.0,180.0,4.1,43.73,3.082,0.226,0.687,0,76.777,1.1699,1.0387,1.3348,212.8,48.46,145224.8,65.625,2212.95
459,5,falling,1840.5,93.655,3,124,1214.5,306.4,106.828,35.498,7.9,0.095,128.9,1200.0,371.0,7.9,35.498,3.009,0.205,0.634,0,61.581,0.9384,0.8332,1.6685,163.6,49.929,149625.1,65.625,2280.0
460,6,falling,2932.5,89.302,3,127,1226.8,248.6,160.413,33.975,2.7,0.108,132.4,1217.0,178.0,2.7,33.975,4.721,0.145,0.746,0,73.824,1.1249,0.9988,2.0022,221.4,59.094,177091.66,65.625,2698.54
462,7,falling,2675.0,91.036,3,127,1227.4,242.3,156.044,29.799,1.1,0.138,130.0,1216.0,178.0,1.1,29.799,5.237,0.14,0.798,0,68.191,1.0391,0.9226,2.6695,227.7,6.329,18965.06,65.625,288.99
463,8,falling,2992.0,93.937,3,125,1223.1,253.8,145.825,36.14,2.9,0.084,149.1,1214.0,175.0,2.9,36.14,4.035,0.179,0.686,0,72.596,1.1062,0.9822,3.0032,216.2,12.278,36793.17,65.625,560.66
464,9,falling,3582.5,92.234,3,127,1226.5,251.1,183.649,34.395,3.1,0.101,158.3,1207.0,324.0,3.1,34.395,5.339,0.135,0.761,0,79.477,1.2111,1.0753,3.3369,218.9,4.342,13010.94,65.625,198.26
468,10,falling,3501.0,85.105,3,120,1193.4,393.0,139.521,50.067,24.7,0.093,156.2,1211.0,319.0,24.7,50.067,2.787,0.229,0.676,0,83.579,1.2736,1.1308,4.6717,77.0,145.709,436656.95,65.625,6653.82
470,11,falling,2334.0,91.788,3,126,1225.1,261.3,132.094,29.777,2.5,0.128,127.0,1212.0,320.0,2.5,29.777,4.436,0.17,0.717,0,62.716,0.9557,0.8485,5.3391,208.7,135.461,405946.06,65.625,6185.84
471,12,falling,3260.5,91.564,3,125,1223.6,163.7,160.254,35.846,174.1,0.115,151.3,1220.0,239.0,174.1,35.846,4.471,0.162,0.726,0,75.792,1.1549,1.0254,5.6728,306.3,97.612,292518.95,65.625,4457.43
472,13,falling,2977.0,93.493,3,128,1225.4,238.4,157.98,32.986,2.4,0.115,150.2,1215.0,160.0,2.4,32.986,4.789,0.152,0.748,0,72.188,1.1,0.9767,6.0065,231.6,74.722,223923.44,65.625,3412.17
473,14,falling,2549.0,88.969,3,123,1190.7,387.7,122.578,47.914,23.8,0.044,153.2,1210.0,313.0,23.8,47.914,2.558,0.216,0.582,0,76.636,1.1678,1.0368,6.3402,82.3,153.279,459342.62,65.625,6999.51
474,15,falling,3508.5,93.744,3,125,1221.8,262.9,150.059,43.536,4.7,0.133,163.6,1200.0,343.0,4.7,43.536,3.447,0.198,0.723,0,80.827,1.2316,1.0935,6.6739,207.1,128.617,385434.15,65.625,5873.28
475,16,falling,3242.5,91.871,3,125,1221.6,169.2,155.525,37.841,173.3,0.092,151.1,1215.0,246.0,173.3,37.841,4.11,0.171,0.734,0,76.716,1.169,1.0379,7.0076,300.8,93.7,280797.66,65.625,4278.82
476,17,falling,704.0,98.959,3,128,1215.5,272.3,83.019,18.984,5.2,0.072,96.3,1207.0,317.0,5.2,18.984,4.373,0.13,0.539,0,39.699,0.6049,0.5371,7.3412,197.7,103.28,309506.94,65.625,4716.3
478,18,falling,3770.0,90.699,3,125,1221.0,303.9,208.374,35.389,7.1,0.148,157.5,1219.0,213.0,7.1,35.389,5.888,0.111,0.784,0,85.873,1.3085,1.1618,8.0086,166.1,32.075,96121.49,65.625,1464.71
482,19,falling,1581.0,93.828,3,126,1212.0,324.1,124.313,23.68,11.7,0.09,121.0,1189.0,379.0,11.7,23.68,5.25,0.13,0.658,0,54.257,0.8268,0.7341,9.3434,145.9,22.114,66271.24,65.625,1009.85
483,20,falling,3950.0,86.141,3,125,1195.5,380.7,139.857,57.701,24.7,0.081,164.0,1212.0,299.0,24.7,57.701,2.424,0.257,0.679,0,89.833,1.3689,1.2154,9.6771,89.3,58.956,176677.37,65.625,2692.23
484,21,falling,3374.0,93.171,3,126,1223.6,243.8,171.909,36.318,177.7,0.099,166.2,1210.0,324.0,177.7,36.318,4.733,0.145,0.69,0,79.015,1.204,1.069,10.0108,226.2,139.754,418810.53,65.625,6381.87
486,22,falling,2092.5,91.922,3,122,1210.4,109.0,117.372,29.912,168.2,0.082,119.6,1215.0,171.0,168.2,29.912,3.924,0.193,0.707,0,59.253,0.9029,0.8017,10.6782,361.0,135.445,405896.28,65.625,6185.09
488,23,falling,3259.5,94.082,3,127,1224.4,187.0,149.855,36.412,176.3,0.11,155.1,1215.0,267.0,176.3,36.412,4.116,0.185,0.722,0,73.868,1.1256,0.9994,11.3456,283.0,79.246,237483.11,65.625,3618.79
489,24,falling,2958.5,93.428,3,125,1220.6,172.3,142.072,38.453,174.2,0.111,149.8,1216.0,248.0,174.2,38.453,3.695,0.187,0.718,0,73.913,1.1263,1.0,11.6793,297.7,15.183,45500.55,65.625,693.34
492,1,spreading,,,,,,470,,,,,,,,,,,0.0,,104,,,1.4071,12.6803,0,,,65.625,
493,2,spreading,,,,,,470,,,,,,,,,,,0.0,,111,,,1.5018,13.014,0,,,65.625,
494,3,spreading,,,,,,470,,,,,,,,,,,0.0,,132,,,1.7859,13.3477,0,,,65.625,
495,4,spreading,,,,,,470,,,,,,,,,,,0.0,,152,,,2.0565,13.6814,0,,,65.625,
496,5,spreading,,,,,,470,,,,,,,,,,,0.0,,180,,,2.4353,14.0151,0,,,65.625,
497,6,spreading,,,,,,470,,,,,,,,,,,0.0,,195,,,2.6382,14.3488,0,,,65.625,
498,7,spreading,,,,,,470,,,,,,,,,,,0.0,,202,,,2.7329,14.6825,0,,,65.625,
499,8,spreading,,,,,,470,,,,,,,,,,,0.0,,198,,,2.6788,15.0162,0,,,65.625,
500,9,spreading,,,,,,470,,,,,,,,,,,0.0,,191,,,2.5841,15.3499,0,,,65.625,
501,10,spreading,,,,,,470,,,,,,,,,,,0.0,,173,,,2.3406,15.6836,0,,,65.625,
502,11,spreading,,,,,,470,,,,,,,,,,,0.0,,160,,,2.1647,16.0173,0,,,65.625,
503,12,spreading,,,,,,470,,,,,,,,,,,0.0,,142,,,1.9212,16.351,0,,,65.625,
504,13,spreading,,,,,,470,,,,,,,,,,,0.0,,127,,,1.7182,16.6846,0,,,65.625,
505,14,spreading,,,,,,470,,,,,,,,,,,0.0,,119,,,1.61,17.0183,0,,,65.625,
506,15,spreading,,,,,,470,,,,,,,,,,,0.0,,110,,,1.4882,17.352,0,,,65.625,
507,16,spreading,,,,,,470,,,,,,,,,,,0.0,,103,,,1.3935,17.6857,0,,,65.625,
508,17,spreading,,,,,,470,,,,,,,,,,,0.0,,99,,,1.3394,18.0194,0,,,65.625,
509,18,spreading,,,,,,470,,,,,,,,,,,0.0,,91,,,1.2312,18.3531,0,,,65.625,
510,19,spreading,,,,,,470,,,,,,,,,,,0.0,,85,,,1.15,18.6868,0,,,65.625,
511,20,spreading,,,,,,470,,,,,,,,,,,0.0,,85,,,1.15,19.0205,0,,,65.625,
512,21,spreading,,,,,,470,,,,,,,,,,,0.0,,75,,,1.0147,19.3542,0,,,65.625,
513,22,spreading,,,,,,470,,,,,,,,,,,0.0,,74,,,1.0012,19.6879,0,,,65.625,
514,23,spreading,,,,,,470,,,,,,,,,,,0.0,,75,,,1.0147,20.0216,0,,,65.625,
515,24,spreading,,,,,,470,,,,,,,,,,,0.0,,68,,,0.92,20.3553,0,,,65.625,
516,25,spreading,,,,,,470,,,,,,,,,,,0.0,,65,,,0.8794,20.689,0,,,65.625,
517,26,spreading,,,,,,470,,,,,,,,,,,0.0,,54,,,0.7306,21.0227,0,,,65.625,
518,27,spreading,,,,,,470,,,,,,,,,,,0.0,,49,,,0.6629,21.3564,0,,,65.625,
519,28,spreading,,,,,,470,,,,,,,,,,,0.0,,40,,,0.5412,21.69,0,,,65.625,
520,29,spreading,,,,,,470,,,,,,,,,,,0.0,,26,,,0.3518,22.0237,0,,,65.625,
521,30,spreading,,,,,,470,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,65.625,
