frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
201,1,falling,3410.5,83.107,3,115,1209.9,235.0,156.406,39.968,3.0,0.127,145.2,1198.0,164.0,3.0,39.968,3.913,0.178,0.717,0,79.065,1.2048,1.2102,0.0,270.0,,,65.625,
202,2,falling,12829.0,18.031,3,97,1255.9,277.0,179.527,127.405,5.1,0.445,178.0,1270.0,367.0,5.1,127.405,1.409,0.507,0.96,0,151.237,2.3046,2.3149,0.3337,228.0,62.29,186667.52,65.625,2844.46
204,3,falling,3209.5,83.272,3,113,1204.9,287.9,164.744,34.034,5.3,0.081,144.7,1184.0,355.0,5.3,34.034,4.841,0.151,0.739,0,74.88,1.141,1.1461,1.0011,217.1,52.152,156286.76,65.625,2381.51
205,4,falling,1477.0,90.418,3,116,1199.7,136.3,110.445,24.216,172.5,0.074,121.1,1199.0,197.0,172.5,24.216,4.561,0.154,0.635,0,51.716,0.7881,0.7916,1.3348,368.7,151.689,454576.98,65.625,6926.89
206,5,falling,2048.0,87.543,3,116,1202.4,139.1,132.214,26.875,172.8,0.074,127.3,1202.0,206.0,172.8,26.875,4.92,0.149,0.698,0,59.609,0.9083,0.9124,1.6685,365.9,3.89,11656.61,65.625,177.62
207,6,falling,2879.5,87.798,3,117,1203.4,247.1,134.054,44.069,5.5,0.105,152.7,1199.0,171.0,5.5,44.069,3.042,0.204,0.682,0,76.861,1.1712,1.1764,2.0022,257.9,108.005,323664.65,65.625,4932.03
208,7,falling,12402.0,16.191,3,98,1265.3,276.9,180.117,141.081,5.8,0.344,182.4,1279.0,187.0,5.8,141.081,1.277,0.487,0.966,0,159.409,2.4291,2.4399,2.3359,228.1,68.7,205876.99,65.625,3137.17
209,8,falling,2538.5,87.07,3,117,1202.6,123.7,141.916,29.631,172.1,0.086,133.7,1203.0,198.0,172.1,29.631,4.789,0.16,0.758,0,64.847,0.9881,0.9926,2.6695,381.3,165.534,496066.97,65.625,7559.12
210,9,falling,3355.0,79.986,3,121,1160.3,420.7,143.774,42.242,29.1,0.064,151.2,1113.0,479.0,29.1,42.242,3.404,0.207,0.694,0,77.931,1.1875,1.1928,3.0032,84.3,299.997,899021.41,65.625,13699.37
212,10,falling,13087.0,18.032,3,97,1257.6,145.3,183.592,131.301,172.4,0.303,182.0,1272.0,235.0,172.4,131.301,1.398,0.494,0.953,0,155.261,2.3659,2.3765,3.6706,359.7,292.083,875304.4,65.625,13337.97
213,11,falling,4105.5,84.249,3,118,1201.2,107.1,181.224,42.625,170.2,0.081,165.9,1200.0,195.0,170.2,42.625,4.252,0.159,0.689,0,87.89,1.3393,1.3453,4.0043,397.9,68.119,204136.78,65.625,3110.66
214,12,falling,1819.0,89.182,3,115,1201.9,150.1,134.461,26.771,174.2,0.07,135.9,1198.0,220.0,174.2,26.771,5.023,0.128,0.64,0,59.997,0.9142,0.9183,4.338,354.9,43.006,128878.03,65.625,1963.86
215,13,falling,1555.5,87.333,3,114,1198.9,116.6,106.163,24.297,171.2,0.082,112.4,1200.0,176.0,171.2,24.297,4.369,0.176,0.689,0,50.788,0.7739,0.7774,4.6717,388.4,33.634,100793.42,65.625,1535.9
216,14,falling,1452.0,88.914,3,114,1205.7,189.0,101.842,24.604,176.1,0.085,106.4,1205.0,241.0,176.1,24.604,4.139,0.178,0.651,0,50.057,0.7628,0.7662,5.0054,316.0,72.719,217920.77,65.625,3320.7
217,15,falling,3739.0,76.063,3,120,1164.6,422.2,153.296,41.886,32.5,0.111,143.6,1116.0,480.0,32.5,41.886,3.66,0.203,0.746,0,80.131,1.221,1.2265,5.3391,82.8,236.794,709616.65,65.625,10813.21
219,16,falling,2593.5,87.293,3,114,1208.3,221.7,137.751,32.669,2.3,0.106,141.2,1193.0,292.0,2.3,32.669,4.217,0.174,0.743,0,67.084,1.0222,1.0268,6.0065,283.3,205.207,614957.66,65.625,9370.78
222,17,falling,2411.5,87.552,3,115,1205.0,144.1,144.755,27.442,173.8,0.078,133.5,1200.0,216.0,173.8,27.442,5.275,0.147,0.758,0,63.027,0.9604,0.9647,7.0076,360.9,77.67,232759.26,65.625,3546.81
223,18,falling,2662.0,84.894,3,116,1200.7,306.5,139.709,31.474,8.3,0.122,132.2,1201.0,237.0,8.3,31.474,4.439,0.174,0.731,0,66.311,1.0105,1.015,7.3412,198.5,162.457,486845.45,65.625,7418.6
224,19,falling,18977.5,15.216,3,88,1259.8,392.0,208.738,185.814,22.5,0.385,204.0,1262.0,496.0,22.5,185.814,1.123,0.555,0.968,0,196.943,3.001,3.0144,7.6749,113.0,103.938,311477.23,65.625,4746.32
227,20,falling,4349.0,84.342,3,118,1198.6,110.0,166.711,47.527,170.2,0.089,168.5,1198.0,199.0,170.2,47.527,3.508,0.199,0.7,0,89.013,1.3564,1.3625,8.676,395.0,288.564,864760.26,65.625,13177.3
228,21,falling,3469.5,85.549,3,115,1207.6,239.7,155.884,39.891,2.6,0.083,159.1,1187.0,320.0,2.6,39.891,3.908,0.182,0.713,0,78.857,1.2016,1.207,9.0097,265.3,130.012,389615.26,65.625,5936.99
229,22,falling,13381.0,19.597,3,99,1258.6,230.3,190.131,130.541,178.6,0.29,192.4,1279.0,134.0,178.6,130.541,1.456,0.471,0.953,0,157.543,2.4007,2.4114,9.3434,274.7,51.859,155409.43,65.625,2368.14
230,23,falling,2495.0,85.597,3,115,1193.6,320.0,138.102,33.232,13.4,0.075,141.4,1165.0,389.0,13.4,33.232,4.156,0.167,0.701,0,67.745,1.0323,1.0369,9.6771,185.0,110.775,331966.66,65.625,5058.54
231,24,falling,1804.5,89.131,3,114,1199.3,133.7,114.044,25.939,174.2,0.09,121.8,1197.0,197.0,174.2,25.939,4.397,0.177,0.699,0,54.389,0.8288,0.8325,10.0108,371.3,186.387,558558.85,65.625,8511.37
232,25,falling,2268.5,90.255,3,117,1202.5,204.3,127.749,35.18,179.7,0.046,149.0,1191.0,279.0,179.7,35.18,3.631,0.177,0.61,0,67.039,1.0215,1.0261,10.3445,300.7,70.672,211788.93,65.625,3227.26
233,26,falling,1299.0,91.508,3,117,1202.2,248.7,101.693,21.413,4.5,0.058,111.3,1193.0,303.0,4.5,21.413,4.749,0.16,0.635,0,46.664,0.7111,0.7142,10.6782,256.3,44.401,133059.47,65.625,2027.57
234,27,falling,14451.0,12.885,3,87,1272.4,351.4,188.745,177.966,11.5,0.532,190.0,1276.0,447.0,11.5,177.966,1.061,0.516,0.985,0,183.276,2.7928,2.8053,11.0119,153.6,124.4,372797.39,65.625,5680.72
235,28,falling,2846.0,86.642,3,113,1207.5,210.0,149.684,32.725,178.6,0.066,142.1,1197.0,281.0,178.6,32.725,4.574,0.162,0.7,0,69.988,1.0665,1.0713,11.3456,295.0,155.583,466244.96,65.625,7104.69
237,29,falling,1498.5,88.774,3,114,1194.0,315.4,123.226,21.636,7.5,0.063,119.5,1182.0,368.0,7.5,21.636,5.695,0.126,0.673,0,51.635,0.7868,0.7903,12.0129,189.6,106.261,318439.54,65.625,4852.41
239,30,falling,1934.0,89.769,3,117,1200.0,222.0,107.994,39.524,2.1,0.041,129.5,1191.0,289.0,2.1,39.524,2.732,0.211,0.582,0,65.333,0.9956,1.0,12.6803,283.0,93.593,280474.93,65.625,4273.9
241,1,spreading,,,,,,505,,,,,,,,,,,0.0,,83,,,1.2704,13.3477,0,,,65.625,
242,2,spreading,,,,,,505,,,,,,,,,,,0.0,,143,,,2.1888,13.6814,0,,,65.625,
243,3,spreading,,,,,,505,,,,,,,,,,,0.0,,178,,,2.7245,14.0151,0,,,65.625,
244,4,spreading,,,,,,505,,,,,,,,,,,0.0,,196,,,3.0,14.3488,0,,,65.625,
245,5,spreading,,,,,,505,,,,,,,,,,,0.0,,205,,,3.1378,14.6825,0,,,65.625,
246,6,spreading,,,,,,505,,,,,,,,,,,0.0,,207,,,3.1684,15.0162,0,,,65.625,
247,7,spreading,,,,,,505,,,,,,,,,,,0.0,,203,,,3.1072,15.3499,0,,,65.625,
248,8,spreading,,,,,,505,,,,,,,,,,,0.0,,191,,,2.9235,15.6836,0,,,65.625,
249,9,spreading,,,,,,505,,,,,,,,,,,0.0,,180,,,2.7551,16.0173,0,,,65.625,
250,10,spreading,,,,,,505,,,,,,,,,,,0.0,,171,,,2.6174,16.351,0,,,65.625,
251,11,spreading,,,,,,505,,,,,,,,,,,0.0,,165,,,2.5255,16.6846,0,,,65.625,
252,12,spreading,,,,,,505,,,,,,,,,,,0.0,,156,,,2.3878,17.0183,0,,,65.625,
253,13,spreading,,,,,,505,,,,,,,,,,,0.0,,147,,,2.25,17.352,0,,,65.625,
254,14,spreading,,,,,,505,,,,,,,,,,,0.0,,140,,,2.1429,17.6857,0,,,65.625,
255,15,spreading,,,,,,505,,,,,,,,,,,0.0,,133,,,2.0357,18.0194,0,,,65.625,
256,16,spreading,,,,,,505,,,,,,,,,,,0.0,,127,,,1.9439,18.3531,0,,,65.625,
257,17,spreading,,,,,,505,,,,,,,,,,,0.0,,119,,,1.8214,18.6868,0,,,65.625,
258,18,spreading,,,,,,505,,,,,,,,,,,0.0,,111,,,1.699,19.0205,0,,,65.625,
259,19,spreading,,,,,,505,,,,,,,,,,,0.0,,106,,,1.6225,19.3542,0,,,65.625,
260,20,spreading,,,,,,505,,,,,,,,,,,0.0,,98,,,1.5,19.6879,0,,,65.625,
261,21,spreading,,,,,,505,,,,,,,,,,,0.0,,90,,,1.3776,20.0216,0,,,65.625,
262,22,spreading,,,,,,505,,,,,,,,,,,0.0,,81,,,1.2398,20.3553,0,,,65.625,
263,23,spreading,,,,,,505,,,,,,,,,,,0.0,,72,,,1.102,20.689,0,,,65.625,
264,24,spreading,,,,,,505,,,,,,,,,,,0.0,,68,,,1.0408,21.0227,0,,,65.625,
265,25,spreading,,,,,,505,,,,,,,,,,,0.0,,64,,,0.9796,21.3564,0,,,65.625,
266,26,spreading,,,,,,505,,,,,,,,,,,0.0,,63,,,0.9643,21.69,0,,,65.625,
267,1,rebounding,1696.5,82.543,3,112,1177.2,55.3,98.683,37.341,163.6,0.057,114.8,1188.0,116.0,163.6,37.341,2.643,0.222,0.596,0,60.704,0.925,0.9291,0.3337,449.7,,,65.625,
268,2,rebounding,2176.5,83.07,3,113,1195.9,101.2,121.883,29.838,174.9,0.107,118.5,1189.0,163.0,174.9,29.838,4.085,0.187,0.764,0,60.305,0.9189,0.923,0.6674,403.8,49.563,148529.01,65.625,2263.3
269,3,rebounding,3403.0,77.065,2,112,1175.2,59.5,116.965,78.09,140.7,0.079,144.9,1189.0,127.0,140.7,78.09,1.498,0.317,0.515,0,95.571,1.4563,1.4628,1.0011,445.5,46.555,139514.85,65.625,2125.94
