frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
16338,1,falling,2725.0,87.014,3,118,1205.3,139.1,145.652,32.25,172.6,0.089,132.0,1201.0,210.0,172.6,32.25,4.516,0.164,0.75,0,68.537,1.0444,1.0611,0.0,339.9,,,65.625,
16341,2,falling,3166.0,88.948,3,123,1204.8,288.0,193.09,32.463,6.6,0.097,151.3,1181.0,351.0,6.6,32.463,5.948,0.108,0.731,0,79.172,1.2064,1.2257,1.0011,191.0,148.901,446221.05,65.625,6799.56
16343,3,falling,12825.5,16.16,3,95,1258.9,139.5,177.022,135.317,171.2,0.428,176.0,1270.0,226.0,171.2,135.317,1.308,0.521,0.965,0,154.771,2.3584,2.3961,1.6685,339.5,158.048,473631.9,65.625,7217.25
16344,4,falling,4747.5,78.658,3,132,1035.6,411.1,111.173,56.241,146.7,0.624,121.8,1066.0,466.0,146.7,56.241,1.977,0.489,0.969,0,79.073,1.2049,1.2242,2.0022,67.9,351.61,1053692.46,65.625,16056.27
16345,5,falling,4596.0,79.613,4,132,1181.6,387.9,165.845,52.213,18.6,0.1,177.1,1192.0,299.0,18.6,52.213,3.176,0.213,0.7,0,93.055,1.418,1.4407,2.3359,91.1,147.832,443017.37,65.625,6750.74
16348,6,falling,2677.5,88.907,3,119,1201.5,123.7,134.15,31.1,173.0,0.077,136.3,1202.0,194.0,173.0,31.1,4.313,0.189,0.762,0,64.592,0.9843,1.0,3.3369,355.3,264.948,793988.46,65.625,12098.87
16352,7,falling,1955.5,90.011,3,117,1204.0,263.7,119.557,27.258,6.4,0.077,123.9,1202.0,200.0,6.4,27.258,4.386,0.174,0.694,0,57.086,0.8699,0.8838,4.6717,215.3,140.022,419614.2,65.625,6394.12
16354,8,falling,3414.0,89.976,3,117,1206.1,215.9,146.288,43.762,1.3,0.074,162.0,1194.0,138.0,1.3,43.762,3.343,0.203,0.704,0,80.012,1.2192,1.2387,5.3391,263.1,47.846,143383.61,65.625,2184.89
16362,9,falling,2675.0,88.289,3,117,1206.9,243.7,137.683,33.16,3.3,0.102,136.6,1202.0,177.0,3.3,33.16,4.152,0.18,0.719,0,67.569,1.0296,1.0461,8.0086,235.3,27.812,83344.6,65.625,1270.01
16367,10,falling,2338.5,91.763,3,121,1198.9,118.4,145.802,28.387,171.0,0.081,143.7,1200.0,198.0,171.0,28.387,5.136,0.14,0.71,0,64.334,0.9803,0.996,9.6771,360.6,125.555,376259.4,65.625,5733.48
16376,1,spreading,,,,,,479,,,,,,,,,,,0.0,,0,,,,12.6803,0,,,65.625,
16377,2,spreading,,,,,,479,,,,,,,,,,,0.0,,123,,,1.9043,13.014,0,,,65.625,
16437,1,rebounding,1896.5,84.341,3,113,1194.9,94.4,107.25,30.171,167.4,0.098,109.9,1201.0,147.0,167.4,30.171,3.555,0.21,0.703,0,56.885,0.8668,0.8807,0.3337,384.6,,,65.625,
16438,2,rebounding,1896.5,84.341,3,113,1194.9,94.4,107.25,30.171,167.4,0.098,109.9,1201.0,147.0,167.4,30.171,3.555,0.21,0.703,0,56.885,0.8668,0.8807,0.6674,384.6,0.0,0.0,65.625,0.0
16439,3,rebounding,1896.5,84.341,3,113,1194.9,94.4,107.25,30.171,167.4,0.098,109.9,1201.0,147.0,167.4,30.171,3.555,0.21,0.703,0,56.885,0.8668,0.8807,1.0011,384.6,0.0,0.0,65.625,0.0
