frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
354,1,falling,2260.5,102.821,3,134,1201.5,83.5,136.861,29.565,167.8,0.119,121.2,1201.0,151.0,167.8,29.565,4.629,0.154,0.736,0,63.611,0.9693,0.7317,0.0,316.5,,,65.625,
356,2,falling,5144.5,101.614,3,139,1215.5,287.1,224.883,44.939,7.0,0.118,172.4,1185.0,364.0,7.0,44.939,5.004,0.13,0.775,0,100.528,1.5319,1.1563,0.6674,112.9,204.081,611582.41,65.625,9319.35
361,3,falling,2238.5,108.581,3,137,1209.8,154.9,121.623,35.525,174.6,0.078,134.5,1204.0,225.0,174.6,35.525,3.424,0.193,0.66,0,65.732,1.0016,0.7561,2.3359,245.1,132.323,396540.61,65.625,6042.52
362,4,falling,3408.0,99.601,3,138,1205.2,93.1,163.293,39.626,168.2,0.13,139.0,1204.0,167.0,168.2,39.626,4.121,0.163,0.754,0,80.44,1.2258,0.9252,2.6695,306.9,61.971,185712.5,65.625,2829.9
364,5,falling,3160.0,105.282,3,138,1217.5,214.4,148.229,37.675,0.9,0.135,136.2,1208.0,146.0,0.9,37.675,3.934,0.183,0.774,0,74.73,1.1387,0.8596,3.3369,185.6,121.922,365371.84,65.625,5567.57
365,6,falling,9974.5,19.636,3,100,1273.7,291.7,158.062,147.115,5.9,0.53,160.0,1278.0,372.0,5.9,147.115,1.074,0.508,0.984,0,152.49,2.3237,1.754,3.6706,108.3,95.571,286402.62,65.625,4364.23
366,7,falling,4782.0,102.357,3,137,1216.9,149.4,212.973,42.327,174.7,0.145,163.6,1204.0,239.0,174.7,42.327,5.032,0.134,0.805,0,94.944,1.4468,1.0921,4.0043,250.6,153.217,459156.36,65.625,6996.67
367,8,falling,2525.0,101.473,3,135,1203.9,89.1,157.836,31.369,169.9,0.166,120.2,1203.0,160.0,169.9,31.369,5.032,0.129,0.8,0,70.364,1.0722,0.8093,4.338,310.9,61.685,184856.77,65.625,2816.87
368,9,falling,4054.5,102.584,3,139,1218.3,179.6,186.379,42.285,178.0,0.183,151.1,1200.0,258.0,178.0,42.285,4.408,0.149,0.767,0,88.775,1.3528,1.0211,4.6717,220.4,91.638,274619.11,65.625,4184.67
369,10,falling,3072.0,102.605,3,139,1207.7,97.9,165.343,35.32,171.4,0.128,136.8,1204.0,178.0,171.4,35.32,4.681,0.143,0.766,0,76.42,1.1645,0.879,5.0054,302.1,82.385,246887.91,65.625,3762.1
370,11,falling,2122.0,104.991,3,135,1213.2,222.5,125.146,30.04,0.5,0.118,113.0,1202.0,278.0,0.5,30.04,4.166,0.173,0.778,0,61.314,0.9343,0.7053,5.3391,177.5,124.721,373760.7,65.625,5695.4
371,12,falling,1688.0,102.264,3,134,1200.2,82.6,121.368,26.265,168.5,0.097,105.8,1202.0,143.0,168.5,26.265,4.621,0.146,0.711,0,56.46,0.8603,0.6494,5.6728,317.4,140.503,421053.8,65.625,6416.06
372,13,falling,2680.5,98.468,3,136,1210.5,308.9,139.407,33.66,9.8,0.171,115.0,1211.0,245.0,9.8,33.66,4.142,0.176,0.806,0,68.501,1.0438,0.7879,6.0065,91.1,226.534,678870.34,65.625,10344.69
373,14,falling,2255.0,105.842,3,134,1204.9,97.7,150.665,28.47,171.3,0.139,123.6,1204.0,168.0,171.3,28.47,5.292,0.126,0.765,0,65.494,0.998,0.7533,6.3402,302.3,211.274,633139.53,65.625,9647.84
376,15,falling,3166.5,106.899,3,140,1209.8,123.5,165.863,32.832,171.6,0.103,149.3,1207.0,210.0,171.6,32.832,5.052,0.147,0.771,0,73.794,1.1245,0.8488,7.3412,276.5,26.261,78698.65,65.625,1199.22
377,16,falling,3262.5,106.301,3,137,1217.5,239.8,178.81,33.695,2.0,0.105,143.2,1200.0,306.0,2.0,33.695,5.307,0.13,0.754,0,77.621,1.1828,0.8928,7.6749,160.2,116.555,349286.99,65.625,5322.47
378,17,falling,4334.5,104.217,3,139,1213.8,275.5,188.1,40.334,5.5,0.137,164.9,1206.0,190.0,5.5,40.334,4.664,0.156,0.78,0,87.102,1.3273,1.0019,8.0086,124.5,35.891,107557.62,65.625,1638.97
379,18,falling,3847.5,93.135,3,132,1204.8,336.0,148.691,44.045,14.1,0.123,134.9,1167.0,393.0,14.1,44.045,3.376,0.222,0.782,0,80.926,1.2332,0.9308,8.3423,64.0,61.166,183299.5,65.625,2793.14
380,19,falling,3161.5,105.693,3,138,1207.8,299.1,161.452,35.809,8.4,0.092,143.0,1183.0,363.0,8.4,35.809,4.509,0.154,0.756,0,76.035,1.1586,0.8746,8.676,100.9,37.022,110945.54,65.625,1690.6
382,20,falling,3170.0,97.102,3,136,1198.2,66.9,143.222,38.603,165.4,0.131,126.0,1200.0,135.0,165.4,38.603,3.71,0.197,0.79,0,74.355,1.133,0.8553,9.3434,333.1,232.398,696443.63,65.625,10612.47
383,21,falling,5445.0,52.443,1,160,628.2,108.0,86.322,80.477,165.0,0.819,87.5,634.0,151.0,165.0,80.477,1.073,0.93,0.98,0,83.348,1.2701,0.9587,9.6771,292.0,571.48,1712591.64,65.625,26096.63
385,22,falling,5109.5,98.46,3,137,1221.9,224.1,206.798,46.114,0.8,0.2,154.1,1204.0,146.0,0.8,46.114,4.484,0.152,0.874,0,97.654,1.4881,1.1232,10.3445,175.9,604.945,1812880.01,65.625,27624.84
387,23,falling,5486.5,46.234,1,146,629.3,199.7,87.207,80.493,2.7,0.815,88.5,639.0,157.0,2.7,80.493,1.083,0.919,0.982,0,83.783,1.2767,0.9637,11.0119,200.3,593.102,1777388.55,65.625,27084.02
390,24,falling,5662.0,10.062,3,69,1267.8,330.0,106.952,106.572,0.0,0.759,108.0,1268.0,384.0,0.0,106.572,1.004,0.63,0.99,0,106.762,1.6268,1.228,12.0129,70.0,651.66,1952871.89,65.625,29758.05
391,25,falling,5928.5,50.727,1,132,629.1,294.3,90.484,83.532,24.3,0.838,90.9,653.0,256.0,24.3,83.532,1.083,0.922,0.985,0,86.939,1.3248,1.0,12.3466,105.7,639.697,1917022.36,65.625,29211.77
394,1,spreading,,,,,,400,,,,,,,,,,,0.0,,95,,,1.0927,13.3477,0,,,65.625,
395,2,spreading,,,,,,400,,,,,,,,,,,0.0,,128,,,1.4723,13.6814,0,,,65.625,
396,3,spreading,,,,,,400,,,,,,,,,,,0.0,,156,,,1.7944,14.0151,0,,,65.625,
397,4,spreading,,,,,,400,,,,,,,,,,,0.0,,168,,,1.9324,14.3488,0,,,65.625,
398,5,spreading,,,,,,400,,,,,,,,,,,0.0,,171,,,1.9669,14.6825,0,,,65.625,
399,6,spreading,,,,,,400,,,,,,,,,,,0.0,,165,,,1.8979,15.0162,0,,,65.625,
400,7,spreading,,,,,,400,,,,,,,,,,,0.0,,154,,,1.7714,15.3499,0,,,65.625,
401,8,spreading,,,,,,400,,,,,,,,,,,0.0,,144,,,1.6563,15.6836,0,,,65.625,
402,9,spreading,,,,,,400,,,,,,,,,,,0.0,,134,,,1.5413,16.0173,0,,,65.625,
403,10,spreading,,,,,,400,,,,,,,,,,,0.0,,123,,,1.4148,16.351,0,,,65.625,
404,11,spreading,,,,,,400,,,,,,,,,,,0.0,,113,,,1.2998,16.6846,0,,,65.625,
405,12,spreading,,,,,,400,,,,,,,,,,,0.0,,106,,,1.2192,17.0183,0,,,65.625,
406,13,spreading,,,,,,400,,,,,,,,,,,0.0,,100,,,1.1502,17.352,0,,,65.625,
407,14,spreading,,,,,,400,,,,,,,,,,,0.0,,98,,,1.1272,17.6857,0,,,65.625,
408,1,rebounding,5275.0,103.514,3,138,1215.3,142.9,230.687,43.189,174.9,0.117,175.3,1207.0,236.0,174.9,43.189,5.341,0.126,0.793,0,99.815,1.521,1.1481,0.3337,257.1,,,65.625,
409,2,rebounding,1938.0,90.301,3,129,1202.1,81.9,99.295,31.819,169.1,0.168,87.6,1202.0,126.0,169.1,31.819,3.121,0.25,0.826,0,56.209,0.8565,0.6465,0.6674,318.1,62.412,187033.76,65.625,2850.04
410,3,rebounding,1396.5,94.572,3,132,1203.7,104.7,79.91,26.953,172.6,0.175,80.9,1201.0,147.0,172.6,26.953,2.965,0.278,0.772,0,46.41,0.7072,0.5338,1.0011,295.3,22.856,68494.31,65.625,1043.72
411,4,rebounding,9465.0,15.373,3,90,1273.1,92.0,148.713,147.307,179.6,0.717,150.0,1274.0,167.0,179.6,147.307,1.01,0.545,0.992,0,148.008,2.2554,1.7024,1.3348,308.0,70.552,211429.26,65.625,3221.78
412,5,rebounding,4354.5,98.853,3,134,1202.8,70.5,174.21,43.272,166.2,0.171,150.4,1204.0,153.0,166.2,43.272,4.026,0.183,0.819,0,86.824,1.323,0.9987,1.6685,329.5,73.514,220304.94,65.625,3357.03
