frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
1142,1,falling,4131.0,103.106,3,138,1220.7,232.8,202.757,38.369,1.5,0.124,149.3,1200.0,305.0,1.5,38.369,5.284,0.128,0.806,0,88.202,1.344,0.9776,0.0,200.2,,,65.625,
1143,2,falling,7655.0,88.08,2,142,1147.6,358.2,161.053,110.447,30.8,0.217,171.7,1206.0,293.0,30.8,110.447,1.458,0.376,0.649,0,133.371,2.0323,1.4782,0.3337,74.8,145.151,434983.21,65.625,6628.32
1150,3,falling,7090.5,94.658,1,139,1149.1,336.1,176.393,113.891,28.3,0.116,189.2,1208.0,263.0,28.3,113.891,1.549,0.29,0.535,0,141.738,2.1598,1.571,2.6695,96.9,22.151,66380.91,65.625,1011.52
1157,4,falling,1584.0,103.836,2,136,1205.1,313.6,109.405,24.486,6.0,0.092,116.3,1193.0,367.0,6.0,24.486,4.468,0.168,0.682,0,51.758,0.7887,0.5737,5.0054,119.4,60.351,180858.02,65.625,2755.93
1159,5,falling,7056.5,90.851,2,137,1166.8,310.5,162.838,136.708,49.3,0.128,180.0,1214.0,228.0,49.3,136.708,1.191,0.339,0.507,0,149.202,2.2736,1.6537,5.6728,122.5,38.425,115151.51,65.625,1754.69
1162,6,falling,3567.0,109.273,3,143,1217.1,176.2,193.822,35.41,178.2,0.109,157.1,1202.0,257.0,178.2,35.41,5.474,0.121,0.753,0,82.845,1.2624,0.9182,6.6739,256.8,143.411,429767.87,65.625,6548.84
1163,7,falling,4401.0,105.623,3,142,1220.5,216.3,195.193,41.703,0.2,0.167,161.0,1201.0,297.0,0.2,41.703,4.681,0.147,0.803,0,90.223,1.3748,1.0,7.0076,216.7,40.244,120601.52,65.625,1837.74
1165,8,falling,3500.5,109.797,3,143,1217.0,260.1,194.521,32.499,3.4,0.118,153.3,1197.0,333.0,3.4,32.499,5.985,0.118,0.829,0,79.51,1.2116,0.8813,7.6749,172.9,43.94,131676.77,65.625,2006.5
1167,9,falling,7995.5,87.453,2,139,1151.3,343.4,170.938,118.63,24.0,0.171,175.8,1206.0,276.0,24.0,118.63,1.441,0.348,0.604,0,142.402,2.1699,1.5783,8.3423,89.6,106.091,317931.08,65.625,4844.66
1169,10,falling,9640.5,89.126,2,142,1151.9,342.9,182.615,125.584,25.9,0.176,194.0,1071.0,402.0,25.9,125.584,1.454,0.368,0.601,0,151.438,2.3076,1.6785,9.0097,90.1,0.781,2340.55,65.625,35.67
1179,11,falling,3890.5,105.002,3,143,1220.4,219.3,211.009,35.353,0.8,0.138,151.1,1201.0,293.0,0.8,35.353,5.969,0.111,0.825,0,86.37,1.3161,0.9573,12.3466,213.7,141.312,423480.43,65.625,6453.04
1182,1,spreading,,,,,,433,,,,,,,,,,,0.0,,40,,,0.4433,13.3477,0,,,65.625,
1183,2,spreading,,,,,,433,,,,,,,,,,,0.0,,34,,,0.3768,13.6814,0,,,65.625,
1184,3,spreading,,,,,,433,,,,,,,,,,,0.0,,32,,,0.3547,14.0151,0,,,65.625,
1185,4,spreading,,,,,,433,,,,,,,,,,,0.0,,32,,,0.3547,14.3488,0,,,65.625,
1186,5,spreading,,,,,,433,,,,,,,,,,,0.0,,34,,,0.3768,14.6825,0,,,65.625,
1187,6,spreading,,,,,,433,,,,,,,,,,,0.0,,38,,,0.4212,15.0162,0,,,65.625,
1188,7,spreading,,,,,,433,,,,,,,,,,,0.0,,44,,,0.4877,15.3499,0,,,65.625,
1189,8,spreading,,,,,,433,,,,,,,,,,,0.0,,44,,,0.4877,15.6836,0,,,65.625,
1190,9,spreading,,,,,,433,,,,,,,,,,,0.0,,35,,,0.3879,16.0173,0,,,65.625,
1191,10,spreading,,,,,,433,,,,,,,,,,,0.0,,35,,,0.3879,16.351,0,,,65.625,
1192,11,spreading,,,,,,433,,,,,,,,,,,0.0,,35,,,0.3879,16.6846,0,,,65.625,
1193,12,spreading,,,,,,433,,,,,,,,,,,0.0,,35,,,0.3879,17.0183,0,,,65.625,
1194,13,spreading,,,,,,433,,,,,,,,,,,0.0,,41,,,0.4544,17.352,0,,,65.625,
1195,1,rebounding,1024.5,98.19,3,138,1214.5,207.2,77.215,21.9,179.5,0.112,72.1,1210.0,243.0,179.5,21.9,3.526,0.219,0.744,0,41.122,0.6266,0.4558,0.3337,225.8,,,65.625,
1196,2,rebounding,1643.5,88.18,2,128,1203.9,344.4,101.361,27.846,9.9,0.173,86.3,1185.0,382.0,9.9,27.846,3.64,0.204,0.822,0,53.127,0.8096,0.5888,0.6674,88.6,137.609,412381.64,65.625,6283.91
1197,3,rebounding,5063.5,100.972,3,142,1223.6,236.3,247.208,42.798,1.0,0.129,162.0,1200.0,316.0,1.0,42.798,5.776,0.105,0.829,0,102.859,1.5674,1.1401,1.0011,196.7,109.88,329285.87,65.625,5017.69
1198,4,rebounding,4045.0,100.002,3,137,1215.7,296.6,184.137,40.366,6.4,0.171,140.3,1211.0,222.0,6.4,40.366,4.562,0.152,0.822,0,86.214,1.3137,0.9556,1.3348,136.4,60.815,182249.24,65.625,2777.13
1199,5,rebounding,1211.0,101.345,2,135,1203.9,323.7,93.318,22.767,10.0,0.103,97.0,1188.0,372.0,10.0,22.767,4.099,0.177,0.675,0,46.093,0.7024,0.5109,1.6685,109.3,29.558,88577.14,65.625,1349.75
1200,6,rebounding,3895.0,102.46,3,138,1207.1,85.3,183.232,38.98,168.1,0.16,152.6,1208.0,170.0,168.1,38.98,4.701,0.148,0.794,0,84.513,1.2878,0.9367,2.0022,347.7,238.421,714493.49,65.625,10887.52
