frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
59,1,falling,4714.0,100.55,3,137,1217.0,274.2,199.251,44.152,6.1,0.136,158.1,1188.0,347.0,6.1,44.152,4.513,0.151,0.798,0,93.795,1.4293,1.0727,0.0,124.8,,,65.625,
60,2,falling,4975.5,104.862,3,137,1215.7,258.3,216.676,43.763,3.8,0.113,178.2,1192.0,338.0,3.8,43.763,4.951,0.135,0.748,0,97.377,1.4838,1.1137,0.3337,140.7,15.953,47807.58,65.625,728.5
61,3,falling,4365.5,102.9,3,136,1213.0,279.8,186.038,42.528,7.3,0.127,158.4,1207.0,196.0,7.3,42.528,4.374,0.161,0.775,0,88.949,1.3554,1.0173,0.6674,119.2,21.669,64936.55,65.625,989.51
63,4,falling,3752.5,102.875,3,136,1218.3,171.8,182.946,37.671,177.6,0.126,140.1,1207.0,246.0,177.6,37.671,4.856,0.143,0.816,0,83.016,1.265,0.9494,1.3348,227.2,108.13,324040.26,65.625,4937.76
64,5,falling,5175.0,101.685,3,137,1209.6,106.6,192.034,49.001,169.3,0.112,176.1,1206.0,199.0,169.3,49.001,3.919,0.179,0.731,0,97.004,1.4782,1.1094,1.6685,292.4,65.778,197120.96,65.625,3003.75
66,6,falling,4425.0,105.069,3,138,1218.2,228.7,214.797,39.548,0.9,0.18,164.0,1201.0,310.0,0.9,39.548,5.431,0.122,0.781,0,92.167,1.4044,1.0541,2.3359,170.3,122.402,366811.69,65.625,5589.51
67,7,falling,3844.5,103.52,3,138,1219.4,206.2,191.226,38.854,0.4,0.116,151.0,1202.0,279.0,0.4,38.854,4.922,0.134,0.768,0,86.197,1.3135,0.9858,2.6695,192.8,22.532,67523.07,65.625,1028.92
68,8,falling,4688.5,104.137,3,136,1218.6,185.8,234.213,40.602,177.8,0.109,169.4,1204.0,271.0,177.8,40.602,5.769,0.109,0.78,0,97.516,1.486,1.1153,3.0032,213.2,20.416,61181.03,65.625,932.28
73,9,falling,4706.5,102.797,3,136,1213.3,281.9,217.985,42.6,6.0,0.127,169.8,1202.0,190.0,6.0,42.6,5.117,0.126,0.738,0,96.365,1.4684,1.1021,4.6717,117.1,96.246,288426.9,65.625,4395.08
74,10,falling,2512.0,108.244,3,136,1213.2,163.6,166.905,29.339,175.8,0.104,135.2,1204.0,234.0,175.8,29.339,5.689,0.115,0.727,0,69.977,1.0663,0.8003,5.0054,235.4,118.3,354517.6,65.625,5402.17
75,11,falling,4314.0,100.494,3,136,1218.7,253.6,206.577,41.596,3.5,0.132,150.5,1205.0,176.0,3.5,41.596,4.966,0.129,0.791,0,92.697,1.4125,1.0602,5.3391,145.4,90.168,270212.14,65.625,4117.52
77,12,falling,2631.0,108.656,3,137,1211.8,158.2,150.144,31.025,174.3,0.156,131.4,1211.0,225.0,174.3,31.025,4.839,0.149,0.76,0,68.251,1.04,0.7806,6.0065,240.8,95.649,286638.33,65.625,4367.82
78,13,falling,3827.5,104.318,3,134,1216.4,159.7,199.832,37.164,176.0,0.186,150.5,1204.0,246.0,176.0,37.164,5.377,0.122,0.794,0,86.178,1.3132,0.9856,6.3402,239.3,4.838,14499.52,65.625,220.95
79,14,falling,3622.0,106.14,3,138,1217.5,194.5,174.7,36.956,179.0,0.091,148.0,1207.0,267.0,179.0,36.956,4.727,0.151,0.758,0,80.35,1.2244,0.9189,6.6739,204.5,34.817,104339.56,65.625,1589.94
82,15,falling,2363.5,107.667,3,137,1213.0,235.1,137.507,30.405,1.3,0.088,129.0,1201.0,168.0,1.3,30.405,4.522,0.159,0.701,0,64.66,0.9853,0.7395,7.6749,163.9,40.849,122413.78,65.625,1865.35
84,16,falling,3985.5,103.773,3,139,1216.4,245.5,204.891,38.553,3.6,0.137,157.5,1188.0,317.0,3.6,38.553,5.315,0.121,0.737,0,88.877,1.3543,1.0165,8.3423,153.5,10.942,32789.61,65.625,499.65
88,17,falling,3656.0,104.988,3,137,1216.0,199.8,183.24,37.401,179.3,0.109,147.0,1202.0,275.0,179.3,37.401,4.899,0.139,0.776,0,82.785,1.2615,0.9468,9.6771,199.2,45.702,136957.47,65.625,2086.97
91,18,falling,3882.0,102.179,3,138,1209.0,305.5,195.375,39.132,8.4,0.131,151.3,1179.0,370.0,8.4,39.132,4.993,0.129,0.77,0,87.437,1.3324,1.0,10.6782,93.5,105.932,317452.07,65.625,4837.36
92,19,falling,4200.0,105.008,3,137,1212.1,288.8,204.266,38.13,6.7,0.138,159.0,1185.0,360.0,6.7,38.13,5.357,0.128,0.785,0,88.253,1.3448,1.0093,11.0119,110.2,16.985,50900.94,65.625,775.63
93,20,falling,4158.5,104.795,3,137,1217.6,193.8,205.514,37.445,179.0,0.171,156.0,1200.0,272.0,179.0,37.445,5.488,0.125,0.847,0,87.724,1.3367,1.0033,11.3456,205.2,95.159,285169.53,65.625,4345.44
95,21,falling,4103.0,98.251,3,136,1215.0,292.9,183.15,41.141,8.0,0.186,140.9,1208.0,216.0,8.0,41.141,4.452,0.156,0.837,0,86.804,1.3227,0.9928,12.0129,106.1,99.134,297081.75,65.625,4526.96
99,1,spreading,,,,,,399,,,,,,,,,,,0.0,,118,,,1.3495,13.3477,0,,,65.625,
100,2,spreading,,,,,,399,,,,,,,,,,,0.0,,164,,,1.8756,13.6814,0,,,65.625,
101,3,spreading,,,,,,399,,,,,,,,,,,0.0,,197,,,2.2531,14.0151,0,,,65.625,
102,4,spreading,,,,,,399,,,,,,,,,,,0.0,,216,,,2.4704,14.3488,0,,,65.625,
103,5,spreading,,,,,,399,,,,,,,,,,,0.0,,226,,,2.5847,14.6825,0,,,65.625,
104,6,spreading,,,,,,399,,,,,,,,,,,0.0,,229,,,2.619,15.0162,0,,,65.625,
105,7,spreading,,,,,,399,,,,,,,,,,,0.0,,226,,,2.5847,15.3499,0,,,65.625,
106,8,spreading,,,,,,399,,,,,,,,,,,0.0,,218,,,2.4932,15.6836,0,,,65.625,
107,9,spreading,,,,,,399,,,,,,,,,,,0.0,,205,,,2.3445,16.0173,0,,,65.625,
108,10,spreading,,,,,,399,,,,,,,,,,,0.0,,190,,,2.173,16.351,0,,,65.625,
109,11,spreading,,,,,,399,,,,,,,,,,,0.0,,175,,,2.0014,16.6846,0,,,65.625,
110,12,spreading,,,,,,399,,,,,,,,,,,0.0,,163,,,1.8642,17.0183,0,,,65.625,
111,13,spreading,,,,,,399,,,,,,,,,,,0.0,,148,,,1.6926,17.352,0,,,65.625,
112,14,spreading,,,,,,399,,,,,,,,,,,0.0,,133,,,1.5211,17.6857,0,,,65.625,
113,15,spreading,,,,,,399,,,,,,,,,,,0.0,,124,,,1.4182,18.0194,0,,,65.625,
114,16,spreading,,,,,,399,,,,,,,,,,,0.0,,115,,,1.3152,18.3531,0,,,65.625,
115,1,rebounding,3579.0,97.535,2,134,1189.4,62.7,130.858,68.739,145.2,0.1,151.7,1200.0,136.0,145.2,68.739,1.904,0.266,0.527,0,94.843,1.4452,1.0847,0.3337,336.3,,,65.625,
