frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
205,1,falling,2798.5,101.895,3,137,1209.9,308.5,140.675,35.501,7.2,0.103,129.8,1190.0,369.0,7.2,35.501,3.963,0.18,0.754,0,70.669,1.0769,0.6565,0.0,118.5,,,65.625,
206,2,falling,4349.5,103.494,3,138,1221.1,180.9,244.465,38.432,177.6,0.101,163.1,1203.0,262.0,177.6,38.432,6.361,0.093,0.774,0,96.93,1.477,0.9005,0.3337,246.1,128.091,383857.6,65.625,5849.26
209,3,falling,5392.0,101.645,3,137,1217.6,122.4,274.889,43.673,172.9,0.137,173.5,1208.0,220.0,172.9,43.673,6.294,0.091,0.809,0,109.569,1.6696,1.0179,1.3348,304.6,58.605,175624.32,65.625,2676.18
210,4,falling,5560.0,98.672,3,136,1214.0,101.4,218.365,47.954,172.3,0.147,170.7,1204.0,197.0,172.3,47.954,4.554,0.148,0.796,0,102.33,1.5593,0.9507,1.6685,325.6,21.306,63850.12,65.625,972.95
211,5,falling,4360.5,101.15,3,137,1212.2,107.6,191.298,40.963,171.5,0.096,157.7,1206.0,193.0,171.5,40.963,4.67,0.152,0.784,0,88.522,1.3489,0.8224,2.0022,319.4,6.456,19347.14,65.625,294.81
212,6,falling,4439.0,101.467,3,137,1218.6,134.2,186.454,41.075,171.8,0.146,156.6,1210.0,223.0,171.8,41.075,4.539,0.163,0.807,0,87.513,1.3335,0.813,2.3359,292.8,27.359,81988.81,65.625,1249.35
214,7,falling,3791.0,102.371,3,137,1221.6,208.6,271.36,35.887,0.5,0.097,144.0,1203.0,282.0,0.5,35.887,7.562,0.066,0.805,0,98.682,1.5037,0.9168,3.0032,218.4,74.46,223140.61,65.625,3400.24
215,8,falling,3353.5,99.922,3,139,1220.1,240.4,164.198,37.951,1.7,0.187,130.1,1202.0,304.0,1.7,37.951,4.327,0.158,0.807,0,78.94,1.2029,0.7334,3.3369,186.6,31.835,95403.13,65.625,1453.76
216,9,falling,4123.0,103.797,3,139,1220.4,218.4,220.006,38.329,1.1,0.124,154.1,1200.0,292.0,1.1,38.329,5.74,0.108,0.805,0,91.829,1.3993,0.8531,3.6706,208.6,22.002,65934.99,65.625,1004.72
217,10,falling,4222.0,98.902,3,140,1214.0,311.5,173.687,42.689,7.8,0.146,145.4,1208.0,232.0,7.8,42.689,4.069,0.178,0.806,0,86.107,1.3121,0.8,4.0043,115.5,93.32,279657.41,65.625,4261.45
221,11,falling,2625.5,105.115,3,135,1030.3,307.8,350.898,306.937,89.1,0.076,151.4,1146.0,417.0,89.1,306.937,1.143,0.027,0.551,0,328.182,5.0009,3.0489,5.3391,119.2,183.737,550617.66,65.625,8390.36
222,12,falling,4420.5,104.404,3,139,1220.7,217.6,229.747,38.696,1.1,0.095,163.0,1200.0,296.0,1.1,38.696,5.937,0.107,0.772,0,94.288,1.4368,0.876,5.6728,209.4,210.685,631373.97,65.625,9620.94
224,13,falling,2976.5,102.002,3,139,1219.1,187.6,159.686,33.988,179.2,0.157,125.2,1208.0,251.0,179.2,33.988,4.698,0.149,0.793,0,73.671,1.1226,0.6844,6.3402,239.4,30.043,90030.77,65.625,1371.9
226,14,falling,4435.5,104.6,3,145,1221.1,191.3,228.83,38.61,179.8,0.117,160.0,1204.0,271.0,179.8,38.61,5.927,0.108,0.822,0,93.996,1.4323,0.8733,7.0076,235.7,4.206,12604.24,65.625,192.06
227,15,falling,4192.5,103.542,3,137,1217.3,270.6,195.896,39.13,5.9,0.147,156.8,1194.0,346.0,5.9,39.13,5.006,0.139,0.767,0,87.553,1.3341,0.8134,7.3412,156.4,79.391,237916.27,65.625,3625.39
228,16,falling,2756.0,106.912,3,139,1218.3,219.6,151.537,31.962,179.9,0.103,132.0,1204.0,286.0,179.9,31.962,4.741,0.153,0.772,0,69.595,1.0605,0.6466,7.6749,207.4,51.01,152864.47,65.625,2329.36
229,17,falling,4098.0,100.981,3,137,1220.9,230.9,217.453,38.891,1.1,0.11,144.0,1204.0,157.0,1.1,38.891,5.591,0.11,0.797,0,91.962,1.4013,0.8544,8.0086,196.1,11.595,34748.28,65.625,529.5
230,18,falling,4462.5,103.792,3,139,1220.8,195.9,244.486,39.711,179.6,0.117,161.0,1201.0,278.0,179.6,39.711,6.157,0.095,0.772,0,98.533,1.5015,0.9154,8.3423,231.1,35.0,104887.26,65.625,1598.28
231,19,falling,5015.5,103.797,3,138,1221.6,211.1,261.656,41.105,0.7,0.135,169.0,1201.0,295.0,0.7,41.105,6.366,0.093,0.821,0,103.708,1.5803,0.9635,8.676,215.9,15.221,45613.9,65.625,695.07
233,20,falling,3222.0,101.493,3,140,1204.2,83.5,151.839,38.263,166.6,0.145,134.9,1206.0,156.0,166.6,38.263,3.968,0.178,0.776,0,76.222,1.1615,0.7081,9.3434,343.5,128.781,385926.28,65.625,5880.78
234,21,falling,5207.5,100.216,3,139,1218.1,269.1,227.315,45.249,5.0,0.153,160.9,1206.0,186.0,5.0,45.249,5.024,0.128,0.818,0,101.419,1.5454,0.9422,9.6771,157.9,186.12,557757.5,65.625,8499.16
237,22,falling,6239.5,95.295,3,136,1205.7,328.5,169.305,68.434,16.2,0.127,174.3,1206.0,238.0,16.2,68.434,2.474,0.277,0.716,0,107.639,1.6402,1.0,10.6782,98.5,60.68,181845.21,65.625,2770.97
240,23,falling,5538.0,100.313,3,136,1215.6,129.1,252.918,46.25,172.5,0.146,170.6,1204.0,221.0,172.5,46.25,5.469,0.11,0.795,0,108.154,1.6481,1.0048,11.6793,297.9,199.646,598291.28,65.625,9116.82
241,24,falling,5653.5,99.871,3,138,1188.0,328.3,152.802,98.138,22.6,0.101,182.8,1204.0,237.0,22.6,98.138,1.557,0.308,0.654,0,122.457,1.866,1.1377,12.0129,98.7,201.103,602658.61,65.625,9183.37
242,25,falling,4093.5,97.503,3,142,1218.4,159.9,178.228,42.941,175.1,0.143,137.7,1204.0,230.0,175.1,42.941,4.151,0.164,0.809,0,87.483,1.3331,0.8127,12.3466,267.1,171.122,512812.51,65.625,7814.29
243,26,falling,4272.5,100.582,3,136,1216.6,256.0,199.068,41.814,3.7,0.141,145.4,1202.0,179.0,3.7,41.814,4.761,0.137,0.797,0,91.235,1.3902,0.8476,12.6803,171.0,96.117,288039.77,65.625,4389.18
245,1,spreading,,,,,,427,,,,,,,,,,,0.0,,90,,,0.8361,13.3477,0,,,65.625,
246,2,spreading,,,,,,427,,,,,,,,,,,0.0,,126,,,1.1706,13.6814,0,,,65.625,
247,3,spreading,,,,,,427,,,,,,,,,,,0.0,,182,,,1.6908,14.0151,0,,,65.625,
248,4,spreading,,,,,,427,,,,,,,,,,,0.0,,218,,,2.0253,14.3488,0,,,65.625,
249,5,spreading,,,,,,427,,,,,,,,,,,0.0,,243,,,2.2575,14.6825,0,,,65.625,
250,6,spreading,,,,,,427,,,,,,,,,,,0.0,,262,,,2.4341,15.0162,0,,,65.625,
251,7,spreading,,,,,,427,,,,,,,,,,,0.0,,270,,,2.5084,15.3499,0,,,65.625,
252,8,spreading,,,,,,427,,,,,,,,,,,0.0,,272,,,2.527,15.6836,0,,,65.625,
253,9,spreading,,,,,,427,,,,,,,,,,,0.0,,265,,,2.4619,16.0173,0,,,65.625,
254,10,spreading,,,,,,427,,,,,,,,,,,0.0,,257,,,2.3876,16.351,0,,,65.625,
255,11,spreading,,,,,,427,,,,,,,,,,,0.0,,244,,,2.2668,16.6846,0,,,65.625,
256,12,spreading,,,,,,427,,,,,,,,,,,0.0,,230,,,2.1368,17.0183,0,,,65.625,
257,13,spreading,,,,,,427,,,,,,,,,,,0.0,,210,,,1.951,17.352,0,,,65.625,
258,14,spreading,,,,,,427,,,,,,,,,,,0.0,,192,,,1.7837,17.6857,0,,,65.625,
259,15,spreading,,,,,,427,,,,,,,,,,,0.0,,180,,,1.6723,18.0194,0,,,65.625,
260,16,spreading,,,,,,427,,,,,,,,,,,0.0,,176,,,1.6351,18.3531,0,,,65.625,
261,17,spreading,,,,,,427,,,,,,,,,,,0.0,,177,,,1.6444,18.6868,0,,,65.625,
262,18,spreading,,,,,,427,,,,,,,,,,,0.0,,174,,,1.6165,19.0205,0,,,65.625,
263,19,spreading,,,,,,427,,,,,,,,,,,0.0,,173,,,1.6072,19.3542,0,,,65.625,
264,20,spreading,,,,,,427,,,,,,,,,,,0.0,,171,,,1.5886,19.6879,0,,,65.625,
265,21,spreading,,,,,,427,,,,,,,,,,,0.0,,172,,,1.5979,20.0216,0,,,65.625,
266,22,spreading,,,,,,427,,,,,,,,,,,0.0,,168,,,1.5608,20.3553,0,,,65.625,
267,23,spreading,,,,,,427,,,,,,,,,,,0.0,,168,,,1.5608,20.689,0,,,65.625,
268,24,spreading,,,,,,427,,,,,,,,,,,0.0,,167,,,1.5515,21.0227,0,,,65.625,
269,25,spreading,,,,,,427,,,,,,,,,,,0.0,,167,,,1.5515,21.3564,0,,,65.625,
270,26,spreading,,,,,,427,,,,,,,,,,,0.0,,169,,,1.5701,21.69,0,,,65.625,
271,27,spreading,,,,,,427,,,,,,,,,,,0.0,,164,,,1.5236,22.0237,0,,,65.625,
272,28,spreading,,,,,,427,,,,,,,,,,,0.0,,158,,,1.4679,22.3574,0,,,65.625,
273,29,spreading,,,,,,427,,,,,,,,,,,0.0,,153,,,1.4214,22.6911,0,,,65.625,
274,30,spreading,,,,,,427,,,,,,,,,,,0.0,,155,,,1.44,23.0248,0,,,65.625,
275,31,spreading,,,,,,427,,,,,,,,,,,0.0,,160,,,1.4865,23.3585,0,,,65.625,
276,32,spreading,,,,,,427,,,,,,,,,,,0.0,,168,,,1.5608,23.6922,0,,,65.625,
277,33,spreading,,,,,,427,,,,,,,,,,,0.0,,172,,,1.5979,24.0259,0,,,65.625,
278,34,spreading,,,,,,427,,,,,,,,,,,0.0,,174,,,1.6165,24.3596,0,,,65.625,
279,35,spreading,,,,,,427,,,,,,,,,,,0.0,,175,,,1.6258,24.6933,0,,,65.625,
280,36,spreading,,,,,,427,,,,,,,,,,,0.0,,175,,,1.6258,25.027,0,,,65.625,
281,37,spreading,,,,,,427,,,,,,,,,,,0.0,,175,,,1.6258,25.3607,0,,,65.625,
282,38,spreading,,,,,,427,,,,,,,,,,,0.0,,178,,,1.6537,25.6944,0,,,65.625,
283,39,spreading,,,,,,427,,,,,,,,,,,0.0,,178,,,1.6537,26.0281,0,,,65.625,
284,40,spreading,,,,,,427,,,,,,,,,,,0.0,,182,,,1.6908,26.3617,0,,,65.625,
285,41,spreading,,,,,,427,,,,,,,,,,,0.0,,184,,,1.7094,26.6954,0,,,65.625,
286,42,spreading,,,,,,427,,,,,,,,,,,0.0,,183,,,1.7001,27.0291,0,,,65.625,
287,43,spreading,,,,,,427,,,,,,,,,,,0.0,,182,,,1.6908,27.3628,0,,,65.625,
288,44,spreading,,,,,,427,,,,,,,,,,,0.0,,180,,,1.6723,27.6965,0,,,65.625,
289,45,spreading,,,,,,427,,,,,,,,,,,0.0,,178,,,1.6537,28.0302,0,,,65.625,
290,46,spreading,,,,,,427,,,,,,,,,,,0.0,,175,,,1.6258,28.3639,0,,,65.625,
291,47,spreading,,,,,,427,,,,,,,,,,,0.0,,175,,,1.6258,28.6976,0,,,65.625,
292,48,spreading,,,,,,427,,,,,,,,,,,0.0,,170,,,1.5794,29.0313,0,,,65.625,
293,49,spreading,,,,,,427,,,,,,,,,,,0.0,,171,,,1.5886,29.365,0,,,65.625,
