frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
67,1,falling,2630.0,100.693,3,129,1197.0,326.3,133.119,38.522,13.0,0.104,138.8,1165.0,387.0,13.0,38.522,3.456,0.189,0.671,0,71.61,1.0912,0.91,0.0,72.7,,,65.625,
68,2,falling,3242.5,102.348,3,133,1211.4,261.4,169.444,33.913,5.3,0.128,148.8,1187.0,331.0,5.3,33.913,4.996,0.144,0.762,0,75.804,1.1551,0.9633,0.3337,137.6,66.478,199220.07,65.625,3035.73
80,3,falling,4311.0,100.791,3,132,1214.7,189.2,257.618,36.75,178.0,0.135,162.2,1201.0,270.0,178.0,36.75,7.01,0.083,0.798,0,97.301,1.4827,1.2364,4.338,209.8,72.275,216592.43,65.625,3300.46
83,4,falling,3361.5,98.99,3,133,1205.1,105.2,192.689,35.134,171.7,0.148,141.7,1201.0,189.0,171.7,35.134,5.484,0.115,0.794,0,82.279,1.2538,1.0455,5.3391,293.8,84.547,253366.99,65.625,3860.83
88,5,falling,3092.0,99.909,3,131,1192.4,89.1,123.309,50.222,160.3,0.097,138.2,1201.0,155.0,160.3,50.222,2.455,0.259,0.69,0,78.695,1.1992,1.0,7.0076,309.9,20.506,61451.98,65.625,936.41
90,6,falling,5719.0,97.293,3,130,1216.3,178.4,249.309,46.471,177.4,0.168,171.3,1200.0,271.0,177.4,46.471,5.365,0.117,0.834,0,107.637,1.6402,1.3678,7.6749,220.6,92.443,277029.95,65.625,4221.41
94,7,falling,2359.5,106.163,3,132,1207.5,237.2,127.194,31.442,3.6,0.126,131.2,1193.0,300.0,3.6,31.442,4.045,0.186,0.751,0,63.24,0.9637,0.8036,9.0097,161.8,59.455,178172.32,65.625,2715.01
96,8,falling,2412.0,102.484,3,131,1192.8,93.8,114.88,40.202,163.7,0.094,129.3,1200.0,155.0,163.7,40.202,2.858,0.233,0.689,0,67.959,1.0356,0.8636,9.6771,305.2,144.151,431988.33,65.625,6582.68
100,1,spreading,,,,,,399,,,,,,,,,,,0.0,,98,,,1.2453,11.0119,0,,,65.625,
101,2,spreading,,,,,,399,,,,,,,,,,,0.0,,124,,,1.5757,11.3456,0,,,65.625,
102,3,spreading,,,,,,399,,,,,,,,,,,0.0,,151,,,1.9188,11.6793,0,,,65.625,
103,4,spreading,,,,,,399,,,,,,,,,,,0.0,,163,,,2.0713,12.0129,0,,,65.625,
104,5,spreading,,,,,,399,,,,,,,,,,,0.0,,166,,,2.1094,12.3466,0,,,65.625,
105,6,spreading,,,,,,399,,,,,,,,,,,0.0,,159,,,2.0205,12.6803,0,,,65.625,
106,7,spreading,,,,,,399,,,,,,,,,,,0.0,,148,,,1.8807,13.014,0,,,65.625,
107,8,spreading,,,,,,399,,,,,,,,,,,0.0,,132,,,1.6774,13.3477,0,,,65.625,
108,9,spreading,,,,,,399,,,,,,,,,,,0.0,,119,,,1.5122,13.6814,0,,,65.625,
109,10,spreading,,,,,,399,,,,,,,,,,,0.0,,109,,,1.3851,14.0151,0,,,65.625,
110,11,spreading,,,,,,399,,,,,,,,,,,0.0,,96,,,1.2199,14.3488,0,,,65.625,
111,12,spreading,,,,,,399,,,,,,,,,,,0.0,,90,,,1.1437,14.6825,0,,,65.625,
112,13,spreading,,,,,,399,,,,,,,,,,,0.0,,84,,,1.0674,15.0162,0,,,65.625,
113,14,spreading,,,,,,399,,,,,,,,,,,0.0,,81,,,1.0293,15.3499,0,,,65.625,
114,15,spreading,,,,,,399,,,,,,,,,,,0.0,,82,,,1.042,15.6836,0,,,65.625,
115,16,spreading,,,,,,399,,,,,,,,,,,0.0,,83,,,1.0547,16.0173,0,,,65.625,
116,17,spreading,,,,,,399,,,,,,,,,,,0.0,,81,,,1.0293,16.351,0,,,65.625,
117,18,spreading,,,,,,399,,,,,,,,,,,0.0,,76,,,0.9658,16.6846,0,,,65.625,
118,19,spreading,,,,,,399,,,,,,,,,,,0.0,,68,,,0.8641,17.0183,0,,,65.625,
119,20,spreading,,,,,,399,,,,,,,,,,,0.0,,52,,,0.6608,17.352,0,,,65.625,
120,21,spreading,,,,,,399,,,,,,,,,,,0.0,,42,,,0.5337,17.6857,0,,,65.625,
121,22,spreading,,,,,,399,,,,,,,,,,,0.0,,43,,,0.5464,18.0194,0,,,65.625,
122,23,spreading,,,,,,399,,,,,,,,,,,0.0,,48,,,0.6099,18.3531,0,,,65.625,
123,24,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,18.6868,0,,,65.625,
124,25,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,19.0205,0,,,65.625,
125,26,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,19.3542,0,,,65.625,
126,27,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,19.6879,0,,,65.625,
127,28,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,20.0216,0,,,65.625,
128,29,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,20.3553,0,,,65.625,
129,30,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,20.689,0,,,65.625,
130,31,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,21.0227,0,,,65.625,
131,32,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,21.3564,0,,,65.625,
132,33,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,21.69,0,,,65.625,
133,34,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,22.0237,0,,,65.625,
134,35,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,22.3574,0,,,65.625,
135,36,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,22.6911,0,,,65.625,
136,37,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,23.0248,0,,,65.625,
137,38,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,23.3585,0,,,65.625,
138,39,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,23.6922,0,,,65.625,
139,40,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,24.0259,0,,,65.625,
140,41,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,24.3596,0,,,65.625,
141,42,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,24.6933,0,,,65.625,
142,43,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,25.027,0,,,65.625,
143,44,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,25.3607,0,,,65.625,
144,45,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,25.6944,0,,,65.625,
145,46,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,26.0281,0,,,65.625,
146,47,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,26.3617,0,,,65.625,
147,48,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,26.6954,0,,,65.625,
148,49,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,27.0291,0,,,65.625,
149,50,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,27.3628,0,,,65.625,
150,51,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,27.6965,0,,,65.625,
151,52,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,28.0302,0,,,65.625,
152,53,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,28.3639,0,,,65.625,
153,54,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,28.6976,0,,,65.625,
154,55,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,29.0313,0,,,65.625,
155,56,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,29.365,0,,,65.625,
156,57,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,29.6987,0,,,65.625,
157,58,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,30.0324,0,,,65.625,
158,59,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,30.3661,0,,,65.625,
159,60,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,30.6998,0,,,65.625,
160,61,spreading,,,,,,399,,,,,,,,,,,0.0,,0,,,,31.0334,0,,,65.625,
161,1,rebounding,2362.5,88.565,3,125,1194.4,73.4,108.114,38.527,165.3,0.169,102.4,1190.0,127.0,165.3,38.527,2.806,0.257,0.746,0,64.539,0.9835,0.8201,0.3337,325.6,,,65.625,
162,2,rebounding,5659.5,10.933,3,68,1238.8,23.5,105.509,92.321,125.3,0.805,105.9,1279.0,59.0,125.3,92.321,1.143,0.647,0.992,0,98.695,1.5039,1.2541,0.6674,375.5,66.793,200164.49,65.625,3050.13
