frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
396,1,falling,5184.5,98.781,3,132,1214.7,270.1,245.125,43.666,4.6,0.151,166.5,1188.0,343.0,4.6,43.666,5.614,0.11,0.815,0,103.458,1.5765,0.9161,0.0,162.9,,,65.625,
397,2,falling,7704.0,18.621,3,92,1267.4,242.0,127.064,124.969,1.1,0.694,128.0,1268.0,306.0,1.1,124.969,1.017,0.608,0.988,0,126.012,1.9202,1.1158,0.3337,191.0,59.724,178977.47,65.625,2727.28
398,3,falling,4948.0,100.537,3,133,1217.1,187.9,249.553,41.283,177.6,0.139,165.2,1201.0,275.0,177.6,41.283,6.045,0.101,0.799,0,101.501,1.5467,0.8987,0.6674,245.1,73.871,221373.64,65.625,3373.31
399,4,falling,1227.5,104.687,14,132,1196.3,328.4,113.378,21.064,10.1,0.071,103.9,1178.0,372.0,10.1,21.064,5.382,0.122,0.65,0,48.869,0.7447,0.4327,1.0011,104.6,142.031,425634.64,65.625,6485.86
400,5,falling,2963.5,94.777,3,130,1198.2,340.9,127.053,39.37,16.4,0.104,127.3,1165.0,397.0,16.4,39.37,3.227,0.234,0.742,0,70.726,1.0777,0.6262,1.3348,92.1,12.644,37889.84,65.625,577.37
402,6,falling,2255.5,94.905,3,131,1196.6,72.0,116.049,33.312,164.4,0.125,108.2,1198.0,126.0,164.4,33.312,3.484,0.213,0.743,0,62.176,0.9474,0.5505,2.0022,361.0,268.905,805844.77,65.625,12279.54
405,7,falling,3047.0,106.197,3,133,1212.9,209.6,160.437,31.194,0.4,0.178,144.0,1201.0,280.0,0.4,31.194,5.143,0.151,0.825,0,70.744,1.078,0.6264,3.0032,223.4,138.562,415238.2,65.625,6327.44
408,8,falling,6758.0,14.593,3,77,1273.3,254.0,124.725,123.588,0.0,0.72,126.0,1274.0,317.0,0.0,123.588,1.009,0.553,0.99,0,124.155,1.8919,1.0993,4.0043,179.0,74.963,224647.98,65.625,3423.21
409,9,falling,3293.5,94.794,3,132,1203.6,87.6,156.71,37.724,165.9,0.124,128.5,1204.0,155.0,165.9,37.724,4.154,0.171,0.765,0,76.888,1.1716,0.6808,4.338,345.4,180.408,540640.68,65.625,8238.33
410,10,falling,2984.5,104.661,3,136,1208.2,267.8,175.512,31.119,4.1,0.127,142.5,1202.0,196.0,4.1,31.119,5.64,0.123,0.755,0,73.904,1.1262,0.6544,4.6717,165.2,180.259,540193.24,65.625,8231.52
411,11,falling,1737.5,102.377,3,132,1202.0,106.3,116.1,26.898,170.5,0.096,110.5,1200.0,164.0,170.5,26.898,4.316,0.164,0.691,0,55.882,0.8515,0.4948,5.0054,326.7,161.619,484334.3,65.625,7380.33
413,12,falling,2338.5,103.503,3,136,1213.0,234.2,161.589,28.14,1.8,0.123,118.0,1200.0,289.0,1.8,28.14,5.742,0.114,0.812,0,67.432,1.0275,0.5971,5.6728,198.8,128.372,384701.37,65.625,5862.12
416,13,falling,2357.5,90.249,3,125,1142.0,358.6,116.849,106.395,48.0,0.099,110.3,1135.0,416.0,48.0,106.395,1.098,0.22,0.606,0,111.5,1.699,0.9873,6.6739,74.4,143.235,429242.84,65.625,6540.84
417,14,falling,3692.0,98.305,3,133,1158.4,347.8,141.871,101.206,33.0,0.115,157.7,1198.0,275.0,33.0,101.206,1.402,0.234,0.588,0,119.826,1.8259,1.061,7.0076,85.2,19.637,58846.61,65.625,896.71
418,15,falling,3727.0,88.323,3,128,1200.8,341.2,137.984,45.087,14.9,0.163,126.5,1202.0,279.0,14.9,45.087,3.06,0.249,0.791,0,78.875,1.2019,0.6984,7.3412,91.8,42.911,128593.06,65.625,1959.51
419,16,falling,3742.0,97.3,3,132,1208.0,306.9,159.606,40.421,8.2,0.209,139.2,1184.0,368.0,8.2,40.421,3.949,0.187,0.83,0,80.321,1.2239,0.7112,7.6749,126.1,35.048,105029.29,65.625,1600.45
420,17,falling,2089.0,103.608,3,135,1210.8,226.6,140.494,27.794,180.0,0.146,111.0,1200.0,169.0,180.0,27.794,5.055,0.135,0.787,0,62.489,0.9522,0.5533,8.0086,206.4,80.349,240786.6,65.625,3669.13
421,18,falling,4735.0,94.805,3,131,1176.3,349.5,137.877,90.161,41.7,0.113,162.4,1201.0,269.0,41.7,90.161,1.529,0.317,0.641,0,111.495,1.699,0.9872,8.3423,83.5,127.651,382538.86,65.625,5829.16
422,19,falling,3010.5,100.567,3,131,1210.7,269.0,179.939,33.49,4.9,0.145,129.3,1191.0,331.0,4.9,33.49,5.373,0.118,0.801,0,77.628,1.1829,0.6873,8.676,164.0,87.542,262343.07,65.625,3997.61
427,20,falling,11922.5,91.093,1,191,650.9,119.0,132.284,115.114,91.3,0.819,134.2,717.0,130.0,91.3,115.114,1.149,0.867,0.987,0,123.401,1.8804,1.0926,10.3445,314.0,579.548,1736770.43,65.625,26465.07
428,21,falling,10421.0,97.664,1,186,651.7,135.7,129.692,102.166,93.3,0.839,133.3,717.0,153.0,93.3,102.166,1.269,0.789,0.988,0,115.109,1.754,1.0192,10.6782,297.3,16.719,50103.39,65.625,763.48
429,22,falling,2097.5,106.401,3,136,1209.0,213.9,126.47,29.498,0.9,0.105,115.1,1201.0,157.0,0.9,29.498,4.287,0.167,0.74,0,61.079,0.9307,0.5408,11.0119,219.1,562.76,1686459.54,65.625,25698.43
430,23,falling,1641.0,105.692,7,133,1197.7,94.8,124.216,24.501,170.3,0.096,113.4,1200.0,155.0,170.3,24.501,5.07,0.135,0.7,0,55.167,0.8406,0.4885,11.3456,338.2,119.635,358517.74,65.625,5463.13
432,24,falling,9965.0,96.365,1,174,636.6,238.7,125.966,101.259,2.4,0.838,131.1,637.0,304.0,2.4,101.259,1.244,0.8,0.988,0,112.939,1.721,1.0,12.0129,194.3,579.259,1735902.49,65.625,26451.85
434,25,falling,13665.0,101.996,1,176,650.7,286.4,134.694,129.213,30.7,0.818,135.6,669.0,222.0,30.7,129.213,1.042,0.959,0.987,0,131.925,2.0103,1.1681,12.6803,146.6,49.74,149060.14,65.625,2271.39
436,1,spreading,,,,,,433,,,,,,,,,,,0.0,,77,,,0.6818,13.3477,0,,,65.625,
