frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
912,1,falling,3136.5,85.505,3,117,1202.5,105.1,178.122,33.065,171.2,0.096,148.7,1202.0,188.0,171.2,33.065,5.387,0.126,0.75,0,76.744,1.1694,1.0711,0.0,348.9,,,65.625,
914,2,falling,1096.5,87.808,3,115,1201.6,271.5,86.471,22.472,8.1,0.06,96.7,1189.0,318.0,8.1,22.472,3.848,0.187,0.616,0,44.081,0.6717,0.6152,0.6674,182.5,166.402,498669.24,65.625,7598.77
915,3,falling,2163.5,86.74,3,115,1208.3,248.7,129.707,26.642,4.0,0.099,128.2,1193.0,309.0,4.0,26.642,4.869,0.164,0.755,0,58.785,0.8958,0.8205,1.0011,205.3,23.764,71215.3,65.625,1085.19
916,4,falling,2233.5,82.256,3,114,1192.4,332.4,115.302,36.223,13.5,0.06,131.2,1164.0,397.0,13.5,36.223,3.183,0.214,0.665,0,64.627,0.9848,0.902,1.3348,121.6,85.197,255315.01,65.625,3890.51
918,5,falling,2208.5,89.429,3,114,1201.4,130.6,137.342,27.48,173.2,0.064,137.1,1200.0,201.0,173.2,27.48,4.998,0.149,0.69,0,61.435,0.9362,0.8575,2.0022,323.4,202.001,605348.61,65.625,9224.36
920,6,falling,2647.5,83.885,3,113,1200.2,322.4,147.868,29.806,6.8,0.117,133.7,1182.0,385.0,6.8,29.806,4.961,0.154,0.785,0,66.387,1.0116,0.9266,2.6695,131.6,191.804,574791.06,65.625,8758.72
921,7,falling,970.0,91.239,7,116,1203.2,170.8,90.166,19.033,174.2,0.046,100.6,1203.0,223.0,174.2,19.033,4.737,0.152,0.594,0,41.426,0.6313,0.5782,3.0032,283.2,151.63,454398.75,65.625,6924.17
922,8,falling,3122.0,83.579,3,118,1196.5,96.2,140.008,46.49,162.5,0.121,148.8,1202.0,170.0,162.5,46.49,3.012,0.203,0.679,0,80.678,1.2294,1.126,3.3369,357.8,74.9,224458.61,65.625,3420.32
923,9,falling,2262.0,83.636,3,115,1204.3,292.5,132.18,29.464,7.4,0.093,121.5,1202.0,228.0,7.4,29.464,4.486,0.165,0.738,0,62.406,0.9509,0.871,3.6706,161.5,196.455,588729.48,65.625,8971.12
924,10,falling,10048.0,16.902,3,90,1255.5,277.7,141.691,123.359,8.9,0.407,140.0,1258.0,348.0,8.9,123.359,1.149,0.637,0.961,0,132.208,2.0146,1.8452,4.0043,176.3,53.296,159716.13,65.625,2433.77
926,11,falling,3078.5,85.269,3,114,1208.1,191.7,143.633,38.147,179.1,0.099,145.2,1196.0,265.0,179.1,38.147,3.765,0.19,0.712,0,74.021,1.1279,1.0331,4.6717,262.3,98.198,294275.15,65.625,4484.19
927,12,falling,913.0,91.052,3,116,1202.6,213.7,82.67,23.441,177.8,0.047,98.0,1198.0,266.0,177.8,23.441,3.527,0.17,0.532,0,44.021,0.6708,0.6144,5.0054,240.3,22.677,67957.92,65.625,1035.55
928,13,falling,625.5,91.967,3,117,1204.6,188.6,80.552,15.43,179.5,0.054,89.1,1202.0,233.0,179.5,15.43,5.22,0.123,0.526,0,35.255,0.5372,0.4921,5.3391,265.4,25.18,75457.25,65.625,1149.82
929,14,falling,3289.0,85.553,3,117,1203.2,308.4,164.233,34.839,7.8,0.154,152.7,1178.0,378.0,7.8,34.839,4.714,0.155,0.765,0,75.642,1.1526,1.0557,5.6728,145.6,119.808,359037.14,65.625,5471.04
