frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
2221,1,falling,1994.5,85.892,3,119,1177.2,416.8,119.506,28.094,23.0,0.086,112.9,1193.0,358.0,23.0,28.094,4.254,0.178,0.753,0,57.943,0.8829,1.094,0.0,64.2,,,65.625,
2222,2,falling,3454.5,80.842,3,118,1181.1,413.1,145.356,40.793,25.5,0.12,136.4,1136.0,469.0,25.5,40.793,3.563,0.208,0.776,0,77.003,1.1734,1.4539,0.3337,67.9,5.376,16110.23,65.625,245.49
2224,3,falling,1007.0,91.454,3,121,1183.6,382.1,87.227,25.857,28.4,0.064,101.1,1158.0,426.0,28.4,25.857,3.373,0.169,0.535,0,47.491,0.7237,0.8967,1.0011,98.9,31.101,93201.36,65.625,1420.21
2230,4,falling,4324.5,82.406,3,129,1184.1,408.5,172.45,47.671,30.4,0.083,164.0,1118.0,474.0,30.4,47.671,3.618,0.185,0.683,0,90.669,1.3816,1.712,3.0032,72.5,26.405,79128.82,65.625,1205.77
2232,5,falling,2544.0,86.764,3,123,1188.8,390.1,131.958,34.716,20.3,0.089,133.9,1200.0,320.0,20.3,34.716,3.801,0.186,0.677,0,67.684,1.0314,1.278,3.6706,90.9,18.991,56910.95,65.625,867.21
2233,6,falling,1811.5,95.69,3,127,1217.9,196.0,107.032,30.76,178.4,0.123,114.0,1213.0,142.0,178.4,30.76,3.48,0.201,0.645,0,57.378,0.8743,1.0834,4.0043,285.0,196.269,588173.12,65.625,8962.64
2236,7,falling,3966.0,89.899,3,125,1221.4,274.7,185.205,37.672,6.0,0.124,153.1,1197.0,341.0,6.0,37.672,4.916,0.147,0.806,0,83.529,1.2728,1.5771,5.0054,206.3,78.778,236078.64,65.625,3597.39
2238,8,falling,1222.0,94.352,3,123,1202.8,90.3,88.938,22.323,166.1,0.08,95.8,1210.0,138.0,166.1,22.323,3.984,0.197,0.668,0,44.557,0.679,0.8413,5.6728,390.7,185.336,555407.8,65.625,8463.36
2239,9,falling,3476.0,88.507,3,132,1187.2,398.1,164.099,38.517,18.3,0.076,160.1,1150.0,465.0,18.3,38.517,4.26,0.164,0.683,0,79.502,1.2115,1.5011,6.0065,82.9,308.195,923588.65,65.625,14073.73
2240,10,falling,1951.0,82.006,3,115,1176.4,414.6,102.457,33.651,19.9,0.124,109.8,1150.0,459.0,19.9,33.651,3.045,0.237,0.676,0,58.718,0.8948,1.1087,6.3402,66.4,19.72,59097.12,65.625,900.53
2242,11,falling,1749.5,96.286,3,126,1217.3,208.0,115.221,31.523,2.8,0.083,124.0,1205.0,271.0,2.8,31.523,3.655,0.168,0.612,0,60.267,0.9184,1.1379,7.0076,273.0,210.61,631147.55,65.625,9617.49
2243,12,falling,1677.5,89.333,3,122,1190.9,369.1,101.031,35.087,20.3,0.066,117.0,1165.0,420.0,20.3,35.087,2.879,0.209,0.65,0,59.539,0.9073,1.1242,7.3412,111.9,163.249,489218.53,65.625,7454.76
2244,13,falling,1357.5,86.254,3,118,1188.2,382.6,93.662,27.372,24.9,0.107,98.1,1160.0,426.0,24.9,27.372,3.422,0.197,0.661,0,50.633,0.7716,0.956,7.6749,98.4,13.767,41257.54,65.625,628.69
2245,14,falling,2947.5,86.553,3,125,1204.4,353.1,153.35,36.145,12.4,0.098,136.3,1208.0,277.0,12.4,36.145,4.243,0.16,0.733,0,74.45,1.1345,1.4057,8.0086,127.9,33.655,100857.56,65.625,1536.88
2246,15,falling,2397.5,94.113,3,126,1205.7,110.2,113.133,44.311,166.6,0.074,136.6,1214.0,174.0,166.6,44.311,2.553,0.239,0.643,0,70.803,1.0789,1.3369,8.3423,370.8,242.903,727925.01,65.625,11092.19
