frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
471,1,falling,3682.5,82.085,3,120,1181.0,404.2,135.269,48.539,24.8,0.079,145.4,1137.0,464.0,24.8,48.539,2.787,0.256,0.701,0,81.03,1.2347,1.1976,0.0,77.8,,,65.625,
472,2,falling,1642.5,93.204,3,126,1217.2,175.1,106.916,26.813,177.9,0.107,106.0,1210.0,230.0,177.9,26.813,3.988,0.183,0.743,0,53.541,0.8159,0.7913,0.3337,306.9,231.942,695077.04,65.625,10591.65
473,3,falling,1662.5,94.225,3,127,1217.2,252.6,111.173,26.333,3.5,0.106,108.6,1215.0,198.0,3.5,26.333,4.222,0.171,0.716,0,54.107,0.8245,0.7997,0.6674,229.4,77.5,232249.4,65.625,3539.04
474,4,falling,2400.5,95.478,3,130,1215.2,269.4,130.272,32.895,6.4,0.113,137.7,1197.0,331.0,6.4,32.895,3.96,0.18,0.692,0,65.462,0.9975,0.9675,1.0011,212.6,16.919,50701.18,65.625,772.59
475,5,falling,2921.0,92.324,3,126,1207.8,322.4,150.973,33.873,12.1,0.078,153.4,1178.0,398.0,12.1,33.873,4.457,0.163,0.705,0,71.511,1.0897,1.0569,1.3348,159.6,53.514,160369.29,65.625,2443.72
476,6,falling,2115.5,95.303,3,126,1220.1,221.7,125.191,27.015,1.3,0.155,123.0,1211.0,161.0,1.3,27.015,4.634,0.172,0.764,0,58.155,0.8862,0.8595,1.6685,260.3,101.448,304017.2,65.625,4632.64
477,7,falling,2763.5,89.935,3,126,1224.1,228.2,162.965,31.759,1.1,0.123,129.0,1210.0,290.0,1.1,31.759,5.131,0.132,0.793,0,71.942,1.0963,1.0632,2.0022,253.8,7.632,22871.83,65.625,348.52
478,8,falling,1254.5,91.55,3,126,1215.8,273.0,104.604,21.151,7.3,0.133,93.5,1204.0,315.0,7.3,21.151,4.945,0.146,0.768,0,47.037,0.7168,0.6952,2.3359,209.0,45.562,136539.8,65.625,2080.61
481,9,falling,2071.0,87.88,3,124,1190.5,372.2,109.6,41.324,22.0,0.084,124.7,1161.0,427.0,22.0,41.324,2.652,0.22,0.609,0,67.299,1.0255,0.9946,3.3369,109.8,102.375,306795.28,65.625,4674.98
482,10,falling,1924.5,90.667,3,124,1192.5,350.1,110.545,48.153,22.5,0.06,134.5,1161.0,411.0,22.5,48.153,2.296,0.201,0.582,0,72.959,1.1118,1.0783,3.6706,131.9,22.19,66499.19,65.625,1013.32
484,11,falling,1765.0,93.172,3,125,1199.5,79.3,124.98,26.189,164.9,0.095,118.0,1207.0,138.0,164.9,26.189,4.772,0.144,0.683,0,57.211,0.8718,0.8455,4.338,402.7,270.89,811795.45,65.625,12370.22
486,12,falling,1579.0,87.64,3,123,1193.7,369.6,102.554,27.033,18.8,0.103,107.6,1170.0,415.0,18.8,27.033,3.794,0.191,0.685,0,52.653,0.8023,0.7782,5.0054,112.4,290.358,870134.93,65.625,13259.2
489,13,falling,4464.0,86.784,3,129,1182.0,396.9,159.662,57.011,26.8,0.072,176.6,1122.0,472.0,26.8,57.011,2.801,0.223,0.664,0,95.407,1.4538,1.41,6.0065,85.1,29.702,89008.51,65.625,1356.32
493,14,falling,1571.5,92.758,3,124,1211.4,297.9,103.535,25.651,6.8,0.072,107.7,1196.0,348.0,6.8,25.651,4.036,0.187,0.666,0,51.534,0.7853,0.7616,7.3412,184.1,103.273,309485.75,65.625,4715.97
494,15,falling,1189.5,95.284,3,124,1214.1,247.7,92.119,23.391,3.0,0.081,93.8,1202.0,293.0,3.0,23.391,3.938,0.178,0.646,0,46.419,0.7073,0.686,7.6749,234.3,50.273,150655.11,65.625,2295.7
496,16,falling,1425.5,96.428,3,127,1215.5,228.9,96.377,27.432,179.4,0.09,106.0,1208.0,176.0,179.4,27.432,3.513,0.195,0.647,0,51.418,0.7835,0.7599,8.3423,253.1,18.852,56495.21,65.625,860.88
497,17,falling,6867.5,90.33,1,151,776.7,125.6,108.229,81.601,176.4,0.415,111.2,782.0,71.0,176.4,81.601,1.326,0.746,0.945,0,93.976,1.432,1.3889,8.676,356.4,450.795,1350928.01,65.625,20585.57
499,18,falling,1525.5,91.588,3,122,1199.1,342.9,107.819,27.044,12.7,0.074,110.1,1204.0,283.0,12.7,27.044,3.987,0.167,0.657,0,53.999,0.8228,0.7981,9.3434,139.1,475.017,1423514.71,65.625,21691.65
500,19,falling,2044.5,91.774,3,124,1214.5,163.0,128.017,30.536,177.7,0.129,114.2,1205.0,223.0,177.7,30.536,4.192,0.159,0.689,0,62.523,0.9527,0.924,9.6771,319.0,180.558,541089.99,65.625,8245.18
501,20,falling,2062.0,90.417,3,125,1184.6,371.5,103.335,44.306,19.8,0.039,130.4,1202.0,307.0,19.8,44.306,2.332,0.246,0.607,0,67.663,1.0311,1.0,10.0108,110.5,210.633,631217.91,65.625,9618.56
502,21,falling,2122.0,90.533,3,121,1196.1,351.0,113.564,35.221,16.2,0.068,126.9,1171.0,406.0,16.2,35.221,3.224,0.209,0.649,0,63.244,0.9637,0.9347,10.3445,131.0,23.505,70439.95,65.625,1073.37
503,22,falling,6894.5,91.514,1,150,779.0,269.1,119.364,74.426,3.6,0.42,122.3,775.0,330.0,3.6,74.426,1.604,0.616,0.948,0,94.254,1.4363,1.393,10.6782,212.9,425.065,1273819.72,65.625,19410.59
507,23,falling,750.5,93.417,3,122,1203.3,318.0,73.159,18.233,11.4,0.086,80.9,1193.0,356.0,11.4,18.233,4.013,0.179,0.634,0,36.522,0.5565,0.5398,12.0129,164.0,427.109,1279944.54,65.625,19503.92
508,24,falling,6708.5,102.014,1,174,779.0,386.5,111.05,77.673,0.9,0.376,113.1,791.0,331.0,0.9,77.673,1.43,0.693,0.94,0,92.874,1.4152,1.3726,12.3466,95.5,429.794,1287991.76,65.625,19626.54
509,1,spreading,,,,,,482,,,,,,,,,,,0.0,,90,,,1.3301,12.6803,0,,,65.625,
510,2,spreading,,,,,,482,,,,,,,,,,,0.0,,125,,,1.8474,13.014,0,,,65.625,
511,3,spreading,,,,,,482,,,,,,,,,,,0.0,,167,,,2.4681,13.3477,0,,,65.625,
512,4,spreading,,,,,,482,,,,,,,,,,,0.0,,197,,,2.9115,13.6814,0,,,65.625,
513,5,spreading,,,,,,482,,,,,,,,,,,0.0,,215,,,3.1775,14.0151,0,,,65.625,
514,6,spreading,,,,,,482,,,,,,,,,,,0.0,,226,,,3.3401,14.3488,0,,,65.625,
