frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
123,1,falling,3221.0,94.971,3,126,1196.4,291.5,157.204,36.545,9.0,0.099,136.2,1192.0,218.0,9.0,36.545,4.302,0.166,0.746,0,75.796,1.155,0.7207,0.0,141.5,,,65.625,
126,2,falling,2336.0,92.659,3,125,1197.5,290.9,132.138,30.185,5.6,0.174,110.4,1192.0,230.0,5.6,30.185,4.378,0.17,0.838,0,63.156,0.9624,0.6006,1.0011,142.1,1.253,3754.94,65.625,57.22
127,3,falling,1430.5,100.86,7,126,1199.1,178.3,100.452,24.227,179.5,0.106,101.0,1192.0,128.0,179.5,24.227,4.146,0.181,0.704,0,49.332,0.7517,0.4691,1.3348,254.7,112.611,337469.97,65.625,5142.4
128,4,falling,3266.0,90.767,3,125,1186.5,346.1,163.84,37.779,16.2,0.099,135.4,1146.0,404.0,16.2,37.779,4.337,0.155,0.729,0,78.674,1.1988,0.7481,1.6685,86.9,168.272,504273.08,65.625,7684.16
129,5,falling,3588.0,92.831,3,127,1207.4,213.0,178.249,37.756,1.7,0.145,136.1,1191.0,143.0,1.7,37.756,4.721,0.144,0.817,0,82.036,1.2501,0.7801,2.0022,220.0,134.731,403757.1,65.625,6152.49
132,6,falling,2220.0,93.811,3,124,1194.7,302.0,127.179,31.231,10.0,0.132,114.5,1169.0,355.0,10.0,31.231,4.072,0.175,0.754,0,63.023,0.9604,0.5993,3.0032,131.0,89.902,269413.97,65.625,4105.36
133,7,falling,3400.0,91.542,3,126,1187.4,74.2,131.755,45.034,166.1,0.132,134.4,1191.0,146.0,166.1,45.034,2.926,0.249,0.748,0,77.029,1.1738,0.7325,3.3369,358.8,227.917,683013.84,65.625,10407.83
134,8,falling,3834.5,100.17,3,138,1201.1,265.3,204.257,34.752,4.7,0.117,157.4,1182.0,335.0,4.7,34.752,5.878,0.117,0.8,0,84.251,1.2838,0.8011,3.6706,167.7,191.59,574151.84,65.625,8748.98
135,9,falling,3487.0,93.929,3,130,1188.7,79.2,146.733,41.504,166.2,0.134,140.4,1191.0,154.0,166.2,41.504,3.535,0.206,0.762,0,78.038,1.1892,0.7421,4.0043,353.8,186.513,558934.87,65.625,8517.1
137,10,falling,2742.5,94.332,3,125,1186.6,328.8,129.642,38.471,12.9,0.076,132.4,1190.0,260.0,12.9,38.471,3.37,0.208,0.691,0,70.622,1.0761,0.6715,4.6717,104.2,249.609,748019.39,65.625,11398.39
138,11,falling,3105.5,90.381,3,123,1187.5,70.4,134.563,39.473,163.7,0.121,126.6,1190.0,138.0,163.7,39.473,3.409,0.218,0.756,0,72.881,1.1106,0.693,5.0054,362.6,258.402,774369.16,65.625,11799.91
140,12,falling,3984.5,87.533,3,123,1191.2,337.0,162.627,43.401,14.5,0.135,137.1,1153.0,397.0,14.5,43.401,3.747,0.192,0.816,0,84.013,1.2802,0.7989,5.6728,96.0,266.626,799014.88,65.625,12175.46
141,13,falling,2425.0,90.754,3,124,1189.0,328.9,116.668,34.759,11.4,0.127,113.3,1164.0,381.0,11.4,34.759,3.356,0.227,0.76,0,63.681,0.9704,0.6055,6.0065,104.1,8.393,25153.21,65.625,383.29
143,14,falling,9696.0,13.327,3,79,1273.0,136.0,150.682,148.463,177.0,0.69,152.0,1274.0,212.0,177.0,148.463,1.015,0.544,0.991,0,149.568,2.2791,1.4222,6.6739,297.0,210.396,630507.21,65.625,9607.73
144,15,falling,3048.5,99.039,3,126,1202.3,230.0,183.671,32.421,1.8,0.142,136.2,1191.0,157.0,1.8,32.421,5.665,0.115,0.796,0,77.167,1.1759,0.7338,7.0076,203.0,117.62,352480.0,65.625,5371.12
145,16,falling,3879.0,86.482,3,121,1190.0,340.5,160.688,42.85,15.1,0.12,134.9,1154.0,398.0,15.1,42.85,3.75,0.191,0.773,0,82.979,1.2644,0.7891,7.3412,92.5,111.182,333187.88,65.625,5077.15
