frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
62,1,falling,3691.0,99.384,3,135,1205.4,90.6,169.922,40.724,168.9,0.12,146.5,1204.0,169.0,168.9,40.724,4.173,0.163,0.729,0,83.186,1.2676,0.8524,0.0,342.4,,,65.625,
63,2,falling,4501.0,100.149,3,134,1271.2,398.8,256.05,187.591,25.6,0.076,180.2,1121.0,424.0,25.6,187.591,1.365,0.087,0.512,0,219.164,3.3396,2.2458,0.3337,34.2,315.146,944418.4,65.625,14391.14
64,3,falling,3555.0,100.629,3,137,1215.6,274.3,168.37,38.372,4.7,0.209,135.5,1206.0,204.0,4.7,38.372,4.388,0.16,0.808,0,80.378,1.2248,0.8236,0.6674,158.7,136.351,408612.27,65.625,6226.47
65,4,falling,2717.5,103.212,3,136,1217.1,180.1,160.215,31.802,178.5,0.14,123.0,1203.0,249.0,178.5,31.802,5.038,0.135,0.819,0,71.38,1.0877,0.7314,1.0011,252.9,94.212,282331.19,65.625,4302.19
67,5,falling,2171.5,104.809,3,138,1205.1,105.3,126.87,30.201,170.5,0.127,119.1,1205.0,168.0,170.5,30.201,4.201,0.172,0.745,0,61.9,0.9432,0.6343,1.6685,327.7,75.756,227024.4,65.625,3459.42
69,6,falling,4661.0,100.009,3,136,1166.5,344.4,151.102,101.128,30.0,0.095,176.1,1205.0,260.0,30.0,101.128,1.494,0.26,0.609,0,123.615,1.8837,1.2667,2.3359,88.6,242.196,725804.04,65.625,11059.87
70,7,falling,4242.5,97.206,3,136,1215.0,279.1,189.205,43.412,5.5,0.123,146.1,1204.0,201.0,5.5,43.412,4.358,0.151,0.771,0,90.63,1.381,0.9287,2.6695,153.9,81.341,243759.65,65.625,3714.43
72,8,falling,3517.0,100.909,3,138,1211.7,298.4,176.498,37.838,6.4,0.133,140.7,1188.0,362.0,6.4,37.838,4.665,0.144,0.751,0,81.721,1.2453,0.8374,3.3369,134.6,19.58,58676.96,65.625,894.13
75,9,falling,2770.0,105.766,3,136,1215.8,216.8,145.98,31.304,0.1,0.154,125.1,1207.0,157.0,0.1,31.304,4.663,0.166,0.824,0,67.6,1.0301,0.6927,4.338,216.2,81.703,244844.63,65.625,3730.97
76,10,falling,9327.5,19.367,3,87,1276.6,289.9,152.681,149.532,5.3,0.652,154.0,1278.0,367.0,5.3,149.532,1.021,0.509,0.99,0,151.098,2.3024,1.5483,4.6717,143.1,95.08,284933.24,65.625,4341.84
